DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-10-20,10.0400,10.0625,10.0400,10.0500,12.159,
2021-10-21,10.0700,10.0700,10.0400,10.0500,0.441,
2021-10-22,10.0536,10.0900,10.0500,10.0900,0.264,
2021-10-25,10.0900,10.1000,10.0400,10.1000,0.054,
2021-10-26,10.1000,10.1210,10.1000,10.1000,0.038,
2021-10-27,10.1000,10.1100,10.0988,10.1000,0.099,
2021-10-28,10.0900,10.1100,10.0900,10.1000,0.045,
2021-10-29,10.1000,10.1000,10.1000,10.1000,0.000,
2021-11-01,10.1000,10.1000,10.1000,10.1000,0.000,
2021-11-02,10.0800,10.1200,10.0800,10.1200,0.061,
2021-11-03,10.1000,10.1000,10.1000,10.1000,0.000,
2021-11-04,10.1000,10.1600,10.1000,10.1100,2.253,
2021-11-05,10.1100,10.1100,10.1000,10.1000,0.028,
2021-11-08,10.1000,10.1000,10.1000,10.1000,0.000,
2021-11-09,10.0900,10.0900,10.0900,10.0900,0.002,
2021-11-10,10.1000,10.1300,10.0900,10.1300,0.008,
2021-11-11,10.1300,10.1300,10.1300,10.1300,0.000,
2021-11-12,10.1800,10.1800,10.1550,10.1700,0.004,
2021-11-15,10.1700,10.1700,10.1700,10.1700,0.000,
2021-11-16,10.1100,10.1100,10.1100,10.1100,0.250,
2021-11-17,10.1300,10.1300,10.1200,10.1200,0.003,
2021-11-18,10.1200,10.1200,10.1200,10.1200,0.000,
2021-11-19,10.1300,10.1300,10.1200,10.1200,0.201,
2021-11-22,10.0900,10.0900,10.0900,10.0900,0.001,
2021-11-23,10.2000,10.2000,10.0900,10.1600,0.019,
2021-11-24,10.1600,10.1600,10.1600,10.1600,0.000,
2021-11-26,10.1600,10.1600,10.0900,10.0900,0.042,
2021-11-29,10.0900,10.0900,10.0900,10.0900,0.000,
2021-11-30,10.0900,10.0900,10.0900,10.0900,0.000,
2021-12-01,10.0900,10.0900,10.0900,10.0900,0.005,
2021-12-02,10.2000,10.2000,10.2000,10.2000,0.003,
2021-12-03,10.2000,10.2000,10.2000,10.2000,0.000,
2021-12-06,10.0600,10.0600,10.0500,10.0600,0.051,
2021-12-07,10.1100,10.1100,10.1100,10.1100,0.000,
2021-12-08,10.1100,10.1900,10.0100,10.0100,0.316,
2021-12-09,10.0800,10.0800,10.0500,10.0500,0.103,
2021-12-10,10.0600,10.0600,10.0600,10.0600,0.000,
2021-12-13,10.0700,10.0900,10.0600,10.0700,0.008,
2021-12-14,10.0700,10.0700,10.0700,10.0700,0.011,
2021-12-15,10.1800,10.1900,10.1800,10.1900,0.005,
2021-12-16,10.1900,10.1900,10.1900,10.1900,0.000,
2021-12-17,10.0400,10.0500,10.0400,10.0500,0.000,
2021-12-20,10.1300,10.1400,10.1000,10.1100,0.018,
2021-12-21,10.1100,10.1100,10.1000,10.1000,0.011,
2021-12-22,10.1000,10.1100,10.1000,10.1000,0.003,
2021-12-23,10.1500,10.1500,10.1500,10.1500,0.003,
2021-12-27,10.1500,10.1500,10.1500,10.1500,0.000,
2021-12-28,10.0300,10.1500,10.0200,10.1500,0.008,
2021-12-29,10.1100,10.1200,10.1100,10.1200,0.003,
2021-12-30,10.1100,10.1200,10.1100,10.1200,0.000,10.110
2021-12-31,10.1200,10.1200,10.1200,10.1200,0.000,10.112
2022-01-03,10.1000,10.1400,10.1000,10.1400,0.007,10.113
2022-01-04,10.1300,10.1350,10.1300,10.1350,0.000,10.114
2022-01-05,10.0100,10.1300,10.0000,10.1300,0.023,10.115
2022-01-06,10.1300,10.1400,10.1300,10.1300,0.021,10.116
2022-01-07,10.1300,10.1400,10.1300,10.1400,0.582,10.116
2022-01-10,10.1400,10.1400,10.1400,10.1400,0.000,10.117
2022-01-11,10.1400,10.1400,10.1400,10.1400,0.000,10.118
2022-01-12,10.1400,10.1400,10.1300,10.1300,0.041,10.119
2022-01-13,10.1300,10.1300,10.1300,10.1300,0.006,10.119
2022-01-14,10.1500,10.1500,10.1500,10.1500,0.000,10.120
2022-01-18,10.1300,10.1300,10.1300,10.1300,0.006,10.120
2022-01-19,10.1200,10.1400,10.1200,10.1400,0.008,10.121
2022-01-20,10.1400,10.1400,10.1400,10.1400,0.000,10.122
2022-01-21,10.1400,10.1400,10.1400,10.1400,0.000,10.123
2022-01-24,10.1000,10.1200,10.0900,10.1200,0.033,10.123
2022-01-25,10.1056,10.1056,10.1056,10.1056,0.002,10.122
2022-01-26,9.8500,10.1500,9.7778,10.1200,0.199,10.121
2022-01-27,10.1200,10.1200,10.1200,10.1200,0.000,10.120
2022-01-28,10.1200,10.1200,10.1200,10.1200,0.000,10.120
2022-01-31,10.1045,10.1045,10.1045,10.1045,0.003,10.120
2022-02-01,10.1045,10.1045,10.1045,10.1045,0.000,10.120
2022-02-02,10.1045,10.1045,10.1045,10.1045,0.000,10.119
2022-02-03,10.1045,10.1045,10.1045,10.1045,0.000,10.120
2022-02-04,10.0500,10.0500,10.0500,10.0500,0.000,10.117
2022-02-07,10.0900,10.0900,10.0400,10.0800,0.012,10.116
2022-02-08,10.0800,10.0800,10.0800,10.0800,0.000,10.116
2022-02-09,10.0800,10.0800,10.0800,10.0800,0.000,10.115
2022-02-10,10.0800,10.1200,10.0800,10.1200,0.003,10.116
2022-02-11,10.0800,10.0800,10.0800,10.0800,0.000,10.116
2022-02-14,10.1000,10.1000,10.1000,10.1000,0.004,10.114
2022-02-15,10.1000,10.1000,10.1000,10.1000,0.000,10.112
2022-02-16,10.1000,10.1000,10.1000,10.1000,0.000,10.113
2022-02-17,10.1000,10.1000,10.1000,10.1000,0.000,10.112
2022-02-18,10.1900,10.1900,10.1900,10.1900,0.000,10.116
2022-02-22,10.1500,10.1500,10.1125,10.1250,0.001,10.117
2022-02-23,10.1200,10.1200,10.0700,10.0850,0.007,10.118
2022-02-24,10.0700,10.0702,10.0700,10.0700,0.005,10.118
2022-02-25,10.0700,10.0700,10.0600,10.0600,0.004,10.118
2022-02-28,10.0800,10.0800,10.0550,10.0600,0.017,10.115
2022-03-01,10.0850,10.0850,10.0850,10.0850,0.000,10.113
2022-03-02,10.2000,10.2000,10.2000,10.2000,0.001,10.116
2022-03-03,10.2000,10.2000,10.2000,10.2000,0.000,10.118
2022-03-04,10.1000,10.1000,10.1000,10.1000,0.000,10.118
2022-03-07,10.1000,10.1000,10.1000,10.1000,0.000,10.118
2022-03-08,10.0475,10.0475,10.0475,10.0475,0.004,10.116
2022-03-09,10.0475,10.0475,10.0475,10.0475,0.000,10.114
2022-03-10,10.0300,10.0300,10.0200,10.0200,0.003,10.111
2022-03-11,10.0200,10.0200,10.0200,10.0200,0.000,10.109
2022-03-14,10.0200,10.0200,10.0200,10.0200,0.000,10.107
