DATE,OPEN,HIGH,LOW,CLOSE
2004-12-15,532.4913,595.8297,490.1723,588.5430
2004-12-16,628.9003,668.6970,588.5430,623.8556
2004-12-17,638.9896,669.8180,633.3844,658.3274
2004-12-20,691.1177,707.6529,640.1106,641.7922
2004-12-21,647.6776,661.1300,591.3456,608.1611
2004-12-22,595.8297,624.9766,595.8297,602.5560
2004-12-23,616.5689,616.5689,580.1353,599.7534
2004-12-27,594.4285,609.5624,594.4285,595.8297
2004-12-28,595.5495,603.6770,593.3074,595.5775
2004-12-29,595.5495,672.3403,595.5495,661.4103
2004-12-30,660.2892,686.6335,650.7604,675.4232
2004-12-31,669.5378,679.6271,652.4420,661.9708
2005-01-03,675.7034,675.7034,623.8556,630.5818
2005-01-04,647.3973,647.3973,581.5366,596.6705
2005-01-05,585.4602,599.7534,582.9379,592.7469
2005-01-06,594.1482,604.5178,571.7275,577.3327
2005-01-07,571.1670,582.6576,554.9120,574.5301
2005-01-10,588.5430,607.8809,566.4026,601.9954
2005-01-11,602.5840,609.5624,575.9314,585.9646
2005-01-12,582.9379,588.5430,557.7146,560.5172
2005-01-13,560.5172,582.9379,560.5172,564.7210
2005-01-14,568.9249,578.4537,566.1223,568.9249
2005-01-18,566.1223,575.3709,557.9948,567.5236
2005-01-19,563.3198,565.2816,542.5806,543.7017
2005-01-20,540.3385,554.3515,477.0001,511.4719
2005-01-21,496.8985,525.2046,496.8985,510.3509
2005-01-24,514.2745,514.3025,482.0448,484.0346
2005-01-25,479.2422,502.5036,478.9619,501.6629
2005-01-26,504.4654,532.4913,498.0195,523.2428
2005-01-27,537.2557,539.4978,517.0771,539.4978
2005-01-28,543.1411,549.3068,526.8861,540.0583
2005-01-31,551.5209,584.6194,551.5209,582.9379
2005-02-01,582.9379,630.5818,582.9379,620.7728
2005-02-02,647.3973,647.3973,606.7598,616.5689
2005-02-03,602.8362,626.6582,588.8233,623.8556
2005-02-04,650.1999,652.1617,629.1805,638.9896
2005-02-07,637.5883,641.2316,586.8615,610.4032
2005-02-08,588.5430,596.3903,560.7974,588.8233
2005-02-09,595.5495,621.0530,587.9825,609.5624
2005-02-10,630.3016,631.9831,584.8997,591.3456
2005-02-11,587.1417,593.3074,577.3327,587.4220
2005-02-14,598.9126,613.4860,590.2246,601.7152
2005-02-15,604.2375,604.2375,579.5747,592.7469
2005-02-16,576.2116,595.5495,576.2116,590.7851
2005-02-17,582.6576,582.6576,566.1223,566.1223
2005-02-18,566.1223,594.4285,566.1223,571.7275
2005-02-22,593.8679,593.8679,574.5301,588.5430
2005-02-23,591.3456,613.7663,588.5430,613.7663
2005-02-24,565.8421,565.8421,510.9114,515.9561
2005-02-25,518.4784,546.5042,514.8350,532.4913
2005-02-28,539.4978,539.4978,504.4654,507.8286
2005-03-01,539.4978,539.4978,505.3062,513.4337
2005-03-02,532.2110,539.4978,510.0706,524.3638
2005-03-03,535.2939,545.1029,529.7167,534.1729
2005-03-04,547.9055,547.9055,507.8005,525.7651
2005-03-07,524.0835,545.1029,518.7586,531.9308
2005-03-08,525.4848,529.1282,503.0642,504.4654
2005-03-09,504.4654,518.4784,484.2868,497.4590
2005-03-10,488.2105,516.7968,470.8344,483.4461
2005-03-11,477.8409,487.9302,475.0383,479.2422
2005-03-14,477.8409,489.0512,477.8409,485.9684
2005-03-15,489.0512,496.6182,485.9684,491.0130
2005-03-16,493.9558,495.4972,469.9936,475.5988
2005-03-17,476.4396,485.9684,472.2357,477.8409
2005-03-18,477.8409,484.2868,475.0383,478.1211
2005-03-21,480.6435,480.6435,469.4331,472.2357
2005-03-22,472.2357,480.6435,468.0318,472.2357
2005-03-23,472.2357,481.7645,472.2357,481.7645
2005-03-24,484.8473,484.8473,477.5606,480.9237
2005-03-28,482.0448,504.7457,479.2422,493.5354
2005-03-29,493.2551,493.2551,476.4396,479.2422
2005-03-30,475.0383,487.6499,475.0383,487.6499
2005-03-31,487.6499,490.4525,461.3056,477.8409
2005-04-01,493.5354,493.5354,465.2292,469.7134
2005-04-04,469.7134,469.7134,439.1652,448.9742
2005-04-05,445.6111,445.6111,410.5788,420.1076
2005-04-06,409.7380,443.0888,407.7762,431.0377
2005-04-07,421.5089,482.6053,421.5089,461.5859
2005-04-08,475.0383,477.5606,460.4649,465.2292
2005-04-11,467.7516,490.4525,465.5095,471.7032
2005-04-12,490.4525,494.0679,474.1975,475.5988
2005-04-13,470.8344,479.5224,470.8344,475.0383
2005-04-14,486.2486,490.1723,477.8409,482.0448
2005-04-15,480.3632,482.2129,475.0383,475.3186
2005-04-18,483.4461,494.6564,476.4396,491.0130
2005-04-19,490.7328,493.2551,486.2486,490.1723
2005-04-20,496.0577,496.0577,484.8473,490.4525
2005-04-21,491.8538,504.4654,491.8538,500.5418
2005-04-22,499.9813,501.9431,493.2551,498.8603
2005-04-25,496.0577,517.0771,496.0577,506.1470
2005-04-26,507.2680,521.2810,507.2680,509.2298
2005-04-27,515.6758,519.5994,507.2680,507.2680
2005-04-28,521.8415,521.8415,492.6946,506.9878
2005-04-29,509.5101,515.6758,504.4654,512.8732
2005-05-02,512.8732,537.5360,512.8732,532.4913
2005-05-03,535.0136,536.6952,527.4467,533.3321
2005-05-04,535.2939,539.4978,528.2874,539.4978
2005-05-05,543.4214,582.9379,536.6952,564.1605
2005-05-06,554.9120,650.1999,554.9120,630.8621
2005-05-09,644.5947,644.5947,602.5560,615.1676
2005-05-10,614.3268,616.5689,591.3456,610.9637
2005-05-11,607.8809,607.8809,581.5366,587.7022
2005-05-12,574.5301,575.0906,542.3004,543.4214
2005-05-13,547.0648,574.2498,545.3832,560.2369
2005-05-16,566.4026,574.2498,541.7398,542.0201
2005-05-17,544.8227,559.9566,528.5677,538.0965
