DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-03-23,2.3100,2.5886,2.1000,2.1500,0.039,
2021-03-24,2.5700,2.5700,1.5500,1.7100,0.140,
2021-03-25,1.5500,2.0000,1.5200,1.8502,0.121,
2021-03-26,1.9500,1.9500,1.7500,1.7880,0.055,
2021-03-29,1.7800,1.7900,1.6600,1.6900,0.051,
2021-03-30,1.6600,1.9300,1.5200,1.6000,0.085,
2021-03-31,1.7000,2.0000,1.7000,1.9100,0.225,
2021-04-01,2.0000,2.4500,1.7499,2.3900,0.232,
2021-04-05,2.4800,2.5900,2.1200,2.4600,0.138,
2021-04-06,2.4500,2.4500,2.1000,2.1400,0.077,
2021-04-07,2.1500,2.1500,1.8600,1.8700,0.105,
2021-04-08,2.0000,2.0000,1.6800,1.8500,0.127,
2021-04-09,1.9900,1.9900,1.6800,1.7000,0.194,
2021-04-12,2.4000,2.4000,1.5700,1.6000,0.156,
2021-04-13,1.7900,1.7900,0.9000,1.2000,0.551,
2021-04-14,1.3500,1.6900,1.1600,1.2900,0.446,
2021-04-15,1.2000,1.2900,1.1100,1.2000,0.128,
2021-04-16,1.1300,1.2000,1.0200,1.1500,0.156,
2021-04-19,1.1755,1.1900,1.0500,1.1300,0.339,
2021-04-20,1.0500,1.1300,0.9000,0.9800,0.287,
2021-04-21,0.9200,1.2500,0.9200,1.1900,0.181,
2021-04-22,1.1000,1.4800,1.1000,1.4300,0.073,
2021-04-23,1.6000,1.6000,1.3000,1.5000,0.135,
2021-04-26,1.5300,1.6600,1.4600,1.6000,0.117,
2021-04-27,1.5000,1.6900,1.4800,1.6300,0.227,
2021-04-28,1.6400,1.8900,1.6286,1.7300,0.256,
2021-04-29,1.9000,1.9300,1.6700,1.6900,0.182,
2021-04-30,1.7400,1.7400,1.5100,1.5400,0.088,
2021-05-03,1.5100,1.5400,1.4100,1.4800,0.028,
2021-05-04,1.1600,1.5000,1.1600,1.4200,0.066,
2021-05-05,1.6900,1.6900,1.3000,1.4300,0.070,
2021-05-06,1.4400,1.4500,1.2500,1.3600,0.101,
2021-05-07,1.4500,1.4500,1.3000,1.3107,0.039,
2021-05-10,1.3750,1.3750,1.1100,1.1600,0.049,
2021-05-11,1.1700,1.3300,1.1000,1.2000,0.108,
2021-05-12,1.1900,1.2100,1.0220,1.0450,0.089,
2021-05-13,1.0500,1.1100,0.9600,0.9800,0.290,
2021-05-14,1.0900,1.3000,1.0200,1.1200,0.211,
2021-05-17,1.2800,1.8800,1.1200,1.6100,0.701,
