DATE,OPEN,HIGH,LOW,CLOSE
2007-12-28,16.1486,16.2731,15.9213,15.9484
2007-12-31,15.8780,16.2893,15.7806,15.9646
2008-01-02,15.9213,16.0187,15.6669,15.7102
2008-01-03,15.7211,15.9808,15.4396,15.4396
2008-01-04,15.3314,15.6940,15.2881,15.3964
2008-01-07,15.4396,15.7481,15.4396,15.7156
2008-01-08,15.7589,15.8131,15.4992,15.5262
2008-01-09,15.4884,15.7319,15.3422,15.7319
2008-01-10,15.6182,15.9646,15.4072,15.8618
2008-01-11,15.7698,15.8293,15.6291,15.6291
2008-01-14,15.7481,15.8996,15.5208,15.5749
2008-01-15,15.4451,15.6236,15.4288,15.5316
2008-01-16,15.5425,15.8022,15.5425,15.6399
2008-01-17,15.7211,15.8185,15.4505,15.5641
2008-01-18,15.5587,15.7265,15.2015,15.3693
2008-01-22,14.9147,15.1528,14.6820,14.8498
2008-01-23,14.5630,15.1420,14.5359,15.0987
2008-01-24,15.1582,15.3747,14.9851,15.1041
2008-01-25,15.2935,15.2935,14.9959,15.0662
2008-01-28,15.0229,15.4288,14.8877,15.3477
2008-01-29,15.3585,15.4288,15.2719,15.3206
2008-01-30,15.2557,15.4721,15.1961,15.3368
2008-01-31,15.1907,15.6886,15.1528,15.6399
2008-02-01,15.6724,15.7481,15.5154,15.6940
2008-02-04,15.6345,15.9375,15.4180,15.8672
2008-02-05,15.5804,15.7752,15.4992,15.5262
2008-02-06,15.6236,15.7481,15.4884,15.6778
2008-02-07,15.6182,15.7373,15.4829,15.7373
2008-02-08,16.0728,16.0728,15.5425,15.6886
2008-02-11,15.7319,15.7319,15.2232,15.2935
2008-02-12,15.3152,15.3152,15.1582,15.1853
2008-02-13,15.3152,15.6291,14.9905,15.0987
2008-02-14,15.1528,15.2340,14.8281,14.8389
2008-02-15,14.8281,15.0175,14.7740,14.9039
2008-02-19,15.0717,15.1095,14.8768,14.8931
2008-02-20,14.8173,15.2015,14.8011,14.9905
2008-02-21,15.1041,15.2557,14.8173,14.8444
2008-02-22,14.8389,15.1041,14.7740,14.9851
2008-02-25,15.0229,15.0338,14.8065,14.9959
2008-02-26,15.0067,15.1474,14.7740,14.8877
2008-02-27,14.7794,14.9797,14.4493,14.4493
2008-02-28,14.4601,14.7469,14.1733,14.2328
2008-02-29,14.1733,14.3573,13.8919,13.9568
2008-03-03,13.9406,14.0597,13.6321,13.7079
2008-03-04,13.6917,13.8973,13.6267,13.8811
2008-03-05,13.9460,14.2220,13.7566,13.8540
2008-03-06,13.7837,14.1300,13.7620,13.7945
2008-03-07,13.6159,13.8811,13.6159,13.8270
2008-03-10,13.8757,13.8757,13.6267,13.6375
2008-03-11,14.0110,14.2491,13.5834,13.7945
2008-03-12,13.9984,14.3219,13.7023,13.7187
2008-03-13,13.5871,13.9106,13.5871,13.9106
2008-03-14,14.0038,14.2396,13.5707,13.6858
2008-03-17,13.5762,13.6255,13.2801,13.2856
2008-03-18,13.6036,13.6365,13.2801,13.5268
2008-03-19,13.6310,13.7352,13.2801,13.2801
2008-03-20,13.4172,13.4172,13.1814,13.3020
2008-03-24,13.3623,13.4884,13.2088,13.4446
2008-03-25,13.4720,13.6310,13.3185,13.5268
2008-03-26,13.4610,13.5049,13.3075,13.4939
2008-03-27,13.5378,13.6639,13.4665,13.5981
2008-03-28,13.5871,13.6529,13.2746,13.3897
2008-03-31,13.4336,13.4446,13.2801,13.3623
2008-04-01,13.4775,13.7900,13.4555,13.7242
2008-04-02,13.7297,14.0587,13.6365,14.0422
2008-04-03,14.0038,14.1519,13.9216,14.0422
2008-04-04,14.0806,14.1519,13.7955,13.9326
2008-04-07,14.0038,14.2835,13.8722,14.1409
2008-04-08,14.0148,14.2177,13.1923,14.1025
2008-04-09,14.1574,14.1574,13.9709,14.0806
2008-04-10,14.1025,14.2341,14.0093,14.1245
2008-04-11,14.0148,14.1300,13.9600,14.0642
2008-04-14,14.0313,14.1300,13.9380,13.9490
2008-04-15,14.0148,14.1903,13.9051,14.1903
2008-04-16,14.2999,14.3109,14.1464,14.2780
2008-04-17,14.2286,14.2341,14.0642,14.1958
2008-04-18,14.2341,14.3273,14.0038,14.2122
2008-04-21,14.1135,14.1629,13.8942,13.9929
2008-04-22,13.9106,14.1300,13.6091,13.7900
2008-04-23,13.8558,13.9929,13.7955,13.9764
2008-04-24,14.0587,14.1574,13.9216,14.0642
2008-04-25,14.1354,14.1354,13.7955,13.8832
2008-04-28,13.8229,14.0038,13.8229,13.9051
2008-04-29,13.9216,14.0477,13.7297,13.7626
2008-04-30,13.8339,14.1354,13.4884,13.6091
2008-05-01,13.7078,13.8942,13.5268,13.5981
2008-05-02,13.5981,13.6474,13.3733,13.5378
2008-05-05,13.3185,13.6529,13.2198,13.6529
2008-05-06,13.5981,13.7078,13.4884,13.6858
2008-05-07,13.7023,13.7078,13.5652,13.6091
2008-05-08,13.5487,13.6803,13.3294,13.5268
2008-05-09,13.0443,13.2691,13.0004,13.0388
2008-05-12,13.1265,13.2636,13.0772,13.2088
2008-05-13,13.1320,13.5816,13.0772,13.5487
2008-05-14,13.5104,13.7790,13.4446,13.5158
2008-05-15,13.6091,13.6091,13.3952,13.4007
2008-05-16,13.3897,13.4336,13.1594,13.2362
2008-05-19,13.2527,13.4007,13.1704,13.4007
2008-05-20,13.3788,14.2396,13.3294,13.7516
2008-05-21,13.7516,13.9600,13.7023,13.8448
2008-05-22,13.8668,14.1409,13.7242,14.0148
2008-05-23,13.9216,14.5576,13.8558,14.2725
2008-05-27,14.2725,14.3822,14.1848,14.2286
2008-05-28,14.2670,14.3493,14.2506,14.2835
2008-05-29,14.2561,14.5960,14.2341,14.5138
2008-05-30,14.5028,14.6234,14.4589,14.5357
2008-06-02,14.4809,14.5302,14.2561,14.4864
2008-06-03,14.5467,14.5631,14.2506,14.3383
2008-06-04,14.2835,14.4864,14.2561,14.4754
2008-06-05,14.4864,14.6892,14.4315,14.5247
2008-06-06,14.3877,14.4864,14.2561,14.2561
2008-06-09,14.2670,14.4370,14.2012,14.3931
2008-06-10,14.3931,14.6783,14.3383,14.6508
2008-06-11,14.7063,14.7396,14.5564,14.6563
2008-06-12,14.7674,14.7896,14.6563,14.6952
2008-06-13,14.8340,14.8784,14.6563,14.7951
2008-06-16,14.7951,14.7951,14.6119,14.7896
2008-06-17,14.7507,14.7674,14.6341,14.7396
2008-06-18,14.7118,14.7896,14.6452,14.7174
2008-06-19,14.7174,14.7563,14.6286,14.7118
2008-06-20,14.6730,14.6952,14.5175,14.6008
2008-06-23,14.7563,14.8506,14.6730,14.6952
2008-06-24,14.5675,14.6175,14.3565,14.3565
2008-06-25,14.3565,14.5120,14.2178,14.4898
2008-06-26,14.2122,14.4898,14.2122,14.2899
2008-06-27,14.3565,14.3565,14.0234,14.0234
2008-06-30,14.0234,14.2344,14.0123,14.1123
2008-07-01,14.0068,14.1511,13.9957,14.1400
2008-07-02,14.1012,14.1289,13.8902,13.9402
2008-07-03,13.9846,13.9846,13.6515,13.6848
2008-07-07,13.7014,13.7403,13.3128,13.4572
2008-07-08,13.5293,13.7403,13.5071,13.7292
2008-07-09,13.7903,14.0457,13.7903,13.9402
2008-07-10,13.9291,13.9568,13.8236,13.8791
2008-07-11,13.8236,13.9568,13.7903,13.8791
2008-07-14,13.9568,13.9901,13.6903,13.8180
2008-07-15,13.6792,13.8236,13.5460,13.5571
2008-07-16,13.6293,13.6792,13.4516,13.5238
2008-07-17,13.5238,13.6293,13.4405,13.6015
2008-07-18,13.5460,13.7348,13.4350,13.5849
2008-07-21,13.6626,13.7792,13.5793,13.7681
2008-07-22,13.9013,13.9402,13.7736,13.8180
2008-07-23,13.8014,13.8791,13.7014,13.7348
2008-07-24,13.8236,13.8236,13.5904,13.5904
2008-07-25,13.7126,13.7126,13.5016,13.5238
2008-07-28,13.4516,13.4794,13.2018,13.2462
2008-07-29,13.3184,13.5349,13.3184,13.3906
2008-07-30,13.5349,13.6737,13.3850,13.4627
2008-07-31,15.8222,15.8222,13.4905,13.7514
2008-08-01,13.7514,13.8347,13.4627,13.5293
2008-08-04,13.4905,13.5738,13.2296,13.4072
2008-08-05,13.5238,13.5405,13.3073,13.3795
2008-08-06,13.3850,13.4239,13.2462,13.3350
2008-08-07,13.2906,13.3739,13.1518,13.1796
2008-08-08,13.2129,13.4183,13.2129,13.3517
2008-08-11,13.3461,13.5405,13.3017,13.5405
2008-08-12,13.5460,13.5460,13.4072,13.4849
2008-08-13,13.4960,13.6348,13.4350,13.6126
2008-08-14,13.8736,13.8736,13.4905,13.7681
2008-08-15,13.9402,14.2566,13.8624,14.1234
2008-08-18,14.2122,14.2677,14.0845,14.1622
2008-08-19,14.1178,14.1178,14.0068,14.0623
2008-08-20,14.1067,14.1178,13.9180,13.9846
2008-08-21,13.9402,14.0345,13.8680,13.8791
2008-08-22,13.8791,13.9790,13.8624,13.9624
2008-08-25,13.9513,13.9624,13.8513,13.9235
2008-08-26,13.9124,14.1012,13.8847,14.0345
2008-08-27,14.0679,14.4121,14.0345,14.3066
2008-08-28,14.3676,14.5120,14.2233,14.5120
2008-08-29,14.4953,14.6508,14.4620,14.6008
2008-09-02,14.7341,14.8173,14.4065,14.5286
2008-09-03,14.1844,14.5897,14.1844,14.4343
2008-09-04,14.3565,14.4065,14.1844,14.2344
2008-09-05,14.2233,14.2344,13.9235,14.0790
2008-09-08,14.1511,14.4565,14.1511,14.3899
2008-09-09,14.2955,14.4953,14.1289,14.1622
2008-09-10,14.1844,14.3177,14.1234,14.1955
2008-09-11,14.2875,14.4955,13.9895,14.4787
2008-09-12,14.4618,14.7317,14.4168,14.6980
2008-09-15,14.6192,14.6923,14.3100,14.3606
2008-09-16,14.2706,14.5405,12.2521,14.5124
2008-09-17,14.3887,14.4000,13.8377,13.8377
2008-09-18,13.9501,14.3887,13.9501,14.3156
2008-09-19,14.5630,14.7879,14.4337,14.7429
2008-09-22,14.7767,14.9004,14.6024,14.6642
2008-09-23,14.7036,14.9285,14.5799,14.7036
2008-09-24,14.7092,14.7205,14.5068,14.6192
2008-09-25,14.6923,14.8723,14.6249,14.7036
2008-09-26,14.6249,14.8273,14.5686,14.6417
2008-09-29,14.5068,14.6530,13.9445,13.9445
2008-09-30,13.9951,14.1919,13.6409,14.1301
2008-10-01,14.0682,14.3325,13.9164,14.3325
2008-10-02,14.2257,14.2819,13.8264,13.9501
2008-10-03,14.1357,14.1357,13.6409,13.8152
2008-10-06,13.6915,13.8152,12.8649,13.2754
2008-10-07,13.3879,13.4947,12.3982,12.4151
2008-10-08,12.3364,12.4039,11.2175,11.4480
2008-10-09,11.5717,11.5717,10.2672,10.2672
2008-10-10,10.0873,10.7002,9.2607,10.5202
2008-10-13,10.7227,11.4086,10.7227,11.4086
2008-10-14,11.9034,11.9034,10.8801,11.2624
2008-10-15,11.1163,11.3018,10.7451,10.7733
2008-10-16,10.6833,11.6111,10.5708,11.6111
2008-10-17,11.2456,11.8303,11.0600,11.2906
2008-10-20,11.3468,12.1846,11.3412,12.1733
2008-10-21,12.0553,12.0553,11.5492,11.5998
2008-10-22,11.3299,11.3805,10.1379,10.4696
2008-10-23,10.4753,10.8295,9.9411,10.4696
2008-10-24,9.8005,10.3516,9.8005,10.0029
2008-10-27,9.8961,10.0423,9.5644,9.6937
2008-10-28,9.9074,10.3797,9.7555,10.3628
2008-10-29,10.4640,10.6664,10.0254,10.0423
2008-10-30,10.0423,10.6383,9.9467,10.3572
2008-10-31,10.3572,11.1893,10.1491,10.9869
2008-11-03,11.7797,11.9990,10.8632,11.3468
2008-11-04,11.3468,11.6898,10.9082,11.0150
2008-11-05,10.9757,11.1950,10.9082,11.0038
2008-11-06,11.1556,11.1781,10.9026,10.9644
2008-11-07,11.0713,11.3074,10.9869,11.3074
2008-11-10,11.5436,11.6392,10.7508,10.8970
2008-11-11,10.7564,11.2849,10.6158,10.8913
2008-11-12,10.7170,10.8745,10.4190,10.4696
2008-11-13,10.4921,11.2737,10.1041,11.2737
2008-11-14,11.1275,11.2287,10.6102,10.9138
2008-11-17,10.8295,11.3918,10.7114,11.0938
2008-11-18,11.0656,11.5211,10.9532,11.2400
2008-11-19,11.1893,11.4930,11.0375,11.1050
2008-11-20,10.9926,11.1500,10.0423,10.1379
2008-11-21,10.2841,10.3066,9.5700,10.3009
2008-11-24,10.2110,11.0544,10.2110,10.8182
2008-11-25,11.0432,11.1219,10.3347,10.8745
2008-11-26,10.8857,11.3861,10.6383,11.2793
2008-11-28,11.2456,11.6167,11.0909,11.6167
2008-12-01,11.3918,11.5267,11.1331,11.1612
2008-12-02,11.3299,11.6842,10.9638,11.3074
2008-12-03,11.1050,11.6223,11.0769,11.5942
2008-12-04,11.5661,11.8303,11.1781,11.3805
2008-12-05,11.2624,11.6167,10.8351,11.5942
2008-12-08,11.9428,12.6344,11.4817,11.7797
2008-12-09,11.7066,12.0946,11.5436,11.6842
2008-12-10,11.7404,12.1396,11.7348,11.8810
2008-12-11,11.9287,12.1801,11.5402,11.7516
2008-12-12,11.5231,12.2886,11.4203,12.1515
2008-12-15,12.2144,12.3001,11.5460,11.7802
2008-12-16,11.9630,12.4943,11.9630,12.4715
2008-12-17,12.3229,12.4543,12.1572,12.3515
2008-12-18,12.2658,12.7571,12.1801,12.6314
2008-12-19,12.9742,13.0656,12.5971,12.6543
2008-12-22,12.6943,12.7685,12.4315,12.7685
2008-12-23,12.7628,12.8542,12.3458,12.4086
2008-12-24,12.3572,12.5057,12.2886,12.3344
2008-12-26,12.3915,12.7571,12.3743,12.7571
2008-12-29,12.7171,12.7971,12.5743,12.7000
2008-12-30,12.8371,13.0770,12.7857,13.0656
2008-12-31,13.1399,13.5112,13.0256,13.4084
2009-01-02,13.4541,13.5055,13.2427,13.4141
2009-01-05,13.3855,13.5969,13.2713,13.4998
2009-01-06,13.5741,13.6429,13.2256,13.4027
2009-01-07,13.2084,13.3513,12.9571,13.1170
2009-01-08,13.1342,13.1342,12.5857,12.7114
2009-01-09,12.7400,12.8085,12.4029,12.5800
2009-01-12,12.5457,12.9399,12.4715,12.8542
2009-01-13,12.8714,12.9628,12.7057,12.8885
2009-01-14,12.8999,13.0228,12.6543,12.9057
2009-01-15,12.8714,13.1970,12.6200,13.1570
2009-01-16,13.3056,13.6483,13.3056,13.5569
2009-01-20,13.4255,13.6141,13.1856,13.2142
2009-01-21,13.3970,13.6483,13.1970,13.5741
2009-01-22,13.2827,13.7569,13.2827,13.6026
2009-01-23,13.4255,13.7112,13.2656,13.6712
2009-01-26,13.6541,13.8254,13.5284,13.7283
2009-01-27,13.7112,13.8540,13.6198,13.7855
2009-01-28,13.8826,14.0483,13.7855,13.9968
