DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2001-08-09,8.7100,9.2100,8.7100,8.7600,0.078,
2001-08-10,8.9000,8.9000,8.1500,8.4600,0.158,
2001-08-13,8.5400,8.5400,8.3600,8.4000,0.022,
2001-08-14,8.4000,8.5000,8.3000,8.5000,0.068,
2001-08-15,8.4900,8.4900,8.2100,8.3000,0.046,
2001-08-16,8.3500,8.4500,8.1500,8.4500,0.050,
2001-08-17,8.4700,8.7000,8.3400,8.3500,0.337,
2001-08-20,8.3500,8.6000,8.3500,8.5000,0.358,
2001-08-21,8.4850,8.4850,8.1600,8.2000,0.100,
2001-08-22,8.2500,8.3600,8.1500,8.3000,0.512,
2001-08-23,8.3000,8.3000,8.1500,8.2200,0.030,
2001-08-24,8.3500,8.3500,8.1500,8.2200,0.029,
2001-08-27,8.1500,8.3500,8.1500,8.2000,0.019,
2001-08-28,8.1500,8.2200,8.1500,8.1900,0.048,
2001-08-29,8.2200,8.2700,8.1600,8.2700,0.029,
2001-08-30,8.5300,8.5300,7.9200,8.5300,0.186,
2001-08-31,8.0800,9.3300,8.0800,9.1800,0.077,
2001-09-04,9.1000,9.1000,8.3000,8.5710,0.336,
2001-09-05,8.4000,9.8100,8.3500,9.1910,0.136,
2001-09-06,9.3350,9.7000,9.1500,9.7000,0.025,
2001-09-07,9.4500,10.4000,9.1500,9.6700,0.119,
2001-09-10,9.9000,9.9000,9.4500,9.6400,0.155,
2001-09-17,9.5600,9.8500,8.9500,9.2200,0.345,
2001-09-18,9.5000,9.5000,7.6500,8.5000,0.014,
2001-09-19,8.6000,8.6000,8.0500,8.1500,0.138,
2001-09-20,8.1500,8.1500,6.7500,6.8800,0.078,
2001-09-21,7.0000,7.0000,5.4200,5.6000,0.288,
2001-09-24,5.6500,6.1500,5.6000,5.9500,0.522,
2001-09-25,6.1900,6.4000,6.0500,6.1900,0.046,
2001-09-26,6.1850,6.2000,5.9000,6.0000,0.078,
2001-09-27,6.1000,6.1000,5.9500,6.1000,0.016,
2001-09-28,6.2000,7.5500,6.2000,7.5000,0.040,
2001-10-01,7.4000,7.4000,6.9500,7.3000,0.015,
2001-10-02,7.0300,7.5000,7.0300,7.5000,0.005,
2001-10-03,7.8200,7.8200,7.3500,7.7000,0.162,
2001-10-04,8.4500,8.4500,7.7800,8.1000,0.008,
2001-10-05,8.3000,8.3000,7.8000,8.1000,0.122,
2001-10-08,8.3000,8.3000,8.0400,8.2500,0.001,
2001-10-09,8.2500,9.0500,8.2500,9.0400,0.038,
2001-10-10,9.0700,9.1000,8.9900,9.0300,0.047,
2001-10-11,9.0700,9.0700,8.6500,8.8600,0.025,
2001-10-12,8.9000,9.1700,8.7000,8.8600,0.007,
2001-10-15,9.0000,9.1000,8.2200,8.2200,0.004,
2001-10-16,8.6500,8.6500,7.8000,7.9200,0.026,
2001-10-17,8.1000,8.1000,7.9100,8.0200,0.011,
2001-10-18,8.1000,8.1500,7.7500,8.0000,0.027,
2001-10-19,8.0900,8.1300,7.9500,7.9500,0.008,
2001-10-22,8.1500,8.1700,8.0500,8.0500,0.025,
2001-10-23,8.0000,8.1500,8.0000,8.0600,0.019,
2001-10-24,8.1500,8.1900,7.8000,8.0200,0.024,8.137
2001-10-25,8.0050,8.1100,7.9000,8.0300,0.026,8.123
2001-10-26,8.0000,8.1000,7.9000,8.1000,0.002,8.116
2001-10-29,8.1200,8.2300,7.9000,8.1200,0.023,8.110
2001-10-30,8.3500,8.3500,7.9900,8.0500,0.005,8.101
2001-10-31,8.3000,8.3000,7.9500,7.9500,0.013,8.094
2001-11-01,8.1500,8.2500,7.8500,8.0000,0.030,8.085
2001-11-02,8.1300,8.3800,7.8600,7.8600,0.013,8.075
2001-11-05,8.3000,8.3000,7.9500,8.0800,0.010,8.067
2001-11-06,8.1300,8.1300,7.9000,7.9000,0.010,8.061
2001-11-07,8.1000,8.1500,7.8800,8.0400,0.005,8.056
2001-11-08,8.0400,8.1100,8.0000,8.0300,0.009,8.052
2001-11-09,7.9400,8.0500,7.8500,8.0000,0.007,8.047
2001-11-12,7.9000,8.4000,7.9000,8.3800,0.035,8.051
2001-11-13,8.3800,8.4800,7.9000,8.0000,0.010,8.047
2001-11-14,8.2000,8.3000,8.1000,8.2500,0.008,8.047
2001-11-15,8.1500,8.3400,8.1000,8.1000,0.001,8.038
2001-11-16,8.1500,8.1500,7.8500,7.8500,0.003,8.012
2001-11-19,8.2700,8.8800,8.1200,8.8000,0.053,8.016
2001-11-20,8.8300,8.8800,8.5000,8.5000,0.022,8.002
2001-11-21,8.6500,8.6500,7.7000,7.7000,0.010,7.962
2001-11-23,8.4000,8.4000,7.6500,7.8000,0.015,7.925
2001-11-26,7.6800,8.1500,7.6800,8.1500,0.077,7.895
2001-11-27,8.1500,8.5000,7.9000,7.9000,0.054,7.869
2001-11-28,8.2000,8.2000,7.8000,8.1800,0.008,7.862
2001-11-29,8.2900,8.6000,8.2900,8.6000,0.009,7.871
2001-11-30,8.5000,8.9400,8.4200,8.7700,0.017,7.909
2001-12-03,8.9900,8.9900,8.6400,8.7000,0.037,7.971
2001-12-04,8.7150,9.6700,8.7150,9.3000,0.256,8.038
2001-12-05,9.3500,10.5000,9.3000,10.5000,0.031,8.124
2001-12-06,10.5000,10.5000,9.9000,10.1000,0.097,8.206
2001-12-07,10.1500,10.2600,9.4200,9.5400,0.070,8.275
2001-12-10,9.5100,9.8000,9.2000,9.3000,0.019,8.311
2001-12-11,9.3500,9.5500,9.1000,9.1000,0.032,8.347
2001-12-12,9.1000,9.2500,8.3100,8.3100,0.054,8.363
2001-12-13,8.3600,8.4900,8.1900,8.2000,0.015,8.373
2001-12-14,8.3400,8.3400,7.7000,8.0000,0.040,8.371
2001-12-17,8.0600,8.1200,7.6400,7.7200,0.025,8.364
2001-12-18,7.8000,7.8300,7.0700,7.6500,0.102,8.352
2001-12-19,7.5000,7.7000,7.3100,7.5000,0.152,8.321
2001-12-20,7.3000,7.8900,7.3000,7.6500,0.105,8.293
2001-12-21,7.8900,7.8900,7.6000,7.6000,0.005,8.268
2001-12-24,7.6000,7.6000,7.6000,7.6000,0.000,8.243
2001-12-26,7.8500,8.7000,7.8500,8.7000,0.035,8.253
2001-12-27,8.7000,8.8000,7.9200,8.1100,0.012,8.256
2001-12-28,8.3350,8.8600,8.1200,8.8500,0.050,8.273
2001-12-31,8.9100,9.2300,8.9000,8.9000,0.035,8.291
2002-01-02,9.0000,9.3000,8.8000,9.0500,0.066,8.313
2002-01-03,9.2000,9.2000,8.8500,8.8500,0.053,8.329
2002-01-04,9.1000,9.1000,7.9000,7.9000,0.017,8.326
2002-01-07,7.9000,8.2500,7.9000,8.1000,0.013,8.327
2002-01-08,8.0000,8.2500,8.0000,8.2500,0.011,8.332
2002-01-09,8.2500,8.6000,8.2350,8.5000,0.029,8.340
2002-01-10,8.2100,8.2100,8.2100,8.2100,0.000,8.342
2002-01-11,8.5000,8.8000,8.4400,8.7100,0.015,8.355
2002-01-14,8.3000,9.2000,8.3000,8.8000,0.019,8.372
2002-01-15,8.6000,8.9500,8.3900,8.3900,0.009,8.380
2002-01-16,8.3200,8.3200,8.0700,8.0700,0.010,8.384
2002-01-17,8.1500,8.3000,7.7500,8.1100,0.029,8.384
2002-01-18,8.1100,8.1100,7.4900,7.4900,0.047,8.376
2002-01-22,7.7000,8.0400,7.5000,7.8000,0.016,8.371
2002-01-23,7.6000,7.6000,7.2700,7.6000,0.004,8.363
