DATE,OPEN,HIGH,LOW,CLOSE
1996-02-09,5.2185,5.2185,5.2185,5.2185
1996-02-12,5.4330,5.4516,5.4330,5.4516
1996-02-13,5.4516,5.4516,5.4516,5.4516
1996-02-14,5.5045,5.5045,5.5045,5.5045
1996-02-15,5.5045,5.5045,5.5045,5.5045
1996-02-16,5.5045,5.5045,5.5045,5.5045
1996-02-20,5.5045,5.5045,5.5045,5.5045
1996-02-21,5.5045,5.5045,5.5045,5.5045
1996-02-22,5.5045,5.5045,5.5045,5.5045
1996-02-23,5.5045,5.5045,5.5045,5.5045
1996-02-26,5.5045,5.5045,5.5045,5.5045
1996-02-27,5.5045,5.5045,5.5045,5.5045
1996-02-28,5.5045,5.5045,5.5045,5.5045
1996-02-29,5.5045,5.5045,5.5045,5.5045
1996-03-01,5.5045,5.5045,5.5045,5.5045
1996-03-04,5.5045,5.5045,5.5045,5.5045
1996-03-05,5.5045,5.5045,5.5045,5.5045
1996-03-06,5.5045,5.5045,5.5045,5.5045
1996-03-07,5.5045,5.5045,5.5045,5.5045
1996-03-08,5.5045,5.5045,5.5045,5.5045
1996-03-11,5.5045,5.5045,5.5045,5.5045
1996-03-12,5.5045,5.5045,5.5045,5.5045
1996-03-13,5.5045,5.5045,5.5045,5.5045
1996-03-14,5.5045,5.5045,5.5045,5.5045
1996-03-15,5.5045,5.5045,5.5045,5.5045
1996-03-18,5.7189,5.7189,5.7189,5.7189
1996-03-19,5.7189,5.7189,5.7189,5.7189
1996-03-20,5.7189,5.7189,5.7189,5.7189
1996-03-21,5.7189,5.7189,5.7189,5.7189
1996-03-22,6.1478,6.1478,6.1478,6.1478
1996-03-25,6.1478,6.1478,6.1478,6.1478
1996-03-26,6.1478,6.1478,6.1478,6.1478
1996-03-27,6.1478,6.1478,6.1478,6.1478
1996-03-28,6.1478,6.1478,6.1478,6.1478
1996-03-29,6.1478,6.1478,6.1478,6.1478
1996-04-01,6.1478,6.1478,6.1478,6.1478
1996-04-02,6.1478,6.1478,6.1478,6.1478
1996-04-03,6.1478,6.1478,6.1478,6.1478
1996-04-04,6.1478,6.1478,6.1478,6.1478
1996-04-08,6.1478,6.1478,6.1478,6.1478
1996-04-09,6.1478,6.1478,6.1478,6.1478
1996-04-10,5.7189,5.7189,5.7189,5.7189
1996-04-11,5.7189,5.7189,5.7189,5.7189
1996-04-12,5.7189,5.7189,5.7189,5.7189
1996-04-15,5.7189,5.7189,5.7189,5.7189
1996-04-16,6.0049,6.0049,6.0049,6.0049
1996-04-17,6.0049,6.0049,6.0049,6.0049
1996-04-18,6.0049,6.0049,6.0049,6.0049
1996-04-19,6.0049,6.0049,6.0049,6.0049
1996-04-22,6.0049,6.0049,6.0049,6.0049
1996-04-23,6.0406,6.0406,6.0406,6.0406
1996-04-24,6.0406,6.0406,6.0406,6.0406
1996-04-25,6.0406,6.0406,6.0406,6.0406
1996-04-26,6.0406,6.0406,6.0406,6.0406
1996-04-29,6.0406,6.0406,6.0406,6.0406
1996-04-30,6.0406,6.0406,6.0406,6.0406
1996-05-01,6.0406,6.0406,6.0406,6.0406
1996-05-02,6.0406,6.0406,6.0406,6.0406
1996-05-03,6.0406,6.0406,6.0406,6.0406
1996-05-06,6.0406,6.0406,6.0406,6.0406
1996-05-07,6.0406,6.0406,6.0406,6.0406
