DATE,OPEN,HIGH,LOW,CLOSE
1992-10-28,1.5350,1.5555,1.4531,1.4531
1992-10-29,1.4531,1.5145,1.4531,1.4736
1992-10-30,1.4531,1.4941,1.4327,1.4327
1992-11-02,1.4327,1.4531,1.3713,1.3713
1992-11-03,1.3713,1.4122,1.3713,1.3917
1992-11-04,1.4024,1.4327,1.3713,1.4122
1992-11-05,1.3917,1.4327,1.3917,1.4327
1992-11-06,1.4327,1.5350,1.3917,1.4736
1992-11-09,1.5145,1.5759,1.4941,1.5350
1992-11-10,1.5759,1.6578,1.5555,1.5964
1992-11-11,1.6578,1.7397,1.5964,1.6987
1992-11-12,1.6987,1.6987,1.6578,1.6783
1992-11-13,1.6578,1.6987,1.6578,1.6987
1992-11-16,1.6987,1.6987,1.5350,1.5964
1992-11-17,1.5964,1.6783,1.5350,1.6169
1992-11-18,1.6783,1.7192,1.6169,1.6783
1992-11-19,1.7601,1.7601,1.6578,1.6578
1992-11-20,1.6987,1.6987,1.6169,1.6783
1992-11-23,1.6987,1.6987,1.6578,1.6578
1992-11-24,1.7397,1.7601,1.6783,1.7192
1992-11-25,1.7192,1.7397,1.6783,1.7397
1992-11-27,1.7397,1.7397,1.6783,1.7397
1992-11-30,1.7397,1.7397,1.6783,1.7192
1992-12-01,1.7397,1.7913,1.7192,1.7913
1992-12-02,1.8011,1.8829,1.7397,1.8420
1992-12-03,1.8420,1.8829,1.8215,1.8420
1992-12-04,1.8829,1.8829,1.8215,1.8829
1992-12-07,1.8215,1.8829,1.8215,1.8215
1992-12-08,1.8829,1.9034,1.8215,1.9034
1992-12-09,1.9034,1.9239,1.8420,1.9239
1992-12-10,1.8625,1.9239,1.8625,1.9034
1992-12-11,1.8625,1.9034,1.8625,1.9034
1992-12-14,1.8625,1.9239,1.8625,1.9239
1992-12-15,1.9239,1.9239,1.8420,1.8420
1992-12-16,1.8420,1.9034,1.8420,1.8527
1992-12-17,1.9034,1.9239,1.8625,1.9239
1992-12-18,1.9443,2.0671,1.9034,2.0671
1992-12-21,2.0467,2.0671,1.9648,1.9853
1992-12-22,1.9648,2.0262,1.9239,1.9853
1992-12-23,1.9853,1.9853,1.9239,1.9853
1992-12-24,1.9853,2.0057,1.9239,2.0057
1992-12-28,2.0057,2.0467,1.9648,2.0467
1992-12-29,2.0057,2.0467,2.0057,2.0057
1992-12-30,2.0057,2.0876,2.0057,2.0467
1992-12-31,2.0057,2.0876,2.0057,2.0876
1993-01-04,2.0671,2.1490,2.0467,2.0876
1993-01-05,2.0876,2.1490,2.0262,2.0876
1993-01-06,2.0671,2.0876,1.9443,1.9853
1993-01-07,1.9239,1.9648,1.7192,1.7397
1993-01-08,1.7601,1.7601,1.6578,1.6987
1993-01-11,1.6987,1.7192,1.6578,1.7086
1993-01-12,1.7192,1.7397,1.6889,1.7192
1993-01-13,1.7397,1.7397,1.6987,1.6987
1993-01-14,1.7397,1.7397,1.6987,1.7397
1993-01-15,1.7397,1.7397,1.6987,1.7397
1993-01-18,1.7397,1.7397,1.6169,1.6783
1993-01-19,1.6783,1.6783,1.6169,1.6783
1993-01-20,1.6783,1.7192,1.5759,1.7086
1993-01-21,1.7192,1.7192,1.6578,1.7192
1993-01-22,1.7192,1.7192,1.6578,1.7192
1993-01-25,1.7192,1.7192,1.6578,1.6987
1993-01-26,1.7192,1.7192,1.6578,1.6783
1993-01-27,1.7192,1.7806,1.6578,1.7708
1993-01-28,1.8011,1.8625,1.7806,1.8420
1993-01-29,1.8420,1.8420,1.7806,1.8420
1993-02-01,1.8420,1.8420,1.7806,1.8420
1993-02-02,1.8625,1.8625,1.8011,1.8625
1993-02-03,1.8011,1.9034,1.8011,1.8928
1993-02-04,1.9034,1.9239,1.8829,1.9034
1993-02-05,1.8625,1.9034,1.8011,1.9034
1993-02-08,1.8625,1.9239,1.8420,1.8829
1993-02-09,1.8829,1.9443,1.8625,1.8829
1993-02-10,1.8829,1.9034,1.8625,1.9034
1993-02-11,1.9034,1.9443,1.8625,1.9034
1993-02-12,1.9034,1.9239,1.8625,1.8829
1993-02-16,1.9239,1.9239,1.5759,1.5964
1993-02-17,1.6783,1.6987,1.5964,1.6987
1993-02-18,1.7601,1.7601,1.6987,1.7086
1993-02-19,1.7601,1.7806,1.6987,1.7601
1993-02-22,1.6783,1.7397,1.6783,1.6783
1993-02-23,1.6783,1.6987,1.5759,1.6373
1993-02-24,1.5759,1.6373,1.5555,1.6169
1993-02-25,1.6578,1.6987,1.6373,1.6373
1993-02-26,1.6987,1.6987,1.6373,1.6578
1993-03-01,1.5964,1.6373,1.5964,1.5964
1993-03-02,1.5964,1.6578,1.5964,1.6578
1993-03-03,1.6783,1.7192,1.6373,1.7086
1993-03-04,1.7192,1.7192,1.6783,1.7086
1993-03-05,1.7192,1.7192,1.6578,1.6783
1993-03-08,1.6578,1.6987,1.6373,1.6783
1993-03-09,1.6783,1.6783,1.6373,1.6472
1993-03-10,1.6578,1.6578,1.5964,1.6472
1993-03-11,1.6783,1.6987,1.6373,1.6987
1993-03-12,1.6783,1.6783,1.6169,1.6373
1993-03-15,1.6169,1.6783,1.6169,1.6373
1993-03-16,1.6169,1.6578,1.5759,1.5759
1993-03-17,1.5759,1.6169,1.5555,1.5964
1993-03-18,1.5964,1.6169,1.5555,1.6169
1993-03-19,1.6578,1.7192,1.6373,1.6783
1993-03-22,1.6578,1.6987,1.6169,1.6169
1993-03-23,1.6578,1.6578,1.5964,1.5964
1993-03-24,1.6169,1.6169,1.5555,1.5759
1993-03-25,1.5759,1.6169,1.5555,1.6169
1993-03-26,1.6169,1.6169,1.5555,1.5555
1993-03-29,1.6169,1.6373,1.5555,1.6373
1993-03-30,1.6071,1.6373,1.5964,1.6373
1993-03-31,1.6578,1.6578,1.5964,1.5964
1993-04-01,1.6578,1.6578,1.5759,1.5964
1993-04-02,1.6373,1.6373,1.5555,1.5964
1993-04-05,1.5964,1.5964,1.5555,1.5555
1993-04-06,1.5964,1.5964,1.4736,1.4843
1993-04-07,1.4736,1.5145,1.2894,1.3917
1993-04-08,1.3917,1.4736,1.3508,1.4327
1993-04-12,1.4327,1.4327,1.3917,1.3917
1993-04-13,1.4024,1.4531,1.3917,1.4122
1993-04-14,1.4531,1.4736,1.4122,1.4531
