DATE,OPEN,HIGH,LOW,CLOSE
2021-12-09,0.5000,0.5000,0.5000,0.5000
2021-12-10,0.6000,0.6000,0.5500,0.5500
2021-12-13,0.4705,0.5500,0.4300,0.5500
2021-12-14,0.4204,0.4950,0.4000,0.4699
2021-12-15,0.4700,0.4700,0.4502,0.4680
2021-12-16,0.4500,0.4500,0.4400,0.4465
2021-12-17,0.4465,0.4561,0.4400,0.4400
2021-12-20,0.4400,0.4700,0.4396,0.4700
2021-12-21,0.4800,0.4800,0.4500,0.4752
2021-12-22,0.4500,0.4549,0.4500,0.4549
2021-12-23,0.4549,0.4549,0.4549,0.4549
2021-12-27,0.4498,0.4500,0.4498,0.4500
2021-12-28,0.4496,0.4500,0.4494,0.4500
2021-12-29,0.4600,0.4600,0.4600,0.4600
2021-12-30,0.4494,0.4500,0.4494,0.4500
2021-12-31,0.5799,0.6100,0.4495,0.4500
2022-01-03,0.4500,0.4500,0.4500,0.4500
2022-01-04,0.4500,0.4500,0.4500,0.4500
2022-01-05,0.4495,0.4500,0.4200,0.4337
2022-01-06,0.4337,0.4337,0.4309,0.4312
2022-01-07,0.4311,0.4700,0.4309,0.4700
2022-01-10,0.4700,0.4700,0.4700,0.4700
2022-01-11,0.4800,0.4800,0.4800,0.4800
2022-01-12,0.4900,0.4900,0.4900,0.4900
2022-01-13,0.4900,0.4900,0.4900,0.4900
2022-01-14,0.4900,0.4900,0.4900,0.4900
2022-01-18,0.4900,0.4900,0.4900,0.4900
2022-01-19,0.4900,0.4900,0.4900,0.4900
2022-01-20,0.4900,0.4900,0.4900,0.4900
2022-01-21,0.4900,0.4900,0.4900,0.4900
2022-01-24,0.4307,0.4696,0.4200,0.4696
2022-01-25,0.4696,0.4696,0.4696,0.4696
2022-01-26,0.4700,0.4700,0.4281,0.4290
2022-01-27,0.4290,0.4293,0.4288,0.4288
2022-01-28,0.4288,0.4288,0.4288,0.4288
2022-01-31,0.4284,0.4377,0.4277,0.4277
2022-02-01,0.4500,0.5399,0.4500,0.5299
2022-02-02,0.5299,0.5299,0.5299,0.5299
2022-02-03,0.5299,0.5299,0.5299,0.5299
2022-02-04,0.5299,0.5299,0.5299,0.5299
2022-02-07,0.4276,0.4276,0.4276,0.4276
2022-02-08,0.4300,0.4500,0.4276,0.4500
2022-02-09,0.4500,0.4500,0.4500,0.4500
2022-02-10,0.4500,0.4500,0.4500,0.4500
2022-02-11,0.4500,0.4500,0.4500,0.4500
2022-02-14,0.4500,0.4500,0.4500,0.4500
2022-02-15,0.4500,0.4500,0.4500,0.4500
2022-02-16,0.4500,0.4500,0.4500,0.4500
2022-02-17,0.4276,0.4500,0.4269,0.4269
2022-02-18,0.4269,0.4269,0.4269,0.4269
2022-02-22,0.4500,0.4500,0.4500,0.4500
2022-02-23,0.4313,0.4330,0.4269,0.4269
2022-02-24,0.4300,0.4300,0.4300,0.4300
2022-02-25,0.4300,0.4300,0.4184,0.4199
2022-02-28,0.4300,0.4300,0.4300,0.4300
2022-03-01,0.4300,0.4300,0.4200,0.4200
2022-03-02,0.4000,0.4000,0.3900,0.3900
2022-03-03,0.3900,0.3900,0.3900,0.3900
2022-03-04,0.3975,0.3975,0.3975,0.3975
2022-03-07,0.3975,0.3975,0.3975,0.3975
2022-03-08,0.4000,0.4000,0.4000,0.4000
2022-03-09,0.4000,0.4000,0.3144,0.3790
2022-03-10,0.3500,0.3500,0.3275,0.3311
2022-03-11,0.3311,0.3311,0.3311,0.3311
2022-03-14,0.3311,0.3311,0.3311,0.3311
2022-03-15,0.3300,0.4600,0.3300,0.4584
2022-03-16,0.4780,0.4780,0.4780,0.4780
2022-03-17,0.4000,0.4799,0.4000,0.4000
2022-03-18,0.4000,0.4000,0.4000,0.4000
2022-03-21,0.4000,0.4600,0.4000,0.4500
2022-03-22,0.4900,0.5099,0.4547,0.5099
2022-03-23,0.4499,0.5099,0.4038,0.4498
2022-03-24,0.4499,0.5099,0.4050,0.5099
2022-03-25,0.4102,0.5099,0.3500,0.3900
2022-03-28,0.4050,0.5099,0.3529,0.3768
2022-03-29,0.4125,0.4125,0.3600,0.3600
2022-03-30,0.3600,0.3600,0.3600,0.3600
2022-03-31,0.3942,0.4330,0.3942,0.4147
2022-04-01,0.4124,0.4124,0.4100,0.4100
2022-04-04,0.4494,0.4494,0.4489,0.4489
2022-04-05,0.4499,0.5099,0.4499,0.5099
2022-04-06,0.4500,0.5099,0.4499,0.5099
2022-04-07,0.4500,0.5099,0.4499,0.4559
2022-04-08,0.4559,0.4559,0.4559,0.4559
2022-04-11,0.4499,0.5099,0.4499,0.5099
2022-04-12,0.4100,0.5099,0.4100,0.5099
2022-04-13,0.4926,0.5099,0.4640,0.5099
2022-04-14,0.4499,0.5099,0.4499,0.4499
2022-04-18,0.4500,0.5099,0.4499,0.5099
2022-04-19,0.4499,0.4499,0.3946,0.4142
2022-04-20,0.4325,0.4325,0.4166,0.4166
2022-04-21,0.4400,0.4699,0.4399,0.4400
2022-04-22,0.4500,0.4899,0.4500,0.4899
2022-04-25,0.4500,0.4899,0.4499,0.4899
2022-04-26,0.4500,0.4899,0.4500,0.4899
2022-04-27,0.4500,0.4899,0.4500,0.4899
2022-04-28,0.4500,0.4699,0.4300,0.4699
2022-04-29,0.4600,0.4699,0.4542,0.4699
2022-05-02,0.4600,0.5099,0.4600,0.5099
2022-05-03,0.4600,0.4600,0.4600,0.4600
2022-05-04,0.4499,0.5099,0.4499,0.5099
2022-05-05,0.4600,0.5099,0.4600,0.5099
2022-05-06,0.4600,0.4999,0.4582,0.4999
2022-05-09,0.4600,0.5099,0.4600,0.5099
2022-05-10,0.4499,0.4900,0.4499,0.4900
2022-05-11,0.4600,0.4900,0.4600,0.4900
2022-05-12,0.4400,0.4499,0.4400,0.4400
2022-05-13,0.4300,0.4499,0.4150,0.4499
2022-05-16,0.4300,0.4499,0.4300,0.4499
2022-05-17,0.4300,0.4300,0.4300,0.4300
2022-05-18,0.4300,0.4499,0.4300,0.4499
2022-05-19,0.4300,0.4498,0.4300,0.4498
2022-05-20,0.4100,0.4499,0.4100,0.4499
2022-05-23,0.4100,0.4100,0.4000,0.4000
2022-05-24,0.4000,0.4001,0.3968,0.3970
2022-05-25,0.4200,0.4201,0.4200,0.4200
2022-05-26,0.3900,0.4499,0.3900,0.4399
2022-05-27,0.4500,0.4500,0.3650,0.4498
2022-05-31,0.4500,0.4700,0.4500,0.4700
2022-06-01,0.3096,0.4580,0.2901,0.4470
2022-06-02,0.4960,0.5099,0.4498,0.5099
2022-06-03,0.4498,0.5000,0.4100,0.4699
2022-06-06,0.4250,0.4498,0.3301,0.4498
2022-06-07,0.4001,0.5099,0.2340,0.3242
2022-06-08,0.3042,0.3500,0.2490,0.3099
2022-06-09,0.2600,0.2961,0.2500,0.2956
2022-06-10,0.2737,0.2737,0.2727,0.2737
2022-06-13,0.2591,0.2993,0.1601,0.1601
2022-06-14,0.1601,0.1601,0.1601,0.1601
2022-06-15,0.3300,0.3300,0.2999,0.2999
2022-06-16,0.3200,0.3200,0.3200,0.3200
2022-06-17,0.3100,0.3298,0.1659,0.1868
2022-06-21,0.2999,0.3532,0.2000,0.2000
2022-06-22,0.1810,0.2172,0.1802,0.1972
2022-06-23,0.2200,0.2200,0.1675,0.2158
2022-06-24,0.2201,0.2201,0.2200,0.2200
2022-06-27,0.2400,0.2899,0.1700,0.1700
2022-06-28,0.1946,0.2200,0.1602,0.1734
2022-06-29,0.1899,0.2874,0.1899,0.2549
2022-06-30,0.2549,0.2549,0.2549,0.2549
2022-07-01,0.2549,0.2549,0.2549,0.2549
2022-07-05,0.1948,0.2201,0.1375,0.1719
2022-07-06,0.2232,0.2543,0.1471,0.1800
2022-07-07,0.1199,0.1900,0.1105,0.1898
2022-07-08,0.1878,0.2498,0.1583,0.1583
2022-07-11,0.2258,0.2489,0.1990,0.2000
2022-07-12,0.2000,0.2000,0.2000,0.2000
2022-07-13,0.1685,0.2100,0.1685,0.2100
2022-07-14,0.2470,0.2470,0.2470,0.2470
2022-07-15,0.2450,0.2450,0.1346,0.1346
2022-07-18,0.1346,0.1346,0.1346,0.1346
2022-07-19,0.1346,0.1346,0.1346,0.1346
2022-07-20,0.1400,0.1400,0.1400,0.1400
2022-07-21,0.1800,0.1800,0.1788,0.1788
2022-07-22,0.1788,0.1788,0.1788,0.1788
2022-07-25,0.2200,0.2200,0.2200,0.2200
2022-07-26,0.2391,0.2498,0.1900,0.2039
2022-07-27,0.2039,0.2039,0.2039,0.2039
2022-07-28,0.2100,0.2487,0.2100,0.2487
2022-07-29,0.2255,0.2464,0.2100,0.2464
2022-08-01,0.2230,0.2230,0.2043,0.2043
2022-08-02,0.2043,0.2043,0.2043,0.2043
2022-08-03,0.2043,0.2043,0.2043,0.2043
2022-08-04,0.2043,0.2043,0.2043,0.2043
2022-08-05,0.2043,0.2043,0.2043,0.2043
2022-08-08,0.2345,0.2399,0.2247,0.2399
2022-08-09,0.2636,0.2636,0.0783,0.0901
2022-08-10,0.0990,0.0990,0.0960,0.0960
2022-08-11,0.1159,0.1273,0.0967,0.0967
2022-08-12,0.1062,0.1062,0.1062,0.1062
2022-08-15,0.1062,0.1062,0.1062,0.1062
2022-08-16,0.1062,0.1062,0.1062,0.1062
2022-08-17,0.1062,0.1062,0.1062,0.1062
2022-08-18,0.1062,0.1062,0.1062,0.1062
2022-08-19,0.1062,0.1062,0.1062,0.1062
2022-08-22,0.1062,0.1062,0.1062,0.1062
2022-08-23,0.1062,0.1062,0.1062,0.1062
2022-08-24,0.1062,0.1062,0.1062,0.1062
2022-08-25,0.0970,0.1000,0.0970,0.1000
2022-08-26,0.0661,0.0707,0.0661,0.0707
2022-08-29,0.0707,0.0707,0.0707,0.0707
2022-08-30,0.0800,0.1200,0.0800,0.1200
2022-08-31,0.1318,0.1318,0.1238,0.1238
2022-09-01,0.1238,0.1238,0.1238,0.1238
2022-09-02,0.1238,0.1238,0.1238,0.1238
2022-09-06,0.1238,0.1238,0.1238,0.1238
2022-09-07,0.1200,0.1200,0.1200,0.1200
2022-09-08,0.1100,0.1100,0.1002,0.1002
2022-09-09,0.0900,0.0900,0.0900,0.0900
2022-09-12,0.0700,0.0700,0.0700,0.0700
2022-09-13,0.0800,0.0800,0.0800,0.0800
2022-09-14,0.0800,0.1200,0.0800,0.1128
2022-09-15,0.1128,0.1128,0.1128,0.1128
2022-09-16,0.1128,0.1128,0.1128,0.1128
2022-09-19,0.1128,0.1128,0.1128,0.1128
2022-09-20,0.0700,0.0700,0.0700,0.0700
2022-09-21,0.0800,0.0800,0.0800,0.0800
2022-09-22,0.0800,0.0800,0.0800,0.0800
2022-09-23,0.0800,0.0800,0.0800,0.0800
2022-09-26,0.0800,0.0800,0.0800,0.0800
2022-09-27,0.0800,0.0800,0.0800,0.0800
2022-09-28,0.0800,0.0800,0.0800,0.0800
2022-09-29,0.0800,0.0800,0.0800,0.0800
2022-09-30,0.0800,0.0800,0.0800,0.0800
2022-10-03,0.0800,0.0800,0.0800,0.0800
2022-10-04,0.0400,0.0400,0.0400,0.0400
2022-10-05,0.0400,0.0400,0.0400,0.0400
2022-10-06,0.0400,0.0400,0.0400,0.0400
2022-10-07,0.0400,0.0400,0.0400,0.0400
2022-10-10,0.0400,0.0400,0.0400,0.0400
2022-10-11,0.0400,0.0400,0.0400,0.0400
2022-10-12,0.0400,0.0400,0.0400,0.0400
2022-10-13,0.0400,0.0400,0.0400,0.0400
2022-10-14,0.0300,0.0300,0.0300,0.0300
2022-10-17,0.0300,0.0300,0.0300,0.0300
2022-10-18,0.0329,0.0329,0.0329,0.0329
2022-10-19,0.0461,0.0461,0.0317,0.0317
2022-10-20,0.0861,0.0861,0.0450,0.0450
2022-10-21,0.0501,0.0501,0.0501,0.0501
2022-10-24,0.1123,0.1123,0.0775,0.0775
2022-10-25,0.1000,0.1000,0.1000,0.1000
2022-10-26,0.1000,0.1000,0.1000,0.1000
2022-10-27,0.1000,0.1000,0.1000,0.1000
2022-10-28,0.1000,0.1000,0.1000,0.1000
2022-10-31,0.0088,0.0100,0.0088,0.0100
2022-11-01,0.0100,0.0100,0.0100,0.0100
2022-11-02,0.0100,0.0100,0.0100,0.0100
