DATE,OPEN,HIGH,LOW,CLOSE
2022-05-13,17.6000,18.9500,17.6000,18.1100
2022-05-16,18.0000,18.5900,17.1600,17.9900
2022-05-17,18.2200,18.3700,17.6800,18.0800
2022-05-18,18.0500,18.3000,17.7700,17.9800
2022-05-19,17.8200,18.0000,16.7500,16.8800
2022-05-20,17.1900,17.4400,16.9000,17.3300
2022-05-23,17.4600,17.8400,17.0300,17.8400
2022-05-24,17.6000,17.9000,16.7600,17.9000
2022-05-25,17.8400,17.9500,17.0100,17.9400
2022-05-26,17.7900,18.3400,17.4900,17.9400
2022-05-27,17.8000,18.2800,17.5900,18.1900
2022-05-31,18.2800,18.5900,18.0800,18.2500
2022-06-01,18.3000,19.4600,17.9000,18.5600
2022-06-02,18.6000,18.8100,18.2200,18.5000
2022-06-03,18.7100,19.6600,18.6800,19.6000
2022-06-06,19.9000,20.4500,19.7150,20.2100
2022-06-07,20.5000,23.1142,20.5000,22.6100
2022-06-08,22.9100,23.6200,22.4700,22.7500
2022-06-09,22.8900,23.3400,21.5000,22.6400
2022-06-10,22.0900,23.3800,21.8900,22.6600
2022-06-13,22.0000,22.2600,21.5940,21.9800
2022-06-14,22.3100,22.8012,22.0400,22.4100
2022-06-15,22.5400,23.4900,22.1300,22.8800
2022-06-16,22.4000,22.8400,21.9900,22.3600
2022-06-17,23.0000,23.0000,20.7000,21.2600
2022-06-21,21.4800,21.6900,20.2700,21.4900
2022-06-22,20.3600,20.6750,18.1550,19.3100
2022-06-23,19.4100,19.4100,16.8300,18.3100
2022-06-24,18.2000,19.5000,17.4000,18.5700
2022-06-27,18.9200,20.1500,18.6600,19.7100
2022-06-28,19.8400,20.1432,19.4300,19.5000
2022-06-29,19.7600,19.7600,18.2900,18.8000
2022-06-30,18.4700,18.6300,17.7800,18.3100
2022-07-01,18.2300,18.4500,17.3200,18.2300
2022-07-05,17.8700,17.8835,16.6900,17.0400
2022-07-06,16.8100,17.2196,14.2000,16.6100
2022-07-07,16.5400,17.7300,16.3000,16.7700
2022-07-08,17.0500,17.3650,16.3200,17.1600
2022-07-11,16.9500,17.7100,16.0300,16.4300
2022-07-12,15.9000,16.5200,15.4700,15.6500
2022-07-13,15.4300,15.7400,14.9700,15.3300
2022-07-14,14.9300,15.5000,14.0100,14.2500
2022-07-15,13.1800,14.8400,13.1800,14.7200
2022-07-18,15.1500,15.7900,14.8000,15.0900
2022-07-19,15.1500,16.1600,14.9300,16.1400
2022-07-20,15.9000,16.7800,15.4700,16.7700
2022-07-21,16.4100,16.9044,16.0100,16.4800
2022-07-22,16.4800,16.7200,15.6000,15.6700
2022-07-25,15.8500,16.9000,15.5500,16.7400
2022-07-26,16.7700,17.2000,16.7000,17.1100
2022-07-27,17.2100,18.3900,17.0000,18.1800
2022-07-28,18.1800,18.3400,17.5200,18.2700
2022-07-29,18.3900,18.9100,17.8300,18.3800
2022-08-01,17.8700,18.2550,17.3500,17.9600
2022-08-02,17.7800,18.6100,17.6450,18.3700
2022-08-03,18.5200,18.5200,17.5850,18.3600
2022-08-04,18.1100,18.3325,17.1600,17.1600
2022-08-05,16.8800,17.7000,16.5700,17.4700
2022-08-08,17.3400,17.7950,16.8200,17.5200
2022-08-09,17.5900,17.6799,16.7100,17.0400
2022-08-10,17.0400,17.9000,16.9500,17.8500
2022-08-11,18.2000,18.9900,18.1500,18.3200
2022-08-12,19.0000,20.3699,17.5200,20.3000
2022-08-15,20.3000,20.3000,18.7100,19.6200
2022-08-16,19.6200,20.1600,18.4050,19.1800
2022-08-17,18.9400,19.7300,18.8400,19.0500
2022-08-18,19.3300,20.2800,19.3300,19.9500
2022-08-19,19.9000,20.0800,19.0100,19.8000
2022-08-22,19.4300,19.6700,18.3746,19.6300
2022-08-23,19.8300,21.6800,19.8300,20.5800
2022-08-24,20.6900,21.7200,20.3750,21.2100
2022-08-25,21.9600,21.9700,21.0400,21.5400
2022-08-26,21.5600,21.6150,20.5200,20.9400
2022-08-29,21.0100,21.8300,20.6400,21.5500
