DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2013-08-08,20.8781,25.0933,20.8485,24.4700,10.632,
2013-08-09,24.8361,31.1094,24.4898,28.7841,2.303,
2013-08-12,28.6951,30.0210,28.6951,29.3877,0.651,
2013-08-13,29.6747,29.6747,26.3500,28.3883,0.519,
2013-08-14,27.9629,28.2894,26.2313,26.9437,0.398,
2013-08-15,26.3698,26.7062,24.8460,25.5287,0.520,
2013-08-16,25.5287,25.7167,24.5788,25.3605,0.351,
2013-08-19,25.8157,26.1917,25.2517,25.6672,0.306,
2013-08-20,25.4397,25.9641,23.7476,23.8466,0.444,
2013-08-21,23.8268,25.0142,22.3822,23.4805,0.637,
2013-08-22,23.7378,23.7378,22.6295,22.6790,0.460,
2013-08-23,22.6394,23.4013,22.5603,23.1737,0.222,
2013-08-26,23.1638,23.4904,22.1744,22.3624,0.250,
2013-08-27,22.2634,22.3129,20.4329,21.4125,0.638,
2013-08-28,21.2245,21.7984,20.7396,21.1354,0.364,
2013-08-29,21.6697,22.5702,21.3927,21.9468,0.394,
2013-08-30,22.0556,22.3228,21.3729,21.5015,0.181,
2013-09-03,22.0457,22.5009,20.9078,22.0754,0.534,
2013-09-04,22.2634,23.0550,21.7687,22.1546,0.708,
2013-09-05,22.7582,24.6481,22.2040,24.0346,0.569,
2013-09-06,24.5293,25.6376,23.4310,25.2715,0.389,
2013-09-09,25.5782,27.1713,24.7470,25.7068,0.592,
2013-09-10,26.4786,26.7953,25.7266,26.4786,0.272,
2013-09-11,26.6963,26.6963,23.9060,25.1527,0.467,
2013-09-12,25.6771,25.6771,24.0643,24.3809,0.223,
2013-09-13,24.3611,24.7371,23.4805,23.6487,0.199,
2013-09-16,23.7575,23.7575,21.8676,22.3327,0.474,
2013-09-17,22.2634,23.8961,22.0952,23.6982,0.428,
2013-09-18,23.8961,24.8262,23.0649,24.0445,0.327,
2013-09-19,24.2424,24.4898,23.2529,23.4508,0.166,
2013-09-20,23.1638,23.3420,21.0859,21.8874,0.605,
2013-09-23,21.8973,22.6394,21.0167,21.8874,0.412,
2013-09-24,21.5114,21.9666,20.8979,21.1849,0.543,
2013-09-25,21.3036,22.0358,21.0266,21.8874,1.013,
2013-09-26,22.2634,22.5405,21.8775,22.3822,0.443,
2013-09-27,22.1645,23.3519,22.1645,22.7681,0.467,
2013-09-30,22.1348,23.9752,21.8577,23.4409,1.052,
2013-10-01,23.4409,24.0643,23.2034,23.9851,0.465,
2013-10-02,23.7378,25.6771,23.6388,25.2319,0.575,
2013-10-03,25.2813,25.6475,24.0346,24.8361,0.420,
2013-10-04,24.7470,24.8757,23.1144,23.3420,0.280,
2013-10-07,23.2628,23.3321,22.6097,22.8868,0.357,
2013-10-08,23.5893,23.5893,21.9666,22.0358,0.359,
2013-10-09,22.2238,22.2238,20.5318,20.9771,0.669,
2013-10-10,21.3828,21.7192,20.6308,20.9276,0.406,
2013-10-11,20.7297,21.6499,19.8887,21.6104,0.494,
2013-10-14,21.4421,22.5603,21.2541,22.2634,0.328,
2013-10-15,22.2238,22.4613,21.8973,22.0556,0.147,
2013-10-16,22.1843,22.8373,22.1249,22.7681,0.118,
2013-10-17,22.7582,23.0946,22.5801,22.9462,0.144,23.596
2013-10-18,23.2529,23.3024,22.0259,22.7582,0.254,23.562
2013-10-21,22.7878,22.8769,21.5312,21.6104,0.155,23.418
2013-10-22,21.7489,22.1150,20.8485,20.9870,0.259,23.250
