DATE,OPEN,HIGH,LOW,CLOSE
1990-03-26,5.5067,5.6000,5.5067,5.5067
1990-03-27,5.5104,5.5104,5.5104,5.5104
1990-03-28,5.6000,5.9734,5.6000,5.7867
1990-03-29,5.7867,5.9734,5.7867,5.9734
1990-03-30,5.9734,6.3467,5.9734,6.3467
1990-04-02,6.0667,6.3467,6.0667,6.2071
1990-04-03,6.0667,6.2534,6.0667,6.1600
1990-04-04,6.1600,6.2534,6.1600,6.1600
1990-04-05,6.2534,6.2534,5.7867,5.7867
1990-04-06,5.7867,5.7867,5.5067,5.6934
1990-04-09,5.6934,5.7867,5.2267,5.4134
1990-04-10,5.4134,5.5067,5.1334,5.1334
1990-04-11,5.1334,5.3200,4.8534,5.0400
1990-04-12,4.9467,5.2267,4.8071,5.2267
1990-04-16,5.2267,5.4134,5.1334,5.4134
1990-04-17,5.2267,5.5067,5.2267,5.5067
1990-04-18,5.4134,5.5067,5.2267,5.2267
1990-04-19,5.2267,5.2267,5.1334,5.2267
1990-04-20,5.1334,5.2267,4.8534,4.9467
1990-04-23,5.0871,5.2267,5.0400,5.2267
1990-04-24,5.1334,5.2267,5.0400,5.0400
1990-04-25,4.9467,5.1334,4.9467,5.1334
1990-04-26,4.9467,5.1334,4.9467,5.1334
1990-04-27,4.9467,5.1334,4.9467,4.9467
1990-04-30,4.9467,5.1334,4.9467,5.1334
1990-05-01,5.2267,5.2267,5.1334,5.1334
1990-05-02,5.0400,5.2267,5.0400,5.2267
1990-05-03,5.2267,5.4134,5.2267,5.4134
1990-05-04,5.3200,5.5067,5.3200,5.3200
1990-05-07,5.5067,5.5067,5.3200,5.3200
1990-05-08,5.4134,5.5067,5.3200,5.5067
1990-05-09,5.4134,5.6000,5.3200,5.3200
1990-05-10,5.3200,5.4134,5.3200,5.3200
1990-05-11,5.4134,6.3467,5.4134,6.1600
1990-05-14,6.3467,6.4400,6.1600,6.1600
1990-05-15,6.1600,6.3467,6.1600,6.1600
1990-05-16,6.1600,6.3467,6.1600,6.2534
1990-05-17,6.2534,6.6267,6.2534,6.6267
1990-05-18,6.7200,6.8134,6.5334,6.6267
1990-05-21,6.6267,6.6267,6.4400,6.4400
1990-05-22,6.6267,6.8134,6.5334,6.7200
1990-05-23,6.6267,6.7200,6.5334,6.5334
1990-05-24,6.5334,6.5334,6.5334,6.5334
1990-05-25,6.5334,6.5334,6.4400,6.5334
1990-05-29,6.5334,6.6267,6.4400,6.5334
1990-05-30,6.4400,6.9067,6.4400,6.8134
1990-05-31,7.0000,7.0934,6.5334,6.8134
1990-06-01,6.8134,6.8134,6.5334,6.6267
1990-06-04,6.5334,6.5334,6.3467,6.5334
1990-06-05,6.5334,6.8134,6.4400,6.6267
1990-06-06,6.6267,6.7200,6.5334,6.7200
1990-06-07,6.7200,7.2800,6.6267,7.2800
1990-06-08,7.2800,7.3734,7.0000,7.2800
1990-06-11,7.2800,7.5638,7.1867,7.5638
1990-06-12,7.4667,7.6534,7.2800,7.2800
1990-06-13,7.2800,7.4667,7.1867,7.2800
1990-06-14,7.2800,7.4667,7.2800,7.2800
1990-06-15,7.2800,7.4667,7.2800,7.3734
1990-06-18,7.4667,7.4667,7.0000,7.0934
1990-06-19,7.0000,7.2800,7.0000,7.0934
1990-06-20,7.0000,7.1867,7.0000,7.1867
1990-06-21,7.0000,7.0934,6.9067,7.0000
1990-06-22,6.9067,7.0934,6.9067,6.9067
1990-06-25,6.9067,7.0000,6.7200,6.9067
1990-06-26,6.9067,7.0000,6.9067,7.0000
1990-06-27,6.9067,7.8400,6.9067,7.5638
1990-06-28,7.7504,7.7504,7.2800,7.2800
1990-06-29,7.3734,7.4667,7.1867,7.4667
1990-07-02,7.4667,7.4667,7.2800,7.2800
1990-07-03,7.4667,7.4667,7.2800,7.2800
1990-07-05,7.4667,7.4667,7.2800,7.2800
1990-07-06,7.4667,7.4667,7.0934,7.2800
1990-07-09,7.0934,7.1867,7.0934,7.0934
1990-07-10,7.0934,7.2800,7.0000,7.0934
1990-07-11,7.0000,7.0934,7.0000,7.0934
1990-07-12,7.0934,7.1867,7.0000,7.0934
1990-07-13,7.0934,7.3734,7.0934,7.2800
1990-07-16,7.4667,7.4667,7.2800,7.4667
1990-07-17,7.5638,7.5638,7.3734,7.3734
1990-07-18,7.3734,7.3734,7.3734,7.3734
1990-07-19,7.5638,7.5638,7.3734,7.5638
1990-07-20,7.3734,7.5638,7.3734,7.5638
1990-07-23,7.3734,7.4667,7.1867,7.2800
1990-07-24,7.2800,7.3734,7.1867,7.2800
1990-07-25,7.2800,7.6534,7.2800,7.6534
1990-07-26,7.6534,8.2134,7.5638,7.8400
1990-07-27,7.8400,8.0267,7.6534,7.9371
1990-07-30,7.9371,8.3104,7.6534,8.1238
1990-07-31,8.2134,8.4971,8.2134,8.4000
1990-08-01,8.3104,8.4971,8.1238,8.4000
1990-08-02,8.0267,8.2134,7.8400,8.1238
1990-08-03,8.0267,8.0267,7.6534,7.7504
1990-08-06,7.5638,7.5638,7.0000,7.0000
1990-08-07,7.0934,7.2800,7.0934,7.2800
1990-08-08,7.1867,7.3734,7.1867,7.1867
1990-08-09,7.4667,7.4667,7.1867,7.4667
1990-08-10,7.2800,7.3734,7.2800,7.3734
1990-08-13,7.2800,7.2800,7.0934,7.2800
