DATE,OPEN,HIGH,LOW,CLOSE
2021-04-29,30.0000,35.9899,29.0000,34.7500
2021-04-30,31.1100,37.8500,31.1100,36.3200
2021-05-03,36.7700,37.2000,34.5200,35.6300
2021-05-04,36.0800,38.1600,34.5225,34.9200
2021-05-05,36.2300,39.5800,34.8100,38.0000
2021-05-06,37.5900,37.9800,31.9800,32.8100
2021-05-07,35.1700,35.1700,31.8100,32.4700
2021-05-10,31.6800,32.4500,30.4900,30.9700
2021-05-11,28.0500,31.4800,28.0001,30.5100
2021-05-12,30.4000,31.9500,29.7400,30.1400
2021-05-13,29.8800,31.9800,28.3800,29.1800
2021-05-14,29.2800,29.9500,27.1500,29.1300
2021-05-17,28.8400,30.3600,27.5083,29.7100
2021-05-18,29.5700,31.8650,28.7700,30.1700
2021-05-19,30.0200,30.4600,29.5100,30.2000
2021-05-20,30.1500,31.0000,29.8400,30.0800
2021-05-21,30.0400,32.9600,29.6510,32.8100
2021-05-24,33.5100,34.5690,31.0450,32.3200
2021-05-25,33.0000,33.4600,32.4000,32.7700
2021-05-26,32.4900,33.4800,32.4900,33.1000
2021-05-27,33.1000,34.3500,32.8000,34.1600
2021-05-28,33.8000,34.3500,32.2700,32.7300
2021-06-01,32.5500,33.7600,32.4400,33.4000
2021-06-02,33.2100,35.2000,33.0801,34.3900
2021-06-03,34.4200,35.0200,33.4600,33.6100
2021-06-04,33.4700,33.8500,32.9700,33.2500
2021-06-07,33.6000,39.4800,33.5015,37.6400
2021-06-08,38.0200,38.4600,37.0200,37.9600
2021-06-09,38.1400,40.4200,37.6475,39.5800
2021-06-10,39.9000,40.1000,38.6000,39.7400
2021-06-11,39.5400,40.1000,39.3700,39.9100
2021-06-14,40.3600,41.5300,38.3000,41.1100
2021-06-15,41.2300,41.8800,39.5900,40.2800
2021-06-16,40.3700,42.7700,40.3700,42.4700
2021-06-17,42.4600,43.4600,41.2600,43.1800
2021-06-18,43.0100,45.5400,42.4700,45.3500
2021-06-21,45.3500,46.7900,44.0000,46.2500
2021-06-22,46.3400,47.8100,45.4700,46.5000
2021-06-23,46.5500,48.5900,46.4600,46.8500
2021-06-24,46.9400,47.8700,44.3400,44.8600
2021-06-25,45.0200,46.5850,44.3701,46.0400
2021-06-28,46.1000,49.8200,46.0100,49.2500
2021-06-29,49.6800,50.7700,44.1900,44.5900
2021-06-30,44.8700,45.3600,44.2300,44.3700
2021-07-01,44.3700,45.2400,43.2500,43.3000
2021-07-02,43.1200,45.3863,43.1200,44.6800
2021-07-06,44.9800,45.2300,43.0500,43.9900
2021-07-07,43.8300,45.4200,43.2400,45.0000
2021-07-08,43.8900,44.4000,42.3300,42.6700
2021-07-09,42.6900,44.1800,42.1700,43.8900
2021-07-12,43.6100,44.7800,42.6700,44.6800
2021-07-13,44.7100,45.0800,43.6850,44.1600
2021-07-14,44.4000,44.6200,41.3800,41.4900
2021-07-15,41.0300,42.9200,40.8100,41.6300
2021-07-16,42.0500,43.9850,41.2500,42.2700
2021-07-19,41.7800,43.6700,40.8300,43.6200
2021-07-20,43.8500,45.0100,41.7800,44.1500
2021-07-21,44.6000,46.4700,43.5900,46.0500
2021-07-22,46.0200,47.2800,45.2620,46.7800
2021-07-23,46.7800,47.7700,45.9350,46.5500
2021-07-26,46.4300,46.8900,43.3900,43.7400
2021-07-27,43.4300,44.2500,42.1000,43.7700
2021-07-28,43.3900,43.9850,42.2400,43.4200
2021-07-29,43.7000,44.4000,42.3400,42.8100
2021-07-30,42.8100,45.0000,41.4700,41.5000
2021-08-02,41.5300,43.6075,41.2200,41.5900
2021-08-03,41.6800,44.7200,38.9100,39.0700
2021-08-04,38.8500,40.3850,37.2600,37.4100
2021-08-05,37.2300,37.5200,35.6700,36.8500
2021-08-06,36.8700,39.4150,36.2100,38.0500
2021-08-09,37.2900,37.2900,33.2500,36.2300
2021-08-10,36.1700,37.8200,33.3300,34.6900
2021-08-11,34.6500,35.5900,33.2700,33.5100
2021-08-12,33.5100,34.7800,32.5000,32.8300
2021-08-13,32.8200,33.0750,31.6800,32.4000
2021-08-16,32.4000,33.8400,31.5900,32.4500
2021-08-17,32.2000,32.5300,31.0100,31.7300
2021-08-18,31.8800,32.6900,31.2900,31.5800
2021-08-19,31.4600,32.1500,30.7500,31.6000
2021-08-20,31.3700,32.1800,30.3200,30.3700
