DATE,OPEN,HIGH,LOW,CLOSE
2021-04-09,1.5000,1.5000,1.5000,1.5000
2021-04-12,1.5800,1.5800,1.5800,1.5800
2021-04-13,1.5800,1.5800,1.5800,1.5800
2021-04-15,1.0800,1.1500,1.0000,1.0800
2021-04-16,1.0400,1.0600,0.9600,0.9600
2021-04-19,0.9500,0.9500,0.8700,0.8800
2021-04-20,0.8100,0.8500,0.8100,0.8500
2021-04-21,0.8500,0.8500,0.8500,0.8500
2021-04-22,0.7450,0.8200,0.7450,0.8200
2021-04-23,0.8000,0.8000,0.8000,0.8000
2021-04-26,0.8495,0.8495,0.7600,0.7600
2021-04-27,0.7600,0.8000,0.7300,0.7500
2021-04-28,0.7500,0.7705,0.7500,0.7700
2021-04-30,0.7500,0.7700,0.7500,0.7500
2021-05-03,0.7500,0.8000,0.7500,0.7900
2021-05-05,0.7900,1.2200,0.7600,1.2200
2021-05-06,1.2300,1.2300,0.7500,0.8300
2021-05-07,0.9001,0.9001,0.9001,0.9001
2021-05-10,0.9001,0.9001,0.9001,0.9001
2021-05-12,0.9001,0.9001,0.7901,0.9000
2021-05-13,0.8995,0.9000,0.8295,0.8300
2021-05-14,0.8000,0.9000,0.8000,0.8900
2021-05-17,0.9000,0.9000,0.9000,0.9000
2021-05-18,0.9000,0.9000,0.8609,0.8800
2021-05-19,0.9000,0.9000,0.8501,0.8501
2021-05-20,0.9300,0.9500,0.9300,0.9500
2021-05-21,0.9000,0.9000,0.7901,0.8000
2021-05-24,0.8500,0.8500,0.8500,0.8500
2021-05-25,0.8500,0.8500,0.8400,0.8500
2021-05-26,0.9000,0.9000,0.8700,0.8700
2021-05-27,0.8500,0.8500,0.8500,0.8500
2021-05-28,0.9500,0.9500,0.9500,0.9500
2021-06-01,0.9500,0.9500,0.9500,0.9500
2021-06-02,0.8500,0.9500,0.8500,0.9500
2021-06-03,0.8600,0.8695,0.8600,0.8695
2021-06-04,0.9296,0.9296,0.9296,0.9296
2021-06-07,0.8900,0.8900,0.8900,0.8900
2021-06-08,0.8900,0.8900,0.8900,0.8900
