DATE,OPEN,HIGH,LOW,CLOSE
2011-01-03,2405291.7563,2444722.7687,2405291.7563,2405291.7563
2011-01-04,2405291.7563,2405291.7563,2405291.7563,2405291.7563
2011-01-05,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-06,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-07,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-10,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-11,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-12,2326429.7315,2326429.7315,2326429.7315,2326429.7315
2011-01-13,2286998.7191,2286998.7191,2247567.7067,2247567.7067
2011-01-14,2208136.6943,2209713.9348,2208136.6943,2208136.6943
2011-01-18,2208136.6943,2208136.6943,2208136.6943,2208136.6943
2011-01-19,2179746.3654,2286998.7191,1973127.8604,2048835.4042
2011-01-20,2271226.3141,2271226.3141,1996786.4678,2012558.8728
2011-01-21,1971550.6199,2021864.5917,1971550.6199,1987323.0249
2011-01-24,1979436.8224,2015713.3538,1971550.6199,2014924.7335
2011-01-25,2010981.6323,2066185.0497,2010981.6323,2028331.2778
2011-01-26,2010981.6323,2045680.9232,1955778.2150,1985745.7844
2011-01-27,1969973.3794,2034640.2397,1969973.3794,2018867.8348
2011-01-28,2003095.4298,2027384.9335,1971550.6199,1995209.2274
2011-01-31,1982591.3034,2010981.6323,1971550.6199,1971550.6199
2011-02-01,1971550.6199,2009404.3918,1971550.6199,1987323.0249
2011-02-02,1976282.3414,2010965.8599,1955778.2150,1973127.8604
2011-02-03,1971550.6199,2003095.4298,1955778.2150,1992054.7464
2011-02-04,1963664.4174,1992054.7464,1963664.4174,1987323.0249
2011-02-07,1987323.0249,2003095.4298,1987323.0249,1995224.9998
2011-02-08,2010981.6323,2010981.6323,1963001.9764,1979436.8224
2011-02-09,1971550.6199,1992212.4704,1968396.1389,1982591.3034
2011-02-10,1965241.6579,1985745.7844,1963664.4174,1963664.4174
2011-02-11,1969973.3794,1995051.5033,1969973.3794,1995051.5033
2011-02-14,1979436.8224,1993616.2144,1960509.9364,1960509.9364
2011-02-15,1987323.0249,1987323.0249,1955778.2150,1955778.2150
2011-02-16,1971550.6199,1971550.6199,1947892.0125,1955778.2150
2011-02-17,1951046.4935,1951046.4935,1900574.7976,1903729.2786
2011-02-18,1903729.2786,1940005.8100,1900574.7976,1924233.4050
2011-02-22,1936851.3290,1940005.8100,1900858.7009,1932119.6075
2011-02-23,1914769.9621,1944737.5315,1892688.5951,1895843.0761
2011-02-24,1908461.0001,1916347.2026,1895843.0761,1908461.0001
2011-02-25,1941583.0505,1941583.0505,1892688.5951,1895843.0761
2011-02-28,1892688.5951,1914769.9621,1892688.5951,1914769.9621
2011-03-01,1908461.0001,1916189.4785,1884802.3926,1892688.5951
2011-03-02,1903729.2786,1913192.7216,1892688.5951,1911615.4811
2011-03-03,1924233.4050,1932119.6075,1908461.0001,1927387.8860
2011-03-04,1921078.9240,1931883.0214,1911615.4811,1913192.7216
2011-03-07,1913192.7216,1924233.4050,1900574.7976,1917924.4430
2011-03-08,1895843.0761,1936851.3290,1895843.0761,1936851.3290
2011-03-09,1965241.6579,2039371.9612,1947892.0125,1995209.2274
2011-03-10,1976282.3414,1990477.5059,1955778.2150,1971550.6199
2011-03-11,1944737.5315,1988900.2654,1944737.5315,1973143.6328
2011-03-14,1946314.7720,1973127.8604,1946314.7720,1963664.4174
2011-03-15,1944737.5315,1962087.1769,1919501.6835,1932119.6075
2011-03-16,1917924.4430,1923996.8190,1875417.8117,1878493.4307
2011-03-17,1905306.5191,1908461.0001,1876916.1902,1876916.1902
2011-03-18,1861143.7852,1889534.1141,1845371.3802,1867452.7472
2011-03-21,1851680.3422,1868083.6434,1816981.0513,1851680.3422
2011-03-22,1837485.1778,1881647.9116,1831176.2158,1861143.7852
2011-03-23,1861143.7852,1883209.3797,1854834.8232,1871853.2482
2011-03-24,1869029.9877,1881647.9116,1826444.4943,1854834.8232
2011-03-25,1853257.5827,1892688.5951,1853257.5827,1881805.6357
2011-03-28,1883225.1521,1900559.0252,1883225.1521,1892688.5951
