DATE,OPEN,HIGH,LOW,CLOSE
2021-10-22,0.4000,0.4500,0.4000,0.4500
2021-10-25,0.4500,0.4900,0.4000,0.4900
2021-10-26,0.4500,0.5398,0.4211,0.5398
2021-10-27,0.5000,0.5000,0.4999,0.4999
2021-10-28,0.4500,0.4900,0.4500,0.4600
2021-10-29,0.4410,0.4600,0.4311,0.4582
2021-11-01,0.4500,0.4950,0.4452,0.4750
2021-11-02,0.4701,0.4946,0.4500,0.4900
2021-11-03,0.4901,0.5200,0.4901,0.5199
2021-11-04,0.5212,0.5212,0.4900,0.5100
2021-11-05,0.5000,0.5045,0.4920,0.4920
2021-11-08,0.4912,0.5180,0.4800,0.5047
2021-11-09,0.5100,0.5200,0.5100,0.5200
2021-11-10,0.5100,0.5280,0.4900,0.5280
2021-11-11,0.5300,0.5366,0.5300,0.5366
2021-11-12,0.5130,0.5130,0.5117,0.5117
2021-11-15,0.5379,0.5379,0.5378,0.5379
2021-11-16,0.5279,0.5279,0.5279,0.5279
2021-11-17,0.5126,0.5280,0.5126,0.5280
2021-11-18,0.5279,0.5300,0.5000,0.5300
2021-11-19,0.5480,0.5480,0.5012,0.5480
2021-11-22,0.5101,0.5101,0.5101,0.5101
2021-11-23,0.5100,0.5399,0.5000,0.5000
2021-11-24,0.5200,0.5200,0.5020,0.5200
2021-11-26,0.5200,0.5200,0.5000,0.5200
2021-11-29,0.5200,0.5400,0.5000,0.5400
2021-11-30,0.5300,0.5300,0.5000,0.5250
2021-12-01,0.5001,0.5189,0.4901,0.5189
2021-12-02,0.5189,0.5189,0.4800,0.5089
2021-12-03,0.5089,0.5089,0.4802,0.4989
2021-12-06,0.5200,0.5200,0.5200,0.5200
2021-12-07,0.5200,0.5200,0.5200,0.5200
2021-12-08,0.4912,0.5300,0.4912,0.5300
2021-12-09,0.5200,0.5300,0.5200,0.5300
2021-12-10,0.4901,0.4901,0.4700,0.4800
2021-12-13,0.4801,0.4802,0.4600,0.4800
2021-12-14,0.4800,0.4800,0.4800,0.4800
2021-12-15,0.4600,0.4600,0.4600,0.4600
2021-12-16,0.4610,0.4610,0.4600,0.4600
2021-12-17,0.4499,0.4700,0.4499,0.4500
2021-12-20,0.4400,0.4803,0.4400,0.4803
2021-12-21,0.4629,0.4769,0.4629,0.4639
2021-12-22,0.4779,0.4779,0.4778,0.4779
2021-12-23,0.4899,0.4899,0.4899,0.4899
2021-12-27,0.4900,0.4900,0.4550,0.4899
2021-12-28,0.4700,0.4800,0.4700,0.4800
2021-12-29,0.4800,0.4800,0.4750,0.4750
2021-12-30,0.4202,0.4750,0.4202,0.4749
2021-12-31,0.4799,0.4800,0.4799,0.4800
2022-01-03,0.4850,0.4850,0.4849,0.4849
2022-01-04,0.4850,0.4850,0.4395,0.4850
2022-01-05,0.4849,0.4849,0.4800,0.4800
2022-01-06,0.7500,0.7500,0.4800,0.4800
2022-01-07,0.4850,0.4850,0.4800,0.4800
2022-01-10,0.4700,0.4777,0.4700,0.4750
2022-01-11,0.4202,0.4750,0.4201,0.4750
2022-01-12,0.4749,0.4749,0.4500,0.4702
2022-01-13,0.4471,0.4471,0.4400,0.4400
2022-01-14,0.4700,0.4700,0.4400,0.4426
2022-01-18,0.4152,0.4152,0.3900,0.4000
2022-01-19,0.3801,0.3901,0.3801,0.3801
2022-01-20,0.4098,0.4098,0.3849,0.4098
2022-01-21,0.4098,0.4098,0.4098,0.4098
2022-01-24,0.4000,0.4000,0.3201,0.3393
2022-01-25,0.3880,0.3880,0.3875,0.3876
2022-01-26,0.3899,0.3899,0.3206,0.3206
2022-01-27,0.3799,0.3800,0.3501,0.3501
2022-01-28,0.3201,0.3201,0.3201,0.3201
2022-01-31,0.3699,0.3699,0.3699,0.3699
2022-02-01,0.3521,0.3621,0.3478,0.3485
2022-02-02,0.3485,0.3485,0.3485,0.3485
2022-02-03,0.3485,0.3485,0.3485,0.3485
2022-02-04,0.3485,0.3485,0.3485,0.3485
2022-02-07,0.3201,0.3201,0.3200,0.3200
2022-02-08,0.3399,0.3400,0.2900,0.3000
2022-02-09,0.3000,0.3000,0.3000,0.3000
2022-02-10,0.3100,0.3100,0.3100,0.3100
2022-02-11,0.2701,0.2701,0.2700,0.2700
2022-02-14,0.2700,0.2700,0.2700,0.2700
2022-02-15,0.2700,0.2700,0.2700,0.2700
2022-02-16,0.2701,0.2800,0.2701,0.2800
2022-02-17,0.2799,0.2799,0.2799,0.2799
2022-02-18,0.2800,0.2800,0.2800,0.2800
2022-02-22,0.2800,0.2800,0.2800,0.2800
2022-02-23,0.2800,0.2800,0.2800,0.2800
2022-02-24,0.2699,0.2699,0.2500,0.2599
2022-02-25,0.2799,0.2799,0.2000,0.2065
2022-02-28,0.2699,0.2699,0.2170,0.2170
2022-03-01,0.3424,0.3424,0.1900,0.1900
2022-03-02,0.2201,0.2201,0.2201,0.2201
2022-03-03,0.2202,0.2399,0.2202,0.2399
2022-03-04,0.2399,0.2399,0.2399,0.2399
2022-03-07,0.2380,0.2380,0.2379,0.2379
2022-03-08,0.2379,0.2379,0.2379,0.2379
2022-03-09,0.2349,0.2349,0.2202,0.2297
2022-03-10,0.2299,0.2299,0.2299,0.2299
2022-03-11,0.2299,0.2300,0.2299,0.2299
2022-03-14,0.2299,0.2300,0.2250,0.2250
2022-03-15,0.2202,0.2202,0.2202,0.2202
2022-03-16,0.2200,0.2200,0.2198,0.2198
