DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-04-09,15.3000,17.1799,13.2601,13.8900,2.262,
2021-04-12,13.0000,13.3400,12.5100,12.7500,0.315,
2021-04-13,12.8900,12.8900,11.6300,12.2300,0.154,
2021-04-14,12.3900,12.8500,11.7900,12.3200,0.128,
2021-04-15,12.5000,12.8600,12.5000,12.6900,0.029,
2021-04-16,13.0400,13.2300,12.7200,13.0000,0.044,
2021-04-19,13.0000,13.3500,12.7200,12.7200,0.035,
2021-04-20,12.8900,12.9165,12.7182,12.8700,0.023,
2021-04-21,12.8798,12.9084,12.7500,12.8000,0.009,
2021-04-22,12.7700,13.4562,12.5300,13.2000,0.143,
2021-04-23,13.5200,13.6900,12.9050,13.2000,0.084,
2021-04-26,13.0300,13.6900,12.8401,13.3900,0.117,
2021-04-27,13.6300,13.6800,13.0301,13.4600,0.131,
2021-04-28,13.6000,13.7300,13.3800,13.3800,0.093,
2021-04-29,13.2700,13.8800,13.0887,13.7800,0.126,
2021-04-30,13.8000,14.6400,13.5000,14.4000,0.137,
2021-05-03,14.6900,14.9072,14.3000,14.5000,0.080,
2021-05-04,14.4700,14.9500,13.8600,14.6500,0.131,
2021-05-05,14.7500,14.8300,14.3500,14.7500,0.095,
2021-05-06,14.8500,14.8851,14.5300,14.8400,0.070,
2021-05-07,14.9000,14.9500,14.4900,14.9300,0.098,
2021-05-10,14.9500,14.9500,13.4100,13.4100,0.047,
2021-05-11,13.1600,13.7500,12.4700,12.4700,0.024,
2021-05-12,12.5300,12.7200,10.9600,11.1500,0.046,
2021-05-13,11.0300,11.0300,7.8700,8.0100,0.106,
2021-05-14,8.5000,8.9383,7.6300,7.7800,0.147,
2021-05-17,7.7800,7.9000,7.7000,7.9000,0.064,
2021-05-18,8.0000,8.4699,7.9600,8.3600,0.086,
2021-05-19,8.2700,8.8400,8.0200,8.8300,0.039,
2021-05-20,8.8200,9.6399,8.8200,9.3900,0.052,
2021-05-21,9.4000,9.7500,9.3142,9.4900,0.072,
2021-05-24,9.5800,9.5800,9.2100,9.2100,0.012,
2021-05-25,9.1400,9.6400,9.0100,9.0900,0.027,
2021-05-26,9.1500,9.4800,9.1050,9.4100,0.056,
2021-05-27,9.3600,9.7650,9.0950,9.6600,0.014,
2021-05-28,9.5600,10.2600,8.8001,10.0500,0.029,
2021-06-01,10.4400,11.1600,10.0500,10.7800,0.064,
2021-06-02,10.6500,10.9600,10.6100,10.6900,0.031,
2021-06-03,10.6100,10.6100,9.0300,9.2300,0.093,
2021-06-04,9.5700,9.7200,9.2000,9.7000,0.052,
2021-06-07,9.8400,10.4290,9.6500,9.8300,0.043,
2021-06-08,9.9500,10.2390,9.4350,9.6300,0.056,
2021-06-09,9.8400,10.1400,9.5800,9.7300,0.044,
2021-06-10,9.7400,12.1400,9.7400,10.7100,0.205,
2021-06-11,10.6300,12.1400,10.6300,12.0000,0.063,
2021-06-14,12.2600,12.7800,11.5900,11.7100,0.086,
2021-06-15,11.6100,11.7100,9.8700,10.7300,0.094,
