DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2020-05-05,0.0790,0.0800,0.0790,0.0800,0.050,
2020-05-06,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-07,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-08,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-11,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-12,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-13,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-14,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-15,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-18,0.0800,0.0800,0.0800,0.0800,0.000,
2020-05-19,0.1400,0.2197,0.1400,0.2100,0.002,
2020-05-20,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-21,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-22,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-26,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-27,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-28,0.2100,0.2100,0.2100,0.2100,0.000,
2020-05-29,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-01,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-02,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-03,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-04,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-05,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-08,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-09,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-10,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-11,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-12,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-15,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-16,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-17,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-18,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-19,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-22,0.2100,0.2100,0.2100,0.2100,0.000,
2020-06-23,0.4300,0.4300,0.3483,0.3500,0.084,
2020-06-24,0.3500,0.3500,0.3500,0.3500,0.000,
2020-06-25,0.7000,0.7000,0.3984,0.3984,0.008,
2020-06-26,0.3984,0.3984,0.3984,0.3984,0.000,
2020-06-29,0.3984,0.3984,0.3984,0.3984,0.000,
2020-06-30,0.3984,0.3984,0.3984,0.3984,0.000,
2020-07-01,0.4700,0.7000,0.4700,0.5000,0.061,
2020-07-02,0.4000,0.5500,0.3995,0.4977,0.091,
2020-07-06,0.5200,0.7000,0.3500,0.6400,0.074,
2020-07-07,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-08,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-09,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-10,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-13,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-14,0.6400,0.6400,0.6400,0.6400,0.000,
2020-07-15,0.6400,0.6400,0.6400,0.6400,0.000,0.285
2020-07-16,0.6400,0.6400,0.6400,0.6400,0.000,0.296
2020-07-17,0.6400,0.6400,0.6400,0.6400,0.000,0.307
2020-07-20,0.6400,0.6400,0.6400,0.6400,0.000,0.319
2020-07-21,0.7000,0.7200,0.4100,0.4330,0.507,0.326
2020-07-22,0.4330,0.4330,0.4330,0.4330,0.000,0.333
2020-07-23,0.4330,0.4330,0.4330,0.4330,0.000,0.340
2020-07-24,0.4330,0.4330,0.4330,0.4330,0.000,0.347
2020-07-27,0.4330,0.4330,0.4330,0.4330,0.000,0.354
2020-07-28,0.4330,0.4330,0.4330,0.4330,0.000,0.361
2020-07-29,0.4330,0.4330,0.4330,0.4330,0.000,0.368
2020-07-30,0.4330,0.4330,0.4330,0.4330,0.000,0.373
2020-07-31,0.4330,0.4330,0.4330,0.4330,0.000,0.377
2020-08-03,0.4330,0.4330,0.4330,0.4330,0.000,0.381
2020-08-04,0.4330,0.4330,0.4330,0.4330,0.000,0.386
2020-08-05,0.4330,0.4330,0.4330,0.4330,0.000,0.390
2020-08-06,0.4330,0.4330,0.4330,0.4330,0.000,0.395
2020-08-07,0.4330,0.4330,0.4330,0.4330,0.000,0.399
2020-08-10,0.4330,0.4330,0.4330,0.4330,0.000,0.404
2020-08-11,0.4330,0.4330,0.4330,0.4330,0.000,0.408
2020-08-12,0.4330,0.4330,0.4330,0.4330,0.000,0.413
2020-08-13,0.4330,0.4330,0.4330,0.4330,0.000,0.417
2020-08-14,0.4330,0.4330,0.4330,0.4330,0.000,0.422
2020-08-17,0.4330,0.4330,0.4330,0.4330,0.000,0.426
2020-08-18,0.4330,0.4330,0.4330,0.4330,0.000,0.430
2020-08-19,0.4330,0.4330,0.4330,0.4330,0.000,0.435
2020-08-20,0.4330,0.4330,0.4330,0.4330,0.000,0.439
2020-08-21,0.4330,0.4330,0.4330,0.4330,0.000,0.444
2020-08-24,0.4330,0.4330,0.4330,0.4330,0.000,0.448
2020-08-25,0.4330,0.4330,0.4330,0.4330,0.000,0.453
2020-08-26,0.4330,0.4330,0.4330,0.4330,0.000,0.457
2020-08-27,0.4330,0.4330,0.4330,0.4330,0.000,0.462
2020-08-28,0.4330,0.4330,0.4330,0.4330,0.000,0.466
2020-08-31,0.4330,0.4330,0.4330,0.4330,0.000,0.471
2020-09-01,0.4330,0.4330,0.4330,0.4330,0.000,0.475
2020-09-02,0.4330,0.4330,0.4330,0.4330,0.000,0.477
2020-09-03,0.4330,0.4330,0.4330,0.4330,0.000,0.478
2020-09-04,0.4330,0.4330,0.4330,0.4330,0.000,0.479
2020-09-08,0.4330,0.4330,0.4330,0.4330,0.000,0.480
2020-09-09,0.4330,0.4330,0.4330,0.4330,0.000,0.480
2020-09-10,0.4330,0.4330,0.4330,0.4330,0.000,0.481
2020-09-11,0.4330,0.4330,0.4330,0.4330,0.000,0.480
2020-09-14,0.4330,0.4330,0.4330,0.4330,0.000,0.479
2020-09-15,0.4330,0.4330,0.4330,0.4330,0.000,0.474
2020-09-16,0.4330,0.4330,0.4330,0.4330,0.000,0.470
2020-09-17,0.4330,0.4330,0.4330,0.4330,0.000,0.466
2020-09-18,0.4330,0.4330,0.4330,0.4330,0.000,0.462
2020-09-21,0.4330,0.4330,0.4330,0.4330,0.000,0.458
2020-09-22,0.4330,0.4330,0.4330,0.4330,0.000,0.454
2020-09-23,0.4330,0.4330,0.4330,0.4330,0.000,0.450
2020-09-24,0.4330,0.4330,0.4330,0.4330,0.000,0.445
2020-09-25,0.4330,0.4330,0.4330,0.4330,0.000,0.441
2020-09-28,0.4330,0.4330,0.4330,0.4330,0.000,0.437
2020-09-29,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-09-30,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-01,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-02,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-05,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-06,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-07,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-08,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-09,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-12,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-13,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-14,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-15,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-16,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-19,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-20,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-21,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-22,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-23,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-26,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-27,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-28,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-29,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-10-30,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-02,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-03,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-04,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-05,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-06,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-09,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-10,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-11,0.4330,0.4330,0.4330,0.4330,0.000,0.433
2020-11-12,0.4080,0.4080,0.3875,0.3949,0.002,0.432
2020-11-13,0.3949,0.3949,0.3949,0.3949,0.000,0.431
2020-11-16,0.3949,0.3949,0.3949,0.3949,0.000,0.431
2020-11-17,0.3949,0.3949,0.3949,0.3949,0.000,0.430
2020-11-18,0.3949,0.3949,0.3949,0.3949,0.000,0.429
2020-11-19,0.3949,0.3949,0.3949,0.3949,0.000,0.428
2020-11-20,0.3949,0.3949,0.3949,0.3949,0.000,0.428
2020-11-23,0.3949,0.3949,0.3949,0.3949,0.000,0.427
2020-11-24,0.3949,0.3949,0.3949,0.3949,0.000,0.426
2020-11-25,0.3949,0.3949,0.3949,0.3949,0.000,0.425
2020-11-27,0.3949,0.3949,0.3949,0.3949,0.000,0.425
2020-11-30,0.3949,0.3949,0.3949,0.3949,0.000,0.424
2020-12-01,0.3949,0.3949,0.3949,0.3949,0.000,0.423
2020-12-02,0.3949,0.3949,0.3949,0.3949,0.000,0.422
2020-12-03,0.3949,0.3949,0.3949,0.3949,0.000,0.422
2020-12-04,0.3949,0.3949,0.3949,0.3949,0.000,0.421
2020-12-07,0.3949,0.3949,0.3949,0.3949,0.000,0.420
2020-12-08,1.1700,1.1700,0.6200,0.8400,0.137,0.428
2020-12-15,0.7600,0.7600,0.6012,0.7300,0.023,0.434
2020-12-16,0.6150,0.7200,0.5210,0.6001,0.106,0.437
2020-12-17,0.6310,0.6310,0.5500,0.5800,0.101,0.440
