DATE,OPEN,HIGH,LOW,CLOSE
2022-02-10,0.1700,0.1700,0.1700,0.1700
2022-02-11,0.2000,0.2700,0.2000,0.2200
2022-02-14,0.2200,0.2300,0.2200,0.2300
2022-02-15,0.2300,0.2499,0.2300,0.2499
2022-02-16,0.2663,0.2700,0.2500,0.2700
2022-02-17,0.2700,0.2700,0.2700,0.2700
2022-02-18,0.2700,0.2700,0.2700,0.2700
2022-02-22,0.2700,0.2700,0.2700,0.2700
2022-02-23,0.0100,0.4000,0.0100,0.2600
2022-02-24,0.2200,0.2200,0.2200,0.2200
2022-02-25,0.2200,0.2200,0.2200,0.2200
2022-02-28,0.2353,0.2353,0.2320,0.2320
2022-03-01,0.2300,0.2706,0.2300,0.2706
2022-03-02,0.2706,0.2706,0.2706,0.2706
2022-03-03,0.2706,0.2706,0.2706,0.2706
2022-03-04,0.2706,0.2706,0.2706,0.2706
2022-03-07,0.2706,0.2706,0.2706,0.2706
2022-03-08,0.1925,0.1950,0.1925,0.1950
2022-03-09,0.1950,0.1950,0.1950,0.1950
2022-03-10,0.1901,0.1902,0.1851,0.1851
2022-03-11,0.1827,0.1851,0.1500,0.1500
2022-03-14,0.1294,0.2141,0.1294,0.2000
2022-03-15,0.1975,0.2000,0.1900,0.2000
2022-03-16,0.1606,0.1606,0.1406,0.1452
2022-03-17,0.1555,0.1722,0.1555,0.1722
2022-03-18,0.1722,0.1722,0.1722,0.1722
2022-03-21,0.1722,0.1722,0.1722,0.1722
2022-03-22,0.2019,0.2031,0.1652,0.1900
2022-03-23,0.1900,0.1900,0.1900,0.1900
2022-03-24,0.1900,0.1900,0.1900,0.1900
2022-03-25,0.1700,0.1700,0.1700,0.1700
2022-03-28,0.1761,0.1800,0.1761,0.1800
2022-03-29,0.1900,0.1900,0.1761,0.1761
2022-03-30,0.1761,0.1800,0.1761,0.1763
2022-03-31,0.1766,0.1766,0.1766,0.1766
2022-04-01,0.1770,0.1900,0.1769,0.1770
2022-04-04,0.3480,0.3480,0.2944,0.2944
2022-04-05,0.2900,0.2900,0.2100,0.2100
2022-04-06,0.2260,0.2887,0.2202,0.2712
2022-04-07,0.2679,0.2679,0.1608,0.1750
2022-04-08,0.1706,0.1800,0.1599,0.1800
2022-04-11,0.1800,0.1800,0.1661,0.1662
2022-04-12,0.1720,0.2396,0.1614,0.1900
