DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-12-21,10.0000,10.2000,9.9700,9.9700,5.346,
2021-12-22,9.9900,9.9900,9.9800,9.9900,0.158,
2021-12-23,9.9900,9.9900,9.9800,9.9800,0.044,
2021-12-27,9.9899,10.0000,9.9877,10.0000,0.135,
2021-12-28,10.0000,10.0000,9.9900,10.0000,0.054,
2021-12-29,10.0000,10.0000,9.9900,10.0000,0.007,
2021-12-30,10.0000,10.0100,9.9900,10.0100,0.089,
2021-12-31,9.9700,10.0250,9.9700,10.0250,0.001,
2022-01-03,10.0500,10.0500,10.0500,10.0500,0.000,
2022-01-04,10.0500,10.0500,10.0500,10.0500,0.001,
2022-01-05,10.0400,10.0400,10.0200,10.0300,0.006,
2022-01-06,10.0300,10.0300,10.0300,10.0300,0.000,
2022-01-07,10.0400,10.0400,10.0201,10.0213,0.002,
2022-01-10,10.0300,10.0600,10.0200,10.0200,0.018,
2022-01-11,10.0200,10.0536,10.0200,10.0200,0.030,
2022-01-12,10.0400,10.0400,10.0200,10.0200,0.040,
2022-01-13,10.0200,10.0400,10.0200,10.0200,0.027,
2022-01-14,10.0200,10.0400,10.0200,10.0200,0.021,
2022-01-18,10.0200,10.0200,10.0100,10.0100,0.018,
2022-01-19,10.0000,10.0000,9.9999,10.0000,0.010,
2022-01-20,10.0000,10.0000,10.0000,10.0000,0.025,
2022-01-21,9.9900,10.0000,9.9800,9.9900,0.080,
2022-01-24,9.9819,9.9819,9.9500,9.9500,0.061,
2022-01-25,9.9500,9.9500,9.9500,9.9500,0.000,
2022-01-26,9.9500,9.9500,9.9500,9.9500,0.000,
2022-01-27,9.9900,9.9900,9.9900,9.9900,0.001,
2022-01-28,9.9600,9.9600,9.9400,9.9400,0.037,
2022-01-31,9.9400,9.9400,9.9400,9.9400,0.000,
2022-02-01,10.0000,10.0000,10.0000,10.0000,0.005,
2022-02-02,9.9800,9.9800,9.9500,9.9500,0.940,
2022-02-03,9.9500,9.9500,9.9500,9.9500,0.000,
2022-02-04,9.9500,9.9500,9.9500,9.9500,0.000,
2022-02-07,9.9900,9.9900,9.9900,9.9900,0.000,
2022-02-08,9.9900,10.0000,9.9500,10.0000,0.030,
2022-02-09,10.0000,10.0000,10.0000,10.0000,0.035,
2022-02-10,10.0000,10.0000,10.0000,10.0000,0.000,
2022-02-11,10.0000,10.0100,10.0000,10.0100,0.200,
2022-02-14,10.0300,10.0600,10.0300,10.0500,0.032,
2022-02-15,10.0400,10.0500,10.0400,10.0500,0.008,
2022-02-16,10.1000,10.1000,10.0500,10.0500,0.011,
2022-02-17,10.0500,10.0500,10.0500,10.0500,0.000,
2022-02-18,10.0900,10.0900,10.0900,10.0900,0.000,
2022-02-22,10.0500,10.0500,9.9000,9.9000,0.005,
2022-02-23,10.0900,10.1000,10.0900,10.0900,0.001,
2022-02-24,10.0400,10.0500,10.0400,10.0500,0.002,
2022-02-25,10.0500,10.0500,10.0500,10.0500,0.000,
2022-02-28,10.0500,10.0500,10.0500,10.0500,0.000,
2022-03-01,10.0500,10.0500,10.0500,10.0500,0.000,
2022-03-02,10.0500,10.0500,10.0500,10.0500,0.000,
