DATE,OPEN,HIGH,LOW,CLOSE
2007-12-03,689.3148,712.2920,654.8491,704.9393
2007-12-04,712.2920,712.2920,683.8003,707.6965
2007-12-05,707.6965,707.6965,655.3086,661.2827
2007-12-06,653.0109,660.8231,641.0628,648.4155
2007-12-07,642.4414,654.8491,626.3574,647.9559
2007-12-10,631.8719,652.5514,620.3833,628.1956
2007-12-11,627.2765,638.7651,614.8688,629.5742
2007-12-12,624.9788,642.9010,598.3253,608.8948
2007-12-13,615.7879,634.6246,598.7848,634.6246
2007-12-14,638.7651,647.9559,630.4979,642.4414
2007-12-17,628.1956,636.4673,615.7879,625.8979
2007-12-18,609.8138,643.3605,609.8138,624.0597
2007-12-19,624.9788,636.4673,606.1375,606.1375
2007-12-20,608.8948,610.2734,570.2931,588.2153
2007-12-21,630.4933,630.4933,579.0244,581.3222
2007-12-24,575.3481,581.7817,568.9145,578.1054
2007-12-26,581.3222,581.3222,562.9404,573.0504
2007-12-27,569.8336,574.4290,560.6427,572.1313
2007-12-28,573.0504,589.1344,567.5359,572.1313
2007-12-31,574.4290,590.5130,563.4000,590.5130
2008-01-02,589.1344,589.1344,559.2641,561.5618
2008-01-03,564.3191,571.2122,542.7205,547.3160
2008-01-04,541.3419,545.0182,489.8731,501.3616
2008-01-07,505.4975,521.1220,477.9249,502.2807
2008-01-08,505.4975,505.4975,464.1386,475.6272
2008-01-09,473.7891,482.5204,449.4333,459.5432
2008-01-10,458.6241,466.4364,437.4851,460.4623
2008-01-11,450.3523,486.1967,450.3523,471.0318
2008-01-14,467.3554,482.5204,467.3554,471.0318
2008-01-15,467.8150,467.8150,450.3523,451.2714
2008-01-16,450.3523,455.4073,434.2683,452.1905
2008-01-17,455.8669,455.8669,441.1615,450.3523
2008-01-18,450.3523,452.6501,438.8638,445.7569
2008-01-22,425.0775,443.4592,397.9644,443.4592
2008-01-23,434.2683,434.2683,413.5889,430.1324
2008-01-24,438.8638,449.8928,436.5661,445.7569
2008-01-25,450.3523,450.3523,442.5401,447.5951
2008-01-28,445.2974,453.1096,443.4592,450.8119
2008-01-29,452.6501,462.3005,452.6455,461.8409
2008-01-30,464.1386,505.0380,464.1386,494.0090
2008-01-31,487.1158,531.6869,478.4764,527.5556
2008-02-01,527.0961,530.7724,504.1189,514.6884
2008-02-04,514.6884,515.1479,505.4975,507.3357
2008-02-05,494.9280,504.1189,489.4135,489.8731
2008-02-06,495.8471,502.7403,481.1417,487.1158
2008-02-07,486.1967,498.6044,483.8990,494.0090
2008-02-08,493.0899,510.5525,493.0899,502.2807
2008-02-11,504.1189,528.4747,498.6044,518.8243
2008-02-12,523.4197,523.4197,507.3357,507.3357
2008-02-13,512.3907,530.7724,505.4975,526.6365
2008-02-14,542.2610,568.4550,542.2610,568.4550
2008-02-15,568.4550,570.7527,553.2900,563.4000
2008-02-19,567.0763,570.7527,555.1282,557.4259
2008-02-20,551.9114,556.0473,539.9633,547.7755
2008-02-21,552.3214,567.1488,552.3214,558.3450
2008-02-22,559.7351,563.4419,549.0779,557.4183
2008-02-25,558.8084,569.9289,555.1015,565.7587
2008-02-26,562.0519,564.8274,554.6381,555.1015
2008-02-27,569.0022,569.0022,556.4916,562.5152
2008-02-28,564.8320,564.8320,549.5412,556.4916
2008-02-29,556.0282,557.4183,546.7611,554.1748
2008-03-03,556.0282,561.5885,546.7611,550.9313
2008-03-04,545.3710,553.2481,537.4939,552.7847
2008-03-05,556.0282,558.3450,547.2244,551.3947
2008-03-06,551.3947,556.9549,544.4443,544.4443
2008-03-07,539.3474,550.0046,535.1772,546.2977
2008-03-10,541.2008,546.7611,504.5956,512.4727
2008-03-11,518.9597,538.8840,516.6429,525.4467
2008-03-12,524.9833,530.5436,517.5696,522.2032
2008-03-13,513.4457,522.6665,508.3025,518.4963
2008-03-14,519.4230,519.4230,498.1086,510.6192
2008-03-17,498.1086,500.4254,482.3545,499.4987
2008-03-18,504.1323,518.9597,504.1323,516.6429
2008-03-19,516.1795,516.6429,498.5766,500.4254
2008-03-20,499.9620,503.2055,491.1583,503.2055
2008-03-24,502.7422,516.6429,501.8155,514.3261
2008-03-25,512.9360,537.0306,512.4727,527.7635
2008-03-26,521.7398,545.8344,521.7398,538.4207
2008-03-27,534.7138,546.7611,531.9337,537.9573
2008-03-28,542.1275,542.1275,531.0069,531.0069
2008-03-31,532.8604,532.8604,524.5200,527.7635
2008-04-01,528.2268,539.8107,525.9100,531.9337
2008-04-02,532.8604,532.8604,521.4155,527.7635
2008-04-03,526.3780,531.9337,522.6665,529.1535
2008-04-04,530.0802,538.4207,526.8367,532.8604
2008-04-07,538.4207,556.0282,537.4939,548.1512
2008-04-08,548.1512,558.8084,532.8604,558.3450
2008-04-09,562.9786,564.8320,552.7847,555.5649
2008-04-10,558.3450,565.2954,553.7114,559.7397
2008-04-11,556.0282,565.2954,548.6145,553.2481
2008-04-14,542.1275,574.0991,542.1275,568.0755
2008-04-15,568.0755,581.9762,565.2954,569.9289
2008-04-16,576.4159,577.3426,568.0755,570.8556
2008-04-17,575.9526,578.7327,569.0022,570.3923
2008-04-18,579.1961,591.7067,573.1724,582.9029
2008-04-21,585.6831,589.3899,577.8060,582.9029
2008-04-22,586.6098,589.3899,579.1961,583.3663
2008-04-23,590.7800,593.0968,581.5128,581.9762
2008-04-24,584.7563,589.8533,556.0282,581.9762
2008-04-25,589.3899,589.3899,579.1961,587.5365
2008-04-28,595.4136,595.4136,583.8296,592.1701
2008-04-29,592.1701,620.8982,577.3426,582.4396
2008-04-30,581.5128,590.3166,573.6358,582.9029
2008-05-01,590.7800,593.0968,583.3663,586.6098
2008-05-02,588.4632,593.0968,581.9762,589.8533
2008-05-05,595.8769,604.6807,590.7800,600.5105
2008-05-06,604.2173,611.6310,600.0471,610.7043
2008-05-07,614.8745,650.5530,614.8745,641.7492
2008-05-08,623.2150,644.0660,621.3615,632.9455
2008-05-09,627.3852,641.7492,627.3852,637.5790
2008-05-12,642.2126,648.6996,635.7256,638.9691
2008-05-13,637.1157,648.6996,636.1890,642.6759
2008-05-14,655.7089,665.2119,643.8301,653.3332
2008-05-15,659.9853,659.9853,648.5816,656.6592
2008-05-16,660.4604,676.6156,660.4604,667.1125
2008-05-19,672.3392,688.9695,644.7804,650.9574
2008-05-20,665.2119,674.7150,661.8859,669.9635
2008-05-21,678.9913,684.2180,662.8362,665.2119
2008-05-22,669.0132,677.0907,614.8459,639.0786
2008-05-23,650.9574,659.5101,629.5756,645.2556
2008-05-27,650.9574,655.2338,627.6750,639.0786
2008-05-28,647.1562,662.8362,644.3053,660.4604
