DATE,OPEN,HIGH,LOW,CLOSE
2021-11-17,20.0600,38.7400,20.0600,38.2000
2021-11-18,43.2800,47.4900,28.0000,29.2900
2021-11-19,26.0200,28.4500,24.5100,24.8000
2021-11-22,23.8100,24.4099,19.5100,20.8300
2021-11-23,21.9900,23.5000,20.0300,20.3600
2021-11-24,20.2000,20.9799,17.8000,18.0100
2021-11-26,17.4400,17.9000,16.1400,17.2600
2021-11-29,17.5000,18.7700,16.3000,16.5600
2021-11-30,16.2800,17.2200,15.0000,15.1000
2021-12-01,15.3158,15.7399,12.5100,12.6300
2021-12-02,12.7500,14.4200,12.0400,14.1200
2021-12-03,13.9600,14.8699,13.2200,14.5700
2021-12-06,14.0900,14.5000,13.3900,14.0100
2021-12-07,14.3600,15.4700,13.7500,13.8800
2021-12-08,13.9100,14.8900,13.7700,14.5900
2021-12-09,14.1100,14.5990,13.5300,13.7900
2021-12-10,13.8200,14.4300,13.3000,14.2600
2021-12-13,14.2500,14.4000,12.8800,13.0000
2021-12-14,13.1100,13.1100,12.0400,12.1300
2021-12-15,12.2300,12.6900,11.5700,12.6500
2021-12-16,12.8713,12.8713,11.6300,11.7300
2021-12-17,11.7800,11.9500,11.1800,11.3500
2021-12-20,11.0000,11.0500,9.8200,10.1300
2021-12-21,10.2700,10.7600,9.9101,10.4200
2021-12-22,10.4200,12.2900,10.1600,11.8600
2021-12-23,11.8700,11.9500,10.9200,11.5500
2021-12-27,11.5000,11.7900,10.7700,10.8600
2021-12-28,10.8600,10.9766,9.8200,9.8800
2021-12-29,9.9300,10.1025,9.1000,9.4600
2021-12-30,9.4700,10.4400,9.3990,10.0500
2021-12-31,10.1200,10.3200,9.5800,9.6300
2022-01-03,9.8800,10.6500,9.8500,10.4900
2022-01-04,10.4500,10.5000,9.5200,9.5200
2022-01-05,9.6300,9.6500,8.6400,8.6500
2022-01-06,8.7900,8.8600,8.0000,8.4200
2022-01-07,8.4200,8.8800,8.1200,8.6500
2022-01-10,8.5500,8.5500,7.8000,8.0200
2022-01-11,8.1000,8.2899,7.6300,7.9500
2022-01-12,8.0000,8.3600,7.9400,8.0600
2022-01-13,8.1500,8.2900,7.5900,7.6600
2022-01-14,7.6300,7.7500,7.1900,7.5900
2022-01-18,7.5200,7.8300,7.1700,7.2100
2022-01-19,7.3400,7.3800,6.5300,6.5900
2022-01-20,6.6500,7.2300,6.6300,6.8100
2022-01-21,6.7100,6.8000,6.0401,6.2500
2022-01-24,5.9600,6.1000,5.4400,6.0300
2022-01-25,5.9500,6.2800,5.8900,6.1100
2022-01-26,6.3100,6.3600,5.7500,5.8000
2022-01-27,5.8900,5.9500,5.0700,5.0700
2022-01-28,5.2600,5.2800,4.8000,5.0100
2022-01-31,5.2800,5.8800,5.0300,5.6800
2022-02-01,5.8600,6.3500,5.5400,6.0500
2022-02-02,6.2100,6.2200,5.5600,5.6300
2022-02-03,5.4600,5.6300,5.3000,5.5200
2022-02-04,5.5300,5.6700,5.3300,5.5700
2022-02-07,5.6700,5.9598,5.6010,5.6600
2022-02-08,5.6300,6.0500,5.5200,6.0300
2022-02-09,6.1500,6.6999,6.1200,6.4500
2022-02-10,6.3800,6.4900,6.0400,6.0900
2022-02-11,6.1100,6.2600,5.4800,5.6000
2022-02-14,5.5500,6.3500,5.5500,6.0300
2022-02-15,6.2600,6.6300,6.1200,6.5900
2022-02-16,6.4944,6.5800,6.1000,6.2900
2022-02-17,6.0200,6.1300,5.7500,5.8600
2022-02-18,5.8500,5.9300,5.5900,5.6900
2022-02-22,5.4400,5.5800,5.0900,5.1400
2022-02-23,5.2500,5.4300,5.0000,5.0300
2022-02-24,4.6700,5.0800,4.5100,5.0700
2022-02-25,5.2100,5.2196,4.8400,4.9400
2022-02-28,4.9900,5.2500,4.8400,5.1700
2022-03-01,5.1100,5.1600,4.7200,4.7800
2022-03-02,4.9000,4.9100,4.6500,4.7900
2022-03-03,4.8000,4.8300,4.5200,4.5500
2022-03-04,4.6100,4.6100,4.2900,4.3200
2022-03-07,4.3100,4.3700,3.8800,4.0350
2022-03-08,4.1000,4.6799,3.9900,4.5200
2022-03-09,4.6250,4.7898,4.4800,4.6200
2022-03-10,4.5400,4.5792,4.4000,4.5200
2022-03-11,4.6000,4.6255,4.4000,4.5100
2022-03-14,4.5600,4.6011,4.0400,4.1000
2022-03-15,4.1200,4.3100,4.0000,4.2600
2022-03-16,4.5900,4.5954,4.3300,4.5300
2022-03-17,4.5600,4.9000,4.5001,4.8800
2022-03-18,5.2000,5.2000,4.8800,5.0400
2022-03-21,5.2400,5.5900,4.9000,5.4700
2022-03-22,5.4900,6.3800,5.4400,6.3400
2022-03-23,6.3700,6.8700,5.7600,5.8500
2022-03-24,5.8000,6.0800,5.5300,5.7300
2022-03-25,5.8100,5.8625,5.1700,5.2100
2022-03-28,5.4500,5.4700,5.0200,5.2800
2022-03-29,5.4500,5.8000,5.4500,5.6400
2022-03-30,5.5800,5.7900,5.4500,5.6600
2022-03-31,5.7400,5.7400,5.3328,5.3800
2022-04-01,5.5500,5.5500,5.1500,5.2200
2022-04-04,5.2500,5.5800,5.2200,5.4200
2022-04-05,5.4700,5.6600,5.3300,5.3700
2022-04-06,5.3200,5.3200,4.6500,4.7000
2022-04-07,4.8600,4.8600,4.3100,4.7100
2022-04-08,4.6300,4.6500,4.4200,4.4900
2022-04-11,4.5200,4.7100,4.4350,4.4800
2022-04-12,4.5300,4.6600,4.3450,4.4000
2022-04-13,4.4000,4.6600,4.4000,4.6600
2022-04-14,4.6000,4.7100,4.4200,4.4600
2022-04-18,4.5300,4.6500,4.2400,4.6000
2022-04-19,4.6500,8.7500,4.6500,7.6000
2022-04-20,7.0800,8.1400,6.7500,7.5000
2022-04-21,7.7700,8.1000,6.1000,6.3000
2022-04-22,6.3100,6.4400,5.7500,6.0400
2022-04-25,5.7700,6.2700,5.4300,6.1600
2022-04-26,5.9300,6.2699,5.7000,5.9000
2022-04-27,5.1800,5.2490,4.8000,4.9300
2022-04-28,4.8200,4.8700,4.5408,4.7700
2022-04-29,4.0400,4.2200,3.7500,3.9500
2022-05-02,3.9900,4.0700,3.5800,3.9300
2022-05-03,3.8500,4.0000,3.7000,3.9900
2022-05-04,3.9800,4.1000,3.7800,4.0400
2022-05-05,3.9200,4.0330,3.7800,3.9300
2022-05-06,3.9400,3.9499,3.5600,3.5900
2022-05-09,3.5000,3.5200,3.0900,3.1000
2022-05-10,3.2500,3.2700,2.9402,3.1300
2022-05-11,3.1100,3.3500,3.0000,3.0800
2022-05-12,2.9600,3.2900,2.8800,3.1700
2022-05-13,3.3400,3.4493,3.2500,3.2900
2022-05-16,3.2700,3.3500,3.0300,3.0400
2022-05-17,3.1200,3.3000,3.0900,3.1600
2022-05-18,3.0800,3.2800,2.8600,3.0000
2022-05-19,3.0600,3.2400,3.0100,3.1600
2022-05-20,3.1300,3.1700,2.8300,2.9900
2022-05-23,3.0200,3.0700,2.8500,3.0400
2022-05-24,2.9500,2.9500,2.7600,2.8000
2022-05-25,2.7700,2.8500,2.7000,2.7100
2022-05-26,2.7400,3.0100,2.7000,2.9700
2022-05-27,2.9800,3.2400,2.9300,3.2300
2022-05-31,3.2200,3.2800,3.1000,3.1900
2022-06-01,3.2300,3.2450,3.0392,3.0600
2022-06-02,3.1500,3.7100,3.0500,3.5000
2022-06-03,3.4500,3.4699,3.2050,3.2200
2022-06-06,3.3800,3.6900,3.2900,3.4200
2022-06-07,3.4000,3.5000,3.2900,3.4600
2022-06-08,3.4700,3.6400,3.3998,3.4200
2022-06-09,3.3500,3.3700,3.1550,3.1600
2022-06-10,3.1400,3.1600,2.9900,3.0700
2022-06-13,2.9900,2.9900,2.7700,2.8500
2022-06-14,3.0300,3.0850,2.8500,3.0100
2022-06-15,3.1000,3.1900,3.0100,3.0900
2022-06-16,2.9300,3.0000,2.7700,2.9950
2022-06-17,3.0600,3.1800,3.0300,3.0800
2022-06-21,3.2000,3.3300,3.1700,3.2500
2022-06-22,3.2000,3.3600,3.1400,3.1700
2022-06-23,3.1700,3.2750,3.0100,3.2600
2022-06-24,3.2600,3.3000,3.1200,3.1600
2022-06-27,3.1700,3.2500,3.0000,3.0900
2022-06-28,3.0900,3.2100,2.9300,2.9500
2022-06-29,3.0200,3.0200,2.8160,2.9350
2022-06-30,2.9000,3.0200,2.8100,2.9400
2022-07-01,2.9400,2.9700,2.7900,2.9400
2022-07-05,2.9700,3.0650,2.7950,3.0400
2022-07-06,3.0300,3.0700,2.9200,2.9300
2022-07-07,3.0000,3.0900,2.9500,3.0800
2022-07-08,3.0700,3.1300,2.9200,2.9800
2022-07-11,2.9700,2.9900,2.8300,2.8500
2022-07-12,2.8800,2.8800,2.7700,2.7900
2022-07-13,2.7500,2.8497,2.6750,2.7400
2022-07-14,2.6800,2.7100,2.5900,2.6900
2022-07-15,2.6900,2.7400,2.6000,2.6700
2022-07-18,2.7200,2.9300,2.7000,2.7500
2022-07-19,2.7900,2.9600,2.7900,2.8600
2022-07-20,2.9100,2.9800,2.8600,2.8800
2022-07-21,2.9000,3.0934,2.8100,3.0200
2022-07-22,3.0600,3.0600,2.7400,2.8000
2022-07-25,2.8800,3.0500,2.7200,2.8000
2022-07-26,2.7900,2.7900,2.6200,2.6600
2022-07-27,2.7000,2.7297,2.6300,2.6800
2022-07-28,2.7500,2.8500,2.6900,2.8400
2022-07-29,2.8750,3.0000,2.8400,2.9500
2022-08-01,2.9900,3.1500,2.9400,3.1500
2022-08-02,3.0700,3.2000,2.9700,3.1900
2022-08-03,3.1900,3.2200,3.0400,3.2200
2022-08-04,3.1800,3.2700,3.0550,3.1200
2022-08-05,3.1000,3.1800,3.0000,3.1600
2022-08-08,3.2000,3.4100,3.1600,3.3900
2022-08-09,3.5000,3.5300,3.3100,3.3300
2022-08-10,3.4500,3.8200,3.3900,3.7400
2022-08-11,3.7300,3.9800,3.6206,3.6900
2022-08-12,3.6900,3.7300,3.5100,3.7100
2022-08-15,3.7400,3.7667,3.5900,3.7000
2022-08-16,3.6700,3.7000,3.5500,3.6700
2022-08-17,3.6300,3.6600,3.4300,3.4800
2022-08-18,3.4800,3.5300,3.3500,3.4200
2022-08-19,3.3400,3.3900,3.2500,3.3200
2022-08-22,3.2500,3.2600,3.0000,3.0400
2022-08-23,3.0300,3.0600,2.9350,2.9800
2022-08-24,2.9800,3.0700,2.9400,3.0100
2022-08-25,3.0400,3.1100,2.9700,3.1100
2022-08-26,3.0800,3.1100,2.9300,2.9800
2022-08-29,2.9900,3.0500,2.9200,2.9400
2022-08-30,2.9900,2.9900,2.8500,2.9000
