DATE,OPEN,HIGH,LOW,CLOSE
2021-07-02,9.3700,9.6500,9.2000,9.3300
2021-07-06,9.3900,9.4325,8.2400,8.2800
2021-07-07,9.0000,9.1436,7.7300,7.8300
2021-07-08,7.8100,8.0300,7.2017,7.4300
2021-07-09,7.5300,8.0750,7.3100,7.7700
2021-07-12,8.1488,8.1488,7.1700,7.3500
2021-07-13,7.4300,7.6000,7.0900,7.1500
2021-07-14,7.2100,7.4400,6.3500,6.4300
2021-07-15,6.4400,6.7900,6.3900,6.7000
2021-07-16,6.6900,6.9800,6.4100,6.4800
2021-07-19,6.4500,6.8599,6.3700,6.7100
2021-07-20,7.2000,7.2000,6.4000,6.5000
2021-07-21,6.4700,7.3300,6.4500,7.1700
2021-07-22,7.0900,7.3500,6.9000,7.3100
2021-07-23,7.3000,7.4800,6.8800,7.4600
2021-07-26,7.4500,7.5800,6.8100,7.1700
2021-07-27,7.0400,7.0700,6.5200,6.5600
2021-07-28,7.0700,7.3800,6.7100,7.1000
2021-07-29,7.0200,7.8100,7.0000,7.4200
2021-07-30,7.2000,8.4100,7.0300,8.0600
2021-08-02,8.3000,8.5000,7.9000,8.3500
2021-08-03,8.4000,8.4000,7.5300,7.5900
2021-08-04,7.8100,7.9200,6.6500,6.8100
2021-08-05,6.9840,7.3900,6.8300,7.3200
2021-08-06,7.2800,7.3800,6.9100,7.1600
