DATE,OPEN,HIGH,LOW,CLOSE
1994-04-12,1.2631,1.2631,1.2323,1.2631
1994-04-13,1.2631,1.2939,1.2323,1.2483
1994-04-14,1.2939,1.2939,1.2323,1.2631
1994-04-15,1.2939,1.2939,1.2323,1.2631
1994-04-18,1.2483,1.2483,1.2323,1.2323
1994-04-19,1.2397,1.2939,1.2323,1.2939
1994-04-20,1.2323,1.2323,1.2323,1.2323
1994-04-21,1.2631,1.2631,1.2323,1.2631
1994-04-22,1.2631,1.2631,1.2631,1.2631
1994-04-25,1.2483,1.2483,1.2483,1.2483
1994-04-26,1.2631,1.2631,1.2323,1.2631
1994-04-28,1.2631,1.2631,1.2323,1.2557
1994-04-29,1.2483,1.2631,1.2323,1.2483
1994-05-02,1.2557,1.2631,1.2323,1.2397
1994-05-03,1.2323,1.2631,1.2323,1.2323
1994-05-04,1.2631,1.2631,1.2323,1.2483
1994-05-05,1.2631,1.2631,1.2397,1.2397
1994-05-06,1.2323,1.2323,1.2323,1.2323
1994-05-09,1.2323,1.2483,1.2323,1.2483
1994-05-10,1.2323,1.2631,1.2169,1.2483
1994-05-11,1.2323,1.2631,1.2169,1.2483
1994-05-12,1.2631,1.2631,1.2631,1.2631
1994-05-13,1.2323,1.2631,1.2323,1.2631
1994-05-16,1.2483,1.2483,1.2483,1.2483
1994-05-17,1.2323,1.2483,1.2323,1.2483
1994-05-18,1.2483,1.2483,1.2483,1.2483
1994-05-19,1.2323,1.2483,1.2323,1.2483
1994-05-20,1.2483,1.2483,1.2169,1.2397
1994-05-23,1.2397,1.2483,1.2169,1.2323
1994-05-24,1.2397,1.2397,1.2246,1.2246
1994-05-25,1.2323,1.2483,1.2169,1.2483
1994-05-26,1.2397,1.2939,1.2323,1.2791
1994-05-27,1.2939,1.3099,1.2631,1.3013
1994-05-31,1.3247,1.3407,1.2791,1.3247
1994-06-01,1.3407,1.3407,1.2939,1.3407
1994-06-02,1.3407,1.3407,1.3173,1.3407
1994-06-03,1.3407,1.3407,1.3099,1.3407
1994-06-06,1.3407,1.3407,1.3013,1.3407
1994-06-07,1.3247,1.3247,1.3099,1.3247
1994-06-08,1.3247,1.3407,1.2939,1.3173
1994-06-09,1.3407,1.3407,1.3099,1.3407
1994-06-10,1.3407,1.3407,1.3099,1.3407
1994-06-13,1.3407,1.3407,1.3247,1.3247
1994-06-14,1.3407,1.3407,1.3247,1.3407
1994-06-15,1.3247,1.3555,1.3099,1.3247
1994-06-16,1.3715,1.3863,1.3555,1.3555
1994-06-17,1.3715,1.4023,1.3555,1.4023
1994-06-20,1.3407,1.4023,1.3407,1.3863
1994-06-21,1.3863,1.4023,1.3407,1.3555
1994-06-22,1.3863,1.3863,1.3863,1.3863
1994-06-23,1.3715,1.3863,1.3555,1.3666
1994-06-24,1.3629,1.3863,1.3555,1.3629
1994-06-27,1.3592,1.3715,1.3407,1.3407
1994-06-28,1.3715,1.3715,1.3407,1.3407
1994-06-29,1.3863,1.3863,1.3407,1.3629
1994-06-30,1.3407,1.3863,1.3407,1.3629
1994-07-01,1.3555,1.3863,1.3555,1.3555
1994-07-05,1.3715,1.3863,1.3407,1.3407
1994-07-06,1.3407,1.3863,1.3407,1.3715
1994-07-07,1.3715,1.3715,1.3555,1.3555
1994-07-08,1.3863,1.3863,1.3407,1.3555
1994-07-11,1.3715,1.3863,1.3407,1.3715
1994-07-12,1.3863,1.3863,1.3863,1.3863
1994-07-13,1.3863,1.4023,1.3555,1.4023
1994-07-14,1.3863,1.4023,1.3555,1.4023
1994-07-15,1.3863,1.4023,1.3715,1.3863
1994-07-18,1.3863,1.4171,1.3555,1.4171
1994-07-19,1.4171,1.4171,1.4023,1.4171
1994-07-20,1.3555,1.4171,1.3555,1.4171
1994-07-21,1.4171,1.4479,1.3863,1.4479
1994-07-22,1.4171,1.4479,1.3863,1.4479
1994-07-25,1.3863,1.4479,1.3863,1.4479
1994-07-26,1.4640,1.4640,1.4171,1.4640
1994-07-27,1.4640,1.4787,1.4479,1.4479
1994-07-28,1.4405,1.5095,1.4331,1.5095
1994-07-29,1.5095,1.5095,1.4640,1.5095
1994-08-01,1.5095,1.5095,1.4787,1.5095
1994-08-02,1.5256,1.5712,1.5256,1.5564
1994-08-03,1.5712,1.5712,1.5404,1.5477
1994-08-04,1.5404,1.5564,1.5095,1.5256
1994-08-05,1.5095,1.5564,1.5095,1.5564
1994-08-08,1.5564,1.5564,1.5564,1.5564
1994-08-09,1.5564,1.5564,1.5564,1.5564
1994-08-10,1.5564,1.5564,1.5256,1.5564
1994-08-11,1.5256,1.5564,1.5256,1.5564
1994-08-12,1.5564,1.5564,1.5404,1.5404
1994-08-15,1.5095,1.5564,1.5095,1.5564
1994-08-16,1.4948,1.5564,1.4948,1.5564
1994-08-17,1.4948,1.5564,1.4948,1.5564
1994-08-18,1.5564,1.5564,1.5564,1.5564
1994-08-19,1.5564,1.5564,1.4948,1.4948
1994-08-22,1.5564,1.5564,1.5564,1.5564
1994-08-23,1.5564,1.5564,1.5564,1.5564
1994-08-24,1.5095,1.5564,1.5095,1.5564
1994-08-25,1.5095,1.5564,1.5095,1.5564
1994-08-26,1.5095,1.5095,1.5095,1.5095
1994-08-29,1.5564,1.5564,1.5564,1.5564
1994-08-30,1.5564,1.5564,1.5564,1.5564
1994-08-31,1.5095,1.5564,1.5095,1.5256
1994-09-01,1.5564,1.5564,1.5095,1.5095
1994-09-02,1.5095,1.5095,1.5095,1.5095
1994-09-06,1.5564,1.5564,1.5564,1.5564
1994-09-07,1.5564,1.5564,1.5564,1.5564
1994-09-08,1.5404,1.5404,1.4787,1.4787
1994-09-09,1.4479,1.4479,1.4479,1.4479
1994-09-12,1.4479,1.4479,1.4479,1.4479
1994-09-13,1.4479,1.5095,1.4479,1.5095
1994-09-14,1.5095,1.5095,1.4479,1.5095
1994-09-15,1.5095,1.5095,1.5095,1.5095
1994-09-16,1.4479,1.4787,1.4331,1.4787
1994-09-19,1.4134,1.4948,1.4134,1.4948
1994-09-20,1.4948,1.4948,1.4640,1.4640
1994-09-21,1.4331,1.4787,1.4331,1.4787
1994-09-22,1.4331,1.5095,1.4331,1.5095
1994-09-23,1.4479,1.4787,1.4479,1.4787
1994-09-26,1.4479,1.4479,1.4479,1.4479
1994-09-27,1.4479,1.5095,1.4479,1.4479
1994-09-28,1.5095,1.5095,1.5095,1.5095
1994-09-29,1.4479,1.4479,1.4479,1.4479
1994-09-30,1.4640,1.4640,1.4640,1.4640
1994-10-03,1.4640,1.4640,1.4640,1.4640
1994-10-04,1.4171,1.4479,1.3863,1.3863
1994-10-05,1.3863,1.4171,1.3863,1.4171
1994-10-06,1.4171,1.4171,1.3555,1.3555
1994-10-07,1.3863,1.3863,1.3247,1.3247
1994-10-10,1.3863,1.3863,1.3247,1.3247
1994-10-11,1.3863,1.3863,1.3247,1.3247
1994-10-12,1.3863,1.3863,1.3863,1.3863
1994-10-13,1.3863,1.3863,1.3555,1.3715
1994-10-14,1.4171,1.4331,1.4171,1.4331
1994-10-17,1.4479,1.4479,1.4479,1.4479
1994-10-18,1.4171,1.4171,1.4171,1.4171
1994-10-19,1.3715,1.4787,1.3715,1.4787
1994-10-20,1.4171,1.4171,1.4171,1.4171
1994-10-21,1.4171,1.4171,1.4023,1.4171
1994-10-24,1.3863,1.3863,1.3863,1.3863
1994-10-25,1.3863,1.3863,1.3863,1.3863
1994-10-26,1.3863,1.4479,1.3863,1.3863
1994-10-27,1.3555,1.3555,1.3555,1.3555
1994-10-28,1.4171,1.4171,1.3555,1.3555
1994-10-31,1.3555,1.3863,1.3555,1.3863
1994-11-01,1.3247,1.3863,1.3247,1.3715
1994-11-02,1.3247,1.3247,1.3247,1.3247
1994-11-03,1.3247,1.3247,1.3247,1.3247
1994-11-04,1.3247,1.3247,1.3247,1.3247
1994-11-07,1.3247,1.3247,1.3247,1.3247
1994-11-08,1.3247,1.3247,1.3247,1.3247
1994-11-09,1.3863,1.3863,1.3407,1.3863
1994-11-10,1.3863,1.3863,1.3863,1.3863
1994-11-11,1.3407,1.3863,1.3407,1.3863
1994-11-14,1.3247,1.3555,1.3247,1.3247
1994-11-15,1.3247,1.3247,1.3247,1.3247
1994-11-16,1.3247,1.3247,1.3247,1.3247
1994-11-17,1.3247,1.3555,1.3247,1.3247
1994-11-18,1.2631,1.2939,1.2323,1.2323
1994-11-21,1.2015,1.2015,1.2015,1.2015
1994-11-22,1.1399,1.1399,1.1091,1.1245
1994-11-23,1.1399,1.2015,1.1399,1.2015
1994-11-25,1.2015,1.2323,1.2015,1.2323
1994-11-28,1.2169,1.2169,1.2169,1.2169
1994-11-29,1.2015,1.2631,1.2015,1.2631
1994-11-30,1.2323,1.2323,1.2323,1.2323
1994-12-01,1.3247,1.3247,1.2791,1.2791
1994-12-02,1.2631,1.2631,1.2631,1.2631
1994-12-05,1.2483,1.2483,1.2483,1.2483
1994-12-06,1.2631,1.2631,1.2483,1.2483
1994-12-07,1.2939,1.2939,1.2939,1.2939
1994-12-08,1.2323,1.2939,1.2323,1.2939
1994-12-09,1.2939,1.2939,1.2939,1.2939
1994-12-12,1.2631,1.2631,1.2323,1.2323
1994-12-13,1.2631,1.2631,1.2631,1.2631
1994-12-14,1.2175,1.2175,1.2175,1.2175
1994-12-15,1.2015,1.2207,1.2015,1.2015
1994-12-16,1.2323,1.2323,1.2015,1.2169
1994-12-19,1.2175,1.2175,1.2175,1.2175
1994-12-20,1.2323,1.2323,1.2015,1.2015
1994-12-21,1.2015,1.2323,1.2015,1.2015
1994-12-22,1.1091,1.2015,1.0474,1.2015
1994-12-23,1.2015,1.2015,1.2015,1.2015
1994-12-27,1.2015,1.2015,1.2015,1.2015
1994-12-28,1.1707,1.1707,1.1707,1.1707
1994-12-29,1.2015,1.2015,1.2015,1.2015
1994-12-30,1.2169,1.2939,1.2015,1.2939
1995-01-03,1.2939,1.2939,1.2939,1.2939
1995-01-04,1.2939,1.2939,1.2939,1.2939
1995-01-05,1.2939,1.3407,1.2169,1.3407
1995-01-06,1.3555,1.3863,1.2631,1.3555
1995-01-09,1.3863,1.3863,1.3863,1.3863
1995-01-10,1.3555,1.3555,1.3555,1.3555
1995-01-11,1.3247,1.3247,1.3247,1.3247
1995-01-12,1.3247,1.3247,1.3247,1.3247
1995-01-13,1.3247,1.3247,1.3247,1.3247
1995-01-16,1.3247,1.3555,1.3247,1.3555
1995-01-17,1.3555,1.3555,1.3555,1.3555
1995-01-18,1.3247,1.3555,1.3247,1.3555
1995-01-19,1.3863,1.3863,1.3863,1.3863
1995-01-20,1.3863,1.3863,1.3863,1.3863
1995-01-23,1.3555,1.3555,1.3555,1.3555
1995-01-24,1.3247,1.3863,1.3247,1.3863
1995-01-25,1.3555,1.3555,1.3555,1.3555
1995-01-26,1.3247,1.3247,1.3247,1.3247
1995-01-27,1.4171,1.4171,1.3247,1.3247
1995-01-30,1.4171,1.4171,1.4171,1.4171
1995-01-31,1.4171,1.4171,1.4171,1.4171
1995-02-01,1.3863,1.4787,1.3863,1.4479
1995-02-02,1.4787,1.4787,1.4787,1.4787
1995-02-03,1.4479,1.4787,1.4479,1.4787
1995-02-06,1.4787,1.4787,1.4171,1.4787
1995-02-07,1.4787,1.4787,1.4787,1.4787
1995-02-08,1.4171,1.4787,1.4171,1.4171
1995-02-09,1.4479,1.4479,1.4479,1.4479
1995-02-10,1.4479,1.4479,1.4479,1.4479
1995-02-13,1.4331,1.4553,1.4171,1.4171
1995-02-14,1.4479,1.4479,1.4479,1.4479
1995-02-15,1.4787,1.4787,1.4171,1.4171
1995-02-16,1.4479,1.4479,1.4171,1.4479
1995-02-17,1.4479,1.4479,1.4479,1.4479
1995-02-21,1.4479,1.4479,1.4479,1.4479
1995-02-22,1.4787,1.4787,1.4171,1.4171
1995-02-23,1.4171,1.4171,1.4171,1.4171
1995-02-24,1.4479,1.4787,1.4479,1.4787
1995-02-27,1.4331,1.4787,1.4171,1.4171
1995-02-28,1.4787,1.4787,1.4787,1.4787
1995-03-01,1.4640,1.4640,1.4640,1.4640
1995-03-02,1.4479,1.4479,1.4171,1.4171
1995-03-03,1.4640,1.4787,1.4171,1.4787
1995-03-06,1.4787,1.4787,1.4331,1.4787
1995-03-07,1.4787,1.4787,1.4787,1.4787
1995-03-08,1.4787,1.4787,1.4171,1.4171
1995-03-09,1.4787,1.5404,1.4787,1.5404
1995-03-10,1.5095,1.5404,1.5022,1.5404
1995-03-13,1.4787,1.5404,1.4787,1.5404
1995-03-14,1.4787,1.5712,1.4787,1.5712
1995-03-15,1.5712,1.6020,1.5095,1.5712
1995-03-16,1.6020,1.6020,1.6020,1.6020
1995-03-17,1.6020,1.6020,1.5712,1.6020
1995-03-20,1.6020,1.6020,1.5712,1.6020
1995-03-21,1.5404,1.5786,1.5404,1.5712
1995-03-22,1.5404,1.6020,1.5404,1.6020
1995-03-23,1.6020,1.6020,1.5404,1.6020
1995-03-24,1.6020,1.6636,1.6020,1.6328
1995-03-27,1.6020,1.6636,1.6020,1.6636
1995-03-28,1.6636,1.6636,1.6636,1.6636
1995-03-29,1.5712,1.6636,1.5712,1.6636
1995-03-30,1.6636,1.6636,1.6094,1.6636
1995-03-31,1.6636,1.6636,1.5712,1.5712
1995-04-03,1.6180,1.6180,1.6020,1.6020
1995-04-04,1.6636,1.6636,1.6636,1.6636
1995-04-05,1.5712,1.6636,1.5712,1.6636
1995-04-06,1.6020,1.6636,1.6020,1.6328
1995-04-07,1.6636,1.6636,1.6636,1.6636
1995-04-10,1.6636,1.6636,1.6328,1.6328
1995-04-11,1.6020,1.6636,1.6020,1.6636
1995-04-12,1.6636,1.6636,1.6020,1.6488
1995-04-13,1.6636,1.6636,1.6020,1.6488
1995-04-17,1.6636,1.6636,1.6020,1.6488
1995-04-18,1.6636,1.6944,1.6488,1.6944
1995-04-19,1.6944,1.6944,1.6488,1.6488
1995-04-20,1.6636,1.7868,1.6636,1.7868
1995-04-21,1.8176,1.9100,1.7868,1.8176
1995-04-24,1.8484,1.8484,1.7868,1.8176
1995-04-25,1.8484,1.8484,1.7868,1.7868
1995-04-26,1.8484,1.8484,1.7868,1.7868
1995-04-27,1.7868,1.8176,1.7868,1.7868
1995-04-28,1.8484,1.8484,1.8176,1.8484
1995-05-01,1.7868,1.8484,1.7868,1.8484
1995-05-02,1.7868,1.8484,1.7868,1.8028
1995-05-03,1.8484,1.8484,1.8176,1.8176
1995-05-04,1.8484,1.8484,1.7868,1.8484
1995-05-05,1.7868,1.8484,1.7868,1.7868
1995-05-08,1.8484,1.8484,1.8484,1.8484
1995-05-09,1.8331,1.8642,1.8182,1.8182
1995-05-10,1.8170,1.8170,1.8170,1.8170
1995-05-11,1.8331,1.8642,1.8182,1.8182
1995-05-12,1.8642,1.8642,1.8021,1.8021
1995-05-15,1.8021,1.8021,1.8021,1.8021
1995-05-16,1.7710,1.8331,1.7710,1.7710
1995-05-17,1.7710,1.7710,1.7710,1.7710
1995-05-18,1.7710,1.8331,1.7710,1.8331
1995-05-19,1.8021,1.8021,1.7399,1.7399
1995-05-22,1.8021,1.8021,1.7710,1.7710
1995-05-23,1.8021,1.8021,1.7710,1.7872
1995-05-24,1.7872,1.7872,1.7872,1.7872
1995-05-25,1.7710,1.8331,1.7710,1.8331
1995-05-26,1.8331,1.8493,1.7710,1.8493
1995-05-30,1.8331,1.8642,1.8331,1.8642
1995-05-31,1.8331,1.8642,1.8331,1.8331
1995-06-01,1.8331,1.8642,1.8331,1.8642
1995-06-02,1.8642,1.8642,1.8642,1.8642
1995-06-05,1.8642,1.8642,1.8331,1.8331
1995-06-06,1.8331,1.8331,1.8331,1.8331
1995-06-07,1.8642,1.8642,1.8331,1.8331
1995-06-08,1.8642,1.8642,1.8331,1.8331
1995-06-09,1.8642,1.8642,1.8493,1.8642
1995-06-12,1.8642,1.8642,1.8642,1.8642
1995-06-13,1.8331,1.8642,1.8331,1.8642
1995-06-14,1.8642,1.8642,1.8331,1.8331
1995-06-15,1.8493,1.8642,1.8493,1.8642
1995-06-16,1.8331,1.8642,1.8331,1.8642
1995-06-19,1.8642,1.8642,1.8642,1.8642
1995-06-20,1.8331,1.8331,1.8331,1.8331
1995-06-21,1.8331,1.8493,1.8331,1.8331
1995-06-22,1.8331,1.8493,1.8331,1.8331
1995-06-23,1.8331,1.8642,1.8331,1.8642
1995-06-26,1.8642,1.8642,1.8331,1.8493
1995-06-27,1.8642,1.8642,1.8642,1.8642
1995-06-28,1.8642,1.8642,1.8642,1.8642
1995-06-29,1.8331,1.8493,1.8331,1.8331
1995-06-30,1.8331,1.8331,1.8331,1.8331
1995-07-03,1.8331,1.8331,1.8331,1.8331
1995-07-05,1.8331,1.8642,1.8331,1.8642
1995-07-06,1.8642,1.8642,1.8642,1.8642
1995-07-07,1.8331,1.8331,1.8331,1.8331
1995-07-10,1.8331,1.8331,1.8331,1.8331
1995-07-11,1.8642,1.8642,1.8642,1.8642
1995-07-12,1.8642,1.8642,1.8331,1.8331
1995-07-13,1.8331,1.8953,1.8331,1.8642
1995-07-14,1.8642,1.8953,1.8642,1.8953
1995-07-17,1.8953,1.8953,1.8953,1.8953
1995-07-18,1.8642,1.8953,1.8642,1.8642
1995-07-19,1.8642,1.8953,1.8642,1.8953
1995-07-20,1.8642,1.8642,1.8331,1.8331
1995-07-21,1.8331,1.8331,1.8331,1.8331
1995-07-24,1.8642,1.8642,1.8642,1.8642
1995-07-25,1.8331,1.8642,1.8331,1.8642
1995-07-26,1.8642,1.8642,1.8642,1.8642
1995-07-27,1.8642,1.8642,1.8642,1.8642
1995-07-28,1.8331,1.8331,1.8331,1.8331
1995-07-31,1.8331,1.8331,1.8331,1.8331
1995-08-01,1.8953,1.8953,1.8331,1.8331
1995-08-02,1.8331,1.8331,1.8331,1.8331
1995-08-03,1.8331,1.8642,1.8331,1.8331
1995-08-04,1.8331,1.8642,1.8331,1.8331
1995-08-07,1.8331,1.8331,1.8331,1.8331
1995-08-08,1.8331,1.8331,1.8331,1.8331
1995-08-09,1.8331,1.8331,1.8331,1.8331
1995-08-10,1.8331,1.8331,1.8331,1.8331
1995-08-11,1.8487,1.8487,1.8487,1.8487
1995-08-14,1.8487,1.8487,1.8487,1.8487
1995-08-15,1.8800,1.9113,1.8487,1.8800
1995-08-16,1.8800,1.8800,1.8800,1.8800
1995-08-17,1.9113,1.9113,1.8487,1.9113
1995-08-18,1.8963,1.8963,1.8487,1.8487
1995-08-21,1.9113,1.9113,1.9113,1.9113
1995-08-22,1.9113,1.9113,1.9113,1.9113
1995-08-23,1.8487,1.8487,1.8487,1.8487
1995-08-24,1.8487,1.9113,1.8487,1.9113
1995-08-25,1.8487,1.8487,1.8487,1.8487
1995-08-28,1.8487,1.8487,1.8487,1.8487
1995-08-29,1.9113,1.9113,1.9113,1.9113
1995-08-30,1.9113,1.9113,1.8650,1.8650
1995-08-31,1.8650,1.8650,1.8650,1.8650
1995-09-01,1.8650,1.8650,1.8650,1.8650
1995-09-05,1.8650,1.8650,1.8650,1.8650
1995-09-06,1.9113,1.9113,1.9113,1.9113
1995-09-07,1.9113,1.9113,1.9113,1.9113
1995-09-08,1.8650,1.9113,1.8650,1.9113
1995-09-11,1.9113,1.9113,1.9113,1.9113
1995-09-12,1.8963,1.8963,1.8650,1.8650
1995-09-13,1.8650,1.9113,1.8650,1.9113
1995-09-14,1.8650,1.8800,1.8650,1.8800
1995-09-15,1.9113,1.9113,1.8963,1.8963
1995-09-18,1.8963,1.9427,1.8963,1.9427
1995-09-19,1.9427,1.9427,1.8963,1.9427
1995-09-20,1.8963,1.9427,1.8963,1.9427
1995-09-21,1.9113,1.9427,1.9113,1.9427
1995-09-22,1.9276,1.9276,1.9276,1.9276
1995-09-25,1.9740,2.0367,1.9427,2.0367
1995-09-26,2.0053,2.0993,2.0053,2.0993
1995-09-27,2.0993,2.0993,2.0680,2.0680
1995-09-28,2.1307,2.1307,2.0680,2.0680
1995-09-29,2.1307,2.1620,2.0993,2.1620
1995-10-02,2.1620,2.1620,2.1307,2.1620
1995-10-03,2.1620,2.1620,2.1620,2.1620
1995-10-04,2.1620,2.1620,2.1307,2.1307
1995-10-05,2.1933,2.1933,2.1620,2.1620
1995-10-06,2.1307,2.1933,2.1307,2.1858
1995-10-09,2.1933,2.1933,2.1933,2.1933
1995-10-10,2.1933,2.1933,2.1307,2.1307
1995-10-11,2.1307,2.1307,2.1307,2.1307
1995-10-12,2.1307,2.1307,2.1307,2.1307
1995-10-13,2.1620,2.1933,2.1307,2.1783
1995-10-16,2.1470,2.1470,2.1307,2.1307
1995-10-17,2.1307,2.1307,2.1307,2.1307
1995-10-18,2.1933,2.1933,2.1933,2.1933
1995-10-19,2.1933,2.1933,2.1933,2.1933
1995-10-20,2.1307,2.1307,2.1307,2.1307
1995-10-23,2.1307,2.1307,2.1307,2.1307
1995-10-24,2.1307,2.1933,2.1307,2.1933
1995-10-25,2.1783,2.1783,2.1307,2.1307
1995-10-26,2.1307,2.1307,2.0843,2.0843
1995-10-27,2.0680,2.0843,2.0680,2.0680
1995-10-30,2.0680,2.0680,2.0680,2.0680
