DATE,OPEN,HIGH,LOW,CLOSE
2022-04-25,10.0300,10.0300,10.0200,10.0266
2022-04-26,10.0300,10.0400,10.0300,10.0400
2022-04-27,10.0300,10.0432,10.0300,10.0432
2022-04-28,10.0704,10.0704,10.0478,10.0478
2022-04-29,10.0478,10.0478,10.0478,10.0478
2022-05-02,10.0478,10.0478,10.0478,10.0478
2022-05-03,10.0400,10.0400,10.0400,10.0400
2022-05-04,10.0400,10.0400,10.0400,10.0400
2022-05-05,10.0600,10.0800,10.0600,10.0800
2022-05-06,10.0800,10.0800,10.0800,10.0800
2022-05-09,10.0800,10.0800,10.0800,10.0800
2022-05-10,10.0200,10.0200,10.0100,10.0100
2022-05-11,10.0100,10.0100,9.9900,9.9900
2022-05-12,9.9900,10.0400,9.9900,9.9900
2022-05-13,10.0400,10.0400,10.0400,10.0400
2022-05-16,9.9900,9.9900,9.9600,9.9700
2022-05-17,9.9847,9.9847,9.9700,9.9700
2022-05-19,9.9800,9.9800,9.9700,9.9700
