DATE,OPEN,HIGH,LOW,CLOSE
1998-03-05,29.2690,30.3143,28.4746,28.7673
1998-03-06,29.5199,29.5199,28.4746,29.0181
1998-03-09,29.2690,29.2690,27.9728,28.7673
1998-03-10,29.2690,32.4050,29.0181,30.8579
1998-03-11,31.1088,33.1994,30.8579,32.9485
1998-03-12,33.4503,35.0392,32.4050,32.9485
1998-03-13,32.9485,33.9939,32.6559,33.4503
1998-03-16,33.4503,36.3354,32.9485,35.0392
1998-03-17,35.0392,36.3354,32.9485,33.9939
1998-03-18,34.2447,34.2447,32.9485,33.7012
1998-03-19,33.9939,33.9939,32.9485,33.7012
1998-03-20,33.9939,33.9939,33.4503,33.4503
1998-03-23,33.4503,33.9939,32.9485,33.7012
1998-03-24,32.9485,33.7012,31.9032,33.4503
1998-03-25,32.9485,33.7012,32.6559,33.4503
1998-03-26,32.6559,33.4503,32.1541,32.6559
1998-03-27,32.1541,32.9485,32.1541,32.6559
1998-03-30,32.9485,34.7465,32.4050,32.9485
1998-03-31,33.1994,33.9939,32.4050,33.9939
1998-04-01,32.9485,35.0392,32.9485,34.4956
1998-04-02,35.0392,35.0392,33.9939,35.0392
1998-04-03,34.7465,38.4260,34.7465,36.5863
1998-04-06,37.6316,39.2205,36.3354,36.8371
1998-04-07,36.5863,37.6316,35.0392,36.0845
1998-04-08,36.0845,38.1752,35.7918,37.6316
1998-04-09,37.6316,38.6769,36.8371,37.8825
1998-04-13,37.6316,37.6316,33.4503,33.7012
1998-04-14,34.2447,35.7918,33.9939,35.5409
1998-04-15,35.5409,36.5863,35.5409,36.5863
1998-04-16,36.3354,37.8825,36.0845,37.6316
1998-04-17,37.6316,39.4714,36.8371,36.8371
1998-04-20,37.3807,39.2205,36.5863,38.1752
1998-04-21,38.6769,38.9278,37.6316,38.6769
1998-04-22,38.9278,39.4714,37.6316,39.4714
1998-04-23,38.6769,39.7222,37.1298,37.8825
1998-04-24,38.1752,38.4260,36.3354,36.8371
1998-04-27,35.5409,37.1298,33.9939,36.8371
1998-04-28,36.8371,38.4260,36.8371,37.3807
1998-04-29,37.6316,38.1752,36.5863,37.6316
1998-04-30,37.6316,38.1752,37.1298,37.6316
1998-05-01,38.1752,38.6769,37.6316,38.1752
1998-05-04,38.6769,38.6769,37.6316,37.8825
1998-05-05,37.6316,38.6769,37.6316,38.6769
1998-05-06,38.1752,38.6769,37.6316,37.6316
1998-05-07,37.6316,38.4260,36.5863,36.5863
1998-05-08,37.6316,37.6316,36.0845,37.3807
1998-05-11,37.6316,38.9278,35.5409,36.0845
1998-05-12,36.5863,37.3807,35.7918,35.7918
1998-05-13,35.7918,37.1298,33.9939,33.9939
1998-05-14,33.9939,35.5409,33.4503,35.0392
1998-05-15,35.0392,35.5409,33.9939,34.2447
1998-05-18,34.2447,36.0845,32.9485,33.4503
1998-05-19,33.9939,34.4956,32.4050,33.9939
1998-05-20,34.4956,35.7918,32.9485,35.7918
1998-05-21,36.0845,37.6316,35.7918,36.5863
1998-05-22,36.5863,37.6316,35.7918,35.7918
1998-05-26,36.8371,36.8371,33.4503,33.9939
1998-05-27,33.7012,33.7012,32.1541,33.4503
1998-05-28,33.1994,34.4956,32.9485,34.4956
1998-05-29,34.4956,35.0392,33.9939,34.4956
1998-06-01,35.5409,35.5409,33.4503,34.3702
1998-06-02,33.4503,34.4956,32.4050,32.9485
1998-06-03,33.4503,33.4503,31.3597,32.1541
1998-06-04,32.9485,32.9485,31.9032,31.9032
1998-06-05,31.9032,33.4503,31.9032,33.4503
1998-06-08,33.4503,33.4503,32.1959,32.1959
1998-06-09,32.9485,32.9485,31.3597,32.6559
1998-06-10,32.4050,32.9485,31.3597,32.4050
1998-06-11,31.3597,32.6559,30.8579,31.3597
1998-06-12,30.8579,31.3597,29.2690,30.8579
1998-06-15,30.8579,30.8579,28.7673,28.7673
1998-06-16,30.8579,31.3597,29.2690,29.5199
1998-06-17,30.0635,30.5652,29.2690,29.5199
1998-06-18,29.8126,30.0635,29.2690,29.5199
1998-06-19,29.2690,30.8579,29.2690,29.8126
1998-06-22,29.8126,31.3597,28.7673,29.2690
1998-06-23,29.0181,30.3143,28.7673,29.2690
1998-06-24,28.7673,29.5199,28.2237,28.7673
1998-06-25,29.2690,29.5199,26.6766,26.9275
1998-06-26,28.2237,29.2690,27.1784,29.2690
1998-06-29,29.2690,29.2690,28.4746,29.0181
1998-06-30,29.0181,30.0635,28.7673,29.5199
1998-07-01,29.8126,29.8126,28.7673,29.2690
1998-07-02,28.4746,29.2690,28.2237,28.7673
1998-07-06,28.4746,29.8126,28.4746,29.5199
1998-07-07,30.0635,33.4503,29.2690,33.4503
1998-07-08,33.1994,34.7465,32.9485,32.9485
1998-07-09,32.9485,33.9939,32.9485,33.4503
1998-07-10,33.9939,33.9939,32.9485,33.4503
1998-07-13,32.9485,34.4956,32.9485,33.7012
1998-07-14,33.4503,33.9939,33.4503,33.7012
1998-07-15,33.9939,34.2447,33.4503,33.9939
1998-07-16,34.4956,34.4956,33.1994,33.1994
1998-07-17,33.4503,33.4503,33.1994,33.1994
1998-07-20,33.4503,33.4503,33.1994,33.4503
1998-07-21,33.1994,33.4503,29.2690,30.3143
1998-07-22,30.3143,31.3597,29.2690,30.5652
