DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2017-04-20,3.1161,3.1161,3.1016,3.1018,0.002,
2017-04-21,2.9191,2.9286,2.8315,2.8461,0.007,
2017-04-24,3.0824,3.1380,2.8461,3.0349,0.008,
2017-04-25,2.9921,2.9952,2.8461,2.9195,0.012,
2017-04-26,2.9635,2.9847,2.9635,2.9847,0.011,
2017-04-27,3.0594,3.0594,3.0594,3.0594,0.000,
2017-04-28,3.0554,3.0778,2.8461,2.9634,0.010,
2017-05-01,2.9410,3.0871,2.9410,3.0531,0.009,
2017-05-02,3.0743,3.0759,2.7367,3.0224,0.014,
2017-05-03,2.9331,3.0798,2.9331,3.0563,0.012,
2017-05-04,2.9459,3.0579,2.9331,2.9404,0.004,
2017-05-05,2.9404,2.9404,2.9404,2.9404,0.000,
2017-05-08,3.1164,3.1164,2.8818,2.9331,0.001,
2017-05-09,2.9991,2.9991,2.9991,2.9991,0.000,
2017-05-10,2.9673,2.9673,2.8305,2.8305,0.002,
2017-05-11,2.8305,2.8305,2.8305,2.8305,0.000,
2017-05-12,2.7865,2.7865,2.7729,2.7864,0.002,
2017-05-15,3.0431,3.0431,2.6985,2.6985,0.001,
2017-05-16,2.9991,2.9991,2.8114,2.8842,0.000,
2017-05-17,2.8818,2.9380,2.7341,2.7341,0.001,
2017-05-18,2.6471,2.9960,2.6471,2.9396,0.002,
2017-05-19,2.9331,3.0218,2.7865,2.9190,0.008,
2017-05-22,2.9624,2.9624,2.5665,2.6985,0.004,
2017-05-23,2.9624,2.9624,2.6691,2.6911,0.001,
2017-05-24,2.4052,2.6471,2.3905,2.6471,0.001,
2017-05-25,2.9331,2.9331,2.6911,2.6985,0.002,
2017-05-26,2.9624,2.9624,2.7865,2.7865,0.005,
2017-05-30,2.8158,2.8158,2.6911,2.6911,0.000,
2017-05-31,2.9624,2.9624,2.6779,2.6779,0.001,
2017-06-01,2.7865,2.9081,2.7099,2.7099,0.001,
2017-06-02,2.9222,2.9624,2.8085,2.9478,0.001,
2017-06-05,2.7132,2.9185,2.4198,2.6105,0.011,
2017-06-06,2.9624,2.9624,2.3729,2.4638,0.006,
2017-06-07,2.4931,2.8231,2.4638,2.8231,0.013,
2017-06-08,2.8231,2.9185,2.5445,2.9185,0.002,
2017-06-09,2.9185,2.9185,2.5298,2.8891,0.016,
2017-06-12,2.9185,2.9404,2.4931,2.9404,0.006,
2017-06-13,2.8965,2.9404,2.6471,2.9404,0.005,
2017-06-14,2.8818,2.9404,2.8818,2.9258,0.004,
2017-06-15,2.9404,2.9404,2.9185,2.9185,0.003,
2017-06-16,2.9185,2.9185,2.6325,2.6325,0.008,
2017-06-19,2.6985,2.6985,2.6985,2.6985,0.000,
2017-06-20,2.6985,2.9111,2.6985,2.9111,0.012,
2017-06-21,2.9185,2.9185,2.7719,2.8598,0.009,
2017-06-22,2.8725,2.8725,2.8725,2.8725,0.000,
2017-06-23,2.8745,2.8913,2.8598,2.8913,0.003,
2017-06-26,2.8598,2.9331,2.6691,2.8473,0.015,
2017-06-27,2.8586,2.9404,2.7131,2.9185,0.003,
2017-06-28,2.7425,2.8585,2.6838,2.8582,0.005,
2017-06-29,2.8825,2.8825,2.7695,2.7811,0.004,2.855
2017-06-30,2.8739,2.8965,2.8231,2.8598,0.007,2.850
2017-07-03,2.9066,2.9066,2.9044,2.9044,0.002,2.851
2017-07-05,2.9331,2.9331,2.7763,2.8975,0.003,2.848
2017-07-06,2.8321,2.9258,2.7131,2.7712,0.012,2.845
2017-07-07,2.8659,2.8659,2.7498,2.8231,0.003,2.842
2017-07-10,2.8216,2.8833,2.7800,2.8833,0.000,2.838
2017-07-11,2.8818,2.9331,2.8745,2.9331,0.011,2.838
2017-07-12,2.7969,2.7969,2.7969,2.7969,0.000,2.833
2017-07-13,2.8158,2.9154,2.8136,2.8736,0.013,2.830
2017-07-14,2.9055,2.9331,2.6718,2.8272,0.010,2.825
2017-07-17,2.8740,2.9038,2.7351,2.9038,0.023,2.824
2017-07-18,2.8378,2.9331,2.7956,2.9330,0.037,2.824
2017-07-19,2.9404,3.2851,2.9404,3.1311,0.044,2.828
2017-07-20,3.1165,3.5857,3.1164,3.3144,0.044,2.834
2017-07-21,3.4611,3.8277,3.4611,3.5439,0.050,2.849
2017-07-24,3.7104,3.8131,3.6664,3.7397,0.019,2.867
2017-07-25,3.7764,3.7764,3.5197,3.5197,0.007,2.882
2017-07-26,3.5978,3.5978,3.3438,3.4097,0.024,2.896
2017-07-27,3.3365,3.3482,3.1164,3.1238,0.047,2.901
2017-07-28,3.2976,3.3071,3.1164,3.1238,0.012,2.908
2017-07-31,3.1898,3.3495,3.1238,3.2052,0.010,2.914
2017-08-01,3.1898,3.2803,3.1531,3.2442,0.010,2.920
2017-08-02,3.1531,3.2998,3.1531,3.2704,0.035,2.932
2017-08-03,3.2704,3.2704,3.1604,3.1605,0.079,2.941
2017-08-04,3.1604,3.1604,3.0798,3.1054,0.023,2.950
2017-08-07,3.1198,3.1826,3.1164,3.1384,0.013,2.959
2017-08-08,3.2108,3.5417,3.1967,3.5197,0.053,2.974
2017-08-09,3.5197,3.5197,3.2184,3.3731,0.005,2.987
2017-08-10,3.4611,3.4904,3.2998,3.4783,0.007,3.003
2017-08-11,3.3781,3.4024,3.1164,3.1164,0.031,3.011
2017-08-14,3.3364,3.3512,3.1164,3.1805,0.010,3.016
2017-08-15,3.1164,3.1458,3.1164,3.1458,0.001,3.027
2017-08-16,3.1164,3.1458,3.0999,3.1164,0.024,3.040
2017-08-17,3.1982,3.1982,3.1164,3.1971,0.001,3.047
2017-08-18,3.1208,3.1751,3.1164,3.1201,0.006,3.051
2017-08-21,3.1311,3.1472,3.1164,3.1472,0.008,3.057
2017-08-22,3.1531,3.3666,3.1164,3.1164,0.026,3.060
2017-08-23,3.1678,3.2890,3.1164,3.2850,0.020,3.067
2017-08-24,3.2849,3.3270,3.1238,3.1751,0.029,3.072
2017-08-25,3.2264,3.3863,3.1560,3.3511,0.026,3.081
2017-08-28,3.3194,3.3275,3.1586,3.1971,0.045,3.092
2017-08-29,3.1238,3.2264,3.1238,3.2264,0.008,3.102
2017-08-30,3.2484,3.2924,3.1824,3.2924,0.011,3.110
2017-08-31,3.1531,3.3291,3.1499,3.2264,0.008,3.117
2017-09-01,3.2264,3.2264,3.2264,3.2264,0.000,3.124
2017-09-05,3.3144,3.3658,3.2338,3.3658,0.010,3.134
2017-09-06,3.3489,3.3489,3.2309,3.2338,0.005,3.142
2017-09-07,3.2264,3.2264,3.2264,3.2264,0.000,3.148
2017-09-08,3.2302,3.2338,3.2045,3.2191,0.002,3.155
2017-09-11,3.2191,3.3658,3.1384,3.2264,0.006,3.164
2017-09-12,3.2704,3.2770,3.1751,3.1971,0.005,3.171
2017-09-13,3.3350,3.3350,3.2354,3.2354,0.002,3.177
2017-09-14,3.1751,3.2998,3.1164,3.2118,0.008,3.184
2017-09-15,3.2704,3.2998,3.2118,3.2924,0.011,3.194
2017-09-18,3.2924,3.2924,3.1164,3.1238,0.023,3.200
2017-09-19,3.2264,3.2348,3.1091,3.1164,0.014,3.205
2017-09-20,3.1311,3.1385,3.0798,3.0798,0.009,3.208
2017-09-21,3.1898,3.1986,3.1164,3.1164,0.003,3.214
2017-09-22,3.1898,3.1898,3.0853,3.0853,0.005,3.218
2017-09-25,3.0798,3.1165,3.0798,3.1164,0.009,3.224
2017-09-26,3.1165,3.1165,3.1164,3.1164,0.022,3.228
2017-09-27,3.0815,3.1238,3.0815,3.1164,0.008,3.232
2017-09-28,3.0798,3.2147,3.0798,3.1604,0.003,3.233
2017-09-29,3.1164,3.1458,3.1164,3.1458,0.002,3.229
2017-10-02,3.2275,3.2275,3.0945,3.0945,0.007,3.220
2017-10-03,3.0871,3.1751,3.0798,3.1751,0.008,3.209
2017-10-04,3.1824,3.1898,3.1128,3.1531,0.115,3.202
2017-10-05,3.1413,3.1413,3.1413,3.1413,0.001,3.196
2017-10-06,3.1164,3.1557,3.1164,3.1542,0.005,3.197
2017-10-09,3.1604,3.1700,3.1604,3.1700,0.002,3.198
2017-10-10,3.1648,3.1687,3.1164,3.1458,0.009,3.197
2017-10-11,3.1531,3.1531,3.1238,3.1384,0.002,3.194
2017-10-12,3.1458,3.1615,3.1164,3.1180,0.002,3.191
2017-10-13,3.1277,3.1277,3.0944,3.1018,0.042,3.190
2017-10-16,3.1238,3.1458,3.1164,3.1384,0.005,3.191
2017-10-17,3.1898,3.1898,3.1164,3.1164,0.007,3.190
2017-10-18,3.1164,3.1164,3.0064,3.0578,0.002,3.181
2017-10-19,3.0204,3.0798,3.0064,3.0211,0.006,3.174
2017-10-20,3.0064,3.1092,3.0064,3.0331,0.008,3.165
2017-10-23,3.0798,3.1824,3.0064,3.0138,0.033,3.163
2017-10-24,3.0072,3.2145,3.0064,3.0064,0.007,3.160
2017-10-25,3.0072,3.1018,3.0072,3.0871,0.010,3.159
2017-10-26,3.0801,3.1091,3.0138,3.0284,0.020,3.157
2017-10-27,3.0065,3.0651,3.0064,3.0211,0.005,3.153
2017-10-30,3.0798,3.0798,3.0431,3.0431,0.002,3.152
2017-10-31,3.0432,3.0507,3.0064,3.0064,0.008,3.149
2017-11-01,3.0064,3.0431,3.0064,3.0431,0.006,3.147
2017-11-02,3.0358,3.2118,3.0064,3.0431,0.023,3.143
2017-11-03,3.1604,3.1604,3.0431,3.0431,0.001,3.140
2017-11-06,3.0431,3.1091,3.0358,3.0358,0.006,3.134
2017-11-07,3.0364,3.0431,3.0358,3.0358,0.001,3.130
2017-11-08,3.0510,3.0510,3.0358,3.0504,0.005,3.127
2017-11-09,3.0981,3.1091,3.0578,3.0944,0.007,3.123
2017-11-10,3.0871,3.1384,3.0651,3.1311,0.009,3.121
2017-11-13,3.1238,3.1524,3.0651,3.1165,0.013,3.119
2017-11-14,3.1165,3.1165,3.1165,3.1165,0.000,3.114
2017-11-15,3.0798,3.1898,3.0651,3.1307,0.032,3.112
2017-11-16,3.1898,3.1898,3.0072,3.1018,0.013,3.109
2017-11-17,3.0064,3.1018,3.0064,3.0358,0.005,3.106
2017-11-20,3.1035,3.1035,3.0505,3.0798,0.006,3.103
2017-11-21,3.0944,3.1017,3.0064,3.0064,0.045,3.099
2017-11-22,3.0211,3.0569,3.0201,3.0569,0.024,3.095
2017-11-24,3.0569,3.0569,3.0569,3.0569,0.000,3.092
2017-11-27,3.0953,3.0953,3.0068,3.0068,0.003,3.087
2017-11-28,3.0215,3.0268,3.0064,3.0138,0.004,3.084
2017-11-29,3.0138,3.0138,3.0138,3.0138,0.000,3.082
2017-11-30,3.0867,3.0879,3.0125,3.0723,0.002,3.082
2017-12-01,3.0222,3.0222,3.0138,3.0138,0.001,3.080
2017-12-04,3.0361,3.0361,3.0138,3.0287,0.001,3.079
2017-12-05,3.0082,3.0082,3.0082,3.0082,0.000,3.077
2017-12-06,3.0879,3.0879,3.0138,3.0212,0.005,3.075
2017-12-07,3.0150,3.0212,3.0138,3.0212,0.002,3.073
2017-12-08,3.0287,3.0287,3.0287,3.0287,0.001,3.070
2017-12-11,3.0064,3.0064,3.0064,3.0064,0.002,3.068
2017-12-12,3.0361,3.0583,3.0064,3.0064,0.005,3.066
2017-12-13,3.0657,3.0731,3.0138,3.0212,0.005,3.063
2017-12-14,3.0731,3.0731,3.0212,3.0287,0.004,3.060
2017-12-15,3.0287,3.0287,3.0287,3.0287,0.000,3.058
2017-12-18,3.0361,3.0508,3.0064,3.0138,0.011,3.055
2017-12-19,3.0138,3.0138,3.0138,3.0138,0.000,3.052
2017-12-20,3.0064,3.2063,3.0064,3.1908,0.012,3.053
2017-12-21,3.1990,3.5840,3.1264,3.4211,0.270,3.059
2017-12-22,3.4285,3.4285,3.0064,3.0509,0.038,3.057
2017-12-26,3.2042,3.2945,3.0064,3.0139,0.007,3.056
2017-12-27,3.1101,3.2434,3.0064,3.0731,0.030,3.054
2017-12-28,3.0065,3.1101,3.0065,3.0620,0.004,3.053
2017-12-29,3.0287,3.2434,3.0064,3.1329,0.048,3.055
2018-01-02,3.0953,3.0953,3.0138,3.0138,0.004,3.054
2018-01-03,3.0138,3.1385,3.0138,3.0867,0.004,3.056
2018-01-04,3.0287,3.1471,3.0287,3.1249,0.001,3.058
2018-01-05,3.0212,3.1390,3.0212,3.1390,0.001,3.060
2018-01-08,3.0361,3.0871,2.9547,2.9990,0.020,3.059
2018-01-09,2.9546,2.9768,2.9546,2.9620,0.002,3.057
2018-01-10,2.9620,3.1471,2.9620,3.1183,0.013,3.059
2018-01-11,3.1768,3.1768,3.0583,3.0657,0.013,3.060
2018-01-12,3.1694,3.1694,3.1694,3.1694,0.000,3.063
2018-01-16,3.1619,3.3001,3.1249,3.2804,0.021,3.068
2018-01-17,3.2360,3.3322,3.2212,3.2212,0.006,3.071
2018-01-18,3.1545,3.2196,3.0590,3.2064,0.002,3.075
2018-01-19,3.0583,3.0731,2.9694,2.9694,0.005,3.073
2018-01-22,2.9842,3.0953,2.9842,3.0953,0.004,3.074
2018-01-23,2.9842,3.0509,2.9842,3.0501,0.001,3.074
2018-01-24,3.0501,3.0501,3.0501,3.0501,0.000,3.074
2018-01-25,2.9976,2.9976,2.9976,2.9976,0.000,3.071
2018-01-26,3.0287,3.0287,2.9547,2.9769,0.003,3.068
2018-01-29,3.0064,3.0064,3.0064,3.0064,0.001,3.066
2018-01-30,2.9842,2.9991,2.9620,2.9768,0.010,3.063
2018-01-31,2.9641,2.9843,2.9620,2.9768,0.002,3.060
2018-02-01,2.9176,2.9176,2.9176,2.9176,0.000,3.058
2018-02-02,2.9176,2.9250,2.9176,2.9176,0.004,3.055
2018-02-05,2.8880,2.9102,2.8139,2.8303,0.005,3.051
2018-02-06,2.9324,2.9917,2.5918,2.7769,0.009,3.046
2018-02-07,2.3370,2.8373,2.3370,2.8373,0.010,3.041
2018-02-08,2.5177,2.9028,2.5177,2.7399,0.015,3.036
2018-02-09,2.4437,2.7991,2.4437,2.7964,0.010,3.031
2018-02-12,2.7102,2.8731,2.7102,2.7769,0.005,3.027
2018-02-13,2.7399,3.1101,2.7325,2.8287,0.010,3.022
2018-02-14,2.6288,2.6658,2.6288,2.6658,0.006,3.015
2018-02-15,2.5325,2.6981,2.1475,2.5695,0.005,3.006
