DATE,OPEN,HIGH,LOW,CLOSE
2011-02-25,8.2709,8.3128,8.2289,8.2289
2011-02-28,8.2667,8.2667,8.2205,8.2205
2011-03-01,8.2205,8.2205,8.1239,8.1281
2011-03-02,8.1239,8.1995,8.1239,8.1281
2011-03-03,8.1827,8.1827,8.1281,8.1449
2011-03-04,8.1449,8.1869,8.0819,8.0819
2011-03-07,8.0819,8.1659,8.0819,8.1659
2011-03-08,8.1197,8.1869,8.0945,8.1491
2011-03-09,8.1239,8.1575,8.1239,8.1239
2011-03-10,8.1239,8.1302,8.0819,8.0903
2011-03-11,8.0819,8.1029,8.0190,8.0399
2011-03-14,8.0357,8.0399,7.9518,8.0399
2011-03-15,7.9812,8.0190,7.9350,7.9434
2011-03-16,7.9350,7.9397,7.8090,7.8090
2011-03-17,7.8762,7.9266,7.8090,7.8090
2011-03-18,7.8762,7.9728,7.8090,7.8804
2011-03-21,7.9350,7.9728,7.8552,7.9728
2011-03-22,7.9308,8.1449,7.8594,8.1029
2011-03-23,8.0861,8.0987,7.9770,8.0315
2011-03-24,7.9770,8.1239,7.9140,8.0399
2011-03-25,8.0819,8.0819,7.8804,8.0819
2011-03-28,8.0525,8.0735,7.8300,7.8426
2011-03-29,7.7754,7.9686,7.7754,7.8342
2011-03-30,7.8300,7.9014,7.8300,7.8300
2011-03-31,7.8090,7.9686,7.8090,7.8216
2011-04-01,7.8258,8.0483,7.8132,8.0483
2011-04-04,8.0483,8.0483,7.8888,7.9686
2011-04-05,7.9098,7.9812,7.8594,7.9560
2011-04-06,7.9434,8.0483,7.9434,7.9854
2011-04-07,7.9770,7.9770,7.9014,7.9686
2011-04-08,7.9560,7.9770,7.8132,7.8258
2011-04-11,7.8216,7.9266,7.7712,7.7880
2011-04-12,7.7754,7.8720,7.4564,7.6957
2011-04-13,7.6747,7.8258,7.6411,7.6789
2011-04-14,7.6201,7.8720,7.6033,7.6075
2011-04-15,7.6033,7.7796,7.6033,7.6411
2011-04-18,7.5991,7.7335,7.4732,7.5445
2011-04-19,7.8762,7.8762,7.5025,7.5277
2011-04-20,7.5781,7.6411,7.5025,7.5403
2011-04-21,7.5529,7.5949,7.5109,7.5697
2011-04-25,7.5571,7.6411,7.5571,7.5949
2011-04-26,7.6411,7.6957,7.5529,7.5655
2011-04-27,7.5571,7.6831,7.5361,7.5487
2011-04-28,7.5613,7.8426,7.5613,7.8426
2011-04-29,7.8594,7.9224,7.8216,7.9056
2011-05-02,7.8426,7.9518,7.8216,7.8216
2011-05-03,7.8636,7.9014,7.8216,7.8216
2011-05-04,7.9686,7.9686,7.6243,7.6453
2011-05-05,7.6495,7.7922,7.6117,7.6327
2011-05-06,7.6033,7.8510,7.6033,7.7377
2011-05-09,7.7083,7.8636,7.6999,7.7922
2011-05-10,7.8258,7.8258,7.7041,7.7670
2011-05-11,7.7293,7.8426,7.6075,7.6411
2011-05-12,7.6411,7.8678,7.6411,7.7251
2011-05-13,7.7729,7.8258,7.6831,7.7125
2011-05-16,7.7041,7.7377,7.6495,7.6495
2011-05-17,7.6453,7.6905,7.5571,7.5571
2011-05-18,7.5529,7.6977,7.5529,7.6705
2011-05-19,7.7041,7.7461,7.6537,7.6579
2011-05-20,7.6201,7.6537,7.5529,7.5865
2011-05-23,7.5781,7.5991,7.5361,7.5445
2011-05-24,7.5781,7.6663,7.5319,7.5487
2011-05-25,7.5151,7.5781,7.5151,7.5487
2011-05-26,7.5571,7.6285,7.5277,7.6117
2011-05-27,7.6411,7.7251,7.5781,7.6327
