DATE,OPEN,HIGH,LOW,CLOSE
1984-09-07,5.2855,5.2855,5.2478,5.2478
1984-09-10,5.2478,5.2855,5.0683,5.0683
1984-09-11,5.0683,5.1407,5.0306,5.1030
1984-09-12,5.0306,5.0306,4.8511,4.9235
1984-09-13,4.9235,4.9235,4.8511,4.9235
1984-09-14,4.9582,5.0306,4.9582,5.0306
1984-09-17,4.9959,4.9959,4.9235,4.9235
1984-09-18,4.8858,4.8858,4.8134,4.8134
1984-09-19,4.8134,4.8858,4.8134,4.8134
1984-09-20,4.8134,4.8511,4.8134,4.8511
1984-09-21,4.8511,4.9582,4.8134,4.8134
1984-09-24,4.7787,4.7787,4.6339,4.6339
1984-09-25,4.5991,4.5991,4.4890,4.4890
1984-09-26,4.4890,4.4890,4.3442,4.3442
1984-09-27,4.3442,4.3442,4.2718,4.3095
1984-09-28,4.3095,4.3819,4.3095,4.3819
1984-10-01,4.3819,4.3819,4.3819,4.3819
1984-10-02,4.3442,4.3442,4.3442,4.3442
1984-10-03,4.3442,4.3819,4.2718,4.3442
1984-10-04,3.7650,3.7650,3.4406,3.4754
1984-10-05,3.4754,3.5478,3.3682,3.5130
1984-10-08,3.5130,3.5130,3.4406,3.4754
1984-10-09,3.5130,3.5854,3.5130,3.5854
1984-10-10,3.5854,3.6926,3.5478,3.6202
1984-10-11,3.6202,3.6578,3.5478,3.6202
1984-10-12,3.6202,3.6926,3.6202,3.6202
1984-10-15,3.6578,3.7650,3.6578,3.6926
1984-10-16,3.6202,3.6202,3.5854,3.6202
1984-10-17,3.5854,3.5854,3.5478,3.5478
1984-10-18,3.5478,3.5478,3.5478,3.5478
1984-10-19,3.5854,3.6578,3.5854,3.6202
1984-10-22,3.6926,3.6926,3.6926,3.6926
1984-10-23,3.6202,3.6202,3.6202,3.6202
1984-10-24,3.6202,3.6202,3.5854,3.6202
1984-10-25,3.6202,3.6202,3.5478,3.5478
1984-10-26,3.5478,3.6202,3.5478,3.5854
1984-10-29,3.5854,3.5854,3.4754,3.5854
1984-10-30,3.5854,3.5854,3.5478,3.5478
1984-10-31,3.5130,3.5130,3.5130,3.5130
1984-11-01,3.5130,3.5478,3.5130,3.5130
1984-11-02,3.5478,3.5854,3.5478,3.5854
1984-11-05,3.5854,3.6202,3.5854,3.6202
1984-11-06,3.6926,3.8027,3.6926,3.8027
1984-11-07,3.8027,3.9098,3.7650,3.9098
1984-11-08,3.9098,3.9822,3.8751,3.8751
1984-11-09,3.8751,3.9475,3.8751,3.9475
1984-11-12,3.9475,3.9475,3.9098,3.9475
1984-11-13,3.9475,3.9475,3.8374,3.8374
1984-11-14,3.8374,3.8374,3.8374,3.8374
1984-11-15,3.8374,3.8374,3.8374,3.8374
1984-11-16,3.8751,3.8751,3.8751,3.8751
1984-11-19,3.8027,3.8027,3.7303,3.7303
1984-11-20,3.6578,3.6578,3.5854,3.5854
1984-11-21,3.5130,3.5130,3.4754,3.5130
1984-11-23,3.4754,3.4754,3.3306,3.4754
1984-11-26,3.4754,3.4754,3.4406,3.4406
1984-11-27,3.4030,3.4030,2.9686,3.1134
1984-11-28,3.0410,3.0410,2.9338,2.9338
1984-11-29,2.9338,2.9338,2.7890,2.7890
1984-11-30,2.7890,2.8962,2.7513,2.8962
1984-12-03,2.8962,3.1134,2.8962,3.1134
1984-12-04,3.0410,3.0410,2.8962,2.9338
1984-12-05,2.9338,2.9686,2.8962,2.8962
1984-12-06,2.8962,2.9686,2.8962,2.9338
1984-12-07,2.8962,2.8962,2.8962,2.8962
1984-12-10,2.8962,2.8962,2.8962,2.8962
1984-12-11,2.8962,2.9338,2.8238,2.9338
1984-12-12,2.9338,2.9338,2.8238,2.9338
1984-12-13,2.9338,2.9338,2.8238,2.8962
1984-12-14,2.8962,2.8962,2.8614,2.8962
1984-12-17,2.8962,2.9338,2.8238,2.9338
1984-12-18,2.9338,3.0410,2.8962,3.0410
1984-12-19,3.1134,3.1858,3.1134,3.1858
1984-12-20,3.1858,3.1858,3.0786,3.0786
1984-12-21,3.0410,3.0410,2.9686,2.9686
1984-12-24,3.0410,3.0786,3.0410,3.0410
1984-12-26,3.1134,3.1510,3.1134,3.1510
1984-12-27,3.1134,3.1134,3.0062,3.0062
1984-12-28,3.0062,3.1134,3.0062,3.0786
1984-12-31,3.0786,3.2958,3.0786,3.2958
1985-01-02,3.3306,3.3682,3.3306,3.3682
1985-01-03,3.2307,3.2307,3.1930,3.1930
1985-01-04,3.1582,3.1582,3.1204,3.1204
1985-01-07,3.1204,3.1204,3.1204,3.1204
1985-01-08,3.1204,3.1204,2.9405,2.9405
1985-01-09,2.9027,2.9027,2.9027,2.9027
1985-01-10,2.9027,2.9753,2.8679,2.9753
1985-01-11,2.9753,3.0479,2.9753,3.0130
1985-01-14,3.0479,3.2307,3.0479,3.1930
1985-01-15,3.2656,3.4833,3.2656,3.4485
1985-01-16,3.4485,3.4833,3.4485,3.4485
1985-01-17,3.4107,3.4107,3.3759,3.3759
1985-01-18,3.3759,3.4485,3.3759,3.4485
1985-01-21,3.4485,3.5210,3.3033,3.3033
1985-01-22,3.2307,3.2307,3.0130,3.0130
1985-01-23,3.0130,3.1582,2.9753,3.1582
