DATE,OPEN,HIGH,LOW,CLOSE
2021-06-11,27.5500,32.9400,27.0600,31.0900
2021-06-14,30.5500,33.0600,29.3000,31.3200
2021-06-15,31.5600,32.4800,28.5500,29.1500
2021-06-16,29.1500,30.8400,28.6600,29.3900
2021-06-17,29.3900,30.4400,29.3100,29.4500
2021-06-18,29.1000,29.8800,28.5450,29.1100
2021-06-21,29.3400,33.0800,29.3400,29.8800
2021-06-22,29.9200,30.9800,29.3100,29.9700
2021-06-23,30.1900,32.4900,29.7600,31.5500
2021-06-24,32.0000,34.2600,31.8700,32.6000
2021-06-25,32.6000,35.6250,32.6000,34.9700
2021-06-28,35.3500,35.6025,33.1700,34.7000
2021-06-29,34.5600,35.2200,33.3200,34.7900
2021-06-30,34.9400,35.2000,33.7600,34.2400
2021-07-01,34.2000,34.4900,31.7450,33.2400
2021-07-02,33.2400,33.2400,32.0800,32.3900
2021-07-06,33.5000,34.0000,31.2500,31.7800
2021-07-07,31.8100,32.7300,31.0000,32.0000
2021-07-08,31.3000,31.9000,30.8000,31.2100
2021-07-09,32.0000,32.4400,31.4000,31.9200
2021-07-12,32.4200,32.6988,30.7100,31.8900
2021-07-13,32.0000,32.3199,30.6600,31.2800
2021-07-14,31.3700,32.2400,29.8100,29.9300
2021-07-15,29.8400,30.2400,29.0000,29.8700
2021-07-16,30.0600,30.5199,28.3800,28.9500
2021-07-19,28.5000,29.2700,26.6600,27.4200
2021-07-20,27.7500,30.8500,27.4551,30.0000
2021-07-21,30.4300,30.7500,29.1500,29.1500
2021-07-22,29.3900,29.6699,28.6700,29.0800
2021-07-23,29.5800,30.9800,29.2521,30.7400
2021-07-26,30.3000,30.6200,30.0510,30.5400
2021-07-27,30.2100,31.6100,29.6430,31.4700
2021-07-28,31.3800,31.8190,30.6201,31.0500
2021-07-29,31.1700,32.2000,30.7220,31.6700
2021-07-30,31.3100,31.7000,30.4100,30.4500
2021-08-02,30.8700,31.2289,29.6500,30.2000
2021-08-03,30.1900,30.2800,29.6242,30.0700
2021-08-04,30.1400,30.3000,28.2301,30.0400
2021-08-05,30.1000,30.4414,29.7450,30.1400
2021-08-06,30.2400,31.4700,29.9500,31.0000
2021-08-09,30.7000,31.4300,30.0300,30.9900
2021-08-10,31.2900,33.0000,30.8700,32.2600
2021-08-11,33.9000,40.7699,33.9000,39.4000
2021-08-12,40.1000,41.0000,37.1600,38.9500
2021-08-13,38.9500,40.3700,37.8801,40.0100
2021-08-16,40.5000,40.9000,38.0620,39.5000
2021-08-17,39.4000,44.7900,38.7878,44.1300
2021-08-18,44.5000,48.2200,43.4500,48.0300
2021-08-19,47.0000,49.5000,45.7100,46.1700
2021-08-20,46.1700,50.9808,45.7700,49.4200
2021-08-23,49.1662,52.5100,48.4110,48.7500
2021-08-24,49.7800,49.8000,46.2300,46.7500
2021-08-25,47.0100,49.4300,46.3032,48.5000
2021-08-26,48.8700,50.8700,46.9800,50.2100
2021-08-27,51.4700,55.6000,50.0200,54.4600
2021-08-30,55.7300,59.8500,55.1979,58.8500
2021-08-31,59.5617,63.9499,57.5800,62.9000
2021-09-01,63.1508,67.2604,60.6100,65.4500
2021-09-02,64.7500,68.4800,62.4000,68.2000
2021-09-03,68.7100,72.1200,66.1400,70.8200
2021-09-07,75.9664,75.9664,69.6201,72.4400
2021-09-08,71.9600,72.0600,67.0110,70.4100
2021-09-09,70.0000,71.8912,64.0300,65.8100
2021-09-10,67.1885,69.6900,66.6000,68.1200
2021-09-13,69.6647,69.6647,58.5001,60.5900
2021-09-14,57.8800,61.9300,57.8515,59.9200
2021-09-15,59.6200,65.2700,58.1200,64.4600
2021-09-16,64.1700,69.9000,62.6200,69.5400
2021-09-17,71.0000,73.3300,70.1700,71.8400
2021-09-20,68.4300,78.8000,67.7600,73.4200
2021-09-21,75.0500,77.5077,72.2000,76.3000
2021-09-22,78.6300,79.1800,74.0000,77.4200
2021-09-23,78.3000,84.1500,77.4200,83.5100
2021-09-24,83.1326,85.4937,70.9500,72.5400
2021-09-27,73.6722,73.8000,65.1300,68.3400
2021-09-28,66.0000,69.2800,63.3600,63.9700
2021-09-29,64.0300,69.8700,64.0000,68.9000
2021-09-30,68.0400,71.6100,65.6700,66.3700
2021-10-01,66.5900,67.9164,60.5300,66.2200
2021-10-04,65.2800,65.9100,58.9400,59.5200
2021-10-05,61.5200,64.4899,58.3700,59.7100
2021-10-06,58.1300,62.9700,58.0100,62.4900
2021-10-07,65.1999,66.8100,57.0900,57.8100
2021-10-08,58.7000,61.4300,57.1101,58.9700
2021-10-11,58.3600,59.1867,54.5122,56.0400
2021-10-12,55.6300,57.5900,53.5300,56.4500
2021-10-13,57.4700,65.5400,57.2000,64.9500
2021-10-14,66.5818,71.8300,62.7000,67.1700
2021-10-15,68.7000,68.8700,63.0500,64.7600
2021-10-18,64.7600,74.2117,64.0001,72.9200
2021-10-19,68.1000,69.7999,63.3500,67.5100
2021-10-20,67.3200,71.1400,63.4300,64.3600
2021-10-21,63.0500,65.2200,60.3200,61.4600
2021-10-22,61.2600,62.7200,58.7209,59.1800
2021-10-25,59.7600,61.8599,59.4100,59.6900
2021-10-26,60.0400,63.2899,56.5800,57.8700
2021-10-27,58.5800,58.5800,55.3000,57.0500
2021-10-28,56.3500,59.6100,56.0201,59.3600
2021-10-29,58.8200,60.1100,56.6000,57.9000
2021-11-01,57.9100,60.0000,56.7000,59.7900
2021-11-02,59.7700,62.1000,59.0525,61.2100
2021-11-03,60.5900,62.3805,57.9400,60.0600
2021-11-04,60.2900,60.3400,57.5500,59.0600
2021-11-05,58.6700,59.9000,56.7701,59.3300
2021-11-08,59.9253,63.6000,59.3000,62.9400
2021-11-09,63.6800,64.2500,60.2500,61.2900
2021-11-10,60.3600,62.7200,57.3400,58.1600
2021-11-11,62.9700,64.5900,59.6000,64.0500
2021-11-12,65.2750,66.0000,63.0000,64.5700
2021-11-15,64.7000,66.8400,63.1400,63.9600
2021-11-16,63.5900,64.0000,60.1000,61.4900
2021-11-17,61.0000,62.2200,59.1200,59.1700
2021-11-18,59.1800,59.1800,53.6100,54.4100
2021-11-19,54.1900,55.7900,49.3400,49.7900
2021-11-22,49.4600,49.5450,43.9100,45.6600
2021-11-23,45.4300,46.9700,42.3101,43.4300
2021-11-24,42.4000,48.4800,42.3300,46.9100
2021-11-26,45.7900,48.0000,44.8000,45.4100
2021-11-29,47.2500,47.4300,43.3300,46.5000
2021-11-30,46.2200,47.9100,42.5700,44.5500
2021-12-01,45.0000,45.6000,39.1400,39.6200
2021-12-02,39.7300,41.8700,38.5600,41.3400
2021-12-03,41.4900,41.9820,36.6400,37.8100
2021-12-06,36.6050,39.8250,35.1501,39.0900
2021-12-07,41.0000,43.5900,40.6400,42.1000
2021-12-08,42.4500,45.4200,41.2500,43.9700
2021-12-09,44.9600,45.3000,42.4800,42.9500
2021-12-10,43.1100,44.9800,41.2300,42.3900
2021-12-13,43.8500,46.3200,40.9300,42.8500
2021-12-14,41.9300,43.7300,41.4500,42.6200
2021-12-15,43.1492,46.9600,41.7100,46.8500
2021-12-16,48.3500,49.7399,44.1500,44.7400
2021-12-17,43.7000,48.9300,43.3145,48.4600
2021-12-20,46.5800,47.6200,45.4900,45.7100
2021-12-21,46.2500,50.0850,46.2400,49.5400
2021-12-22,49.3300,52.3200,49.3300,50.6000
2021-12-23,50.6000,51.9500,49.5600,51.6500
2021-12-27,51.7500,55.6800,51.7500,55.2400
2021-12-28,55.2400,55.8500,52.5300,55.0200
2021-12-29,54.5400,56.5799,52.6500,55.3600
2021-12-30,55.3800,55.8700,54.2700,55.0200
2021-12-31,55.2400,56.0000,53.5710,53.9600
2022-01-03,54.7400,55.4150,51.6800,54.4200
2022-01-04,54.9150,55.9199,47.7800,50.2800
2022-01-05,49.5500,49.8400,45.0600,45.7500
2022-01-06,47.0100,49.6950,45.7600,47.6200
2022-01-07,46.8300,49.3599,45.6000,46.1000
2022-01-10,47.4100,47.6200,43.7000,47.2600
2022-01-11,47.0700,49.0000,45.8163,47.5000
2022-01-12,48.5000,49.2000,46.3650,46.4200
2022-01-13,46.7700,46.9891,41.9100,42.0000
2022-01-14,41.7750,43.7800,40.2600,40.7000
2022-01-18,40.0000,41.0900,36.3300,36.7800
2022-01-19,36.8000,37.4500,34.8400,35.5900
2022-01-20,33.8350,34.2000,26.5700,30.1300
2022-01-21,29.0200,30.3182,27.5400,28.7900
2022-01-24,28.0300,29.9700,26.0400,29.5900
2022-01-25,28.5800,29.7280,27.7500,28.6500
2022-01-26,29.3800,32.0000,29.1000,29.9400
2022-01-27,30.1200,30.5200,27.3700,27.6300
2022-01-28,27.4500,29.2000,26.8500,29.1500
2022-01-31,29.1700,32.2500,28.7500,32.0000
2022-02-01,32.5200,33.8699,31.3600,33.2500
2022-02-02,33.4900,33.6500,31.7310,31.8600
2022-02-03,30.4700,31.0100,28.7900,29.0600
2022-02-04,29.6900,31.0300,29.0500,30.5500
2022-02-07,30.9900,32.9200,30.6300,30.9300
2022-02-08,30.8500,32.5700,30.3801,32.0400
2022-02-09,32.7000,34.1900,32.3800,34.1300
2022-02-10,32.9000,35.6500,32.6200,33.1500
2022-02-11,33.1700,34.0250,31.6872,32.0800
2022-02-14,32.0000,33.3000,31.0350,31.8400
2022-02-15,32.9000,33.6000,32.4200,33.5400
2022-02-16,33.2400,33.3300,31.6100,32.0500
2022-02-17,31.3700,31.8200,28.8200,29.2500
2022-02-18,29.1100,29.7739,28.3500,28.5800
2022-02-22,28.0600,29.9275,27.7600,28.1800
2022-02-23,28.8200,28.9300,26.6400,26.7500
2022-02-24,25.3100,29.1500,25.1195,28.8200
2022-02-25,29.0100,29.0100,27.2400,27.8700
2022-02-28,27.4800,29.4139,27.1001,28.7200
2022-03-01,32.0000,35.0000,30.8003,33.3700
2022-03-02,33.4400,34.5300,32.1500,34.5100
2022-03-03,34.5500,35.5900,32.8700,33.3300
2022-03-04,32.9900,33.9100,30.3300,30.7300
2022-03-07,30.5000,32.1200,29.5400,29.5900
2022-03-08,29.3900,32.4900,28.8200,31.8800
2022-03-09,32.2500,33.5500,31.8500,33.0000
2022-03-10,32.4700,34.0800,32.0800,33.6500
2022-03-11,33.8300,33.9900,31.8400,32.4800
2022-03-14,32.2500,32.5150,30.4300,30.8000
2022-03-15,31.2900,32.5400,30.8000,32.3600
2022-03-16,33.3900,37.4800,33.0600,37.1000
2022-03-17,36.6900,39.7900,35.9000,39.4600
2022-03-18,38.9300,40.6300,38.0100,40.4000
2022-03-21,40.3000,40.5700,38.2000,38.9100
2022-03-22,39.0500,41.8700,39.0500,40.7100
2022-03-23,40.1600,40.1600,37.8500,39.1100
2022-03-24,39.5000,39.8300,36.9750,39.7300
2022-03-25,39.7400,39.7675,37.6200,38.5900
2022-03-28,38.3700,39.0000,36.9500,38.3000
2022-03-29,39.2900,39.8900,38.5500,39.1200
2022-03-30,39.5200,40.8000,38.5500,38.9900
2022-03-31,38.9300,39.6900,37.8000,38.4600
2022-04-01,38.5200,40.3500,38.5200,39.4500
2022-04-04,39.9000,40.5900,38.9400,40.1800
2022-04-05,39.8700,39.8700,37.3200,38.4900
2022-04-06,37.3400,38.6400,35.7000,37.7700
2022-04-07,37.7700,38.6600,35.2800,36.4100
2022-04-08,36.2300,36.2300,33.8600,35.0000
2022-04-11,34.7300,35.9100,33.9600,35.0300
2022-04-12,36.1900,36.4700,34.3900,34.6600
2022-04-13,34.9400,36.2000,34.2900,36.0000
2022-04-14,36.3700,36.8400,35.5100,35.9600
2022-04-18,36.1200,36.1200,34.8050,35.4200
2022-04-19,35.1400,36.9300,34.9700,36.7800
2022-04-20,37.2800,37.2800,34.7100,35.2900
2022-04-21,35.2000,36.9500,31.3500,31.9300
2022-04-22,31.8900,32.6300,29.8500,30.2400
2022-04-25,29.7900,31.0300,29.7100,30.1700
2022-04-26,29.8700,29.9600,28.5700,28.6400
2022-04-27,28.3200,29.5000,27.7200,28.6300
2022-04-28,30.0000,32.9700,29.0600,32.7300
2022-04-29,31.6000,33.4400,28.7700,28.8900
2022-05-02,28.6100,30.3300,28.2395,28.7900
2022-05-03,28.6200,29.7300,28.0400,28.4700
2022-05-04,28.7400,29.3882,27.0200,29.2400
2022-05-05,28.7000,28.9900,26.0400,26.4700
2022-05-06,26.4000,26.5650,24.5500,25.7300
2022-05-09,25.0000,25.2500,22.4200,23.3300
2022-05-10,22.0100,22.0100,18.7300,19.9500
2022-05-11,19.6700,20.4000,18.2200,19.0400
2022-05-12,18.3400,21.4400,18.3400,20.2600
2022-05-13,21.0600,22.9400,21.0600,22.6100
2022-05-16,22.2500,22.5100,21.4500,21.7500
2022-05-17,22.4900,23.6100,22.3800,23.3600
2022-05-18,22.6900,23.8100,21.8500,22.0200
2022-05-19,21.8300,23.4200,21.8100,22.0600
2022-05-20,22.6400,23.2600,21.2700,22.5400
2022-05-23,22.7900,22.8000,21.9600,22.2600
2022-05-24,21.2700,21.5700,20.0600,20.6100
2022-05-25,20.4600,21.4700,20.3250,21.1900
2022-05-26,21.1300,22.9450,21.1200,22.3400
2022-05-27,22.6600,24.3900,22.6600,24.2700
2022-05-31,24.3600,25.2800,23.5100,24.5800
2022-06-01,24.6800,25.1200,23.8300,24.2000
