DATE,OPEN,HIGH,LOW,CLOSE
2021-07-28,19.8968,19.9963,19.8968,19.8968
2021-07-29,19.9167,19.9167,19.8968,19.8968
2021-07-30,19.9068,19.9963,19.9068,19.9963
2021-08-02,19.9962,19.9963,19.9545,19.9963
2021-08-03,19.9963,20.3052,19.9764,20.1654
2021-08-04,20.1853,20.3321,20.0560,20.2649
2021-08-05,20.2649,20.2649,20.1157,20.2152
2021-08-06,20.2550,20.2550,20.1157,20.1853
2021-08-09,20.0958,20.1585,20.0461,20.1356
2021-08-10,20.1356,20.1754,20.0958,20.1157
2021-08-11,20.0958,20.1356,20.0958,20.1356
2021-08-12,20.0958,20.2351,20.0958,20.1853
2021-08-13,20.1057,20.1853,20.1057,20.1851
2021-08-16,20.1406,20.1853,20.1158,20.1853
2021-08-17,20.1853,20.3644,20.1356,20.1953
2021-08-18,20.2147,20.2251,20.1157,20.2251
2021-08-19,20.2351,20.2351,20.1455,20.1455
2021-08-20,20.1157,20.1440,19.9565,19.9665
2021-08-23,20.0361,20.0461,19.8968,20.0461
2021-08-24,20.0361,20.1754,20.0274,20.1454
2021-08-25,20.1119,20.1455,19.9963,20.0660
2021-08-26,20.0461,20.0461,19.9963,20.0461
2021-08-27,20.0461,20.1605,19.9068,20.0361
2021-08-30,19.9963,20.1455,19.9729,20.0759
2021-08-31,20.1455,20.8419,19.9466,20.3147
2021-09-01,20.5833,20.5932,20.2159,20.5435
2021-09-02,20.5435,20.5932,19.9665,20.1455
2021-09-03,20.2450,20.5833,20.1555,20.3644
2021-09-07,20.3047,20.5037,19.9565,20.0461
2021-09-08,20.0461,20.2351,19.9665,20.1356
2021-09-09,20.0958,20.0958,19.9665,20.0660
2021-09-10,20.0400,20.0920,19.9700,20.0900
2021-09-13,20.1700,20.1700,19.9700,20.0500
2021-09-14,20.0490,20.0500,19.9600,19.9900
2021-09-15,19.9900,20.0500,19.9300,20.0500
2021-09-16,19.9700,20.1000,19.9600,20.0500
2021-09-17,19.9620,20.0986,19.8100,19.8200
2021-09-20,20.0900,20.1000,19.5600,20.0200
2021-09-21,19.9800,20.0000,19.7900,20.0000
2021-09-22,20.0000,20.0000,19.8332,19.9400
2021-09-23,19.9500,20.0499,19.8500,19.9100
2021-09-24,20.0000,20.0300,19.8403,20.0300
2021-09-27,19.9900,20.0300,19.9000,20.0200
2021-09-28,19.9800,20.0100,19.8000,19.9900
2021-09-29,19.8998,20.0300,19.8300,20.0000
2021-09-30,20.0600,20.0700,20.0000,20.0500
