DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2014-11-07,12.1800,12.7500,12.0000,12.7500,1.756,
2014-11-10,12.7500,13.2400,12.5700,12.8200,0.228,
2014-11-11,12.8000,12.9400,12.7200,12.7200,0.078,
2014-11-12,12.7500,12.8499,12.7400,12.7400,0.046,
2014-11-13,12.2600,12.7700,12.2600,12.6700,0.042,
2014-11-14,12.7500,12.7500,12.6500,12.7100,0.031,
2014-11-17,12.7500,12.7770,12.6900,12.7400,0.075,
2014-11-18,12.8800,13.3800,12.8600,12.9900,0.044,
2014-11-19,13.0000,13.0000,12.7000,12.7500,0.023,
2014-11-20,12.7500,13.0100,12.7000,12.9900,0.024,
2014-11-21,13.2000,13.6500,12.7201,13.5700,0.046,
2014-11-24,13.8900,14.8800,13.3000,14.3300,0.074,
2014-11-25,15.9000,15.9000,14.3400,14.7300,0.055,
2014-11-26,14.7200,15.9900,14.7200,14.9800,0.096,
2014-11-28,15.0000,15.4600,14.7601,15.0300,0.043,
2014-12-01,14.8400,14.9900,13.2010,14.7100,0.075,
2014-12-02,14.3800,15.1800,13.7000,13.9600,0.089,
2014-12-03,13.8550,14.8200,13.8550,14.5000,0.043,
2014-12-04,14.2800,14.5300,13.9100,14.3300,0.074,
2014-12-05,14.2500,14.4875,13.6850,14.3400,0.042,
2014-12-08,14.1900,14.5000,13.2100,14.5000,0.062,
2014-12-09,13.7500,14.1800,13.5300,14.0000,0.033,
2014-12-10,14.0400,14.0900,12.5000,12.9100,0.073,
2014-12-11,12.9700,13.1425,12.1400,12.7500,0.079,
2014-12-12,13.4900,14.0000,12.3250,13.7000,0.049,
2014-12-15,13.5900,14.0000,12.8650,13.2800,0.083,
2014-12-16,13.7000,13.9250,13.1000,13.7600,0.069,
2014-12-17,13.6100,13.7800,12.7500,13.1700,0.108,
2014-12-18,13.2500,14.7900,12.7990,13.9000,0.237,
2014-12-19,14.0100,14.7100,13.6200,14.0000,1.076,
2014-12-22,13.9700,14.5000,13.0060,13.5200,0.089,
2014-12-23,13.6100,13.8900,13.0700,13.3300,0.080,
2014-12-24,13.3800,13.8200,13.3800,13.8200,0.006,
2014-12-26,13.8900,14.1200,13.2000,13.9800,0.037,
2014-12-29,14.0000,14.1900,13.7800,14.0000,0.023,
2014-12-30,13.9150,14.0000,13.4900,13.8400,0.025,
2014-12-31,14.0000,14.0000,13.0624,13.5500,0.025,
2015-01-02,13.1800,13.8800,13.0900,13.5000,0.023,
2015-01-05,13.3700,13.5800,13.2000,13.4800,0.016,
2015-01-06,13.5000,13.5900,12.9200,13.5000,0.032,
2015-01-07,13.5000,13.5000,13.2300,13.3800,0.036,
2015-01-08,13.3500,13.3600,12.8500,12.9800,0.105,
2015-01-09,12.9500,13.3500,12.8160,12.9000,0.106,
2015-01-12,12.9600,13.1600,12.9000,12.9500,0.036,
2015-01-13,13.0500,13.4900,12.9700,13.4100,0.045,
2015-01-14,13.2300,13.7700,13.0400,13.6000,0.074,
2015-01-15,13.5500,13.7000,13.2400,13.4800,0.036,
2015-01-16,13.5000,13.9400,13.4201,13.7100,0.109,
2015-01-20,13.7100,13.7500,13.0400,13.2500,0.044,
2015-01-21,13.1800,13.2200,13.0000,13.0100,0.009,13.550
2015-01-22,13.0900,13.3700,13.0000,13.2000,0.030,13.559
2015-01-23,13.2200,13.4700,13.0500,13.2300,0.029,13.568
2015-01-26,13.2300,13.2300,12.6400,12.9700,0.080,13.573
2015-01-27,12.8600,13.3700,12.8240,13.2200,0.019,13.582
2015-01-28,13.2200,13.2695,12.7600,12.9200,0.019,13.587
2015-01-29,13.2800,13.2800,12.8600,13.0600,0.033,13.594
2015-01-30,12.9200,13.1300,12.8700,13.0000,0.063,13.599
2015-02-02,13.0000,13.2500,12.8800,12.9700,0.019,13.599
2015-02-03,13.0000,13.1800,12.9000,13.1400,0.069,13.607
2015-02-04,13.0300,13.1000,12.8000,12.8500,0.055,13.604
2015-02-05,12.8600,12.9400,12.5000,12.7500,0.040,13.588
2015-02-06,12.6900,12.6900,12.1900,12.6400,0.203,13.554
2015-02-09,12.6400,12.6400,11.9300,12.0700,0.105,13.501
2015-02-10,12.1500,12.6500,12.0000,12.1000,0.129,13.443
2015-02-11,12.2500,12.4700,12.2500,12.3500,0.022,13.389
2015-02-12,12.4600,12.7100,12.3150,12.6200,0.039,13.348
2015-02-13,12.5800,13.0400,12.5800,13.0300,0.052,13.329
2015-02-17,12.8100,13.0300,12.8100,13.0000,0.020,13.299
2015-02-18,12.9300,12.9300,12.6200,12.8900,0.018,13.270
2015-02-19,12.8300,13.1600,12.7100,13.1000,0.054,13.245
2015-02-20,13.1400,13.1400,12.9100,12.9800,0.065,13.215
2015-02-23,12.9000,13.1000,12.9000,12.9700,0.013,13.194
2015-02-24,12.8500,12.9700,12.8000,12.8900,0.032,13.194
2015-02-25,12.8400,12.9299,12.7500,12.8500,0.049,13.196
2015-02-26,12.7600,12.9500,12.7600,12.8500,0.031,13.179
2015-02-27,12.8782,12.8900,12.6200,12.6600,0.055,13.167
2015-03-02,12.7000,12.8000,12.7000,12.7800,0.016,13.147
2015-03-03,12.7000,13.1200,12.7000,12.9900,0.065,13.143
2015-03-04,12.9300,13.0000,12.8400,12.9500,0.023,13.124
2015-03-05,12.5000,13.2600,12.5000,13.0200,0.043,13.105
2015-03-06,12.9700,13.1000,12.8500,12.9000,0.027,13.092
2015-03-09,12.9000,13.1300,12.8450,13.0000,0.037,13.086
2015-03-10,12.9400,13.0300,12.8300,12.9600,0.027,13.069
2015-03-11,12.9300,13.0200,12.7700,12.9500,0.020,13.048
2015-03-12,13.0300,13.0800,12.9001,12.9700,0.035,13.027
2015-03-13,13.0000,13.0730,12.9100,13.0000,0.031,13.011
2015-03-16,13.0000,13.0700,12.9500,13.0400,0.143,13.000
2015-03-17,12.9700,13.1300,12.9700,13.1000,0.036,12.992
2015-03-18,13.0200,13.1400,12.9100,13.1100,0.068,12.985
2015-03-19,13.0000,13.0800,12.9700,13.0400,0.033,12.976
2015-03-20,13.1000,13.2400,12.6300,12.8200,0.155,12.965
2015-03-23,12.8000,13.2199,12.7500,13.1800,0.083,12.969
2015-03-24,13.1300,13.2500,13.0000,13.2500,0.022,12.976
2015-03-25,13.2100,13.2100,12.9800,13.0200,0.010,12.977
2015-03-26,12.9700,13.0550,12.8700,12.9200,0.015,12.967
2015-03-27,12.8800,13.0300,12.8800,13.0300,0.015,12.956
2015-03-30,13.0500,13.1700,13.0000,13.1400,0.021,12.949
2015-03-31,13.1000,13.7100,13.1000,13.6600,0.027,12.948
2015-04-01,13.5900,13.6500,13.3200,13.5000,0.017,12.953
2015-04-02,13.4700,13.6400,13.4000,13.6300,0.019,12.965
2015-04-06,13.5300,13.5700,13.2600,13.3600,0.012,12.969
2015-04-07,13.3000,13.5400,13.2500,13.4600,0.016,12.973
2015-04-08,13.4000,13.4450,13.3500,13.4200,0.007,12.982
2015-04-09,13.3500,13.4600,13.2500,13.4300,0.012,12.986
2015-04-10,13.4000,13.4300,13.2700,13.4200,0.010,12.996
2015-04-13,13.3800,13.4600,13.2500,13.3700,0.013,13.003
2015-04-14,13.3500,13.5000,13.3500,13.4500,0.021,13.012
2015-04-15,13.4400,13.4600,13.2900,13.4100,0.015,13.020
2015-04-16,13.3500,13.4900,13.3500,13.4100,0.013,13.026
2015-04-17,13.3200,13.4100,13.3200,13.4000,0.013,13.037
2015-04-20,13.4700,13.7500,13.3200,13.5500,0.024,13.053
2015-04-21,13.5100,13.5600,13.1100,13.4200,0.044,13.068
2015-04-22,13.3400,13.3400,12.9200,13.2200,0.084,13.091
2015-04-23,13.1800,13.4500,13.1800,13.2500,0.065,13.114
2015-04-24,13.2100,13.3500,13.2000,13.2000,0.007,13.131
2015-04-27,13.1600,13.2400,13.1100,13.2400,0.044,13.144
2015-04-28,13.2400,13.3700,13.1500,13.3100,0.073,13.149
2015-04-29,13.3500,14.0900,13.2500,13.8900,0.142,13.167
2015-04-30,13.0000,13.9800,13.0000,13.4200,0.021,13.178
2015-05-01,13.5000,13.6500,13.0794,13.2600,0.028,13.181
