DATE,OPEN,HIGH,LOW,CLOSE
2021-02-01,13.9467,14.3507,13.6486,13.9467
2021-02-02,14.0429,14.1535,13.7063,13.9467
2021-02-03,14.1391,14.1391,13.7063,14.0910
2021-02-04,14.1103,14.3796,13.8987,14.1584
2021-02-05,14.0429,14.6681,13.7159,14.4277
2021-02-08,14.3026,14.5527,14.2353,14.4758
2021-02-09,14.3507,14.6681,14.1006,14.6008
2021-02-10,14.6874,14.6874,14.0766,14.4950
2021-02-11,14.4758,14.6104,13.4177,13.5620
2021-02-12,13.5716,14.3026,13.5235,13.7544
2021-02-16,13.8217,14.2026,13.4754,13.4947
2021-02-17,13.8890,13.9275,13.6197,13.7832
2021-02-18,13.7544,13.8842,13.5909,13.7159
2021-02-19,13.7063,14.3796,13.7063,14.3700
2021-02-22,14.2449,15.3799,13.9852,14.9663
2021-02-23,14.8124,15.0913,14.1872,14.7643
2021-02-24,14.8124,15.1779,14.6874,14.8605
2021-02-25,14.9374,14.9567,14.4277,14.4854
2021-02-26,14.2834,14.7066,14.2834,14.5335
2021-03-01,14.8124,15.3607,14.6297,15.0529
2021-03-02,14.8509,15.1587,14.4469,14.8990
2021-03-03,15.0529,15.0912,14.4854,14.6777
2021-03-04,14.8028,14.8028,13.8025,14.0910
2021-03-05,14.2353,14.4738,13.9467,14.1103
2021-03-08,14.1584,14.3315,13.9467,13.9467
2021-03-09,14.0718,15.0817,14.0718,14.8413
2021-03-10,14.9663,15.0433,14.6056,14.8509
2021-03-11,14.7258,15.2184,14.1199,14.4565
2021-03-12,14.4854,14.6922,14.1006,14.1391
2021-03-15,14.1006,14.4277,13.9467,14.1776
2021-03-16,14.2064,14.7836,14.1872,14.3700
2021-03-17,14.3219,14.4277,14.0141,14.1968
2021-03-18,14.2161,14.5527,13.9467,13.9660
2021-03-19,13.9660,14.1872,12.9464,13.2254
2021-03-22,13.4081,13.9756,13.4081,13.7063
2021-03-23,13.8025,14.0526,13.7544,13.9660
2021-03-24,13.9467,14.2617,13.9467,14.0429
2021-03-25,14.3315,14.3315,13.8506,13.9467
2021-03-26,13.9564,14.0237,13.7063,13.7448
2021-03-29,14.0910,14.2642,13.8025,14.1872
2021-03-30,14.3646,14.7663,14.3646,14.6585
2021-03-31,14.7761,14.9427,14.3646,14.6193
2021-04-01,14.5605,14.5605,14.1686,14.2666
2021-04-05,14.2568,14.5556,14.2176,14.3156
2021-04-06,14.2764,14.4527,14.2078,14.4527
2021-04-07,14.4601,14.6781,14.2764,14.4136
2021-04-08,14.3548,14.4527,14.3156,14.4038
2021-04-09,14.4429,14.4527,14.3058,14.4038
2021-04-12,14.3254,14.4919,14.2097,14.3254
2021-04-13,14.4527,14.4527,14.2372,14.3744
2021-04-14,14.3156,14.7075,14.3156,14.5311
2021-04-15,14.5017,14.6095,14.4038,14.5507
2021-04-16,14.5507,14.5507,14.4038,14.4136
2021-04-19,14.4527,14.5752,14.3548,14.4919
2021-04-20,14.6977,14.6977,14.3744,14.4625
2021-04-21,14.4527,14.5997,14.3352,14.3940
2021-04-22,14.4821,14.5164,14.3744,14.4233
2021-04-23,14.4331,14.4331,14.3548,14.3842
2021-04-26,14.4429,14.4429,14.2764,14.3940
2021-04-27,14.3940,14.4527,14.1000,14.1735
2021-04-28,14.2078,14.3058,14.1196,14.2176
2021-04-29,14.3058,14.3058,14.1098,14.2568
2021-04-30,14.1392,14.3058,14.1392,14.2666
2021-05-03,14.2176,14.3058,14.2068,14.2960
2021-05-04,14.3058,14.4331,14.2078,14.3646
2021-05-05,14.3352,14.5997,14.3058,14.5409
2021-05-06,14.5801,14.6977,14.4723,14.6977
2021-05-07,14.7271,14.7271,14.3058,14.6389
2021-05-10,14.5801,14.7271,14.4625,14.6585
2021-05-11,14.5605,14.5605,14.3254,14.3450
2021-05-12,14.4038,14.6487,13.9824,14.1882
2021-05-13,14.1784,14.4031,13.9922,14.1000
2021-05-14,14.1686,14.5060,14.0706,14.2568
2021-05-17,14.1784,14.4429,13.9628,14.2078
2021-05-18,14.1588,14.3842,14.0216,14.2568
2021-05-19,14.2274,14.4527,14.1119,14.2372
2021-05-20,14.2078,14.3744,14.1686,14.2568
2021-05-21,14.2568,14.3058,14.0020,14.1294
2021-05-24,14.2568,14.2862,14.0804,14.2078
2021-05-25,14.2470,14.2470,14.0314,14.0804
2021-05-26,14.0902,14.1392,13.9236,14.0118
2021-05-27,13.9726,14.0020,13.9334,13.9922
2021-05-28,13.9726,14.2470,13.9726,14.1098
2021-06-01,14.0314,14.2568,14.0020,14.1980
2021-06-02,14.2176,14.4429,14.1882,14.3548
2021-06-03,14.3058,14.4331,14.1490,14.3254
2021-06-04,14.3842,14.5409,14.3058,14.3156
2021-06-07,14.4038,14.5703,14.1784,14.4429
2021-06-08,14.5017,14.6977,14.3940,14.4821
2021-06-09,14.5409,14.5507,14.3646,14.3940
2021-06-10,14.4136,14.4478,14.3352,14.3842
2021-06-11,14.4136,14.4625,14.3352,14.3940
2021-06-14,14.4233,14.4919,14.2862,14.3352
2021-06-15,14.3058,14.4485,14.3058,14.3548
2021-06-16,14.4038,14.4038,14.3156,14.3450
2021-06-17,14.3450,14.5017,14.3254,14.4723
2021-06-18,14.4527,14.4527,14.3156,14.3156
2021-06-21,14.4038,14.4038,14.3352,14.3548
2021-06-22,14.3352,14.4038,14.3058,14.3744
2021-06-23,14.3352,14.4038,14.1980,14.1980
2021-06-24,14.2470,14.2666,14.0951,14.1294
2021-06-25,14.1196,14.3744,14.0608,14.1686
2021-06-28,14.2078,14.2960,14.0118,14.1098
2021-06-29,14.1100,14.2200,14.0700,14.1000
2021-06-30,14.0700,14.4800,14.0700,14.4800
2021-07-01,14.4400,14.6300,14.1900,14.3100
2021-07-02,14.3900,14.4300,14.2700,14.4000
2021-07-06,14.3700,14.4900,14.3600,14.4400
2021-07-07,14.4800,14.4800,14.2850,14.3500
2021-07-08,14.3500,14.4650,14.1800,14.2800
2021-07-09,14.2800,14.6000,14.2100,14.4600
2021-07-12,14.4100,14.6800,14.3813,14.6700
2021-07-13,14.6500,14.8500,14.6300,14.6300
2021-07-14,14.6100,14.6100,14.4000,14.4500
2021-07-15,14.6000,14.6200,14.2500,14.4300
2021-07-16,14.3800,14.5000,14.2600,14.3600
2021-07-19,14.2700,14.4000,14.0500,14.1400
2021-07-20,14.1700,14.4600,14.0600,14.2900
2021-07-21,14.2900,14.4700,14.1500,14.3300
