DATE,OPEN,HIGH,LOW,CLOSE
2021-06-18,19.0000,19.0000,16.1600,17.9000
2021-06-21,17.5500,18.5300,17.3300,18.2200
2021-06-22,18.5000,18.5100,17.8000,18.0050
2021-06-23,18.5300,18.7000,18.0200,18.1700
2021-06-24,18.2600,18.8800,18.2600,18.8500
2021-06-25,19.2300,19.4100,18.2400,19.0200
2021-06-28,18.4000,19.3300,18.2500,18.9900
2021-06-29,18.8200,19.8500,18.7622,19.5400
2021-06-30,19.7000,20.1700,19.6400,19.9000
2021-07-01,19.9800,20.0300,19.4200,19.6700
2021-07-02,19.6700,20.0900,19.5000,19.9000
2021-07-06,19.6500,19.9400,19.5460,19.7800
2021-07-07,19.8000,20.1900,18.8100,18.9400
2021-07-08,18.9500,19.2700,18.5500,18.9800
2021-07-09,19.2800,21.5300,19.1100,21.0100
2021-07-12,21.1000,22.6800,21.0000,22.4900
2021-07-13,22.5300,22.7100,21.7900,22.6300
2021-07-14,22.0400,22.5000,20.8500,21.1400
2021-07-15,20.3600,21.1500,20.0110,20.5100
2021-07-16,20.0000,20.5200,19.8463,20.0600
2021-07-19,18.8700,19.5300,18.5300,19.3300
2021-07-20,19.5000,20.5700,19.5000,20.2800
2021-07-21,20.5800,20.8700,20.2300,20.4800
2021-07-22,20.9200,21.6950,20.8600,21.3100
2021-07-23,21.0600,21.9400,21.0500,21.8300
2021-07-26,21.5400,22.5799,21.4700,22.5100
2021-07-27,22.2500,23.5200,22.1101,23.4500
2021-07-28,22.8950,23.7600,22.8900,23.2500
2021-07-29,22.7700,22.7900,21.5300,21.7200
2021-07-30,21.3500,22.1600,21.2800,22.0100
2021-08-02,22.4600,22.7200,22.2100,22.3600
2021-08-03,22.4700,22.4700,21.7200,21.7600
2021-08-04,21.7300,21.9572,21.5950,21.7100
2021-08-05,21.9100,22.0476,21.5500,21.6800
2021-08-06,22.0800,22.1700,21.7300,22.0800
2021-08-09,21.6900,22.0900,21.5900,22.0000
2021-08-10,22.1000,22.1600,21.7800,21.8400
2021-08-11,21.7700,22.7979,21.6838,22.3300
2021-08-12,22.4000,22.5699,21.8300,22.2600
2021-08-13,22.0100,22.0100,20.0200,20.4400
2021-08-16,20.0400,20.5200,19.7100,19.7600
2021-08-17,19.6900,19.7000,19.0000,19.3600
2021-08-18,20.0400,20.2500,19.6500,19.8800
2021-08-19,21.4600,22.4237,20.7700,21.7200
2021-08-20,21.7000,22.5300,21.7000,22.3100
