DATE,OPEN,HIGH,LOW,CLOSE
2000-03-22,6.6362,6.6362,6.3597,6.3597
2000-03-23,6.6362,6.6362,6.6362,6.6362
2000-03-24,6.2214,6.2214,6.2214,6.2214
2000-03-27,6.2214,6.2214,6.2214,6.2214
2000-03-28,6.2214,6.2214,6.2214,6.2214
2000-03-29,6.2214,6.2214,6.2214,6.2214
2000-03-30,6.2214,6.2214,6.2214,6.2214
2000-03-31,6.1495,6.3597,6.1495,6.3597
2000-04-03,6.2878,6.7025,6.2878,6.4979
2000-04-04,6.4979,6.4979,6.4979,6.4979
2000-04-05,6.4979,6.4979,6.4979,6.4979
2000-04-06,6.4979,6.4979,6.4979,6.4979
2000-04-07,6.1495,6.1495,6.1495,6.1495
2000-04-10,6.1495,6.1495,6.1495,6.1495
2000-04-11,6.3597,6.3597,6.3597,6.3597
2000-04-12,6.3597,6.3597,6.3597,6.3597
2000-04-13,6.3597,6.3597,6.3597,6.3597
2000-04-14,6.3597,6.3597,6.3597,6.3597
2000-04-17,6.4979,6.4979,6.1495,6.1495
2000-04-18,6.1495,6.1495,6.1495,6.1495
2000-04-19,6.1495,6.1495,6.1495,6.1495
2000-04-20,6.1495,6.1495,6.1495,6.1495
2000-04-24,6.6362,6.9127,6.6362,6.9127
2000-04-25,6.9127,6.9127,6.9127,6.9127
2000-04-26,6.9127,6.9127,6.9127,6.9127
2000-04-27,6.9127,6.9127,6.9127,6.9127
2000-04-28,6.9127,6.9127,6.9127,6.9127
2000-05-01,6.7744,6.7744,6.7744,6.7744
2000-05-02,6.7744,6.7744,6.2214,6.2214
2000-05-03,6.2214,6.2214,6.2214,6.2214
2000-05-04,6.2214,6.2214,6.2214,6.2214
2000-05-05,6.2214,6.2214,6.2214,6.2214
2000-05-08,6.2214,6.2214,6.2214,6.2214
2000-05-09,6.2214,6.2214,6.2214,6.2214
2000-05-10,6.2214,6.2214,6.2214,6.2214
2000-05-11,6.2214,6.2214,6.2214,6.2214
2000-05-12,6.2214,6.2214,6.2214,6.2214
2000-05-15,6.2214,6.2214,6.2214,6.2214
2000-05-16,6.2214,6.2214,6.2214,6.2214
2000-05-17,6.2214,6.2214,6.2214,6.2214
2000-05-18,6.2214,6.2214,6.2214,6.2214
2000-05-19,6.2214,6.2214,6.2214,6.2214
2000-05-22,6.2214,6.2214,6.2214,6.2214
2000-05-23,6.9127,6.9127,6.9127,6.9127
2000-05-24,6.9127,6.9127,6.9127,6.9127
2000-05-25,6.2214,6.2214,6.1495,6.2214
2000-05-26,6.0832,6.0832,6.0832,6.0832
2000-05-30,6.0832,6.0832,6.0832,6.0832
2000-05-31,6.6362,6.6362,6.6362,6.6362
2000-06-01,6.6362,6.6362,6.6362,6.6362
2000-06-02,6.6362,6.6362,6.6362,6.6362
2000-06-05,6.6362,6.6362,6.6362,6.6362
2000-06-06,6.6362,6.6362,6.6362,6.6362
2000-06-07,6.1495,6.1495,6.1495,6.1495
2000-06-08,6.0832,6.0832,5.8730,5.8730
2000-06-09,5.8730,5.8730,5.8730,5.8730
2000-06-12,5.8730,5.8730,5.8730,5.8730
2000-06-13,5.8730,5.8730,5.8730,5.8730
2000-06-14,5.8730,5.8730,5.8730,5.8730
2000-06-15,5.8730,5.8730,5.8730,5.8730
2000-06-16,6.3597,6.3597,6.3597,6.3597
2000-06-19,6.3597,6.3597,6.3597,6.3597
2000-06-20,6.3597,6.3597,6.3597,6.3597
2000-06-21,5.8730,5.8730,5.7348,5.7348
2000-06-22,5.7348,5.7348,5.7348,5.7348
2000-06-23,5.7348,5.7348,5.7348,5.7348
2000-06-26,5.7348,5.7348,5.7348,5.7348
2000-06-27,5.8067,5.8067,5.8067,5.8067
2000-06-28,5.8067,5.8067,5.8067,5.8067
2000-06-29,5.8067,7.0509,5.8067,6.1495
2000-06-30,6.1495,6.1495,6.1495,6.1495
2000-07-03,6.2878,6.2878,6.1495,6.1495
2000-07-05,6.2878,6.2878,6.1495,6.2878
2000-07-06,6.2878,6.2878,6.2878,6.2878
2000-07-07,6.2878,6.2878,6.2878,6.2878
2000-07-10,6.2878,6.2878,6.2878,6.2878
2000-07-11,6.2878,6.2878,6.2878,6.2878
2000-07-12,6.2878,6.2878,6.2878,6.2878
2000-07-13,6.2878,6.2878,6.2878,6.2878
2000-07-14,6.2878,6.2878,6.2878,6.2878
