DATE,OPEN,HIGH,LOW,CLOSE
1985-07-01,0.9894,1.0075,0.9894,0.9985
1985-07-02,0.9985,1.0028,0.9759,0.9803
1985-07-03,0.9803,0.9847,0.9759,0.9847
1985-07-05,0.9847,0.9894,0.9803,0.9803
1985-07-08,0.9847,0.9985,0.9847,0.9985
1985-07-09,0.9985,0.9985,0.9665,0.9759
1985-07-10,0.9759,0.9803,0.9665,0.9712
1985-07-11,0.9759,0.9847,0.9759,0.9759
1985-07-12,0.9759,0.9803,0.9440,0.9578
1985-07-15,0.9578,0.9847,0.9578,0.9665
1985-07-16,0.9665,0.9847,0.9578,0.9847
1985-07-17,0.9847,0.9985,0.9759,0.9847
1985-07-18,0.9847,1.0028,0.9483,0.9531
1985-07-19,0.9483,0.9483,0.9440,0.9483
1985-07-22,0.9483,0.9531,0.9120,0.9215
1985-07-23,0.9349,0.9665,0.9349,0.9531
1985-07-24,0.9531,0.9712,0.9483,0.9531
1985-07-25,0.9531,0.9621,0.9302,0.9349
1985-07-26,0.9349,0.9396,0.9120,0.9168
1985-07-29,0.9120,0.9120,0.8805,0.8852
1985-07-30,0.8852,0.8895,0.8351,0.8852
1985-07-31,0.8852,0.8986,0.8532,0.8939
1985-08-01,0.9168,0.9665,0.9168,0.9440
1985-08-02,0.9440,0.9531,0.9349,0.9396
1985-08-05,0.9440,0.9621,0.9440,0.9578
1985-08-06,0.9531,0.9531,0.8852,0.8895
1985-08-07,0.8895,0.9168,0.8852,0.9168
1985-08-08,0.9168,0.9168,0.9033,0.9168
1985-08-09,0.9168,0.9302,0.9120,0.9302
1985-08-12,0.9258,0.9258,0.9033,0.9077
1985-08-13,0.9077,0.9349,0.9033,0.9120
1985-08-14,0.9120,0.9215,0.9120,0.9168
1985-08-15,0.9168,0.9168,0.9033,0.9120
1985-08-16,0.9120,0.9120,0.8939,0.8939
1985-08-19,0.8939,0.9215,0.8939,0.9215
1985-08-20,0.9215,0.9215,0.9033,0.9077
1985-08-21,0.9077,0.9258,0.8939,0.8939
1985-08-22,0.9168,0.9168,0.8986,0.9077
1985-08-23,0.9077,0.9215,0.9077,0.9168
1985-08-26,0.9168,0.9258,0.9120,0.9215
1985-08-27,0.9215,0.9258,0.9215,0.9258
1985-08-28,0.9258,0.9302,0.9215,0.9215
1985-08-29,0.9215,0.9258,0.9168,0.9168
1985-08-30,0.9168,0.9396,0.9168,0.9302
1985-09-03,0.9302,0.9302,0.9215,0.9258
1985-09-04,0.9258,0.9302,0.9168,0.9258
1985-09-05,0.9258,0.9302,0.9168,0.9215
1985-09-06,0.9215,0.9349,0.9168,0.9302
1985-09-09,0.9302,0.9396,0.8986,0.9077
1985-09-10,0.9077,0.9077,0.8895,0.8986
1985-09-11,0.8986,0.9168,0.8986,0.8986
1985-09-12,0.8986,0.9120,0.8939,0.8986
1985-09-13,0.8986,0.9077,0.8670,0.8714
1985-09-16,0.8714,0.8852,0.8670,0.8757
1985-09-17,0.8714,0.8714,0.8489,0.8532
1985-09-18,0.8532,0.8623,0.8394,0.8532
1985-09-19,0.8532,0.8939,0.8532,0.8852
1985-09-20,0.8852,0.9077,0.8670,0.8670
1985-09-23,0.8670,0.8805,0.8576,0.8576
1985-09-24,0.8576,0.8670,0.8394,0.8394
1985-09-25,0.8394,0.8441,0.8213,0.8441
1985-09-26,0.8441,0.8532,0.8351,0.8489
1985-09-30,0.8489,0.8714,0.8351,0.8394
1985-10-01,0.8394,0.8623,0.8394,0.8532
1985-10-02,0.8532,0.8532,0.8394,0.8441
1985-10-03,0.8441,0.8576,0.8260,0.8489
1985-10-04,0.8489,0.8532,0.8351,0.8351
1985-10-07,0.8351,0.8394,0.8169,0.8169
1985-10-08,0.8260,0.8394,0.8260,0.8351
1985-10-09,0.8351,0.8351,0.8169,0.8307
1985-10-10,0.8307,0.8441,0.8213,0.8441
1985-10-11,0.8441,0.8623,0.8394,0.8532
1985-10-14,0.8532,0.8576,0.8489,0.8532
1985-10-15,0.8532,0.8623,0.8489,0.8532
1985-10-16,0.8532,0.8852,0.8441,0.8852
1985-10-17,0.8986,0.9483,0.8986,0.9440
1985-10-18,0.9440,0.9803,0.9440,0.9483
1985-10-21,0.9483,0.9531,0.9440,0.9483
1985-10-22,0.9483,0.9621,0.9396,0.9440
1985-10-23,0.9396,0.9396,0.9258,0.9349
1985-10-24,0.9349,0.9578,0.9349,0.9483
1985-10-25,0.9483,0.9531,0.9349,0.9349
1985-10-28,0.9349,0.9396,0.9302,0.9396
1985-10-29,0.9396,0.9621,0.9396,0.9396
1985-10-30,0.9396,0.9440,0.9258,0.9349
1985-10-31,0.9302,0.9302,0.8986,0.9033
1985-11-01,0.9033,0.9258,0.8895,0.9215
1985-11-04,0.9215,0.9258,0.9120,0.9258
1985-11-05,0.9258,0.9258,0.9120,0.9120
1985-11-06,0.9120,0.9258,0.8805,0.9258
1985-11-07,0.9258,0.9621,0.9258,0.9621
1985-11-08,0.9621,0.9712,0.9531,0.9621
1985-11-11,0.9621,1.0166,0.9621,1.0122
1985-11-12,1.0122,1.0166,0.9941,1.0122
1985-11-13,1.0122,1.0122,0.9803,0.9803
1985-11-14,0.9803,0.9803,0.9531,0.9803
1985-11-15,0.9803,1.0166,0.9712,1.0166
1985-11-18,1.0166,1.0166,0.9847,1.0122
1985-11-19,1.0122,1.0257,1.0028,1.0122
1985-11-20,1.0122,1.0122,1.0028,1.0075
1985-11-21,1.0075,1.0210,0.9985,1.0028
1985-11-22,1.0028,1.0122,0.9894,1.0122
1985-11-25,1.0122,1.0166,0.9985,1.0075
1985-11-26,1.0075,1.0122,0.9941,1.0122
1985-11-27,1.0122,1.0210,1.0075,1.0075
1985-11-29,1.0075,1.0257,0.9985,0.9985
1985-12-02,0.9985,1.0028,0.9803,0.9847
1985-12-03,0.9847,0.9894,0.9803,0.9847
1985-12-04,0.9847,1.0304,0.9847,1.0210
1985-12-05,1.0210,1.0257,0.9712,0.9985
1985-12-06,0.9941,0.9941,0.9712,0.9759
1985-12-09,0.9759,0.9985,0.9531,0.9894
1985-12-10,0.9894,0.9941,0.9712,0.9759
1985-12-11,0.9759,0.9941,0.9621,0.9759
1985-12-12,0.9759,0.9894,0.9759,0.9847
1985-12-13,0.9894,1.0210,0.9894,1.0166
1985-12-16,1.0166,1.0438,1.0166,1.0348
1985-12-17,1.0348,1.0486,1.0348,1.0391
1985-12-18,1.0391,1.0486,1.0257,1.0348
1985-12-19,1.0348,1.0620,1.0257,1.0529
1985-12-20,1.0529,1.0529,1.0257,1.0486
1985-12-23,1.0486,1.0486,1.0257,1.0304
1985-12-24,1.0304,1.0391,1.0122,1.0210
1985-12-26,1.0210,1.0257,1.0028,1.0210
1985-12-27,1.0210,1.0438,1.0210,1.0348
1985-12-30,1.0348,1.0348,1.0166,1.0257
1985-12-31,1.0257,1.0348,1.0166,1.0210
1986-01-02,1.0210,1.0210,0.9894,0.9941
1986-01-03,0.9894,0.9894,0.9803,0.9894
1986-01-06,0.9894,0.9894,0.9621,0.9712
1986-01-07,0.9712,0.9941,0.9578,0.9803
1986-01-08,0.9803,0.9941,0.9712,0.9759
1986-01-09,0.9665,0.9665,0.8805,0.9440
1986-01-10,0.9440,0.9483,0.9215,0.9396
1986-01-13,0.9396,0.9483,0.9258,0.9349
1986-01-14,0.9349,0.9483,0.9168,0.9258
1986-01-15,0.9215,0.9215,0.9077,0.9215
1986-01-16,0.9215,0.9302,0.9120,0.9258
1986-01-17,0.9215,0.9215,0.9120,0.9215
1986-01-20,0.9215,0.9396,0.9033,0.9349
1986-01-21,0.9349,0.9396,0.9258,0.9302
1986-01-22,0.9302,0.9440,0.9215,0.9258
1986-01-23,0.9258,0.9302,0.9215,0.9258
1986-01-24,0.9258,0.9349,0.9168,0.9302
1986-01-27,0.9302,0.9621,0.9258,0.9483
1986-01-28,0.9483,0.9712,0.9440,0.9712
1986-01-29,0.9712,0.9712,0.9483,0.9531
1986-01-30,0.9531,0.9621,0.9440,0.9531
1986-01-31,0.9531,0.9578,0.9440,0.9531
1986-02-03,0.9531,0.9578,0.9440,0.9578
1986-02-04,0.9578,0.9847,0.9578,0.9712
1986-02-05,0.9712,0.9894,0.9621,0.9847
1986-02-06,0.9894,1.0028,0.9894,0.9985
1986-02-07,0.9985,1.0122,0.9894,1.0075
1986-02-10,1.0075,1.0122,0.9985,1.0028
1986-02-11,1.0028,1.0028,0.9621,0.9665
1986-02-12,0.9665,0.9712,0.9531,0.9621
1986-02-13,0.9621,0.9803,0.9531,0.9803
1986-02-14,0.9803,1.0122,0.9712,1.0122
1986-02-18,1.0122,1.0486,0.9941,1.0391
1986-02-19,1.0391,1.0620,1.0391,1.0438
1986-02-20,1.0438,1.0801,1.0391,1.0801
1986-02-21,1.0892,1.1299,1.0892,1.1117
1986-02-24,1.1117,1.1117,1.0711,1.0711
1986-02-25,1.0711,1.0936,1.0711,1.0801
1986-02-26,1.0801,1.0892,1.0754,1.0801
1986-02-27,1.0801,1.0892,1.0667,1.0892
