DATE,OPEN,HIGH,LOW,CLOSE
2020-08-13,26.0500,26.4200,26.0000,26.3000
2020-08-14,26.2900,26.3900,26.1800,26.2400
2020-08-17,26.1700,26.3000,26.0800,26.1900
2020-08-18,26.1900,26.2400,26.0700,26.1500
2020-08-19,26.1400,26.2500,26.0900,26.1800
2020-08-20,26.1700,26.3655,26.1700,26.3500
2020-08-21,26.3500,26.4400,26.2800,26.3300
2020-08-24,26.4200,26.4200,26.2100,26.3200
2020-08-25,26.2900,26.3200,26.2000,26.2600
2020-08-26,26.2900,26.2900,26.1600,26.2200
2020-08-27,26.2000,26.3900,26.1300,26.3800
2020-08-28,26.3800,26.5900,26.3650,26.4500
2020-08-31,26.4900,26.5275,26.2500,26.3000
2020-09-01,26.3900,26.3900,26.2900,26.3600
2020-09-02,26.3800,26.4900,26.3300,26.4900
2020-09-03,26.4900,26.4900,26.2500,26.3500
2020-09-04,26.2800,26.4400,26.2400,26.3188
2020-09-08,26.1101,26.2300,26.1101,26.1900
2020-09-09,26.2300,26.2900,26.1500,26.2500
2020-09-10,26.2900,26.3400,26.2800,26.3300
2020-09-11,26.3500,26.3500,26.2710,26.3000
2020-09-14,26.3400,26.5900,26.3400,26.5500
2020-09-15,26.6800,26.6800,26.5210,26.6200
2020-09-16,26.6800,26.7700,26.6235,26.6510
2020-09-17,26.6100,26.7800,26.5300,26.7300
2020-09-18,26.7799,26.7799,26.5700,26.6600
2020-09-21,26.6000,26.6485,26.5000,26.5845
2020-09-22,26.6200,26.6900,26.5000,26.6600
2020-09-23,26.7000,26.7000,26.4200,26.4200
2020-09-24,26.5100,26.6600,26.2100,26.3800
2020-09-25,26.5000,26.7800,26.5000,26.7500
2020-09-28,26.8000,27.8190,26.7800,27.2280
2020-09-29,27.1700,27.1700,27.0700,27.0700
2020-09-30,27.1700,27.2400,26.8000,26.9600
2020-10-01,27.0000,27.1500,26.9810,27.0700
2020-10-02,26.9100,27.1500,26.8650,27.1200
2020-10-05,27.2000,27.2500,27.1500,27.1896
2020-10-06,27.3000,27.3800,27.0000,27.0000
2020-10-07,27.1400,27.3800,27.1300,27.1400
2020-10-08,27.2900,27.2900,27.1700,27.1800
2020-10-09,27.1700,27.1700,26.9230,27.1600
2020-10-12,27.0870,27.1900,27.0870,27.1900
2020-10-13,27.1400,27.2500,27.0500,27.1000
2020-10-14,27.0500,27.0900,26.9600,26.9600
2020-10-15,27.0600,27.1000,27.0600,27.0800
2020-10-16,27.1300,27.3600,27.1199,27.2300
2020-10-19,27.0000,27.0400,26.7300,26.8900
2020-10-20,27.0000,27.0000,26.7500,26.8600
2020-10-21,27.0800,27.0900,26.8000,26.8300
2020-10-22,27.3800,27.3800,26.8200,26.9000
2020-10-23,26.9500,26.9984,26.8797,26.9125
2020-10-26,26.8500,27.0000,26.8500,26.9500
2020-10-27,27.0700,27.0700,26.8500,26.8800
2020-10-28,26.8500,26.8500,26.5200,26.5200
2020-10-29,26.5200,26.7000,26.5200,26.5500
2020-10-30,26.4500,26.4500,26.1500,26.4300
2020-11-02,26.4800,27.4700,26.4800,26.8500
2020-11-03,26.7000,26.8000,26.6100,26.7900
2020-11-04,26.8800,27.0000,26.8650,27.0000
2020-11-05,27.0400,27.1400,26.8960,27.0700
2020-11-06,27.0000,27.0000,26.9900,26.9900
2020-11-09,27.2400,27.2400,26.5700,27.1500
2020-11-10,27.1700,27.1700,26.6700,27.0000
2020-11-11,27.0900,27.2300,27.0900,27.1650
2020-11-12,27.1900,27.3600,27.1000,27.3000
2020-11-13,27.3300,28.6000,27.0140,27.6000
2020-11-16,28.0000,28.0000,27.5000,27.7500
2020-11-17,27.7267,28.0000,27.5000,27.7200
2020-11-18,27.7700,27.9000,27.7500,27.7500
2020-11-19,27.8900,28.0000,27.4000,27.5700
2020-11-20,27.9900,27.9900,27.4200,27.4400
2020-11-23,27.4934,27.6000,27.4200,27.5000
2020-11-24,27.5600,27.5900,27.1500,27.4900
2020-11-25,27.5900,27.7950,27.3000,27.4050
2020-11-27,27.5500,27.8300,27.5500,27.8300
2020-11-30,27.7793,27.8300,27.5000,27.8100
2020-12-01,27.8600,28.2500,27.7200,28.2500
2020-12-02,27.7168,28.2900,27.7168,28.1500
2020-12-03,28.4600,28.4600,27.7250,28.1400
2020-12-04,28.2400,28.2400,27.5600,28.2000
2020-12-07,28.2400,28.2400,28.2000,28.2000
2020-12-08,28.2500,28.3800,28.2200,28.3800
2020-12-09,28.2100,28.3600,28.2100,28.2500
2020-12-10,28.3600,28.3600,28.2000,28.2000
2020-12-11,28.2000,28.3000,28.0000,28.0000
2020-12-14,28.0900,28.1000,27.6617,28.1000
2020-12-15,28.1000,28.1000,27.8000,27.8000
2020-12-16,27.5500,27.8000,27.3750,27.7900
2020-12-17,27.8700,28.1485,27.6102,27.9500
2020-12-18,28.0800,28.0800,27.7970,27.9212
2020-12-21,27.9700,28.0500,27.6400,27.9000
2020-12-22,28.0900,28.0900,27.9000,27.9000
2020-12-23,28.1000,28.1000,27.8423,27.8600
2020-12-24,28.0400,28.0400,27.8000,27.8200
2020-12-28,27.8200,27.8200,27.6500,27.8000
2020-12-29,27.8000,28.0500,27.7755,27.8000
2020-12-30,27.8200,28.0500,27.8200,27.9500
2020-12-31,27.9500,28.0665,27.8163,28.0500
2021-01-04,28.0500,28.1000,27.8175,27.8298
2021-01-05,28.0900,28.2000,27.9000,27.9000
2021-01-06,28.1000,28.1000,27.6500,27.7750
2021-01-07,27.6500,27.7310,27.4900,27.6500
2021-01-08,28.0600,28.0600,27.8130,28.0300
2021-01-11,28.6700,28.6700,27.8600,27.9100
2021-01-12,28.0200,28.0200,27.2500,27.7000
2021-01-13,27.7050,27.9246,27.7050,27.8900
2021-01-14,27.9300,28.0300,27.6550,28.0300
2021-01-15,28.0400,28.0600,27.4910,27.9600
2021-01-19,27.7000,27.9500,27.2600,27.9500
2021-01-20,27.9000,27.9000,27.5233,27.8500
2021-01-21,27.6100,27.8700,27.5340,27.7000
2021-01-22,27.8600,27.8600,27.6465,27.6900
2021-01-25,28.0000,28.0000,27.6900,28.0000
2021-01-26,28.0400,28.0700,27.7300,27.7300
2021-01-27,27.7100,27.7400,27.0300,27.2800
2021-01-28,27.0500,27.5643,27.0007,27.2100
2021-01-29,27.6861,27.6861,26.9050,27.2100
2021-02-01,27.1600,27.2784,26.9045,27.1000
