DATE,OPEN,HIGH,LOW,CLOSE
1990-06-18,0.9127,0.9275,0.8686,0.8762
1990-06-19,0.8762,0.9127,0.8539,0.9057
1990-06-20,0.9057,0.9127,0.8833,0.8980
1990-06-21,0.8980,0.8980,0.8686,0.8980
1990-06-22,0.8980,0.8980,0.8686,0.8910
1990-06-25,0.8910,0.9127,0.8686,0.8833
1990-06-26,0.8833,0.9127,0.8686,0.8686
1990-06-27,0.8686,0.9275,0.8686,0.9057
1990-06-28,0.9057,0.9127,0.8833,0.8980
1990-06-29,0.8980,0.8980,0.8833,0.8833
1990-07-02,0.8833,0.8980,0.8686,0.8762
1990-07-03,0.8762,0.8833,0.8539,0.8833
1990-07-05,0.8833,0.8833,0.8686,0.8686
1990-07-06,0.8686,0.8833,0.8539,0.8833
1990-07-09,0.8833,0.8980,0.8686,0.8686
1990-07-10,0.8686,0.9422,0.8686,0.9127
1990-07-11,0.9127,0.9422,0.8980,0.8980
1990-07-12,0.8980,0.9275,0.8833,0.8980
1990-07-13,0.8980,0.9422,0.8980,0.9422
1990-07-16,0.9422,0.9716,0.9275,0.9422
1990-07-17,0.9422,0.9569,0.9275,0.9422
1990-07-18,0.9422,1.0011,0.9422,0.9716
1990-07-19,0.9716,0.9864,0.9569,0.9646
1990-07-20,0.9646,0.9864,0.9569,0.9569
1990-07-23,0.9569,0.9716,0.8833,0.8980
1990-07-24,0.8980,0.9275,0.8539,0.8762
1990-07-25,0.8762,0.9275,0.8686,0.9127
1990-07-26,0.9127,0.9275,0.8980,0.8980
1990-07-27,0.8980,0.9127,0.8980,0.8980
1990-07-30,0.8980,0.8980,0.8097,0.8686
1990-07-31,0.8686,0.8980,0.8391,0.8539
1990-08-01,0.8539,0.8686,0.8391,0.8686
1990-08-02,0.8539,0.8539,0.7802,0.8097
1990-08-03,0.8097,0.8244,0.7802,0.7950
1990-08-06,0.7802,0.7802,0.7066,0.7361
1990-08-07,0.7508,0.7950,0.7508,0.7802
