DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2022-02-01,9.8900,9.8900,9.8900,9.8900,0.000,
2022-02-02,9.8900,9.8900,9.8900,9.8900,0.030,
2022-02-03,9.8800,9.8800,9.8500,9.8700,0.005,
2022-02-04,9.8700,9.8700,9.8700,9.8700,0.000,
2022-02-07,9.7865,9.8400,9.7858,9.7944,0.024,
2022-02-08,10.1706,10.4596,9.8000,9.8000,0.024,
2022-02-09,9.7779,9.8600,9.7200,9.8000,0.006,
2022-02-10,9.8000,10.2950,9.8000,9.8000,0.002,
2022-02-11,10.2370,10.4687,9.8200,9.8300,0.002,
2022-02-14,9.7100,9.8680,9.7100,9.8100,0.037,
2022-02-15,9.7789,9.8200,9.7400,9.8200,0.009,
2022-02-16,9.8200,9.8800,9.7300,9.8800,0.004,
2022-02-17,9.8800,9.8800,9.8800,9.8800,0.000,
2022-02-18,9.8800,9.8800,9.8800,9.8800,0.000,
2022-02-22,9.7000,9.8600,9.7000,9.7900,0.002,
2022-02-23,9.7800,9.7800,9.7450,9.7700,0.006,
2022-02-24,9.7200,9.7500,9.7200,9.7200,0.027,
2022-02-25,9.7800,9.8000,9.7500,9.7500,0.044,
2022-02-28,9.7700,9.7700,9.7700,9.7700,0.000,
2022-03-01,9.7578,9.7707,9.7500,9.7600,0.005,
2022-03-02,9.7600,9.7600,9.7600,9.7600,0.001,
2022-03-03,9.7599,9.7800,9.7528,9.7528,0.024,
2022-03-04,9.7528,9.7528,9.7528,9.7528,0.000,
2022-03-07,9.7600,9.7600,9.7500,9.7500,0.025,
2022-03-08,9.7729,9.7729,9.7626,9.7626,0.000,
2022-03-09,9.7898,9.7898,9.7898,9.7898,0.001,
2022-03-10,9.7898,9.7898,9.7898,9.7898,0.000,
2022-03-11,9.7898,9.7898,9.7898,9.7898,0.000,
2022-03-14,9.7898,9.7898,9.7898,9.7898,0.000,
2022-03-15,9.7600,9.7600,9.7600,9.7600,0.375,
2022-03-16,9.7500,9.7500,9.7500,9.7500,0.040,
2022-03-17,9.7900,9.8000,9.7750,9.8000,0.013,
2022-03-18,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-21,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-22,9.8000,9.8000,9.7850,9.8000,0.051,
2022-03-23,9.8000,9.8000,9.8000,9.8000,0.001,
2022-03-24,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-25,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-28,9.8000,9.8000,9.8000,9.8000,0.003,
2022-03-29,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-30,9.8000,9.8000,9.8000,9.8000,0.000,
2022-03-31,9.8000,9.8000,9.8000,9.8000,0.000,
2022-04-01,9.8000,9.8000,9.8000,9.8000,0.000,
2022-04-04,9.8000,9.8000,9.8000,9.8000,0.000,
2022-04-05,9.7800,9.7900,9.7800,9.7900,0.062,
2022-04-06,9.8100,9.8200,9.8000,9.8200,0.033,
2022-04-07,9.7900,9.7900,9.7900,9.7900,0.000,
2022-04-08,9.7900,9.7900,9.7900,9.7900,0.000,
2022-04-11,9.8100,9.8100,9.8100,9.8100,0.000,
2022-04-12,9.8100,9.8100,9.8100,9.8100,0.000,9.801
2022-04-13,9.9000,9.9000,9.8500,9.8600,0.216,9.800
2022-04-14,9.8500,9.8500,9.8500,9.8500,0.000,9.799
2022-04-18,9.9000,9.9000,9.9000,9.9000,0.000,9.800
2022-04-19,9.9000,9.9000,9.9000,9.9000,0.000,9.800
2022-04-20,9.9000,9.9000,9.9000,9.9000,0.000,9.803
2022-04-21,9.9000,9.9000,9.9000,9.9000,0.000,9.805
2022-04-22,9.8700,9.8700,9.8600,9.8600,0.075,9.806
2022-04-25,9.8600,9.8600,9.8550,9.8600,0.025,9.807
2022-04-26,9.8300,9.8300,9.8300,9.8300,0.023,9.807
2022-04-27,9.8300,9.8300,9.8300,9.8300,0.000,9.807
2022-04-28,9.8300,9.8300,9.8300,9.8300,0.000,9.808
2022-04-29,9.8300,9.8300,9.8300,9.8300,0.000,9.807
2022-05-02,9.8500,9.8500,9.8500,9.8500,0.002,9.806
2022-05-03,9.8500,9.8500,9.8500,9.8500,0.000,9.805
2022-05-04,9.9000,9.9000,9.9000,9.9000,0.000,9.808
2022-05-05,9.9000,9.9000,9.9000,9.9000,0.000,9.810
2022-05-06,9.9000,9.9000,9.9000,9.9000,0.000,9.814
2022-05-09,9.8400,9.8400,9.8300,9.8300,0.006,9.815
2022-05-10,9.8300,9.8300,9.8300,9.8300,0.000,9.817
2022-05-11,9.8300,9.8300,9.8300,9.8300,0.000,9.818
2022-05-12,9.8000,9.8000,9.8000,9.8000,0.000,9.819
2022-05-13,9.8000,9.8000,9.7900,9.7900,0.124,9.819
2022-05-16,9.7800,9.7800,9.7800,9.7800,0.005,9.820
2022-05-17,9.7800,9.7800,9.7800,9.7800,0.001,9.821
2022-05-18,9.7950,9.8000,9.7950,9.8000,0.002,9.821
2022-05-19,9.7700,9.7800,9.7700,9.7700,0.019,9.821
2022-05-20,9.7700,9.7700,9.7700,9.7700,0.000,9.821
2022-05-23,9.7700,9.7700,9.7700,9.7700,0.000,9.820
2022-05-24,9.7700,9.8000,9.7700,9.7700,0.029,9.820
2022-05-25,9.7700,9.7700,9.7700,9.7700,0.000,9.820
2022-05-26,9.7700,9.7700,9.7700,9.7700,0.000,9.820
2022-05-27,9.7700,9.7700,9.7700,9.7700,0.000,9.820
2022-05-31,9.7700,9.7700,9.7700,9.7700,0.000,9.819
2022-06-01,9.7700,9.7700,9.7700,9.7700,0.000,9.819
2022-06-02,9.8100,9.8100,9.7800,9.7800,0.126,9.818
2022-06-03,9.7800,9.7800,9.7800,9.7800,0.000,9.818
2022-06-06,10.3000,10.3000,9.7900,9.7900,0.128,9.818
2022-06-07,10.3000,10.3000,9.7900,9.7900,0.038,9.817
2022-06-08,9.9900,10.3000,9.8000,9.8000,0.957,9.817
2022-06-09,9.9800,10.3000,9.7900,9.8400,0.045,9.818
2022-06-10,9.8012,9.8300,9.8000,9.8000,0.021,9.818
2022-06-13,9.8100,9.8100,9.8100,9.8100,0.000,9.818
2022-06-14,9.8600,9.8600,9.8600,9.8600,0.000,9.820
2022-06-15,9.8700,9.8700,9.8200,9.8200,0.316,9.820
2022-06-16,9.9700,10.3000,9.8000,9.8000,0.115,9.820
2022-06-17,9.8000,9.8500,9.7900,9.8500,0.516,9.821
2022-06-21,9.9500,10.1900,9.8100,9.8200,0.023,9.821
2022-06-22,9.8000,9.8100,9.8000,9.8100,0.018,9.822
2022-06-23,9.8300,9.8300,9.8000,9.8200,0.543,9.822
2022-06-24,9.8100,9.8100,9.8100,9.8100,0.059,9.822
2022-06-27,9.8400,9.8400,9.8400,9.8400,0.001,9.822
2022-06-28,9.8400,9.8400,9.8000,9.8200,0.113,9.821
