DATE,OPEN,HIGH,LOW,CLOSE
1988-04-15,0.1995,0.2047,0.1995,0.2047
1988-04-18,0.2047,0.2070,0.2021,0.2047
1988-04-19,0.2070,0.2094,0.2070,0.2070
1988-04-20,0.2070,0.2094,0.2070,0.2094
1988-04-21,0.2094,0.2120,0.2070,0.2120
1988-04-22,0.2120,0.2120,0.2094,0.2094
1988-04-25,0.2070,0.2070,0.2021,0.2021
1988-04-26,0.2021,0.2047,0.2021,0.2021
1988-04-27,0.2021,0.2047,0.2021,0.2047
1988-04-28,0.2047,0.2047,0.2021,0.2021
1988-04-29,0.2021,0.2047,0.2021,0.2021
1988-05-02,0.2021,0.2047,0.2021,0.2047
1988-05-03,0.2047,0.2047,0.2021,0.2021
1988-05-04,0.2021,0.2047,0.2021,0.2021
1988-05-05,0.2021,0.2047,0.2021,0.2021
1988-05-06,0.2021,0.2047,0.2021,0.2047
1988-05-09,0.2021,0.2021,0.2021,0.2021
1988-05-10,0.2021,0.2047,0.2021,0.2047
1988-05-11,0.2021,0.2021,0.1995,0.1995
1988-05-12,0.2021,0.2047,0.2021,0.2047
1988-05-13,0.2047,0.2070,0.2047,0.2047
1988-05-16,0.2047,0.2070,0.2047,0.2070
1988-05-17,0.2070,0.2070,0.2047,0.2070
1988-05-18,0.2070,0.2070,0.2047,0.2070
1988-05-19,0.2070,0.2070,0.2047,0.2047
1988-05-20,0.2047,0.2070,0.2047,0.2047
1988-05-23,0.2047,0.2070,0.2047,0.2070
1988-05-24,0.2070,0.2070,0.2047,0.2047
1988-05-25,0.2047,0.2070,0.2047,0.2070
1988-05-26,0.2070,0.2070,0.2047,0.2047
1988-05-27,0.2047,0.2070,0.2047,0.2070
1988-05-31,0.2070,0.2070,0.2047,0.2070
1988-06-01,0.2070,0.2094,0.2047,0.2070
1988-06-02,0.2070,0.2120,0.2070,0.2094
1988-06-03,0.2094,0.2120,0.2094,0.2094
1988-06-06,0.2094,0.2120,0.2094,0.2120
1988-06-07,0.2120,0.2145,0.2120,0.2120
1988-06-08,0.2120,0.2145,0.2120,0.2145
1988-06-09,0.2145,0.2169,0.2145,0.2169
1988-06-10,0.2169,0.2169,0.2145,0.2169
1988-06-13,0.2169,0.2193,0.2169,0.2193
1988-06-14,0.2193,0.2244,0.2193,0.2193
1988-06-15,0.2193,0.2218,0.2193,0.2193
1988-06-16,0.2193,0.2218,0.2193,0.2193
1988-06-17,0.2193,0.2218,0.2193,0.2193
1988-06-20,0.2193,0.2218,0.2193,0.2218
1988-06-21,0.2218,0.2218,0.2169,0.2169
1988-06-22,0.2169,0.2193,0.2169,0.2169
1988-06-23,0.2169,0.2169,0.2145,0.2145
1988-06-24,0.2145,0.2145,0.2094,0.2094
1988-06-27,0.2094,0.2120,0.2094,0.2120
1988-06-28,0.2120,0.2145,0.2094,0.2145
1988-06-29,0.2145,0.2169,0.2145,0.2145
1988-06-30,0.2145,0.2193,0.2145,0.2145
1988-07-01,0.2145,0.2193,0.2094,0.2120
1988-07-05,0.2120,0.2120,0.2094,0.2094
1988-07-06,0.2094,0.2145,0.2094,0.2145
1988-07-07,0.2145,0.2169,0.2120,0.2145
1988-07-08,0.2145,0.2193,0.2120,0.2193
1988-07-11,0.2193,0.2193,0.2169,0.2169
1988-07-12,0.2169,0.2193,0.2145,0.2145
1988-07-13,0.2145,0.2169,0.2145,0.2169
1988-07-14,0.2169,0.2169,0.2120,0.2169
1988-07-15,0.2169,0.2169,0.2145,0.2169
1988-07-18,0.2169,0.2169,0.2120,0.2120
1988-07-19,0.2120,0.2145,0.2094,0.2094
1988-07-20,0.2094,0.2120,0.2047,0.2094
1988-07-21,0.2094,0.2120,0.2070,0.2070
1988-07-22,0.2070,0.2094,0.2021,0.2047
1988-07-25,0.2070,0.2094,0.2070,0.2094
1988-07-26,0.2094,0.2094,0.2070,0.2094
1988-07-27,0.2094,0.2120,0.2070,0.2070
1988-07-28,0.2070,0.2094,0.2047,0.2047
1988-07-29,0.2096,0.2096,0.2043,0.2096
1988-08-01,0.2096,0.2120,0.2096,0.2096
1988-08-02,0.2096,0.2120,0.2096,0.2120
1988-08-03,0.2120,0.2120,0.2096,0.2120
1988-08-04,0.2120,0.2120,0.2096,0.2120
1988-08-05,0.2096,0.2096,0.2070,0.2096
1988-08-08,0.2096,0.2096,0.2070,0.2070
1988-08-09,0.2070,0.2070,0.2043,0.2043
1988-08-10,0.2043,0.2043,0.2019,0.2019
1988-08-11,0.2019,0.2043,0.1995,0.2019
1988-08-12,0.2019,0.2019,0.1969,0.1969
1988-08-15,0.1969,0.1995,0.1969,0.1995
1988-08-16,0.1995,0.1995,0.1943,0.1943
1988-08-17,0.1943,0.1969,0.1943,0.1969
1988-08-18,0.1969,0.1969,0.1943,0.1943
1988-08-19,0.1969,0.2019,0.1969,0.2019
1988-08-22,0.2019,0.2019,0.1995,0.1995
1988-08-23,0.1995,0.2019,0.1969,0.1969
1988-08-24,0.1969,0.2019,0.1969,0.1995
1988-08-25,0.1995,0.1995,0.1969,0.1995
1988-08-26,0.1995,0.1995,0.1969,0.1969
1988-08-29,0.1969,0.1995,0.1969,0.1969
1988-08-30,0.1969,0.1995,0.1969,0.1995
1988-08-31,0.1995,0.1995,0.1995,0.1995
1988-09-01,0.1995,0.1995,0.1969,0.1995
1988-09-02,0.1995,0.2019,0.1969,0.2019
1988-09-06,0.2019,0.2043,0.2019,0.2043
1988-09-07,0.2043,0.2043,0.2019,0.2043
1988-09-08,0.2043,0.2043,0.2019,0.2043
1988-09-09,0.2043,0.2043,0.2019,0.2019
1988-09-12,0.2019,0.2043,0.2019,0.2043
1988-09-13,0.2043,0.2043,0.2019,0.2043
1988-09-14,0.2043,0.2096,0.2043,0.2096
1988-09-15,0.2096,0.2096,0.2043,0.2070
1988-09-16,0.2070,0.2070,0.2043,0.2043
1988-09-19,0.2043,0.2070,0.2043,0.2043
1988-09-20,0.2043,0.2070,0.2043,0.2070
1988-09-21,0.2070,0.2070,0.2043,0.2043
1988-09-22,0.2043,0.2070,0.2019,0.2070
1988-09-23,0.2070,0.2070,0.2019,0.2019
1988-09-26,0.2019,0.2043,0.2019,0.2019
1988-09-27,0.2019,0.2043,0.2019,0.2019
1988-09-28,0.2019,0.2070,0.2019,0.2019
1988-09-29,0.2019,0.2043,0.2019,0.2043
1988-09-30,0.2043,0.2070,0.1995,0.2019
1988-10-03,0.2019,0.2019,0.2019,0.2019
1988-10-04,0.2019,0.2070,0.2019,0.2043
1988-10-05,0.2070,0.2096,0.2070,0.2096
1988-10-06,0.2096,0.2096,0.2070,0.2096
1988-10-07,0.2096,0.2120,0.2096,0.2120
1988-10-10,0.2120,0.2120,0.2070,0.2120
1988-10-11,0.2120,0.2120,0.2070,0.2070
1988-10-12,0.2070,0.2096,0.2043,0.2070
1988-10-13,0.2043,0.2070,0.2043,0.2043
1988-10-14,0.2043,0.2070,0.2043,0.2043
1988-10-17,0.2070,0.2070,0.2043,0.2043
1988-10-18,0.2070,0.2070,0.2019,0.2043
1988-10-19,0.2043,0.2070,0.2019,0.2019
1988-10-20,0.2043,0.2043,0.2019,0.2019
1988-10-21,0.2019,0.2043,0.2019,0.2043
1988-10-24,0.2043,0.2043,0.2019,0.2043
1988-10-25,0.2043,0.2070,0.2043,0.2043
1988-10-26,0.2043,0.2070,0.2019,0.2070
1988-10-27,0.2043,0.2070,0.2043,0.2070
1988-10-28,0.2083,0.2108,0.2083,0.2108
1988-10-31,0.2108,0.2108,0.2083,0.2083
1988-11-01,0.2108,0.2135,0.2083,0.2108
1988-11-02,0.2135,0.2135,0.2108,0.2108
1988-11-03,0.2108,0.2135,0.2108,0.2135
1988-11-04,0.2135,0.2135,0.2108,0.2108
1988-11-07,0.2135,0.2162,0.2135,0.2162
1988-11-08,0.2162,0.2162,0.2135,0.2135
1988-11-09,0.2135,0.2162,0.2135,0.2162
1988-11-10,0.2162,0.2162,0.2135,0.2135
1988-11-11,0.2135,0.2135,0.2108,0.2108
1988-11-14,0.2135,0.2135,0.2108,0.2108
1988-11-15,0.2108,0.2135,0.2108,0.2108
1988-11-16,0.2135,0.2135,0.2083,0.2083
1988-11-17,0.2108,0.2108,0.2083,0.2083
1988-11-18,0.2108,0.2108,0.2108,0.2108
1988-11-21,0.2108,0.2108,0.2083,0.2108
1988-11-22,0.2108,0.2135,0.2108,0.2135
1988-11-23,0.2135,0.2135,0.2108,0.2135
1988-11-25,0.2108,0.2108,0.2083,0.2083
1988-11-28,0.2083,0.2108,0.2083,0.2083
1988-11-29,0.2083,0.2108,0.2083,0.2108
1988-11-30,0.2108,0.2135,0.2108,0.2135
1988-12-01,0.2135,0.2135,0.2108,0.2135
1988-12-02,0.2135,0.2162,0.2135,0.2162
1988-12-05,0.2135,0.2162,0.2135,0.2135
1988-12-06,0.2162,0.2162,0.2108,0.2135
1988-12-07,0.2162,0.2162,0.2135,0.2162
1988-12-08,0.2135,0.2135,0.2108,0.2135
1988-12-09,0.2135,0.2162,0.2108,0.2135
1988-12-12,0.2108,0.2162,0.2083,0.2135
1988-12-13,0.2135,0.2162,0.2108,0.2135
1988-12-14,0.2108,0.2135,0.2108,0.2135
1988-12-15,0.2135,0.2162,0.2108,0.2135
1988-12-16,0.2162,0.2187,0.2135,0.2187
