DATE,OPEN,HIGH,LOW,CLOSE
2015-05-22,10.2057,10.2180,10.1689,10.2180
2015-05-26,10.2180,10.2262,10.1853,10.2262
2015-05-27,10.2262,10.2262,10.1976,10.2057
2015-05-28,10.2057,10.2139,10.1853,10.2139
2015-05-29,10.2057,10.2098,10.1894,10.2057
2015-06-01,10.2057,10.2221,10.2057,10.2180
2015-06-02,10.2216,10.2216,10.2028,10.2057
2015-06-03,10.2057,10.2057,10.1853,10.1853
2015-06-04,10.1853,10.2016,10.1853,10.1853
2015-06-05,10.1853,10.1935,10.1853,10.1853
2015-06-08,10.2221,10.2221,10.1894,10.1894
2015-06-09,10.1853,10.2016,10.1853,10.1853
2015-06-10,10.2017,10.2057,10.1894,10.2017
2015-06-11,10.2057,10.2057,10.1853,10.1853
2015-06-12,10.1853,10.2016,10.1853,10.1935
2015-06-15,10.1894,10.2030,10.1894,10.1894
2015-06-16,10.1935,10.2221,10.1894,10.1894
2015-06-17,10.2057,10.2057,10.1894,10.1894
2015-06-18,10.1894,10.1975,10.1853,10.1894
2015-06-19,10.2057,10.2057,10.1894,10.1976
2015-06-22,10.1976,10.4266,10.1853,10.1935
2015-06-23,10.1894,10.6352,10.1894,10.2057
2015-06-24,10.2098,10.2876,10.1853,10.1853
2015-06-25,10.1935,10.2221,10.1853,10.1853
2015-06-26,10.1853,10.2548,10.1853,10.1853
2015-06-29,10.1853,10.2097,9.8867,9.8990
2015-06-30,9.9071,10.1697,9.7394,9.8253
2015-07-01,9.8171,9.8253,9.6331,9.8253
2015-07-02,9.8253,9.8867,9.6290,9.8008
2015-07-06,9.6863,9.7435,9.5635,9.6944
2015-07-07,9.6453,9.6453,9.4204,9.5390
2015-07-08,9.4286,9.4286,9.3631,9.3672
2015-07-09,9.3549,9.6126,9.1381,9.4695
2015-07-10,9.4899,9.5100,9.3876,9.4735
2015-07-13,9.3999,9.5063,9.3713,9.3836
2015-07-14,9.3304,9.3304,9.1831,9.1831
2015-07-15,9.1831,9.3058,9.0686,9.0931
2015-07-16,9.0923,9.0923,9.0099,9.0346
2015-07-17,8.9728,8.9728,8.8203,8.8244
2015-07-20,8.7832,8.8327,8.5112,8.6266
2015-07-21,8.5442,8.6101,8.4164,8.4617
2015-07-22,8.4494,8.6142,8.4494,8.6019
2015-07-23,8.6142,8.6266,8.4823,8.5565
2015-07-24,8.6554,8.8258,8.5302,8.7667
2015-07-27,8.7214,8.8986,8.5854,8.6513
2015-07-28,8.5730,9.0182,8.5730,8.7297
2015-07-29,8.8327,8.8327,8.7090,8.7461
2015-07-30,8.9192,8.9192,8.6637,8.6637
2015-07-31,8.6431,8.6554,8.5977,8.6307
2015-08-03,8.6554,8.6554,8.4576,8.4700
2015-08-04,8.4741,8.8038,8.4576,8.6761
2015-08-05,8.6596,8.7997,8.6554,8.6637
2015-08-06,8.7956,8.7956,8.5112,8.6184
2015-08-07,8.5153,8.6307,8.5153,8.5972
2015-08-10,8.6554,8.6554,8.5730,8.6431
2015-08-11,8.5727,8.6309,8.4481,8.4564
2015-08-12,8.4481,8.4481,8.1364,8.3068
2015-08-13,8.3774,8.3774,8.1447,8.3110
2015-08-14,8.3940,8.4190,8.2818,8.3109
2015-08-17,8.3151,8.3151,8.1696,8.3068
2015-08-18,8.3234,8.5727,8.3192,8.4231
2015-08-19,8.3317,8.4584,8.1655,8.3151
2015-08-20,8.3151,8.4165,8.0284,8.1447
2015-08-21,8.0990,8.1198,7.8289,7.8936
2015-08-24,7.3469,7.7084,6.9313,7.4383
2015-08-25,7.5588,7.6040,7.2347,7.3593
2015-08-26,7.2721,7.6211,7.1931,7.5588
2015-08-27,7.5629,7.7873,7.4923,7.7499
2015-08-28,7.8372,7.9826,7.5505,7.9577
2015-08-31,8.0117,8.0117,7.7873,7.7957
2015-09-01,7.8331,7.8621,7.5089,7.6211
2015-09-02,7.7873,7.8787,7.5463,7.8611
2015-09-03,7.9162,7.9162,7.7250,7.7541
2015-09-04,7.5629,7.7167,7.5629,7.6793
2015-09-08,7.8289,7.8619,7.6170,7.7666
2015-09-09,7.7576,7.8666,7.6947,7.6947
2015-09-10,7.7366,7.7869,7.5605,7.7031
2015-09-11,7.6485,7.7450,7.6402,7.6737
2015-09-14,7.6947,7.7366,7.5563,7.5982
2015-09-15,7.6527,7.7366,7.5982,7.7366
2015-09-16,7.6989,7.9463,7.6569,7.8666
2015-09-17,7.8540,7.9824,7.8205,7.8918
2015-09-18,7.9253,8.1350,7.7240,7.9547
2015-09-21,7.9589,8.0511,7.7911,7.8498
2015-09-22,7.8750,7.9169,7.5395,7.7450
2015-09-23,7.8121,7.8457,7.5940,7.5940
2015-09-24,7.5940,7.6905,7.4221,7.6904
2015-09-25,7.7618,7.9085,7.5647,7.6485
2015-09-28,7.6653,7.7031,7.2334,7.2460
2015-09-29,7.4599,7.5228,7.1705,7.1957
2015-09-30,7.3215,7.3382,7.2250,7.3089
2015-10-01,7.4934,7.5647,7.2250,7.3341
2015-10-02,7.3802,7.5102,7.2660,7.5102
2015-10-05,7.6318,7.7878,7.5785,7.6611
2015-10-06,7.6957,7.7702,7.5856,7.7240
2015-10-07,7.7240,7.9001,7.5773,7.6989
2015-10-08,7.7261,7.8234,7.6596,7.8230
2015-10-09,7.8276,7.9250,7.8234,7.8869
2015-10-12,7.8615,7.8700,7.7483,7.7980
2015-10-13,7.7980,7.8657,7.7092,7.7811
2015-10-14,7.8276,7.8700,7.7134,7.7515
2015-10-15,7.8551,7.8657,7.7811,7.8276
2015-10-16,7.8107,7.9165,7.7346,7.8573
2015-10-19,7.8869,7.8869,7.7557,7.8276
2015-10-20,7.8700,7.8784,7.7896,7.8010
2015-10-21,7.8700,7.8700,7.7726,7.7853
2015-10-22,7.8700,7.9503,7.8506,7.8911
2015-10-23,7.9123,8.0223,7.9123,7.9757
2015-10-26,7.9588,7.9969,7.8869,7.9588
2015-10-27,7.8911,7.9461,7.8276,7.8742
2015-10-28,7.9080,7.9757,7.8403,7.9292
2015-10-29,7.9292,7.9800,7.8831,7.9165
2015-10-30,7.9123,8.0350,7.9123,7.9969
2015-11-02,8.0688,8.0773,7.9588,8.0054
2015-11-03,7.9800,8.0857,7.9757,7.9935
2015-11-04,8.0350,8.0481,7.9842,8.0138
2015-11-05,8.0815,8.0815,7.9757,8.0561
2015-11-06,8.0054,8.0537,7.9080,7.9673
2015-11-09,7.9395,7.9586,7.8305,7.8433
2015-11-10,7.7579,7.8326,7.6811,7.7921
2015-11-11,7.9117,7.9117,7.6896,7.7408
2015-11-12,7.7451,7.7622,7.5871,7.6682
2015-11-13,7.6341,7.6597,7.5145,7.6204
2015-11-16,7.6640,7.6640,7.4975,7.6127
2015-11-17,7.6127,7.6469,7.5273,7.5658
2015-11-18,7.5572,7.6213,7.5487,7.6213
2015-11-19,7.6127,7.6212,7.5359,7.5743
2015-11-20,7.6170,7.6640,7.5188,7.5615
2015-11-23,7.5957,7.6811,7.5316,7.5723
2015-11-24,7.5786,7.6896,7.5530,7.6042
2015-11-25,7.6384,7.7408,7.6255,7.6682
2015-11-27,7.6981,7.7024,7.6341,7.6896
2015-11-30,7.7024,7.7878,7.6981,7.7153
2015-12-01,7.7793,7.8390,7.7323,7.8006
2015-12-02,7.8134,7.8988,7.8006,7.8348
2015-12-03,7.8817,7.8817,7.6768,7.6853
2015-12-04,7.6682,7.8091,7.6469,7.7237
2015-12-07,7.6554,7.6981,7.6213,7.6686
2015-12-08,7.4847,7.6853,7.4847,7.6042
2015-12-09,7.6141,7.8123,7.5494,7.7951
2015-12-10,7.7778,7.8079,7.6959,7.7218
2015-12-11,7.6615,7.6959,7.4208,7.4719
2015-12-14,7.3771,7.4417,7.2672,7.3340
2015-12-15,7.3857,7.4676,7.3426,7.4331
2015-12-16,7.4977,7.7282,7.4460,7.6744
2015-12-17,7.5451,7.7520,7.5451,7.6830
2015-12-18,7.6916,7.7175,7.6184,7.6916
2015-12-21,7.7520,7.7692,7.7003,7.7261
2015-12-22,7.7649,7.7649,7.5925,7.6916
2015-12-23,7.6442,7.7821,7.6442,7.7433
2015-12-24,7.7778,7.7821,7.7218,7.7778
2015-12-28,7.7692,7.8037,7.6830,7.7692
2015-12-29,7.8554,7.8649,7.7390,7.7520
2015-12-30,7.8123,7.8597,7.7520,7.8037
2015-12-31,7.7951,7.8855,7.7563,7.8252
2016-01-04,7.7520,7.8424,7.6701,7.7347
2016-01-05,7.7132,7.8642,7.7132,7.8080
2016-01-06,7.7089,7.7864,7.6959,7.7390
2016-01-07,7.5624,7.6701,7.4461,7.4848
2016-01-08,7.5063,7.5753,7.3641,7.3728
2016-01-11,7.3641,7.3900,7.2478,7.3038
2016-01-12,7.3374,7.3894,7.2112,7.2982
2016-01-13,7.2939,7.3113,7.0589,7.0676
2016-01-14,7.0153,7.0850,6.9414,7.0284
2016-01-15,6.8891,6.9587,6.6933,6.7760
2016-01-19,6.8413,6.8413,6.6759,6.7020
2016-01-20,6.6889,6.7064,6.2059,6.4626
2016-01-21,6.4975,6.7064,6.3538,6.5410
2016-01-22,6.6411,6.8935,6.6411,6.8021
2016-01-25,6.8369,6.8803,6.7151,6.7455
2016-01-26,6.7368,6.9021,6.7368,6.8108
2016-01-27,6.7760,6.8706,6.7599,6.8152
2016-01-28,6.9109,6.9675,6.8369,6.9457
2016-01-29,6.9675,7.1416,6.9458,7.1372
2016-02-01,7.1459,7.3417,7.0458,7.2678
2016-02-02,7.1981,7.1981,7.0415,7.1285
2016-02-03,7.1372,7.1894,6.9501,7.0893
2016-02-04,7.0719,7.1111,7.0023,7.0023
2016-02-05,7.0110,7.0328,6.8978,6.9327
2016-02-08,6.8282,6.8282,6.6802,6.7368
2016-02-09,6.7238,6.7455,6.5710,6.6585
2016-02-10,6.7054,6.7318,6.6218,6.6702
2016-02-11,6.5294,6.5822,6.4150,6.5030
2016-02-12,6.5646,6.6438,6.4766,6.6350
2016-02-16,6.6526,6.7890,6.6526,6.7535
2016-02-17,6.7274,6.8946,6.7187,6.8365
2016-02-18,6.8946,6.8990,6.8595,6.8817
2016-02-19,6.8286,6.9186,6.8198,6.8726
2016-02-22,6.8814,6.9870,6.8066,6.8858
2016-02-23,6.8638,6.9298,6.8638,6.8814
2016-02-24,6.8770,6.9298,6.7715,6.8858
2016-02-25,6.9166,7.0750,6.9079,7.0574
2016-02-26,7.0530,7.1762,7.0530,7.1762
2016-02-29,7.1190,7.2246,7.1190,7.1410
2016-03-01,7.2334,7.3082,7.1938,7.3082
2016-03-02,7.3170,7.3874,7.2848,7.3874
2016-03-03,7.4402,7.5414,7.3082,7.4710
2016-03-04,7.5194,7.6162,7.5172,7.6162
2016-03-07,7.6250,7.6382,7.5388,7.5898
2016-03-08,7.5194,7.6206,7.5194,7.5370
2016-03-09,7.6016,7.6268,7.5394,7.6149
2016-03-10,7.5927,7.6682,7.5705,7.6638
2016-03-11,7.7348,7.7348,7.6682,7.7037
2016-03-14,7.6593,7.7304,7.6549,7.6949
2016-03-15,7.6860,7.6860,7.5660,7.6415
2016-03-16,7.5838,7.7437,7.5838,7.7393
2016-03-17,7.6860,7.8504,7.6593,7.7837
2016-03-18,7.8193,7.8548,7.7526,7.7837
2016-03-21,7.7482,7.8677,7.7438,7.8504
2016-03-22,7.7882,7.9037,7.7882,7.8237
2016-03-23,7.7970,7.8237,7.6949,7.7970
2016-03-24,7.7393,7.7637,7.6504,7.7260
2016-03-28,7.7704,7.7704,7.6726,7.7034
2016-03-29,7.7126,7.7970,7.6860,7.7748
2016-03-30,7.8415,7.8637,7.7837,7.8592
2016-03-31,7.8770,7.8992,7.8149,7.8992
2016-04-01,7.8059,7.9437,7.7970,7.8992
2016-04-04,7.8592,7.8770,7.7970,7.8237
2016-04-05,7.8015,7.8015,7.7304,7.7704
2016-04-06,7.7437,7.8415,7.7349,7.8015
2016-04-07,7.7998,7.8514,7.7954,7.8357
2016-04-08,7.8492,7.8850,7.8312,7.8357
2016-04-11,7.8178,7.8940,7.8133,7.8626
2016-04-12,7.8492,7.9209,7.8088,7.9209
2016-04-13,7.9254,7.9523,7.8626,7.9478
2016-04-14,7.9164,7.9972,7.9119,7.9747
2016-04-15,7.9837,8.0106,7.9209,7.9703
2016-04-18,7.9837,8.0061,7.9254,7.9580
2016-04-19,8.0375,8.0375,7.9389,8.0061
2016-04-20,8.0196,8.0555,7.9822,8.0286
2016-04-21,8.0420,8.0824,8.0196,8.0555
2016-04-22,8.0779,8.1093,8.0559,8.0779
2016-04-25,8.0869,8.0869,8.0061,8.0420
2016-04-26,8.0600,8.0600,7.9658,8.0241
2016-04-27,8.0465,8.0958,8.0465,8.0958
2016-04-28,8.1048,8.1315,8.0420,8.0510
