DATE,OPEN,HIGH,LOW,CLOSE
2018-01-19,10.6454,10.9147,10.0984,10.4266
2018-01-22,10.1994,10.2499,9.3578,9.6355
2018-01-23,9.6524,10.1994,9.6355,10.0226
2018-01-24,10.0226,10.2198,9.5093,10.0226
2018-01-25,10.0226,10.0479,9.7618,10.0142
2018-01-26,9.9385,10.0311,9.8880,10.0142
2018-01-29,10.0058,10.2919,9.9721,10.1657
2018-01-30,10.0984,10.4350,10.0226,10.4350
2018-01-31,10.4855,10.5781,10.4350,10.5023
2018-02-01,10.5023,10.7800,10.4771,10.7295
2018-02-02,10.6370,10.8978,10.6033,10.8221
2018-02-05,10.7716,10.8137,10.4855,10.6370
2018-02-06,10.2667,10.5191,10.2162,10.3508
2018-02-07,10.2835,10.5528,10.2667,10.5276
2018-02-08,10.5781,10.5781,10.3256,10.4097
2018-02-09,10.4266,10.6706,10.2246,10.6370
2018-02-12,10.6370,10.7464,10.4939,10.6706
2018-02-13,10.9399,10.9567,10.1741,10.2246
2018-02-14,10.2499,10.2583,9.9048,10.0479
2018-02-15,10.0479,10.0807,9.4083,9.8375
2018-02-16,9.8964,10.0142,9.7239,9.7449
2018-02-20,9.7029,9.8375,9.6103,9.7534
2018-02-21,9.8207,9.8712,9.7197,9.8038
2018-02-22,9.8123,10.0984,9.7534,10.0226
2018-02-23,10.0142,10.1741,9.8543,10.0815
2018-02-26,10.1236,10.2625,9.9890,10.2246
2018-02-27,10.2162,10.4182,9.6524,9.7618
2018-02-28,9.5766,9.5766,8.8782,8.8866
2018-03-01,8.9960,9.1138,8.8950,8.9876
2018-03-02,8.9960,9.3915,8.9034,9.3158
2018-03-05,9.2400,9.4672,9.0212,9.0212
2018-03-06,9.0970,9.0970,8.6425,8.7099
2018-03-07,8.6678,8.8782,8.6090,8.7519
2018-03-08,8.8697,9.0633,8.8024,8.8529
2018-03-09,8.9623,8.9707,8.7940,8.8613
2018-03-12,8.9286,9.0633,8.8610,9.0128
2018-03-13,8.9623,9.0885,8.8613,8.8697
2018-03-14,8.9791,8.9876,8.5920,8.5920
2018-03-15,9.0465,9.0465,7.4896,7.5149
2018-03-16,7.5990,7.9441,7.3213,7.3466
2018-03-19,7.3382,7.7421,7.2035,7.6916
2018-03-20,7.7758,7.7758,7.4812,7.5401
2018-03-21,7.5738,7.7337,7.4980,7.5485
2018-03-22,7.4896,7.5233,7.2540,7.2961
2018-03-23,7.3868,7.4037,6.7825,6.8459
