DATE,OPEN,HIGH,LOW,CLOSE
2002-01-29,4.7091,4.7217,4.7091,4.7122
2002-01-30,4.7122,4.7122,4.7091,4.7091
2002-01-31,4.7122,4.7122,4.7091,4.7091
2002-02-01,4.7122,4.7122,4.7091,4.7091
2002-02-04,4.7248,4.7248,4.7091,4.7091
2002-02-05,4.7091,4.7154,4.7091,4.7122
2002-02-06,4.7091,4.7122,4.7091,4.7091
2002-02-07,4.7091,4.7122,4.7091,4.7122
2002-02-08,4.7091,4.7122,4.7091,4.7091
2002-02-11,4.7091,4.7122,4.7091,4.7091
2002-02-12,4.7122,4.7122,4.7091,4.7091
2002-02-13,4.7091,4.7122,4.7091,4.7091
2002-02-14,4.7091,4.7122,4.7091,4.7091
2002-02-15,4.7122,4.7122,4.7091,4.7091
2002-02-19,4.7091,4.7091,4.7091,4.7091
2002-02-20,4.7122,4.7122,4.7091,4.7091
2002-02-21,4.7091,4.7122,4.7091,4.7091
2002-02-22,4.7091,4.7122,4.7091,4.7091
2002-02-25,4.7091,4.7122,4.7091,4.7091
2002-02-26,4.7091,4.7091,4.7091,4.7091
2002-02-27,4.7122,4.7122,4.7091,4.7091
2002-02-28,4.7122,4.7122,4.7091,4.7091
2002-03-01,4.7091,4.7091,4.7091,4.7091
2002-03-04,4.7091,4.7122,4.7091,4.7091
2002-03-05,4.7091,4.7122,4.7091,4.7122
2002-03-06,4.7122,4.7122,4.7091,4.7091
2002-03-07,4.7091,4.7122,4.7091,4.7091
2002-03-08,4.7091,4.7091,4.7091,4.7091
2002-03-11,4.7091,4.7122,4.7091,4.7091
2002-03-12,4.7091,4.7091,4.6306,4.6306
2002-03-13,4.6149,4.6149,4.4579,4.4862
2002-03-14,4.5113,4.5113,4.3952,4.4265
2002-03-15,4.4265,4.4265,4.3010,4.3324
2002-03-18,4.3324,4.3418,4.2131,4.2853
2002-03-19,4.3010,4.3324,4.2696,4.2947
2002-03-20,4.2382,4.2853,4.2382,4.2853
2002-03-21,4.3167,4.3167,4.2413,4.3167
2002-03-22,4.3010,4.3261,4.2476,4.2727
2002-03-25,4.2727,4.2727,4.2382,4.2382
2002-03-26,4.2219,4.2914,4.0735,4.2914
2002-03-27,4.2756,4.2756,4.1998,4.2630
2002-03-28,4.2472,4.2756,4.1840,4.2156
2002-04-01,4.1840,4.1840,4.1146,4.1304
2002-04-02,4.1146,4.1840,4.1051,4.1840
2002-04-03,4.1998,4.2440,4.1872,4.2314
2002-04-04,4.1998,4.2409,4.1840,4.1998
2002-04-05,4.2156,4.3514,4.2030,4.3198
2002-04-08,4.3356,4.3356,4.3009,4.3009
2002-04-09,4.2946,4.3103,4.2788,4.2946
2002-04-10,4.2788,4.3103,4.2630,4.2946
2002-04-11,4.2946,4.3103,4.2093,4.2156
2002-04-12,4.2251,4.2819,4.2251,4.2819
2002-04-15,4.2630,4.2788,4.2219,4.2409
2002-04-16,4.2314,4.2630,4.2251,4.2567
2002-04-17,4.2567,4.2630,4.2377,4.2377
2002-04-18,4.2503,4.2630,4.2314,4.2630
2002-04-19,4.2661,4.2882,4.2377,4.2567
2002-04-22,4.2882,4.2882,4.2282,4.2567
2002-04-23,4.2567,4.2598,4.2314,4.2346
2002-04-24,4.2440,4.2630,4.2346,4.2630
2002-04-25,4.2725,4.2851,4.2472,4.2851
2002-04-26,4.2851,4.2882,4.2567,4.2693
