DATE,OPEN,HIGH,LOW,CLOSE
2014-09-24,18.0101,18.3060,17.9805,18.2098
2014-09-25,18.0915,18.1802,18.0323,18.0323
2014-09-26,17.9140,18.1063,17.9140,18.1063
2014-09-29,17.9287,18.4909,17.9287,18.2690
2014-09-30,18.3060,18.3577,18.2024,18.2098
2014-10-01,18.2653,18.3207,18.1432,18.2542
2014-10-02,18.2616,18.2616,18.1580,18.2468
2014-10-03,18.2616,18.3060,18.2395,18.2764
2014-10-06,18.2838,18.2838,18.1580,18.2616
2014-10-07,18.1802,18.2616,18.1728,18.2320
2014-10-08,18.2320,18.2542,18.1802,18.1802
2014-10-09,18.1950,18.2172,18.1432,18.1580
2014-10-10,18.1284,18.1728,18.0323,18.1114
2014-10-13,18.1580,18.1580,18.0619,18.0693
2014-10-14,18.1580,18.1580,18.0101,18.0471
2014-10-15,18.0249,18.0989,17.9213,17.9509
2014-10-16,17.9731,18.1654,17.8992,18.0619
2014-10-17,18.0619,18.0619,17.9805,18.0545
2014-10-20,18.0397,18.1137,18.0323,18.0471
2014-10-21,18.0545,18.1876,18.0470,18.1654
2014-10-22,18.1654,18.2320,18.1301,18.2320
2014-10-23,18.2320,18.2320,18.0841,18.1950
2014-10-24,18.1950,18.2246,18.1580,18.2172
2014-10-27,18.1950,18.1951,18.1359,18.1876
2014-10-28,18.2172,18.2172,18.0841,18.1432
2014-10-29,18.1654,18.1876,18.1284,18.1506
2014-10-30,18.1063,18.2320,18.1063,18.2246
2014-10-31,18.2320,18.3429,18.2172,18.3207
2014-11-03,18.3060,18.3207,18.2320,18.3207
2014-11-04,18.3060,18.3725,18.2764,18.3725
2014-11-05,18.3799,18.3799,18.3207,18.3207
2014-11-06,18.3503,18.3651,18.3093,18.3355
2014-11-07,18.3651,18.4317,18.3355,18.3947
2014-11-10,18.4317,18.4520,18.3577,18.4465
2014-11-11,18.4539,18.4687,18.4021,18.4391
2014-11-12,18.4613,18.4909,18.4021,18.4465
2014-11-13,18.4391,18.4909,18.3577,18.4687
2014-11-14,18.3947,18.5205,18.3947,18.4983
2014-11-17,18.4835,18.5205,18.3947,18.5205
2014-11-18,18.5205,18.5205,18.4867,18.4983
2014-11-19,18.5131,18.5205,18.4391,18.5205
2014-11-20,18.5057,18.6018,18.5057,18.6018
2014-11-21,18.6018,18.6758,18.5409,18.6166
2014-11-24,18.6240,18.6462,18.5219,18.6018
2014-11-25,18.5500,18.6239,18.4983,18.5870
2014-11-26,18.6018,18.6610,18.5648,18.6388
2014-11-28,18.6462,18.6462,18.6388,18.6388
2014-12-01,18.6388,18.6388,18.5648,18.6314
2014-12-02,18.5796,18.6758,18.5796,18.6536
2014-12-03,18.6676,18.7645,18.5205,18.6092
2014-12-04,18.6388,18.6758,18.5278,18.5722
2014-12-05,18.6018,18.6240,18.5057,18.6166
2014-12-08,18.6388,18.6536,18.6092,18.6388
2014-12-09,18.6462,18.6536,18.5649,18.6314
2014-12-10,18.6758,18.6758,18.5205,18.5205
2014-12-11,18.6534,18.7287,18.5858,18.7061
2014-12-12,18.5030,18.8415,18.5030,18.7430
2014-12-15,18.7362,18.7512,18.6158,18.7211
2014-12-16,18.7136,18.7211,18.5256,18.6534
2014-12-17,18.6534,18.6835,18.5782,18.5858
2014-12-18,18.6685,18.6835,18.5858,18.6534
2014-12-19,18.6835,18.7964,18.6158,18.7287
2014-12-22,18.7287,18.8114,18.7287,18.7813
2014-12-23,18.8039,18.8039,18.7211,18.7377
2014-12-24,18.7663,18.7964,18.6534,18.6610
2014-12-26,18.7287,18.7287,18.5933,18.6384
2014-12-29,18.6911,18.8565,18.6610,18.8565
2014-12-30,18.8565,18.8565,18.7437,18.8039
2014-12-31,18.7738,18.9167,18.7738,18.8941
2015-01-02,18.9543,19.1273,18.9092,19.1047
2015-01-05,19.0972,19.0972,18.8039,18.8716
2015-01-06,18.9242,18.9543,18.8565,18.9468
2015-01-07,18.9618,19.0446,18.9317,19.0370
2015-01-08,19.0498,19.0521,18.9468,18.9694
2015-01-09,19.0220,19.0295,18.9017,18.9769
2015-01-12,19.0070,19.0145,18.9281,18.9769
2015-01-13,18.9742,18.9994,18.8039,18.9317
2015-01-14,18.8798,18.9543,18.8038,18.8941
2015-01-15,18.9317,19.0972,18.8866,19.0972
2015-01-16,19.0972,19.1423,19.0446,19.0446
2015-01-20,18.9543,19.1348,18.9393,19.1123
2015-01-21,19.1198,19.1423,19.0150,19.1348
2015-01-22,19.1423,19.3755,19.0220,19.0972
2015-01-23,19.1047,19.1649,19.0972,19.1499
2015-01-26,19.1499,19.1796,19.0972,19.1649
2015-01-27,19.1800,19.2100,19.1123,19.1348
2015-01-28,19.1875,19.3153,19.1423,19.2251
2015-01-29,19.2477,19.4432,19.2176,19.4206
2015-01-30,19.3379,19.4131,19.2853,19.3680
2015-02-02,19.3605,19.4282,19.2853,19.4056
2015-02-03,19.4432,19.4432,19.2702,19.3755
2015-02-04,19.3451,19.3830,19.2928,19.2928
2015-02-05,19.2928,19.3304,19.1348,19.1649
2015-02-06,19.2100,19.2100,19.0070,19.0671
2015-02-09,18.9919,19.1123,18.9919,19.1047
2015-02-10,19.1047,19.1499,19.0221,19.1198
2015-02-11,19.1499,19.2100,19.0972,19.2025
2015-02-12,19.2627,19.3003,19.1876,19.2853
2015-02-13,19.3078,19.3153,19.1950,19.2025
2015-02-17,19.2401,19.2552,19.1123,19.1198
2015-02-18,19.0446,19.1123,18.9769,19.0972
2015-02-19,19.0521,19.1724,19.0521,19.1423
2015-02-20,19.1423,19.2477,19.1423,19.1810
2015-02-23,19.1950,19.2552,19.1423,19.1950
2015-02-24,19.1348,19.3830,19.1348,19.3229
2015-02-25,19.3304,19.4432,19.3304,19.3830
2015-02-26,19.3755,19.4282,19.3454,19.4131
2015-02-27,19.3530,19.4432,19.3530,19.4282
2015-03-02,19.4733,19.4733,19.3830,19.4340
2015-03-03,19.3830,19.4658,19.3804,19.4658
2015-03-04,19.5259,19.5560,19.4206,19.4959
2015-03-05,19.4959,19.5560,19.4959,19.5485
2015-03-06,19.4658,19.4658,19.1950,19.2251
2015-03-09,19.2552,19.3906,19.2176,19.2176
2015-03-10,19.4056,19.4056,19.2627,19.3981
2015-03-11,19.3594,19.4969,19.3290,19.4587
2015-03-12,19.4358,19.5351,19.4358,19.4587
2015-03-13,19.5274,19.5274,19.3984,19.4511
2015-03-16,19.4816,19.4816,19.4630,19.4740
