DATE,OPEN,HIGH,LOW,CLOSE
2009-02-13,5.9710,5.9710,5.9710,5.9710
2009-02-17,6.0416,6.0511,5.9526,5.9526
2009-02-18,5.8477,6.0564,5.8477,6.0564
2009-02-19,5.8066,5.8066,5.8066,5.8066
2009-02-20,5.9987,6.2027,5.9987,6.0643
2009-02-23,5.9318,6.1561,5.9138,6.0825
2009-02-24,5.9607,5.9607,5.9397,5.9397
2009-02-25,6.1364,6.3242,6.1168,6.1187
2009-02-26,5.9757,6.2710,5.9563,6.0587
2009-02-27,6.0541,6.1356,6.0076,6.1356
2009-03-02,6.1515,6.1515,5.7985,5.8118
2009-03-03,5.5988,5.8723,5.5988,5.8723
2009-03-04,5.8174,5.8248,5.7440,5.7440
2009-03-05,6.0761,6.0761,6.0761,6.0761
2009-03-06,5.9983,6.0015,5.8285,5.8285
2009-03-09,5.6854,5.7552,5.6854,5.6882
2009-03-10,5.6825,5.6825,5.3306,5.3306
2009-03-11,5.6849,5.7952,5.6231,5.7952
2009-03-12,5.7957,5.7957,5.7957,5.7957
2009-03-13,5.8341,5.8714,5.8326,5.8326
2009-03-16,5.6374,5.6483,5.6300,5.6483
2009-03-17,5.6205,5.6205,5.6133,5.6133
2009-03-18,5.5160,6.0236,5.4794,6.0236
2009-03-19,6.2728,6.2857,6.1538,6.2857
2009-03-20,6.2442,6.2442,6.1414,6.1414
2009-03-23,6.3485,6.3485,6.1906,6.1906
2009-03-24,6.1925,6.1925,6.1925,6.1925
2009-03-25,6.5183,6.5183,6.4800,6.4805
2009-03-26,6.6909,6.6909,6.6376,6.6909
2009-03-27,6.5894,6.5894,6.4597,6.4602
2009-03-30,6.3185,6.5317,6.3185,6.3776
2009-03-31,6.5911,6.5911,6.5911,6.5911
2009-04-01,6.6244,6.8040,6.4971,6.8022
2009-04-02,6.6263,6.8847,6.6263,6.8847
2009-04-03,6.8293,6.8293,6.8293,6.8293
2009-04-06,6.2451,6.2705,5.8806,5.9341
2009-04-07,6.1187,6.1187,6.0942,6.0942
2009-04-08,6.0884,6.1219,6.0884,6.1145
2009-04-09,6.0684,6.1907,6.0144,6.1907
2009-04-13,6.3762,6.3762,6.3319,6.3319
2009-04-14,6.2737,6.3096,6.2335,6.2335
2009-04-15,6.4002,6.4002,6.4002,6.4002
2009-04-16,6.4048,6.4048,6.4048,6.4048
2009-04-17,5.7711,5.7745,5.6646,5.7140
2009-04-20,5.7819,5.7819,5.7819,5.7819
2009-04-21,5.7865,5.7865,5.7865,5.7865
2009-04-22,5.5728,5.5728,5.5598,5.5598
2009-04-23,5.8049,5.8299,5.8049,5.8299
2009-04-24,6.0274,6.1492,6.0199,6.1492
2009-04-27,6.1464,6.1464,6.1464,6.1464
2009-04-28,6.1464,6.1464,6.1464,6.1464
2009-04-29,6.1996,6.1996,6.1996,6.1996
2009-04-30,6.2018,6.2018,6.2018,6.2018
2009-05-01,5.9609,6.0375,5.9609,6.0375
2009-05-04,6.1879,6.2345,6.1768,6.2345
2009-05-05,6.2387,6.2387,6.2387,6.2387
2009-05-06,6.2255,6.2255,6.1679,6.2185
2009-05-07,6.2202,6.2202,6.2202,6.2202
2009-05-08,6.7278,6.7278,6.4971,6.4971
2009-05-11,6.4971,6.4971,6.4971,6.4971
2009-05-12,6.4537,6.7975,6.4442,6.7975
2009-05-13,6.9401,7.0887,6.9223,6.9373
2009-05-14,6.7804,6.9124,6.6863,6.8967
2009-05-15,7.0157,7.0157,6.9032,6.9216
2009-05-18,6.9216,6.9216,6.9216,6.9216
2009-05-19,7.1218,7.1826,7.1108,7.1826
2009-05-20,7.2848,8.0798,7.2848,8.0798
2009-05-21,7.8699,8.1827,7.8699,8.1717
