DATE,OPEN,HIGH,LOW,CLOSE
2015-12-17,31.0528,31.0528,28.9453,28.9453
2015-12-18,29.2498,29.2658,26.0042,26.6534
2015-12-21,27.2704,27.7672,26.7976,27.0941
2015-12-22,27.2464,28.2080,27.0540,28.1118
2015-12-23,28.1279,29.7065,28.0878,29.6184
2015-12-24,29.6665,30.0832,29.6665,30.0111
2015-12-28,29.6665,29.8990,29.2658,29.3299
2015-12-29,29.3299,30.4037,29.3299,30.1874
2015-12-30,30.6281,31.0368,30.0752,30.6281
2015-12-31,30.7002,31.1730,30.4598,30.7724
2016-01-04,31.0769,31.0769,30.0832,30.3316
2016-01-05,30.4037,30.6922,30.0752,30.5560
2016-01-06,30.0511,30.7483,30.0511,30.4919
2016-01-07,30.0992,30.5320,30.0511,30.2915
2016-01-08,30.4518,30.5720,30.0351,30.2595
2016-01-11,30.3717,30.6922,29.9309,29.9630
2016-01-12,30.1713,30.2314,29.7066,29.8668
2016-01-13,29.8348,30.1313,29.4020,29.4261
2016-01-14,29.3940,29.9389,29.0895,29.8107
2016-01-15,28.9132,30.3476,28.8571,30.1393
2016-01-19,30.4839,31.2932,30.1152,31.0288
2016-01-20,31.0769,31.1173,29.8187,30.0271
2016-01-21,30.7403,31.0048,29.4384,29.7226
2016-01-22,29.9790,30.6281,29.4421,30.4438
2016-01-25,30.5239,30.6041,29.5222,29.6905
2016-01-26,30.0111,30.1874,29.7626,29.9790
2016-01-27,30.0752,30.6161,29.8909,30.2915
2016-01-28,30.4358,30.6602,30.2034,30.2915
2016-01-29,30.4839,30.9086,30.3797,30.8124
2016-02-01,31.0368,31.9904,30.6522,31.2452
2016-02-02,31.1250,31.8542,31.0289,31.7340
2016-02-03,32.0946,32.6956,32.0946,32.5033
2016-02-04,32.6716,33.0482,32.2869,32.9521
2016-02-05,32.5915,33.9778,32.1267,33.6653
2016-02-08,33.6493,33.6573,32.3470,33.2325
2016-02-09,33.1444,33.7254,32.2308,33.0482
2016-02-10,33.0562,33.5170,32.7197,33.3207
2016-02-11,33.2886,33.2886,32.5594,32.7998
2016-02-12,32.9040,32.9040,32.4312,32.5273
2016-02-16,32.8399,32.8559,32.2148,32.5754
2016-02-17,33.2967,33.2967,32.4552,33.1043
2016-02-18,33.2486,33.6092,32.9681,33.2566
2016-02-19,33.0562,33.4088,32.6275,33.3047
2016-02-22,30.4518,31.4375,30.0832,31.0528
2016-02-23,30.1313,30.8285,29.4501,30.4999
2016-02-24,29.9710,31.6138,29.6985,31.4615
2016-02-25,31.6539,31.7260,30.9967,31.2772
2016-02-26,31.0528,31.4135,30.8525,31.1971
2016-02-29,31.1330,31.4215,31.0368,31.0849
2016-03-01,31.3974,31.5737,30.5640,30.9166
2016-03-02,31.0048,31.1570,30.4518,31.0769
