DATE,OPEN,HIGH,LOW,CLOSE
2005-09-15,27.2367,27.2940,26.5060,26.5132
2005-09-16,26.5060,26.5060,26.2195,26.2195
2005-09-19,26.2195,26.2911,26.1120,26.2911
2005-09-20,26.2195,26.5060,26.2195,26.2911
2005-09-21,26.2195,26.2195,25.7896,26.0762
2005-09-22,26.0762,26.6493,26.0762,26.6493
2005-09-23,26.6493,27.2940,26.6493,26.9932
2005-09-26,27.0433,27.3299,27.0433,27.0433
2005-09-27,27.0433,27.1508,26.6063,26.6851
2005-09-28,26.6779,26.7926,26.3627,26.5060
2005-09-29,26.4415,26.4415,25.9687,26.2195
2005-09-30,26.2195,26.2195,25.5031,25.6464
2005-10-03,25.2882,25.7180,24.4787,24.8583
2005-10-04,24.3569,24.5718,23.8196,24.2852
2005-10-05,24.3569,24.4285,23.8697,24.1061
2005-10-06,23.9271,24.1061,23.7909,23.9056
2005-10-07,23.8411,24.0703,23.7336,24.0703
2005-10-10,24.0703,24.0703,23.6405,23.6620
2005-10-11,23.6692,23.9199,23.6262,23.6405
2005-10-12,23.5689,23.8554,23.4399,23.4757
2005-10-13,23.3038,23.4256,23.2680,23.3181
2005-10-14,23.2966,23.4614,23.1963,23.2035
2005-10-17,23.1677,23.4757,22.9241,23.2680
2005-10-18,23.1390,23.3181,23.0316,23.2322
2005-10-19,23.1247,23.7551,23.0746,23.7551
2005-10-20,23.7551,24.3999,23.7121,24.0560
2005-10-21,24.1993,24.7158,24.0918,24.3569
2005-10-24,25.2524,26.1335,25.0231,25.9974
2005-10-25,25.3168,26.8427,25.2738,26.6350
2005-10-26,26.3986,27.0218,26.2911,26.5060
2005-10-27,26.4702,26.5060,25.6464,25.9902
2005-10-28,26.1478,26.6493,25.9401,26.5777
2005-10-31,26.6565,26.9358,26.4774,26.6636
2005-11-01,26.4344,26.4774,26.1192,26.1908
2005-11-02,26.0248,26.5134,25.9961,26.4415
2005-11-03,26.3841,27.0307,26.3841,26.8870
2005-11-04,26.8224,26.8870,26.5996,26.7074
2005-11-07,26.6571,26.7074,26.4591,26.5996
2005-11-08,26.3338,26.7289,26.3338,26.5565
2005-11-09,26.5565,27.4331,26.5134,27.2175
2005-11-10,27.1241,28.2378,27.1241,27.9648
2005-11-11,27.6630,27.9935,27.6415,27.9576
2005-11-14,27.8786,28.3097,27.6702,28.2666
2005-11-15,28.0223,28.3097,27.6415,28.1732
2005-11-16,28.2738,28.7408,28.0870,28.6187
2005-11-17,28.8127,29.5887,28.5827,28.7408
2005-11-18,29.0641,29.3659,28.4821,28.6833
2005-11-21,28.8630,30.1778,28.8630,29.8761
2005-11-22,29.7467,30.4581,29.6677,30.2856
2005-11-23,30.3216,31.4424,30.3216,31.2341
2005-11-25,31.6867,31.7945,30.8604,31.2197
2005-11-28,31.1838,31.7586,30.9682,31.5430
2005-11-29,31.4353,31.6077,29.9839,30.5730
2005-11-30,30.8245,31.0760,29.6749,30.2138
2005-12-01,30.1419,31.5287,30.0988,31.1191
2005-12-02,31.0760,31.4281,30.6090,31.0616
2005-12-05,31.0544,31.3993,30.8317,31.2700
2005-12-06,31.3993,31.4999,31.2413,31.3347
2005-12-07,31.3203,32.1753,31.0544,31.1550
2005-12-08,31.3634,31.6508,31.1191,31.3634
2005-12-09,31.3562,31.6293,31.1550,31.4424
2005-12-12,31.4353,31.4424,30.8101,30.9898
2005-12-13,30.8245,31.1622,30.5443,30.7742
2005-12-14,30.7742,30.9179,29.8330,29.8401
2005-12-15,29.7683,30.1060,29.5240,29.5958
2005-12-16,29.7755,30.4724,29.7539,30.3647
2005-12-19,30.4006,30.6305,29.5455,29.6821
2005-12-20,29.6390,30.4653,29.4593,29.8689
2005-12-21,29.8689,30.6090,29.4378,29.8545
2005-12-22,29.8689,30.4581,29.6030,30.1275
2005-12-23,28.3241,30.5802,28.3241,30.1275
2005-12-27,30.1060,30.2353,29.3156,29.3875
2005-12-28,29.3875,29.6964,29.3156,29.4953
2005-12-29,29.5671,29.5815,29.1575,29.3444
2005-12-30,29.1073,29.5168,29.0695,29.4593
2006-01-03,29.6749,30.3216,29.3875,30.2497
2006-01-04,30.8964,31.8951,30.8101,31.1981
2006-01-05,31.2844,31.9741,31.0185,31.5646
2006-01-06,31.5718,31.7586,31.1694,31.3275
2006-01-09,31.3275,32.4053,31.3275,32.3981
2006-01-10,32.1897,32.2400,31.9461,32.0891
2006-01-11,32.1394,32.1753,31.5861,31.7586
2006-01-12,31.7658,32.0316,31.5790,31.7298
2006-01-13,31.6867,31.7945,31.4044,31.5287
2006-01-17,31.3634,31.5430,30.8748,31.2772
2006-01-18,31.1119,31.5430,30.3718,31.1852
2006-01-19,30.5012,30.8317,30.1994,30.6090
2006-01-20,30.5371,30.5730,30.0916,30.3216
2006-01-23,30.4940,31.5430,30.4796,31.2556
2006-01-24,30.2497,31.3993,29.9551,31.2413
2006-01-25,31.2484,31.2484,30.8533,31.0473
2006-01-26,31.5790,31.8304,30.9036,31.1119
2006-01-27,30.8101,31.3921,30.0054,30.4653
2006-01-30,30.4653,30.5012,29.8186,29.8545
