DATE,OPEN,HIGH,LOW,CLOSE
2012-11-28,9.4493,9.5689,9.4493,9.5689
2012-11-29,9.5450,9.5689,9.5259,9.5689
2012-11-30,9.5689,9.5737,9.5450,9.5689
2012-12-03,9.5737,9.5737,9.5689,9.5689
2012-12-04,9.5689,9.5737,9.5450,9.5689
2012-12-05,9.5594,9.5689,9.5594,9.5689
2012-12-06,9.7364,9.7603,9.5689,9.5689
2012-12-07,9.5689,9.6168,9.5689,9.5833
2012-12-10,9.5689,9.6885,9.5689,9.6598
2012-12-11,9.5689,9.6407,9.5689,9.5991
2012-12-12,9.6157,9.6168,9.5833,9.6101
2012-12-13,9.5833,9.6168,9.5689,9.5689
2012-12-14,9.5689,9.5833,9.5450,9.5689
2012-12-17,9.6168,9.6168,9.5928,9.6168
2012-12-18,9.7077,9.7077,9.3441,9.5689
2012-12-19,9.5689,9.5737,9.5498,9.5689
2012-12-20,9.6407,9.6407,9.5689,9.5737
2012-12-21,9.5689,9.5737,9.5689,9.5689
2012-12-24,9.5866,9.5866,9.5689,9.5689
2012-12-26,9.5785,9.5928,9.5785,9.5928
2012-12-27,9.5928,9.5928,9.5450,9.5689
2012-12-28,9.5737,9.6024,9.5737,9.5737
2012-12-31,9.5689,9.6249,9.5689,9.5737
2013-01-02,9.5689,9.6024,9.5689,9.5737
2013-01-03,9.5737,9.6072,9.5689,9.5732
2013-01-04,9.5689,9.5694,9.5689,9.5689
2013-01-07,9.5689,9.7077,9.5498,9.6455
2013-01-08,9.5211,9.5211,9.4637,9.4780
2013-01-09,9.4732,9.5785,9.4732,9.5785
2013-01-10,9.5689,9.5928,9.4972,9.5450
2013-01-11,9.5211,9.5641,9.4254,9.5641
2013-01-14,9.5211,9.5498,9.4158,9.4493
2013-01-15,9.5163,9.5163,9.2819,9.2914
2013-01-16,9.4445,9.4493,9.2053,9.2531
2013-01-17,9.2551,9.3705,9.2551,9.2819
2013-01-18,9.2914,9.3775,9.2914,9.3775
2013-01-22,9.4014,9.4015,9.2340,9.3632
2013-01-23,9.4193,9.4341,9.3234,9.3378
2013-01-24,9.3138,9.3860,9.3041,9.3138
2013-01-25,9.3090,9.3956,9.2175,9.2416
2013-01-28,9.3667,9.3667,9.1838,9.2175
2013-01-29,9.2031,9.2753,9.1886,9.2656
2013-01-30,9.2560,9.4341,9.2319,9.3426
2013-01-31,9.3860,9.3860,9.1934,9.2512
2013-02-01,9.2849,9.2945,9.1982,9.2897
2013-02-04,9.2753,9.2753,9.1838,9.2512
2013-02-05,9.2656,9.2656,9.1982,9.2416
2013-02-06,9.2271,9.2603,9.2126,9.2560
2013-02-07,9.2127,9.2656,9.1982,9.2656
2013-02-08,9.2656,9.2945,9.2031,9.2464
2013-02-11,9.2656,9.2753,9.2031,9.2753
2013-02-12,9.2464,9.3426,9.2464,9.2993
2013-02-13,9.2945,9.3812,9.2416,9.3426
2013-02-14,9.3892,9.4086,9.2875,9.4086
2013-02-15,9.4086,9.4183,9.3311,9.3505
2013-02-19,9.4086,9.6846,9.4037,9.4328
2013-02-20,9.5393,9.5539,9.4321,9.4812
2013-02-21,9.5296,9.5974,9.4473,9.5442
2013-02-22,9.5781,9.6120,9.4328,9.4764
2013-02-25,9.4812,9.5130,9.4183,9.4425
2013-02-26,9.4522,9.4667,9.4037,9.4183
2013-02-27,9.4328,9.4933,9.4231,9.4570
2013-02-28,9.5635,9.5635,9.4619,9.5248
2013-03-01,9.5296,9.6071,9.4958,9.5878
2013-03-04,9.5684,9.5974,9.5006,9.5103
2013-03-05,9.5345,9.5829,9.4909,9.5194
2013-03-06,9.5103,9.5393,9.4619,9.4909
2013-03-07,9.4909,9.5296,9.4425,9.4957
2013-03-08,9.4861,9.5635,9.4473,9.4715
2013-03-11,9.5296,9.5296,9.4522,9.4841
2013-03-12,9.4473,9.4861,9.4280,9.4425
2013-03-13,9.4812,9.4812,9.3989,9.4231
2013-03-14,9.4473,9.5878,9.4473,9.5539
2013-03-15,9.5539,9.6023,9.4086,9.4328
2013-03-18,9.4328,9.5296,9.4183,9.5103
2013-03-19,9.5379,9.5580,9.4990,9.5282
2013-03-20,9.4990,9.5769,9.4551,9.5233
2013-03-21,9.4746,9.5379,9.4600,9.5331
2013-03-22,9.5866,9.5866,9.4746,9.4990
2013-03-25,9.4990,9.5672,9.4503,9.4990
2013-03-26,9.4746,9.5428,9.4697,9.5379
2013-03-27,9.5477,9.6548,9.4965,9.6074
2013-03-28,9.6354,9.7425,9.5574,9.7425
2013-04-01,9.7328,9.8448,9.6792,9.7328
2013-04-02,9.7279,9.7474,9.6792,9.7474
2013-04-03,9.7133,9.7425,9.6695,9.7328
2013-04-04,9.7182,9.7377,9.6402,9.7377
2013-04-05,9.6938,9.7377,9.6110,9.7377
2013-04-08,9.7279,9.7425,9.6207,9.7425
2013-04-09,9.7230,9.7230,9.6110,9.6597
2013-04-10,9.6451,9.7328,9.5818,9.6548
2013-04-11,9.6889,9.7084,9.6061,9.6646
2013-04-12,9.6305,9.6889,9.6013,9.6695
2013-04-15,9.6354,9.6402,9.5818,9.6354
2013-04-16,9.6402,9.6695,9.6201,9.6646
2013-04-17,9.6207,9.6841,9.6207,9.6451
2013-04-18,9.7120,9.7120,9.6189,9.6924
2013-04-19,9.7169,9.7169,9.5601,9.6483
2013-04-22,9.6483,9.6777,9.5944,9.6630
2013-04-23,9.6189,9.6973,9.6189,9.6973
2013-04-24,9.6826,9.6973,9.6336,9.6826
2013-04-25,9.6973,9.7316,9.6679,9.6973
2013-04-26,9.6875,9.7414,9.6826,9.7316
2013-04-29,9.6434,9.7610,9.6434,9.7463
2013-04-30,9.7708,9.7757,9.7365,9.7512
2013-05-01,9.7659,9.7894,9.7414,9.7610
2013-05-02,9.7708,9.8051,9.7639,9.7953
2013-05-03,9.7512,9.8443,9.7512,9.8345
2013-05-06,9.7855,9.8198,9.7512,9.7708
2013-05-07,9.7953,9.8149,9.7512,9.7659
2013-05-08,9.7757,9.7806,9.7071,9.7757
2013-05-09,9.7414,9.8443,9.7365,9.8002
2013-05-10,9.8002,10.0011,9.7169,9.8541
2013-05-13,9.9031,9.9031,9.8051,9.8884
2013-05-14,9.8982,9.8982,9.7610,9.8394
2013-05-15,9.9227,9.9227,9.7659,9.8394
2013-05-16,9.8478,9.8527,9.7104,9.8281
2013-05-17,9.8330,9.8429,9.7197,9.7936
2013-05-20,9.8281,9.8281,9.7295,9.8232
2013-05-21,9.8281,9.8281,9.6463,9.7344
2013-05-22,9.7788,9.8232,9.6408,9.7837
2013-05-23,9.7591,9.7936,9.6457,9.7936
2013-05-24,9.7739,9.8429,9.6999,9.8232
2013-05-28,9.8478,9.8478,9.6161,9.8034
2013-05-29,9.7887,9.7887,9.6309,9.7049
2013-05-30,9.7492,9.7492,9.6339,9.7295
2013-05-31,9.7591,9.7985,9.7098,9.7985
2013-06-03,9.7788,9.7837,9.6654,9.7640
2013-06-04,9.7197,9.7936,9.6605,9.6852
2013-06-05,9.7098,9.7098,9.6309,9.7098
2013-06-06,9.7246,9.7246,9.5767,9.6999
2013-06-07,9.6999,9.7246,9.5915,9.6753
2013-06-10,9.7049,9.7147,9.5619,9.6802
2013-06-11,9.6605,9.6605,9.5619,9.6309
2013-06-12,9.6506,9.6506,9.5028,9.5028
2013-06-13,9.5964,9.6605,9.4929,9.5225
2013-06-14,9.5619,9.5619,9.4436,9.4584
2013-06-17,9.5028,9.5570,9.4436,9.4732
2013-06-18,9.4486,9.4880,9.0789,9.1578
2013-06-19,9.2143,9.4970,9.2094,9.3929
2013-06-20,9.4623,9.5863,9.2986,9.4722
2013-06-21,9.5317,9.6155,9.3234,9.4474
2013-06-24,9.4722,9.5615,9.2738,9.3830
2013-06-25,9.5565,9.5565,9.2143,9.3185
2013-06-26,9.3383,9.4995,9.3086,9.4226
2013-06-27,9.4871,9.5714,9.3785,9.4722
2013-06-28,9.5268,9.5317,9.2674,9.3185
2013-07-01,9.4028,9.5764,9.4028,9.4226
2013-07-02,9.4772,9.4772,9.2986,9.3879
2013-07-03,9.4177,9.4921,9.3681,9.4127
2013-07-05,9.4127,9.4573,9.3284,9.4325
2013-07-08,9.4772,9.4772,9.3978,9.4077
2013-07-09,9.4673,9.4722,9.2986,9.4077
2013-07-10,9.4325,9.4871,9.3780,9.4623
2013-07-11,9.4474,9.4921,9.3135,9.4623
2013-07-12,9.4673,9.4970,9.4226,9.4772
2013-07-15,9.4722,9.5317,9.4276,9.4970
2013-07-16,9.5119,9.5367,9.3284,9.4325
2013-07-17,9.5069,9.5659,9.4276,9.5565
2013-07-18,9.5898,9.5898,9.5299,9.5898
2013-07-19,9.5698,9.5698,9.4056,9.5448
2013-07-22,9.5548,9.5598,9.4301,9.4650
2013-07-23,9.4650,9.4650,9.3054,9.3852
2013-07-24,9.4351,9.4900,9.0808,9.2754
2013-07-25,9.2754,9.3702,9.1207,9.3702
2013-07-26,9.4101,9.4750,9.3103,9.4700
