DATE,OPEN,HIGH,LOW,CLOSE
2005-08-09,8.6394,8.7950,8.2955,8.7213
2005-08-10,8.6599,8.8032,8.6190,8.7213
2005-08-11,8.6804,8.8032,8.5780,8.8032
2005-08-12,8.7213,8.7787,8.7009,8.7091
2005-08-15,8.6886,8.7213,8.6313,8.6640
2005-08-16,8.6599,8.6599,8.5780,8.5985
2005-08-17,8.5903,8.7213,8.5494,8.6722
2005-08-18,8.6394,8.6722,8.5576,8.5944
2005-08-19,8.5576,8.8073,8.5576,8.7623
2005-08-22,8.6804,8.7418,8.5780,8.5985
2005-08-23,8.6149,8.6394,8.5944,8.6026
2005-08-24,8.5985,8.6804,8.5903,8.5985
2005-08-25,8.6394,8.6394,8.5576,8.5944
2005-08-26,8.5944,8.5985,8.5576,8.5780
2005-08-29,8.5576,8.5862,8.5535,8.5657
2005-08-30,8.5576,8.5903,8.5371,8.5780
2005-08-31,8.5616,8.6599,8.5371,8.5944
2005-09-01,8.5780,8.6804,8.5780,8.6804
2005-09-02,8.7377,8.7377,8.5985,8.5985
2005-09-06,8.5985,8.6272,8.5780,8.6149
2005-09-07,8.4347,8.6067,8.4347,8.5780
2005-09-08,8.5002,8.5903,8.4839,8.4961
2005-09-09,8.5371,8.5371,8.3938,8.4306
2005-09-12,8.3733,8.4593,8.2546,8.4102
2005-09-13,8.3938,8.3938,8.2955,8.3078
2005-09-14,8.3119,8.3938,8.2464,8.3938
2005-09-15,8.3610,8.3651,8.1972,8.2709
2005-09-16,8.2300,8.3938,8.2300,8.3938
2005-09-19,8.3938,8.5166,8.2505,8.2914
2005-09-20,8.2914,8.3037,7.9843,7.9884
2005-09-21,7.9024,7.9024,7.6158,7.7755
2005-09-22,7.7182,8.0253,7.6568,7.7550
2005-09-23,7.9638,8.2054,7.9065,8.1481
2005-09-26,8.1850,8.3324,8.0253,8.1153
2005-09-27,8.1686,8.1727,7.8205,7.8656
2005-09-28,7.9475,8.0007,7.7796,7.8820
2005-09-29,7.8001,8.0048,7.8001,7.9393
2005-09-30,7.8205,7.9638,7.8205,7.9229
2005-10-03,7.9638,7.9925,7.7264,7.8492
2005-10-04,7.8083,7.9024,7.7796,7.8001
2005-10-05,7.8001,7.8410,7.7468,7.8001
2005-10-06,7.8410,7.8697,7.7632,7.7960
2005-10-07,7.7796,7.9761,7.7796,7.9720
2005-10-10,7.9434,7.9434,7.7509,7.7632
2005-10-11,7.7591,7.8533,7.7427,7.8001
2005-10-12,7.7796,7.8042,7.7182,7.7305
2005-10-13,7.7796,7.8205,7.6363,7.6609
2005-10-14,7.6977,7.8042,7.3783,7.5053
2005-10-17,7.5135,7.5544,7.3005,7.4316
2005-10-18,7.2883,7.5135,7.2883,7.3538
2005-10-19,7.3497,7.4930,7.0426,7.4766
2005-10-20,7.3906,7.6568,7.2637,7.4438
2005-10-21,7.4520,7.4725,7.2473,7.2678
2005-10-24,7.3497,7.4111,7.2678,7.3169
2005-10-25,7.2883,7.5708,7.2883,7.4643
2005-10-26,7.4930,7.5667,7.4029,7.5053
2005-10-27,7.5094,7.6363,7.4520,7.5135
2005-10-28,7.5953,7.5953,7.3087,7.3865
2005-10-31,7.6158,7.9024,7.6158,7.6813
2005-11-01,7.7796,8.0253,7.7796,7.9557
2005-11-02,8.0949,8.2709,7.9843,8.1727
2005-11-03,8.2709,8.3897,8.1931,8.3610
2005-11-04,8.3856,8.3897,8.1890,8.3324
2005-11-07,8.3528,8.3733,8.2341,8.3283
2005-11-08,8.3037,8.3446,8.1890,8.2832
2005-11-09,8.3119,8.3446,8.1686,8.2791
2005-11-10,8.3324,8.3528,8.1890,8.2668
2005-11-11,8.2914,8.3446,8.1890,8.2914
2005-11-14,8.3324,8.3528,8.2300,8.2709
2005-11-15,8.2054,8.3119,8.1972,8.2464
2005-11-16,8.2505,8.2709,8.0457,8.1850
2005-11-17,8.2674,8.2923,8.1721,8.2177
2005-11-18,8.2177,8.4248,8.1597,8.2467
2005-11-21,8.2757,8.2798,8.1390,8.1597
2005-11-22,8.1390,8.1556,8.0396,8.0934
2005-11-23,8.0769,8.1887,8.0437,8.1183
2005-11-25,8.1597,8.1970,8.0769,8.1059
2005-11-28,8.1887,8.2011,7.9982,8.0479
2005-11-29,8.1183,8.2674,7.9940,8.1100
2005-11-30,8.1059,8.1804,7.9982,8.0272
2005-12-01,8.0769,8.1514,8.0230,8.0230
2005-12-02,8.0479,8.0727,8.0148,8.0396
2005-12-05,8.0769,8.1142,7.9982,8.0976
2005-12-06,8.0189,8.1804,8.0189,8.1432
2005-12-07,8.1183,8.2591,8.0769,8.0976
2005-12-08,8.0976,8.2094,8.0603,8.0934
2005-12-09,8.0810,8.1349,8.0437,8.1183
2005-12-12,8.1142,8.1390,8.0437,8.0852
2005-12-13,8.0976,8.1390,8.0355,8.0603
2005-12-14,8.0479,8.1349,8.0437,8.0976
2005-12-15,8.0727,8.2011,8.0479,8.1266
2005-12-16,8.1639,8.2840,8.1224,8.2011
2005-12-19,8.2384,8.2550,8.0769,8.0976
2005-12-20,8.1183,8.1804,8.0148,8.1183
2005-12-21,8.1183,8.1390,8.0603,8.0727
2005-12-22,8.1100,8.1514,8.0562,8.1059
