DATE,OPEN,HIGH,LOW,CLOSE
2023-05-25,41.1000,43.8500,40.5000,43.1100
2023-05-26,42.5500,44.3225,42.5500,43.0100
2023-05-30,43.9900,44.5500,43.2600,43.9200
2023-05-31,43.2800,43.9000,42.7200,43.7900
2023-06-01,44.0000,44.8200,43.8900,44.4500
2023-06-02,44.9000,45.2000,44.5400,44.8200
2023-06-05,44.8000,45.8000,44.6350,45.3900
2023-06-06,45.0700,45.7600,45.0700,45.7200
2023-06-07,45.9500,45.9500,44.1500,44.6100
2023-06-08,44.7400,44.7400,44.2500,44.4400
2023-06-09,44.8300,44.8300,42.9400,43.4200
2023-06-12,43.2000,43.7600,42.9700,43.3600
2023-06-13,43.9200,44.4700,43.9200,44.2300
2023-06-14,44.5200,44.6800,42.8100,43.7300
2023-06-15,43.8200,44.3550,43.0300,44.3300
2023-06-16,44.5700,45.8600,44.5600,45.6900
2023-06-20,46.3200,47.2202,46.3200,46.9700
2023-06-21,46.8700,48.2599,46.7900,48.1100
