DATE,OPEN,HIGH,LOW,CLOSE
1987-11-16,2.2849,2.2849,2.2137,2.2493
1987-11-17,2.2493,2.2493,2.2137,2.2380
1987-11-18,2.2258,2.2493,2.2137,2.2493
1987-11-19,2.2380,2.2605,2.2258,2.2258
1987-11-20,2.2137,2.2493,2.2137,2.2380
1987-11-23,2.2137,2.2380,2.2024,2.2024
1987-11-24,2.1912,2.2137,2.1790,2.2024
1987-11-25,2.2137,2.2258,2.1668,2.1668
1987-11-27,2.1668,2.1790,2.1555,2.1555
1987-11-30,2.1555,2.1790,2.1443,2.1555
1987-12-01,2.1555,2.1790,2.1321,2.1555
1987-12-02,2.1321,2.1555,2.1199,2.1321
1987-12-03,2.1321,2.1443,2.1087,2.1321
1987-12-04,2.1321,2.1321,2.0853,2.0853
1987-12-07,2.1087,2.1199,2.0853,2.0853
1987-12-08,2.0853,2.2024,2.0853,2.1087
1987-12-09,2.1087,2.1790,2.1087,2.1321
1987-12-10,2.1087,2.1668,2.1087,2.1668
1987-12-11,2.1668,2.1790,2.1555,2.1790
1987-12-14,2.1555,2.2024,2.1555,2.1668
1987-12-15,2.1555,2.2137,2.1555,2.2024
1987-12-16,2.2493,2.2605,2.2137,2.2380
1987-12-17,2.2605,2.2605,2.2380,2.2493
1987-12-18,2.2727,2.3430,2.2493,2.3430
1987-12-21,2.3664,2.3664,2.2727,2.2961
1987-12-22,2.3196,2.3196,2.2137,2.2137
1987-12-23,2.2493,2.2605,2.2380,2.2493
1987-12-24,2.2258,2.2493,2.2137,2.2137
1987-12-28,2.2137,2.2380,2.2024,2.2380
1987-12-29,2.2493,2.2493,2.2024,2.2137
1987-12-30,2.2380,2.2493,2.2258,2.2258
1987-12-31,2.2380,2.2380,2.1912,2.1912
1988-01-04,2.1912,2.2493,2.1912,2.2493
1988-01-05,2.2727,2.3074,2.2258,2.2380
1988-01-06,2.2380,2.2493,2.2137,2.2493
1988-01-07,2.2727,2.2727,2.2258,2.2493
1988-01-08,2.2258,2.2493,2.2137,2.2258
1988-01-11,2.2258,2.2493,2.2024,2.2137
1988-01-12,2.2493,2.2493,2.2258,2.2493
1988-01-13,2.2727,2.2727,2.2258,2.2727
1988-01-14,2.3074,2.3074,2.2493,2.2605
1988-01-15,2.3074,2.3317,2.2849,2.3196
1988-01-18,2.3430,2.3664,2.3430,2.3542
1988-01-19,2.4011,2.4011,2.3542,2.4011
1988-01-20,2.4255,2.4255,2.3196,2.3317
1988-01-21,2.3786,2.3898,2.3542,2.3786
1988-01-22,2.4367,2.4367,2.3542,2.3898
1988-01-25,2.4601,2.4601,2.4011,2.4255
1988-01-26,2.4480,2.4480,2.4011,2.4133
1988-01-27,2.4367,2.4836,2.4255,2.4480
1988-01-28,2.5304,2.5304,2.4836,2.4948
1988-01-29,2.4723,2.5192,2.4723,2.4836
1988-02-01,2.5070,2.5304,2.4601,2.4723
1988-02-02,2.4836,2.4836,2.4480,2.4601
1988-02-03,2.5192,2.5304,2.4948,2.5304
