DATE,OPEN,HIGH,LOW,CLOSE
1993-07-29,1.9758,1.9916,1.9758,1.9916
1993-07-30,1.9916,1.9916,1.9758,1.9758
1993-08-02,1.9758,1.9916,1.9758,1.9758
1993-08-03,1.9758,1.9916,1.9758,1.9758
1993-08-04,1.9916,1.9916,1.9758,1.9758
1993-08-05,1.9758,1.9916,1.9758,1.9758
1993-08-06,1.9916,1.9916,1.9758,1.9916
1993-08-09,1.9916,1.9916,1.9758,1.9916
1993-08-10,1.9916,1.9916,1.9758,1.9916
1993-08-11,1.9916,1.9916,1.9758,1.9758
1993-08-12,1.9916,1.9916,1.9758,1.9758
1993-08-13,1.9916,1.9916,1.9758,1.9758
1993-08-16,1.9916,1.9916,1.9758,1.9916
1993-08-17,1.9758,1.9916,1.9758,1.9758
1993-08-18,1.9758,1.9916,1.9758,1.9916
1993-08-19,1.9758,1.9916,1.9758,1.9916
1993-08-20,1.9916,1.9916,1.9758,1.9758
1993-08-23,1.9758,1.9916,1.9758,1.9758
1993-08-24,1.9916,1.9916,1.9758,1.9916
1993-08-25,1.9916,1.9916,1.9758,1.9916
1993-08-26,1.9916,1.9916,1.9758,1.9758
1993-08-27,1.9916,1.9916,1.9758,1.9758
1993-08-30,1.9758,1.9916,1.9758,1.9758
1993-08-31,1.9758,1.9916,1.9758,1.9758
1993-09-01,1.9758,1.9916,1.9758,1.9758
1993-09-02,1.9916,1.9916,1.9758,1.9758
1993-09-03,1.9916,1.9916,1.9758,1.9916
1993-09-07,1.9758,1.9916,1.9758,1.9758
1993-09-08,1.9916,1.9916,1.9758,1.9758
1993-09-09,1.9916,1.9916,1.9758,1.9916
1993-09-10,1.9758,1.9916,1.9758,1.9916
1993-09-13,1.9758,2.0088,1.9758,1.9916
1993-09-14,1.9916,2.0088,1.9758,1.9916
1993-09-15,1.9758,1.9916,1.9758,1.9916
1993-09-16,1.9758,1.9916,1.9758,1.9916
1993-09-17,1.9916,2.0088,1.9758,1.9758
1993-09-20,1.9916,2.0088,1.9758,1.9916
1993-09-21,1.9916,1.9916,1.9758,1.9916
1993-09-22,1.9916,1.9916,1.9758,1.9916
1993-09-23,1.9916,1.9916,1.9758,1.9916
1993-09-24,1.9916,2.0088,1.9758,2.0088
