DATE,OPEN,HIGH,LOW,CLOSE
2018-10-19,8.7100,8.7164,8.6500,8.6590
2018-11-19,5.7851,5.8121,5.7375,5.7647
2018-11-20,5.7525,5.7647,5.7104,5.7308
2018-11-21,5.7308,5.7308,5.6968,5.7308
2018-11-23,5.7172,5.7579,5.7104,5.7579
2018-11-26,5.7647,5.7714,5.7375,5.7714
2018-11-27,5.7714,5.7714,5.7308,5.7511
2018-11-28,5.7511,5.7782,5.7308,5.7714
2018-11-29,5.7579,5.7782,5.7443,5.7782
2018-11-30,5.8121,5.8257,5.7579,5.7986
2018-12-03,5.7918,5.8183,5.7782,5.7986
2018-12-04,5.8054,5.8121,5.7579,5.7714
2018-12-06,5.7511,5.7986,5.7511,5.7714
2018-12-07,5.8121,5.8257,5.7647,5.7986
2018-12-10,5.7918,5.8664,5.7511,5.7511
2018-12-11,5.7647,5.8596,5.7508,5.7782
2018-12-12,5.7443,5.7780,5.7036,5.7104
2018-12-13,5.7308,5.7308,5.6935,5.7240
2018-12-14,5.7240,5.7421,5.6697,5.6901
2018-12-17,5.6901,5.6901,5.5797,5.5883
2018-12-18,5.6358,5.6358,5.5273,5.5476
2018-12-19,5.6087,5.6087,5.5341,5.5476
2018-12-20,5.5409,5.5748,5.1950,5.4256
2018-12-21,5.4256,5.6494,5.3849,5.5205
2018-12-24,5.5612,5.6494,5.5273,5.5883
2018-12-26,5.6494,5.7172,5.5816,5.6562
2018-12-27,5.6562,5.6765,5.4935,5.6426
2018-12-28,5.5544,5.6765,5.5544,5.6765
2018-12-31,5.6562,5.7104,5.5951,5.6426
2019-01-02,5.6222,5.7104,5.6222,5.7104
2019-01-03,5.7308,5.7308,5.6765,5.7104
2019-01-04,5.7240,5.7579,5.7240,5.7443
2019-01-07,5.7443,5.8319,5.7354,5.7918
2019-01-08,5.8393,5.8596,5.7986,5.8393
2019-01-09,5.8732,5.8935,5.8189,5.8189
2019-01-10,5.8393,5.8460,5.7579,5.7647
2019-01-11,5.7308,5.8111,5.7308,5.8054
2019-01-14,5.8257,5.8427,5.8047,5.8325
2019-01-15,5.8867,5.8867,5.8325,5.8460
2019-01-16,5.8596,5.9003,5.8565,5.8732
2019-01-17,5.8603,5.8935,5.8529,5.8664
2019-01-18,5.8732,5.9071,5.8596,5.8867
2019-01-22,5.8935,5.9003,5.8596,5.8596
