DATE,OPEN,HIGH,LOW,CLOSE
2014-04-29,4.7145,4.7145,4.7145,4.7145
2014-04-30,4.7145,4.7145,4.7145,4.7145
2014-05-01,4.7145,4.7145,4.7145,4.7145
2014-05-02,4.7145,4.7145,4.7145,4.7145
2014-05-05,4.7145,4.7145,4.7145,4.7145
2014-05-06,4.7145,4.7145,4.7145,4.7145
2014-05-07,4.7145,4.7145,4.7145,4.7145
2014-05-08,4.7145,4.7145,4.7145,4.7145
2014-05-09,4.7145,4.7145,4.7145,4.7145
2014-05-12,4.7145,4.7145,4.7145,4.7145
2014-05-13,5.1860,5.1860,4.7145,4.9772
2014-05-14,4.9772,4.9772,4.9772,4.9772
2014-05-15,4.9772,4.9772,4.9772,4.9772
2014-05-16,4.9772,4.9772,4.9772,4.9772
2014-05-19,4.8829,4.8829,4.8829,4.8829
2014-05-20,4.8829,4.8829,4.8829,4.8829
2014-05-21,4.9502,4.9502,4.7145,4.7482
2014-05-22,4.7482,4.7482,4.7482,4.7482
2014-05-23,4.7482,4.7482,4.7482,4.7482
2014-05-27,4.7482,4.7482,4.7482,4.7482
2014-05-28,4.7482,4.7482,4.7482,4.7482
2014-05-29,4.7482,4.7482,4.7482,4.7482
2014-05-30,4.7482,4.7482,4.7482,4.7482
2014-06-02,4.7482,4.7482,4.7482,4.7482
2014-06-03,4.7482,4.7482,4.7482,4.7482
2014-06-04,4.7482,4.7482,4.7482,4.7482
2014-06-05,4.7482,4.7482,4.7482,4.7482
2014-06-06,4.7482,4.7482,4.7482,4.7482
2014-06-09,4.7482,4.7482,4.7482,4.7482
2014-06-10,4.7482,4.7482,4.7482,4.7482
2014-06-11,4.7482,4.7482,4.7482,4.7482
2014-06-12,4.7482,4.7482,4.7482,4.7482
2014-06-13,4.7482,4.7482,4.7482,4.7482
2014-06-16,4.7482,4.7482,4.7482,4.7482
2014-06-17,4.7482,4.9839,4.7213,4.9839
2014-06-18,4.9839,4.9839,4.9839,4.9839
2014-06-19,4.9839,4.9839,4.9839,4.9839
2014-06-20,4.9839,4.9839,4.9839,4.9839
2014-06-23,4.9839,4.9839,4.9839,4.9839
2014-06-24,4.9839,4.9839,4.9839,4.9839
2014-06-25,4.9839,4.9839,4.9839,4.9839
2014-06-26,4.9839,4.9839,4.9839,4.9839
2014-06-27,4.9839,4.9839,4.9839,4.9839
2014-06-30,4.9839,4.9839,4.9839,4.9839
2014-07-01,4.9839,4.9839,4.9839,4.9839
2014-07-02,4.7280,4.7280,4.7280,4.7280
2014-07-03,4.7280,4.7280,4.7280,4.7280
2014-07-07,4.7280,4.7280,4.7280,4.7280
2014-07-08,4.7280,4.7280,4.7280,4.7280
2014-07-09,4.7280,4.7280,4.7280,4.7280
2014-07-10,4.7280,4.7280,4.7280,4.7280
2014-07-11,4.7280,4.7280,4.7280,4.7280
2014-07-14,4.7280,4.7280,4.7280,4.7280
2014-07-15,4.7280,4.7280,4.7280,4.7280
2014-07-16,4.7280,4.7280,4.7280,4.7280
2014-07-17,4.7280,4.7280,4.7280,4.7280
2014-07-18,4.7280,4.7280,4.7280,4.7280
2014-07-21,4.7280,4.7280,4.7280,4.7280
2014-07-22,4.7280,4.7280,4.7280,4.7280
2014-07-23,4.7280,4.7280,4.7280,4.7280
2014-07-24,4.7280,4.7280,4.7280,4.7280
2014-07-25,4.7819,4.7819,4.7213,4.7213
2014-07-28,4.7213,4.7213,4.7213,4.7213
2014-07-29,4.7213,4.7213,4.7213,4.7213
2014-07-30,4.7213,4.7213,4.7213,4.7213
2014-07-31,4.7213,4.7213,4.7213,4.7213
2014-08-01,4.7213,4.7213,4.7213,4.7213
2014-08-04,4.7213,4.7213,4.7213,4.7213
2014-08-05,4.7213,4.7213,4.7213,4.7213
2014-08-06,4.7213,4.7213,4.7213,4.7213
2014-08-07,4.7213,4.7213,4.7213,4.7213
2014-08-08,4.7213,4.7213,4.7213,4.7213
2014-08-11,4.7213,4.7213,4.7213,4.7213
2014-08-12,4.7213,4.7213,4.7213,4.7213
2014-08-13,4.7213,4.7213,4.7213,4.7213
2014-08-14,5.3880,5.3880,5.3880,5.3880
2014-08-15,4.7819,4.7819,4.7819,4.7819
2014-08-18,4.7819,4.7819,4.7819,4.7819
2014-08-19,4.7819,4.7819,4.7819,4.7819
2014-08-20,4.7819,4.7819,4.7819,4.7819
2014-08-21,5.0513,5.0513,5.0513,5.0513
2014-08-22,5.0513,5.0513,5.0513,5.0513
2014-08-25,5.0513,5.0513,5.0513,5.0513
2014-08-26,5.0513,5.0513,5.0513,5.0513
2014-08-27,5.0513,5.0513,5.0513,5.0513
2014-08-28,6.0615,6.0615,6.0615,6.0615
2014-08-29,6.3915,7.4085,6.3915,7.4085
2014-09-02,7.4085,7.4085,7.4085,7.4085
2014-09-03,6.4656,8.0753,6.4656,8.0753
2014-09-04,8.0753,8.0753,8.0753,8.0753
2014-09-05,8.0753,8.0753,8.0753,8.0753
2014-09-08,8.0753,8.0753,8.0753,8.0753
2014-09-09,8.0753,8.0753,8.0753,8.0753
2014-09-10,8.0753,8.0753,8.0753,8.0753
2014-09-11,8.0753,8.4188,8.0753,8.4188
2014-09-12,8.4188,8.4188,8.4188,8.4188
2014-09-15,8.4188,8.4188,8.4188,8.4188
2014-09-16,8.4188,8.4188,8.4188,8.4188
2014-09-17,8.4188,8.4188,8.4188,8.4188
2014-09-18,8.0753,8.0753,8.0753,8.0753
2014-09-19,8.0753,8.0753,8.0753,8.0753
2014-09-22,8.0753,8.0753,8.0753,8.0753
2014-09-23,8.0753,8.0753,8.0753,8.0753
2014-09-24,8.0753,8.0753,8.0753,8.0753
2014-09-25,8.0753,8.0753,8.0753,8.0753
2014-09-26,8.0753,8.0753,8.0753,8.0753
2014-09-29,8.0753,8.0753,8.0753,8.0753
2014-09-30,8.4188,8.4188,8.4188,8.4188
2014-10-01,8.4188,8.4188,8.4188,8.4188
2014-10-02,8.4188,8.4188,8.4188,8.4188
2014-10-03,8.4188,8.4188,8.4188,8.4188
2014-10-06,8.4188,8.4188,8.4188,8.4188
2014-10-07,8.0820,8.0820,8.0820,8.0820
2014-10-08,8.0820,8.0820,8.0820,8.0820
2014-10-09,8.0820,8.0820,8.0820,8.0820
2014-10-10,8.0820,8.0820,8.0820,8.0820
2014-10-13,8.0820,8.0820,8.0820,8.0820
2014-10-14,8.0820,8.0820,8.0820,8.0820
2014-10-15,8.0820,8.0820,8.0820,8.0820
2014-10-16,8.0820,8.0820,8.0820,8.0820
2014-10-17,8.0820,8.0820,8.0820,8.0820
2014-10-20,8.0820,8.0820,8.0820,8.0820
2014-10-21,8.0820,8.0820,8.0820,8.0820
2014-10-22,8.0820,8.0820,8.0820,8.0820
2014-10-23,8.0820,8.0820,8.0820,8.0820
2014-10-24,8.0820,8.0820,8.0820,8.0820
2014-10-27,8.0820,8.0820,8.0820,8.0820
2014-10-28,8.0820,8.0820,8.0820,8.0820
2014-10-29,8.0820,8.0820,8.0820,8.0820
2014-10-30,8.0820,8.0820,8.0820,8.0820
2014-10-31,8.0820,8.0820,8.0820,8.0820
2014-11-03,8.0820,8.0820,8.0820,8.0820
2014-11-04,8.0820,8.0820,8.0820,8.0820
2014-11-05,8.0820,8.0820,8.0820,8.0820
2014-11-06,8.0820,8.0820,8.0820,8.0820
2014-11-07,8.0820,8.0820,8.0820,8.0820
2014-11-10,8.0820,8.0820,8.0820,8.0820
2014-11-11,8.0820,8.0820,8.0820,8.0820
2014-11-12,8.0820,8.0820,8.0820,8.0820
2014-11-13,8.0820,8.0820,8.0820,8.0820
2014-11-14,8.0820,8.0820,8.0820,8.0820
2014-11-17,8.0820,8.0820,8.0753,8.0753
2014-11-18,8.0753,8.0753,8.0753,8.0753
2014-11-19,8.0753,8.0753,8.0753,8.0753
2014-11-20,8.0753,8.0753,8.0753,8.0753
2014-11-21,8.0753,8.0753,8.0753,8.0753
2014-11-24,8.0753,8.0753,8.0753,8.0753
2014-11-25,8.0753,8.0753,8.0753,8.0753
2014-11-26,8.0753,8.0753,8.0753,8.0753
2014-11-28,8.0753,8.0753,8.0753,8.0753
2014-12-01,8.0753,8.0753,8.0753,8.0753
2014-12-02,8.0753,8.0753,8.0753,8.0753
2014-12-03,8.0753,8.0753,8.0753,8.0753
2014-12-04,8.0753,8.0753,8.0753,8.0753
2014-12-05,8.0753,8.0753,8.0753,8.0753
2014-12-08,8.0753,8.0753,8.0753,8.0753
2014-12-09,8.0753,8.0753,8.0753,8.0753
2014-12-10,8.0753,8.0753,8.0753,8.0753
2014-12-11,8.0753,8.0753,8.0753,8.0753
2014-12-12,8.0753,8.0753,8.0753,8.0753
2014-12-15,8.0753,8.0753,8.0753,8.0753
