DATE,OPEN,HIGH,LOW,CLOSE
2014-09-22,9.1642,9.1752,9.1533,9.1752
2014-09-23,9.1533,9.1807,9.1313,9.1697
2014-09-24,9.1423,9.1588,9.1259,9.1588
2014-09-25,9.1313,9.1642,9.1094,9.1642
2014-09-26,9.1368,9.1752,9.0820,9.1752
2014-09-29,9.1588,9.1588,9.1313,9.1423
2014-09-30,9.1039,9.1533,9.0711,9.1533
2014-10-01,9.1149,9.1478,9.1094,9.1478
2014-10-02,9.1149,9.1259,9.0875,9.0875
2014-10-03,9.0820,9.1204,9.0667,9.0820
2014-10-06,9.0930,9.1094,9.0711,9.0875
2014-10-07,9.0765,9.0929,9.0327,9.0875
2014-10-08,9.0711,9.1204,9.0711,9.1094
2014-10-09,9.0985,9.1094,9.0491,9.0820
2014-10-10,9.0875,9.1204,9.0382,9.0820
2014-10-13,9.1094,9.1094,8.9724,8.9888
2014-10-14,8.9779,8.9779,8.9450,8.9505
2014-10-15,8.8409,8.9066,8.7860,8.8737
2014-10-16,8.8463,8.9724,8.8126,8.9724
2014-10-17,8.9834,9.0437,8.9614,9.0108
2014-10-20,8.9779,9.0162,8.9779,8.9881
2014-10-21,8.9779,9.0601,8.9779,9.0601
2014-10-22,9.0754,9.0864,9.0368,9.0809
2014-10-23,9.1140,9.1691,9.0975,9.1471
2014-10-24,9.1305,9.1691,9.1195,9.1636
2014-10-27,9.1305,9.1802,9.1030,9.1250
2014-10-28,9.1250,9.1581,9.0975,9.1471
2014-10-29,9.1305,9.1636,9.0699,9.0809
2014-10-30,9.0644,9.1085,9.0644,9.1030
2014-10-31,9.0975,9.1195,9.0037,9.0809
2014-11-03,9.0699,9.1195,9.0699,9.0754
2014-11-04,9.0699,9.0699,9.0203,9.0258
2014-11-05,9.0203,9.0423,9.0148,9.0258
2014-11-06,8.9872,8.9982,8.9762,8.9762
2014-11-07,8.9541,8.9762,8.9486,8.9726
2014-11-10,8.9541,8.9651,8.9341,8.9651
2014-11-11,8.9376,9.0092,8.9265,9.0092
2014-11-12,8.9376,9.0423,8.9376,9.0203
2014-11-13,9.0037,9.0534,8.9982,9.0534
2014-11-14,9.0534,9.0644,9.0148,9.0478
2014-11-17,9.0203,9.0203,8.9872,8.9872
2014-11-18,9.0083,9.0416,8.9861,8.9861
2014-11-19,8.9861,8.9916,8.9417,8.9805
2014-11-20,8.9750,9.0471,8.9750,9.0194
2014-11-21,9.0305,9.0915,9.0027,9.0527
2014-11-24,9.0527,9.0970,9.0305,9.0693
2014-11-25,9.0804,9.0915,9.0194,9.0416
2014-11-26,9.0305,9.0416,8.9972,9.0194
2014-11-28,8.9861,9.0416,8.9861,9.0416
2014-12-01,9.0138,9.0305,8.9916,8.9972
2014-12-02,8.9861,9.0138,8.9805,9.0083
2014-12-03,8.9805,9.0249,8.9805,8.9916
2014-12-04,8.9750,8.9861,8.9362,8.9584
2014-12-05,8.9362,8.9805,8.8530,8.9084
2014-12-08,8.8862,8.8973,8.8308,8.8308
2014-12-09,8.7919,8.8197,8.7919,8.8086
2014-12-10,8.7753,8.8086,8.7143,8.7198
2014-12-11,8.7198,8.7587,8.7087,8.7087
2014-12-12,8.6588,8.6810,8.5812,8.5978
2014-12-15,8.6089,8.6089,8.5590,8.5756
