DATE,OPEN,HIGH,LOW,CLOSE
2021-11-12,9.9000,9.9100,9.8500,9.8600
2021-11-15,9.8600,9.8800,9.8300,9.8700
2021-11-16,9.8650,9.8900,9.8500,9.8700
2021-11-17,9.8800,9.9000,9.8600,9.8900
2021-11-18,9.9000,9.9000,9.8700,9.8800
2021-11-19,9.7600,9.9000,9.7600,9.9000
2021-11-22,9.9000,9.9000,9.8850,9.9000
2021-11-23,9.9000,9.9000,9.8800,9.9000
2021-11-24,9.9000,9.9000,9.9000,9.9000
2021-11-26,9.9100,9.9100,9.8985,9.9000
2021-11-29,9.9000,9.9100,9.8800,9.9000
2021-11-30,9.8920,9.9000,9.8800,9.9000
2021-12-01,9.9000,9.9000,9.8600,9.9000
2021-12-02,9.9100,9.9100,9.8800,9.8900
2021-12-03,9.9000,9.9000,9.8800,9.8900
2021-12-06,9.9100,9.9100,9.8800,9.8900
2021-12-07,9.8800,9.8900,9.8700,9.8800
2021-12-08,9.8700,9.8800,9.8600,9.8700
2021-12-09,9.8700,9.8900,9.8700,9.8700
2021-12-10,9.8700,9.8900,9.8600,9.8700
2021-12-13,9.8500,9.8900,9.8500,9.8700
