DATE,OPEN,HIGH,LOW,CLOSE
1972-06-01,0.5959,0.5963,0.5903,0.5927
1972-06-02,0.5927,0.6009,0.5927,0.5986
1972-06-05,0.5986,0.6021,0.5974,0.5998
1972-06-06,0.5998,0.6034,0.5963,0.5963
1972-06-07,0.5963,0.5986,0.5927,0.5951
1972-06-08,0.5951,0.5986,0.5916,0.5986
1972-06-09,0.5951,0.5951,0.5916,0.5916
1972-06-12,0.5916,0.5974,0.5891,0.5927
1972-06-13,0.5927,0.5974,0.5891,0.5938
1972-06-14,0.5927,0.5927,0.5809,0.5856
1972-06-15,0.5856,0.5916,0.5856,0.5903
1972-06-16,0.5903,0.5916,0.5856,0.5856
1972-06-19,0.5856,0.5880,0.5820,0.5868
1972-06-20,0.5868,0.5916,0.5868,0.5903
1972-06-21,0.5903,0.5938,0.5880,0.5916
1972-06-22,0.5891,0.5891,0.5833,0.5856
1972-06-23,0.5856,0.5891,0.5785,0.5785
1972-06-26,0.5785,0.5833,0.5750,0.5833
1972-06-27,0.5833,0.5844,0.5798,0.5820
1972-06-28,0.5820,0.5856,0.5820,0.5833
1972-06-29,0.5833,0.5868,0.5820,0.5868
1972-06-30,0.5868,0.5938,0.5868,0.5903
1972-07-03,0.5903,0.5916,0.5868,0.5880
1972-07-05,0.5880,0.5916,0.5868,0.5903
1972-07-06,0.5903,0.5986,0.5891,0.5903
1972-07-07,0.5903,0.5916,0.5880,0.5903
1972-07-10,0.5903,0.5963,0.5903,0.5903
1972-07-11,0.5903,0.5916,0.5868,0.5868
1972-07-12,0.5868,0.5903,0.5868,0.5868
1972-07-13,0.5868,0.5903,0.5856,0.5891
1972-07-14,0.5891,0.5916,0.5856,0.5903
1972-07-17,0.5880,0.5880,0.5844,0.5844
1972-07-18,0.5844,0.5880,0.5773,0.5844
1972-07-19,0.5844,0.5951,0.5773,0.5868
1972-07-20,0.5916,0.5974,0.5916,0.5927
1972-07-21,0.5927,0.5974,0.5916,0.5974
1972-07-24,0.5974,0.6021,0.5951,0.5974
1972-07-25,0.5974,0.6104,0.5963,0.6045
1972-07-26,0.6045,0.6069,0.6021,0.6021
1972-07-27,0.6034,0.6092,0.6034,0.6069
1972-07-28,0.6069,0.6104,0.6056,0.6081
1972-07-31,0.6081,0.6116,0.6056,0.6081
1972-08-01,0.6092,0.6140,0.6092,0.6140
1972-08-02,0.6199,0.6423,0.6199,0.6376
1972-08-03,0.6376,0.6588,0.6352,0.6505
1972-08-04,0.6505,0.6577,0.6494,0.6565
1972-08-07,0.6565,0.6588,0.6505,0.6517
1972-08-08,0.6517,0.6541,0.6470,0.6530
1972-08-09,0.6530,0.6635,0.6530,0.6612
1972-08-10,0.6612,0.6919,0.6612,0.6836
1972-08-11,0.6836,0.6836,0.6718,0.6801
1972-08-14,0.6777,0.6777,0.6612,0.6635
1972-08-15,0.6623,0.6623,0.6517,0.6599
1972-08-16,0.6577,0.6577,0.6482,0.6530
1972-08-17,0.6517,0.6517,0.6434,0.6470
1972-08-18,0.6470,0.6517,0.6423,0.6482
1972-08-21,0.6482,0.6505,0.6446,0.6446
1972-08-22,0.6446,0.6599,0.6423,0.6552
1972-08-23,0.6552,0.6599,0.6423,0.6423
1972-08-24,0.6399,0.6399,0.6281,0.6352
1972-08-25,0.6340,0.6340,0.6281,0.6340
1972-08-28,0.6317,0.6317,0.6258,0.6317
1972-08-29,0.6317,0.6352,0.6281,0.6352
1972-08-30,0.6340,0.6340,0.6305,0.6317
1972-08-31,0.6317,0.6482,0.6317,0.6482
1972-09-01,0.6482,0.6517,0.6470,0.6470
1972-09-05,0.6470,0.6505,0.6423,0.6423
1972-09-06,0.6423,0.6423,0.6340,0.6352
1972-09-07,0.6352,0.6399,0.6328,0.6352
1972-09-08,0.6352,0.6352,0.6328,0.6352
1972-09-11,0.6352,0.6364,0.6305,0.6305
1972-09-12,0.6305,0.6340,0.6234,0.6258
1972-09-13,0.6234,0.6234,0.6187,0.6210
1972-09-14,0.6234,0.6269,0.6234,0.6269
1972-09-15,0.6269,0.6269,0.6187,0.6246
