DATE,OPEN,HIGH,LOW,CLOSE
2022-12-13,34.1200,34.9700,33.7500,33.8500
2022-12-14,34.0100,34.4400,33.5800,33.5800
2022-12-15,33.3800,33.5500,33.0100,33.1100
2022-12-16,32.5600,33.0800,32.3200,32.4000
2022-12-19,32.2600,32.4600,31.3200,31.3900
2022-12-20,31.1700,31.3300,30.7800,30.8700
2022-12-21,31.0000,31.6800,30.7700,31.4400
2022-12-22,31.1800,31.2700,30.5350,31.0600
2022-12-23,30.9700,31.8850,30.9700,31.7200
2022-12-27,31.7800,31.8500,31.3501,31.5000
2022-12-28,31.5200,31.9200,31.0350,31.0700
2022-12-29,31.4100,32.1900,31.2600,32.0400
2022-12-30,31.7500,32.0700,31.2500,31.4600
2023-01-03,31.7600,32.1200,31.1800,31.5600
2023-01-04,31.9600,32.9576,31.9600,32.9000
2023-01-05,32.5600,32.7600,31.9100,32.1000
2023-01-06,32.3400,33.3900,32.1300,33.2700
2023-01-09,33.6900,34.4400,33.4500,33.8400
2023-01-10,33.7900,33.9260,33.2900,33.6700
2023-01-11,34.0300,34.6900,34.0100,34.5900
2023-01-12,34.9400,35.5500,34.4800,35.1500
2023-01-13,34.8800,35.7200,34.7800,35.5800
