DATE,OPEN,HIGH,LOW,CLOSE
2022-12-12,16.8800,17.0250,16.5100,16.5100
2022-12-13,16.7000,17.0500,16.6600,16.6700
2022-12-14,16.8400,17.0700,16.5000,16.5000
2022-12-15,16.6400,16.6400,16.1503,16.3600
2022-12-16,16.2800,16.3640,15.5700,16.2100
2022-12-19,16.1500,16.4600,16.0000,16.3200
2022-12-20,15.9200,16.3300,15.9200,16.0100
2022-12-21,16.0100,16.4187,15.8753,16.2600
2022-12-22,16.1800,16.2360,15.8000,15.8500
2022-12-23,16.0000,16.1700,15.7100,15.7600
2022-12-27,15.6800,15.9117,15.5200,15.7550
2022-12-28,15.7500,15.8721,15.5651,15.6100
2022-12-29,15.8900,15.8900,15.3600,15.4627
2022-12-30,15.4400,15.6200,15.1112,15.2000
2023-01-03,15.3800,15.7100,15.1200,15.4500
