DATE,OPEN,HIGH,LOW,CLOSE
2018-02-01,15.9164,17.1647,15.4092,15.9164
2018-02-02,15.9164,15.9482,14.2623,15.2142
2018-02-05,14.6056,14.9177,14.2467,14.3949
2018-02-06,13.9268,14.8241,13.7786,14.7460
2018-02-07,14.4730,15.6043,14.0438,14.8241
2018-02-08,14.9021,15.1596,14.4496,14.6758
2018-02-09,14.2779,14.9878,14.1219,14.7460
2018-02-12,14.3949,15.0191,14.0516,14.6290
2018-02-13,14.4730,15.1361,14.4730,14.8241
2018-02-14,14.6290,15.0035,14.6290,14.9333
2018-02-15,14.7616,15.2064,14.7460,14.8241
2018-02-16,14.6758,15.1127,14.5354,14.9801
2018-02-20,14.8631,15.2559,14.7323,15.1752
2018-02-21,15.1205,15.9164,14.9021,15.4872
2018-02-22,15.0971,15.7837,15.0191,15.6667
2018-02-23,15.4716,16.1348,15.4131,16.0412
2018-02-26,15.8149,16.2206,15.6121,15.9164
2018-02-27,15.7291,16.2909,15.6823,16.0802
2018-02-28,15.9710,16.3845,15.6199,16.2909
2018-03-01,15.8539,16.1036,15.4482,15.9944
2018-03-02,15.9008,16.3455,15.4638,16.3143
2018-03-05,16.1036,16.3143,15.6121,15.9476
2018-03-06,15.8851,16.3767,15.8851,16.0256
2018-03-07,15.9093,16.4985,15.9093,16.3650
2018-03-08,16.3100,16.4985,16.2157,16.4357
2018-03-09,16.4593,16.6557,16.1293,16.5378
2018-03-12,16.4593,16.4879,15.7129,16.1136
2018-03-13,16.1214,16.3650,15.8465,16.1293
2018-03-14,16.1764,16.3414,15.7365,15.7915
2018-03-15,15.7522,15.8872,14.6994,15.2337
2018-03-16,15.2258,15.3594,14.7387,14.7780
2018-03-19,14.6837,14.9822,14.2673,14.9430
2018-03-20,14.9115,15.5008,14.6916,14.7230
2018-03-21,14.6523,15.2886,14.6523,14.8565
2018-03-22,14.7151,14.9665,14.5737,14.7466
2018-03-23,14.7701,14.8880,14.5187,14.5344
2018-03-26,14.7623,14.9273,14.6916,14.9273
2018-03-27,14.8565,15.2297,14.8408,14.8880
2018-03-28,14.8818,15.3488,14.8699,15.1826
2018-03-29,15.2776,15.2776,14.9609,15.0005
2018-04-02,14.9609,15.2459,14.7630,14.9768
2018-04-03,15.0084,15.3251,15.0084,15.3172
2018-04-04,15.2063,15.4359,15.1905,15.4201
2018-04-05,15.3726,15.6338,15.2855,15.6338
2018-04-06,15.6734,15.8238,15.5111,15.5942
2018-04-09,15.6180,15.7129,15.5151,15.5942
2018-04-10,15.6259,15.7122,15.1826,15.5942
2018-04-11,15.5071,15.6100,15.2142,15.3488
2018-04-12,15.2776,15.4755,15.1272,15.2538
