DATE,OPEN,HIGH,LOW,CLOSE
2019-06-26,14.6495,14.7813,14.6495,14.6641
2019-06-27,14.7594,14.7594,14.6568,14.6641
2019-06-28,14.7081,15.3746,14.6788,15.2347
2019-07-01,15.2355,16.0778,15.2355,15.9460
2019-07-02,16.1730,16.2902,15.7189,15.9313
2019-07-03,15.9899,15.9899,15.6420,15.8947
2019-07-05,16.0925,16.9275,16.0412,16.1437
2019-07-08,16.1950,16.1950,15.0230,15.8947
2019-07-09,15.9899,16.7297,15.8581,16.4440
2019-07-10,16.4221,16.6638,16.0778,16.1291
2019-07-11,16.2975,16.4074,16.1291,16.2243
2019-07-12,16.3635,16.6638,16.3635,16.5760
2019-07-15,16.4587,16.6638,16.4147,16.6638
2019-07-16,16.6638,16.6638,16.3562,16.5173
2019-07-17,16.6638,16.6638,16.1877,16.1950
2019-07-18,16.2609,16.4220,15.7482,15.9826
2019-07-19,16.2463,16.4807,16.1730,16.3452
2019-07-22,16.6638,16.7004,16.0046,16.3268
2019-07-23,16.4074,16.4671,16.2023,16.4074
2019-07-24,16.4074,16.4074,15.9753,16.3342
2019-07-25,16.2975,16.4074,16.1657,16.3561
2019-07-26,16.3708,16.4001,16.1144,16.1657
2019-07-29,16.1291,16.4807,16.0558,16.4807
2019-07-30,16.4074,16.4074,16.1291,16.2975
2019-07-31,16.4074,16.4514,15.9240,15.9240
2019-08-01,16.1144,16.2096,15.9204,16.1657
2019-08-02,15.3820,15.3893,15.0157,15.3087
2019-08-05,15.1622,15.1622,14.6495,14.7081
2019-08-06,15.0157,15.2941,14.8472,15.1988
2019-08-07,15.1915,15.3551,14.8692,15.1476
2019-08-08,15.2281,15.7408,15.0890,15.5284
2019-08-09,15.7116,15.9156,15.4259,15.7848
2019-08-12,15.5358,15.7482,15.1988,15.3527
2019-08-13,15.3527,15.7482,15.3527,15.5797
2019-08-14,15.3820,15.5211,14.5762,15.2616
2019-08-15,15.1036,15.2208,14.8839,14.8839
2019-08-16,15.1549,15.2134,14.9492,15.0011
2019-08-19,15.1329,15.3673,15.0743,15.3380
2019-08-20,15.3307,15.5211,15.1915,15.3026
2019-08-21,15.5284,15.5284,15.2986,15.4186
2019-08-22,15.4845,15.4845,15.2062,15.3746
2019-08-23,15.4479,15.5284,14.9644,15.0157
2019-08-26,15.1695,15.3820,14.9937,15.2721
2019-08-27,15.3820,15.3820,15.0084,15.0084
2019-08-28,15.0816,15.2940,14.9058,14.9058
2019-08-29,15.0597,15.3820,15.0011,15.2782
2019-08-30,15.4552,15.4772,15.0230,15.2062
2019-09-03,15.0890,15.2941,14.8546,15.0670
2019-09-04,15.3527,15.3527,15.0230,15.0890
2019-09-05,15.1402,15.2501,15.0890,15.0890
2019-09-06,15.0963,15.3820,15.0890,15.3160
2019-09-09,15.4479,15.5284,15.1988,15.2574
2019-09-10,15.3893,15.4552,15.2135,15.3600
2019-09-11,15.3453,15.4406,15.2208,15.2971
2019-09-12,15.3820,15.5651,15.2721,15.5065
2019-09-13,15.4632,15.6008,15.1982,15.3307
2019-09-16,15.1982,15.4542,15.1982,15.3801
2019-09-17,15.3086,15.4558,15.2350,15.2718
2019-09-18,15.1688,15.2644,15.0878,15.1761
2019-09-19,15.2129,15.4116,15.1025,15.3454
2019-09-20,15.3160,15.4353,15.1643,15.3233
2019-09-23,15.3086,15.4558,15.1614,15.3528
2019-09-24,15.4558,15.4558,15.1614,15.2865
2019-09-25,15.3086,15.4558,15.0952,15.1246
2019-09-26,15.1908,15.2199,14.8817,14.9627
2019-09-27,15.0878,15.2718,14.9119,15.1982
2019-09-30,15.3086,15.3380,15.1688,15.2424
2019-10-01,15.3454,15.4116,15.0952,15.1835
2019-10-02,15.2350,15.3233,14.7934,14.9038
2019-10-03,14.9553,15.0988,14.8412,14.8744
2019-10-04,14.9406,15.0099,14.8670,14.9848
2019-10-07,15.0068,15.0142,14.8744,14.9185
2019-10-08,14.9185,14.9621,14.7676,14.8302
2019-10-09,14.8376,14.9185,14.6536,14.7345
2019-10-10,14.8228,14.8228,14.6830,14.7124
2019-10-11,14.8313,14.9441,14.4984,14.6168
2019-10-14,14.7129,14.8535,14.6444,14.7758
2019-10-15,14.7869,14.8742,14.7795,14.8091
2019-10-16,14.7647,14.8091,14.6538,14.7351
2019-10-17,14.7573,14.7869,14.5724,14.7573
2019-10-18,14.6612,14.7498,14.6168,14.6685
2019-10-21,14.6833,14.6833,14.5058,14.5132
2019-10-22,14.5354,14.6020,14.5132,14.5576
2019-10-23,14.5724,14.7943,14.5058,14.7943
2019-10-24,14.8091,14.8689,14.6390,14.7055
2019-10-25,14.6538,14.7795,14.5946,14.5946
2019-10-28,14.7795,14.8831,14.6464,14.7721
2019-10-29,14.7647,14.8757,14.7055,14.8091
2019-10-30,14.8609,14.8609,14.6146,14.7351
2019-10-31,14.8683,14.8757,14.6981,14.7203
2019-11-01,14.8017,14.8683,14.7425,14.7943
2019-11-04,14.7943,14.8979,14.7499,14.7647
2019-11-05,14.7647,14.8683,14.7647,14.7869
2019-11-06,14.7721,14.8461,14.7351,14.7573
2019-11-07,14.8313,14.8535,14.7573,14.7943
2019-11-08,14.7943,14.8461,14.7499,14.8165
2019-11-11,14.7943,14.8683,14.7721,14.8239
2019-11-12,14.8313,14.9053,14.7351,14.7499
2019-11-13,14.7425,14.8831,14.6907,14.8757
2019-11-14,14.8085,14.9412,14.8085,14.9201
2019-11-15,15.0018,15.0241,14.8308,14.8531
2019-11-18,14.8531,14.9721,14.8383,14.8606
2019-11-19,14.8680,14.9217,14.8383,14.8978
2019-11-20,14.8160,14.9067,14.7565,14.8234
2019-11-21,14.8308,14.8680,14.7564,14.7937
2019-11-22,14.7639,14.8569,14.7565,14.7937
2019-11-25,14.8234,14.9052,14.7193,14.7491
2019-11-26,14.7639,14.8197,14.6970,14.7565
2019-11-27,14.7565,14.8680,14.7565,14.7788
2019-11-29,14.8234,14.8829,14.7714,14.7937
2019-12-02,14.7937,14.8457,14.7416,14.8011
