DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2012-03-28,6.9486,6.9833,6.9486,6.9659,1.015,
2012-03-29,6.9486,6.9625,6.9486,6.9486,0.056,
2012-03-30,6.9520,6.9563,6.9486,6.9486,0.041,
2012-04-02,6.9486,6.9555,6.9486,6.9486,0.042,
2012-04-03,6.9520,6.9555,6.9486,6.9486,0.017,
2012-04-04,6.9520,6.9590,6.9486,6.9486,0.019,
2012-04-05,6.9486,6.9555,6.9486,6.9486,0.010,
2012-04-09,6.9486,6.9659,6.9486,6.9486,0.026,
2012-04-10,6.9520,6.9555,6.9486,6.9486,0.048,
2012-04-11,6.9833,6.9833,6.9521,6.9555,0.006,
2012-04-12,6.9555,6.9590,6.9486,6.9555,0.015,
2012-04-13,6.9833,6.9833,6.9555,6.9625,0.004,
2012-04-16,6.9590,6.9625,6.9486,6.9555,0.021,
2012-04-17,6.9590,6.9625,6.9486,6.9520,0.038,
2012-04-18,6.9486,6.9555,6.9486,6.9486,0.026,
2012-04-19,6.9520,7.0347,6.9486,6.9590,0.035,
2012-04-20,6.9555,6.9555,6.9486,6.9486,0.014,
2012-04-23,6.9486,6.9520,6.9486,6.9520,0.010,
2012-04-24,6.9486,6.9520,6.9486,6.9486,0.041,
2012-04-25,6.9486,6.9541,6.9486,6.9486,0.087,
2012-04-26,6.9520,6.9694,6.9486,6.9486,0.050,
2012-04-27,6.9486,6.9526,6.9486,6.9520,0.007,
2012-04-30,6.9486,6.9520,6.9486,6.9486,0.454,
2012-05-01,6.9486,6.9520,6.9486,6.9486,0.062,
2012-05-02,6.9486,6.9507,6.9486,6.9486,0.100,
2012-05-03,6.9486,6.9520,6.9486,6.9486,0.184,
2012-05-04,6.9486,6.9659,6.9486,6.9625,0.061,
2012-05-07,6.9486,7.0146,6.9486,6.9694,0.091,
2012-05-08,6.9590,6.9708,6.9590,6.9590,0.105,
2012-05-09,6.9798,7.1084,6.9486,6.9486,0.207,
2012-05-10,6.9625,6.9663,6.9486,6.9486,0.053,
2012-05-11,6.9520,6.9520,6.9486,6.9486,0.072,
2012-05-14,6.9138,6.9138,6.7297,6.8582,0.117,
2012-05-15,6.9138,6.9138,6.8665,6.8686,0.047,
2012-05-16,6.8612,6.9031,6.7808,6.7983,0.009,
2012-05-17,6.7738,6.8018,6.7598,6.7633,0.044,
2012-05-18,6.7389,6.7424,6.5396,6.5606,0.027,
2012-05-21,6.6061,6.6162,6.4907,6.5257,0.043,
2012-05-22,6.5361,6.6049,6.4977,6.4977,0.045,
2012-05-23,6.4907,6.4977,6.4278,6.4418,0.052,
2012-05-24,6.4313,6.4488,6.4313,6.4348,0.015,
2012-05-25,6.5816,6.5816,6.3579,6.4068,0.030,
2012-05-29,6.4348,6.4348,6.3719,6.4243,0.012,
2012-05-30,6.4138,6.4767,6.3719,6.3719,0.025,
2012-05-31,6.3719,6.3719,6.1237,6.2670,0.072,
2012-06-01,6.2111,6.2411,6.2025,6.2317,0.017,
2012-06-04,6.2460,6.2526,5.9734,6.0154,0.098,
2012-06-05,6.0241,6.0573,5.9699,6.0293,0.035,
2012-06-06,6.0888,6.1587,6.0468,6.1587,0.027,
2012-06-07,6.1517,6.2915,6.1517,6.2635,0.019,6.768
2012-06-08,6.2460,6.2915,6.1831,6.2845,0.024,6.754
2012-06-11,6.2705,6.3264,6.1691,6.1691,0.024,6.739
2012-06-12,6.1691,6.1971,6.1657,6.1971,0.017,6.724
2012-06-13,6.2565,6.3020,6.2356,6.2390,0.042,6.709
2012-06-14,6.2425,6.3229,6.2425,6.2915,0.032,6.696
2012-06-15,6.2880,6.3159,6.1622,6.2600,0.036,6.682
2012-06-18,6.2603,6.3858,6.2603,6.3614,0.030,6.671
2012-06-19,6.3649,6.4265,6.3562,6.3874,0.033,6.659
2012-06-20,6.3925,6.4207,6.2623,6.3081,0.046,6.647
2012-06-21,6.2729,6.3010,6.2483,6.2764,0.041,6.633
2012-06-22,6.3186,6.3362,6.2623,6.2659,0.034,6.619
2012-06-25,6.2694,6.2940,6.1955,6.2131,0.072,6.604
