DATE,OPEN,HIGH,LOW,CLOSE
2021-10-28,26.1500,29.0000,26.1500,27.6300
2021-10-29,27.7000,29.6000,27.4000,29.0000
2021-11-01,30.2500,30.5000,28.6000,28.8700
2021-11-02,28.5500,29.3475,28.5200,29.0000
2021-11-03,28.7700,29.7400,28.6500,29.3000
2021-11-04,29.8500,29.9428,29.4000,29.7900
2021-11-05,29.9900,30.1500,29.7250,29.8900
2021-11-08,30.4000,30.4000,29.8000,30.0400
2021-11-09,29.7600,30.6700,29.6400,30.6000
2021-11-10,30.6000,32.0000,30.4261,31.8300
2021-11-11,31.6348,34.6200,31.6348,34.0400
2021-11-12,33.8300,34.2000,31.4200,32.0000
2021-11-15,32.0000,32.4100,31.0000,31.5300
2021-11-16,31.2500,31.7500,30.7900,31.2300
2021-11-17,31.2300,32.0000,31.1100,32.0000
2021-11-18,32.5000,33.0500,32.2500,32.3600
2021-11-19,32.6500,32.7500,32.2000,32.2500
2021-11-22,32.3600,32.6579,31.6000,31.6500
2021-11-23,31.5000,31.7000,31.1500,31.1500
2021-11-24,31.0600,31.8100,30.5000,31.3200
2021-11-26,31.5000,32.0000,31.2500,31.2500
2021-11-29,31.2000,31.8000,31.0828,31.3500
2021-11-30,31.3500,32.4508,30.6100,31.2000
2021-12-01,31.5000,32.0000,30.9800,31.0200
2021-12-02,30.9000,32.5900,30.5000,32.3900
2021-12-03,32.2000,34.0000,32.0564,33.3500
