DATE,OPEN,HIGH,LOW,CLOSE
2015-08-14,12.5141,12.7754,12.5141,12.7270
2015-08-17,12.8238,12.8238,12.5721,12.6496
2015-08-18,12.6883,12.7947,12.5141,12.6496
2015-08-19,12.5818,12.7076,12.2237,12.5334
2015-08-20,12.4560,12.6108,12.2721,12.3399
2015-08-21,12.0398,12.3882,12.0011,12.1269
2015-08-24,11.7301,12.5963,11.6140,12.0205
2015-08-25,12.2044,12.3592,11.4398,11.4882
2015-08-26,11.6527,11.8366,11.5075,11.7108
2015-08-27,11.7108,12.0011,11.7011,11.8947
2015-08-28,11.9624,12.2721,11.8850,12.1947
2015-08-31,12.1173,12.8527,11.9914,12.7367
2015-09-01,12.3592,12.5721,12.1269,12.1463
2015-09-02,12.1366,12.3882,11.8559,11.9237
2015-09-03,11.9043,12.0109,11.7688,11.7882
2015-09-04,11.7592,11.7785,11.4301,11.4301
2015-09-08,11.6817,11.6817,11.3769,11.4591
2015-09-09,11.5075,11.5946,11.3527,11.3720
2015-09-10,11.4301,11.5172,11.2559,11.4591
2015-09-11,11.3236,11.4204,11.1978,11.3333
2015-09-14,11.4107,11.4107,11.1591,11.2752
2015-09-15,11.3720,11.5946,11.1785,11.2462
2015-09-16,11.3043,11.4978,11.2946,11.3043
2015-09-17,11.3140,11.6140,11.3140,11.3623
2015-09-18,11.2268,11.2365,10.7429,11.0623
2015-09-21,11.0817,11.2172,10.7913,10.8397
2015-09-22,10.7429,10.8397,10.2203,10.3558
2015-09-23,10.4235,10.4235,9.8332,9.9203
2015-09-24,10.0074,10.0074,9.6493,9.7557
2015-09-25,9.8332,9.9203,9.6880,9.8041
2015-09-28,9.7267,9.7315,9.5041,9.7267
2015-09-29,9.6977,9.7654,9.6106,9.6977
2015-09-30,9.7654,9.9783,9.6783,9.7557
2015-10-01,9.8235,9.9783,9.7267,9.8041
2015-10-02,9.7557,10.0364,9.6202,10.0171
2015-10-05,10.1138,10.9365,10.1138,10.7816
2015-10-06,10.6268,10.8591,10.4332,10.5978
