DATE,OPEN,HIGH,LOW,CLOSE
2018-10-19,9.0500,9.0500,8.9000,8.9200
2018-11-19,8.0947,8.0947,7.9453,8.0293
2018-11-20,7.9639,7.9639,7.8706,7.8799
2018-11-21,7.9266,7.9266,7.8519,7.8799
2018-11-23,7.8052,7.9639,7.8052,7.9639
2018-11-26,7.9359,8.0013,7.8799,7.9780
2018-11-27,7.9546,7.9910,7.8986,7.9560
2018-11-28,8.0106,8.0106,7.9453,8.0106
2018-11-29,8.0293,8.0386,7.8706,7.9826
2018-11-30,8.0013,8.0013,7.8986,7.9920
2018-12-03,8.0386,8.0573,7.9639,8.0013
2018-12-04,7.9826,8.0480,7.8986,7.9733
2018-12-06,7.9266,7.9397,7.7866,7.8986
2018-12-07,7.9359,7.9359,7.8519,7.8799
2018-12-10,7.9079,7.9079,7.7959,7.8893
2018-12-11,7.8986,7.8986,7.7030,7.8319
2018-12-12,7.7585,7.8519,7.7585,7.8052
2018-12-13,7.8146,7.8519,7.7585,7.7679
2018-12-14,7.6839,7.7772,7.6652,7.6745
2018-12-17,7.6745,7.7090,7.4178,7.4691
2018-12-18,7.5625,7.6257,7.3571,7.4878
2018-12-19,7.5438,7.5438,7.3944,7.4785
2018-12-20,7.4411,7.4411,7.2637,7.3664
2018-12-21,7.3197,7.3944,7.1517,7.2917
2018-12-24,7.2637,7.2684,7.1024,7.2544
2018-12-26,7.3477,7.5130,7.2918,7.4318
2018-12-27,7.4224,7.5531,7.3477,7.4504
2018-12-28,7.5065,7.7399,7.5065,7.5625
2018-12-31,7.4971,7.7470,7.4411,7.4504
2019-01-02,7.5438,7.7119,7.5041,7.7025
2019-01-03,7.6932,7.7305,7.6304,7.7119
2019-01-04,7.7959,7.8706,7.7212,7.8519
2019-01-07,7.8612,7.9546,7.8052,7.9546
2019-01-08,7.9733,8.0293,7.9132,8.0106
2019-01-09,8.0760,8.1133,8.0293,8.0573
2019-01-10,7.9920,8.1320,7.9920,8.0666
2019-01-11,8.1003,8.1190,8.0627,8.1003
2019-01-14,8.1003,8.1190,8.0252,8.0533
2019-01-15,8.0721,8.0909,7.9970,8.0346
2019-01-16,8.0909,8.1096,8.0238,8.1096
2019-01-17,8.0851,8.1847,8.0635,8.1847
2019-01-18,8.1003,8.2223,8.1003,8.1753
2019-01-22,8.2035,8.2223,7.9125,8.1003
2019-01-23,8.0852,8.1003,8.0252,8.0721
2019-01-24,8.0158,8.1566,7.9970,8.0815
2019-01-25,8.1071,8.2642,8.1064,8.1660
2019-01-28,8.1284,8.2692,8.1191,8.2692
2019-01-29,8.2411,8.3007,8.2223,8.2551
2019-01-30,8.3161,8.3161,8.1882,8.2692
2019-01-31,8.3255,8.3537,8.2129,8.3161
2019-02-01,8.3631,8.3725,8.3161,8.3255
2019-02-04,8.3725,8.3725,8.2974,8.3443
2019-02-05,8.3631,8.3818,8.3443,8.3725
2019-02-06,8.3389,8.3912,8.3389,8.3842
2019-02-07,8.3818,8.3912,8.3089,8.3725
2019-02-08,8.3912,8.3912,8.2504,8.3068
2019-02-11,8.3185,8.3631,8.3068,8.3631
2019-02-12,8.4100,8.4194,8.3537,8.3631
2019-02-13,8.4100,8.4194,8.3255,8.3912
2019-02-14,8.3255,8.4194,8.3255,8.4100
2019-02-15,8.3912,8.4663,8.3725,8.4194
2019-02-19,8.3944,8.4851,8.3574,8.3725
2019-02-20,8.4569,8.4569,8.4100,8.4475
2019-02-21,8.4475,8.4757,8.4006,8.4288
2019-02-22,8.4945,8.5039,8.4006,8.4851
2019-02-25,8.5508,8.5508,8.4288,8.4475
2019-02-26,8.4475,8.4663,8.4288,8.4288
2019-02-27,8.5129,8.5129,8.3631,8.3631
2019-02-28,8.4100,8.4693,8.4100,8.4475
2019-03-01,8.5133,8.5133,8.4475,8.4757
2019-03-04,8.6540,8.6540,8.4475,8.4757
2019-03-05,8.5245,8.5414,8.4382,8.4757
2019-03-06,8.4851,8.4945,8.4288,8.4475
2019-03-07,8.5226,8.5226,8.3917,8.4475
2019-03-08,8.5039,8.5039,8.3818,8.4100
